"","Table 4BU1# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10"
"1","[Millions of chained (2000) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 30, 2004    ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/29/2004 4:00:55 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003
"8",NA,"  Materials and supplies"," ",NA,NA,NA,NA,NA,NA,NA
"9","1","A Manufacturing industries","KS30M0",149217,153871,162625,168279,159792,152587,142896
"10","2","A   Durable goods industries","KS30DM0",86400,91209,96820,104450,96805,90370,83174
"11","3","A     Wood product manufacturing","KS321M0",3744,3907,4119,4049,3980,3749,3800
"12","4","A     Nonmetallic mineral product manufacturing","KS327M0",3319,3330,3442,3521,3467,3298,3119
"13","5","A     Primary metal manufacturing","KS331M0",6703,7632,7593,7264,6856,6701,5620
"14","6","A     Fabricated metal product manufacturing","KS332M0",11139,11540,11923,12247,11742,11741,11204
"15","7","A     Machinery manufacturing","KS333M0",12431,12617,13276,14014,13046,11279,9764
"16","8","A     Computer and electronic product manufacturing","KS334M0",18288,18465,21856,27845,24420,21455,18819
"17","9","A     Electrical equipment, appliance, and component manufacturing","KS335M0",5077,5163,5312,5829,5553,4914,4685
"18","10","A     Transportation equipment manufacturing","KS336M0",16998,19501,19856,20036,18278,17691,17118
"19","11","D       Motor vehicle and parts manufacturing","KS3MVM0",10021,10899,12056,11391,10359,9929,9792
"20","12","D       Other transportation equipment manufacturing","KS3OTM0",6972,8600,7800,8645,7918,7759,7329
"21","13","A     Furniture and related product manufacturing","KS337M0",3407,3412,3536,3635,3443,3319,3069
"22","14","A     Miscellaneous durable goods manufacturing","KS339M0",5307,5729,5901,6004,6001,6142,5842
"23","15","A   Nondurable goods industries","KS30NM0",62944,62673,65798,63822,62959,62170,59609
"24","16","A     Food manufacturing","KS311M0",10143,10327,11095,10690,10604,10233,9432
"25","17","A     Beverage and tobacco product manufacturing","KS312M0",7064,7130,6847,6206,6338,6342,5810
"26","18","A     Textile mills","KS313M0",2308,2196,2267,2154,1909,1785,1605
"27","19","A     Textile product mills","KS314M0",1258,1195,1281,1496,1503,1507,1577
"28","20","A     Apparel manufacturing","KS315M0",2730,2633,2692,2500,2027,1938,1783
"29","21","A     Leather and allied product manufacturing","KS316M0",538,517,498,466,428,423,429
"30","22","A     Paper manufacturing","KS322M0",7906,7572,8358,8014,7711,8143,7658
"31","23","A     Printing and related support activities","KS323M0",2504,2113,2533,2313,2264,2349,2144
"32","24","A     Petroleum and coal product manufacturing","KS324M0",5070,4807,4856,4249,5039,4666,5414
"33","25","A     Chemical manufacturing","KS325M0",16417,17002,17676,18289,18162,17645,16726
"34","26","A     Plastics and rubber product manufacturing","KS326M0",7093,7250,7688,7438,7081,7251,7156
