"","Table 3#2# Federal Government Current Receipts and Expenditures ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185"
"56","36","  Total receipts","W018RC1","193,775.0","197,100.0","194,654.0","196,063.0","190,156.0","191,133.0","187,374.0","186,588.0","191,322.0","194,245.0","194,964.0","200,655.0","219,489.0","221,083.0","224,392.0","232,516.0","248,186.0","251,202.0","254,382.0","263,584.0","271,186.0","281,301.0","292,103.0","288,590.0","282,268.0","249,711.0","293,383.0","301,514.0","316,928.0","324,092.0","331,867.0","338,347.0","358,973.0","366,405.0","373,258.0","384,032.0","394,047.0","422,277.0","440,302.0","458,515.0","474,711.0","486,042.0","498,750.0","509,578.0","524,244.0","521,585.0","541,837.0","570,540.0","613,425.0","623,618.0","641,105.0","631,207.0","626,470.0","631,730.0","621,436.0","622,541.0","629,302.0","655,191.0","649,984.0","665,464.0","700,011.0","712,555.0","719,515.0","734,453.0","788,193.0","751,396.0","789,946.0","796,970.0","808,227.0","811,801.0","826,335.0","850,802.0","855,055.0","924,028.0","915,854.0","929,745.0","948,536.0","957,164.0","974,697.0","995,897.0","1,039,361.0","1,040,673.0","1,053,170.0","1,065,732.0","1,072,845.0","1,093,939.0","1,106,293.0","1,115,989.0","1,107,828.0","1,109,362.0","1,119,975.0","1,129,038.0","1,140,101.0","1,153,899.0","1,162,384.0","1,197,068.0","1,188,286.0","1,235,764.0","1,243,702.0","1,298,876.0","1,297,008.0","1,344,275.0","1,351,187.0","1,374,864.0","1,398,141.0","1,426,163.0","1,434,641.0","1,452,360.0","1,488,583.0","1,544,144.0","1,557,206.0","1,604,641.0","1,630,392.0","1,666,514.0","1,704,301.0","1,727,627.0","1,763,595.0","1,791,259.0","1,827,325.0","1,853,492.0","1,885,545.0","1,906,823.0","1,937,377.0","1,988,266.0","2,066,362.0","2,081,366.0","2,099,094.0","2,118,193.0","2,137,064.0","2,123,434.0","1,928,186.0","2,030,341.0","1,890,160.0","1,888,582.0","1,890,131.0","1,895,457.0","1,907,585.0","1,925,876.0","1,855,710.0","1,958,480.0","1,971,218.0","2,022,069.0","2,083,268.0","2,110,697.0","2,263,202.0","2,290,651.0","2,336,192.0","2,402,311.0","2,509,684.0","2,538,669.0","2,582,546.0","2,607,330.0","2,678,983.0","2,695,098.0","2,681,920.0","2,693,052.0","2,660,672.0","2,440,704.0","2,531,460.0","2,494,896.0","2,231,056.0","2,231,151.0","2,232,442.0","2,298,935.0","2,326,554.0","2,378,860.0","2,444,284.0","2,477,604.0","2,524,885.0","2,529,896.0","2,521,439.0","2,540,448.0","2,675,773.0","2,697,005.0","2,672,126.0","2,747,688.0","2,994,239.0","3,246,151.0","3,066,022.0","3,229,013.0","3,265,434.0","....."
"57","37","    Current receipts","W005RC1","190,311.0","193,411.0","191,114.0","192,504.0","186,403.0","187,432.0","183,823.0","182,864.0","187,538.0","190,405.0","190,828.0","194,063.0","213,089.0","216,471.0","219,400.0","227,076.0","242,522.0","246,521.0","249,570.0","258,371.0","265,946.0","276,412.0","287,468.0","284,174.0","277,791.0","244,778.0","288,238.0","296,517.0","311,708.0","318,595.0","326,374.0","332,223.0","346,945.0","360,917.0","367,570.0","378,608.0","388,751.0","417,133.0","435,162.0","453,247.0","469,303.0","480,698.0","493,350.0","503,753.0","518,212.0","515,101.0","534,873.0","563,964.0","607,077.0","616,894.0","633,981.0","623,839.0","617,442.0","623,973.0","614,108.0","616,593.0","623,746.0","649,387.0","643,516.0","660,200.0","693,682.0","706,659.0","713,607.0","728,705.0","781,673.0","745,316.0","783,218.0","790,807.0","801,600.0","804,845.0","818,963.0","843,874.0","847,587.0","916,779.0","908,341.0","923,140.0","941,380.0","950,248.0","966,486.0","987,609.0","1,031,241.0","1,031,557.0","1,044,385.0","1,056,155.0","1,063,161.0","1,079,295.0","1,094,973.0","1,105,250.0","1,096,828.0","1,098,998.0","1,108,126.0","1,118,250.0","1,128,886.0","1,143,439.0","1,150,852.0","1,185,153.0","1,176,350.0","1,223,136.0","1,230,919.0","1,284,612.0","1,281,676.0","1,328,090.0","1,336,707.0","1,360,428.0","1,383,861.0","1,412,155.0","1,419,130.0","1,436,368.0","1,472,391.0","1,526,700.0","1,538,775.0","1,586,754.0","1,610,808.0","1,646,494.0","1,683,301.0","1,705,976.0","1,739,923.0","1,766,243.0","1,801,840.0","1,827,028.0","1,858,097.0","1,878,191.0","1,909,033.0","1,957,610.0","2,038,070.0","2,052,965.0","2,071,178.0","2,090,396.0","2,108,576.0","2,093,342.0","1,901,838.0","2,003,464.0","1,863,303.0","1,863,490.0","1,863,723.0","1,872,604.0","1,885,062.0","1,905,308.0","1,834,938.0","1,934,441.0","1,947,662.0","1,997,877.0","2,056,632.0","2,086,621.0","2,238,405.0","2,266,438.0","2,311,056.0","2,376,499.0","2,478,148.0","2,512,050.0","2,555,438.0","2,581,262.0","2,654,375.0","2,668,473.0","2,656,039.0","2,664,280.0","2,633,560.0","2,410,480.0","2,504,700.0","2,465,941.0","2,207,940.0","2,209,611.0","2,212,699.0","2,280,891.0","2,309,014.0","2,363,076.0","2,429,940.0","2,464,956.0","2,514,566.0","2,520,248.0","2,512,231.0","2,531,048.0","2,664,037.0","2,684,037.0","2,657,354.0","2,730,856.0","2,974,902.0","3,226,015.0","3,043,909.0","3,207,077.0","3,243,722.0","....."
"58","38","    Capital transfer receipts","B232RC1","3,464.0","3,688.0","3,540.0","3,560.0","3,752.0","3,700.0","3,552.0","3,724.0","3,784.0","3,840.0","4,136.0","6,592.0","6,400.0","4,612.0","4,992.0","5,440.0","5,664.0","4,680.0","4,812.0","5,212.0","5,240.0","4,888.0","4,636.0","4,416.0","4,476.0","4,932.0","5,144.0","4,996.0","5,220.0","5,496.0","5,492.0","6,124.0","12,028.0","5,488.0","5,688.0","5,424.0","5,296.0","5,144.0","5,140.0","5,268.0","5,408.0","5,344.0","5,400.0","5,824.0","6,032.0","6,484.0","6,964.0","6,576.0","6,348.0","6,724.0","7,124.0","7,368.0","9,028.0","7,756.0","7,328.0","5,948.0","5,556.0","5,804.0","6,468.0","5,264.0","6,328.0","5,896.0","5,908.0","5,748.0","6,520.0","6,080.0","6,728.0","6,164.0","6,628.0","6,956.0","7,372.0","6,928.0","7,468.0","7,248.0","7,512.0","6,604.0","7,156.0","6,916.0","8,212.0","8,288.0","8,120.0","9,116.0","8,784.0","9,576.0","9,684.0","14,644.0","11,320.0","10,740.0","11,000.0","10,364.0","11,848.0","10,788.0","11,216.0","10,460.0","11,532.0","11,916.0","11,936.0","12,628.0","12,784.0","14,264.0","15,332.0","16,184.0","14,480.0","14,436.0","14,280.0","14,008.0","15,512.0","15,992.0","16,192.0","17,444.0","18,432.0","17,888.0","19,584.0","20,020.0","21,000.0","21,652.0","23,672.0","25,016.0","25,484.0","26,464.0","27,448.0","28,632.0","28,344.0","30,656.0","28,292.0","28,400.0","27,916.0","27,796.0","28,488.0","30,092.0","26,348.0","26,876.0","26,856.0","25,092.0","26,408.0","22,852.0","22,524.0","20,568.0","20,772.0","24,040.0","23,556.0","24,192.0","26,636.0","24,076.0","24,796.0","24,212.0","25,136.0","25,812.0","31,536.0","26,620.0","27,108.0","26,068.0","24,608.0","26,624.0","25,880.0","28,772.0","27,112.0","30,224.0","26,760.0","28,956.0","23,116.0","21,540.0","19,744.0","18,044.0","17,540.0","15,784.0","14,344.0","12,648.0","10,320.0","9,648.0","9,208.0","9,400.0","11,736.0","12,968.0","14,772.0","16,832.0","19,336.0","20,136.0","22,112.0","21,936.0","21,712.0","21,188.0"
"59","39","  Total expenditures","W019RC1","201,325.0","205,597.0","210,613.0","213,881.0","218,169.0","228,061.0","230,253.0","234,565.0","235,393.0","248,013.0","248,373.0","251,589.0","263,645.0","274,238.0","264,798.0","287,326.0","285,133.0","293,339.0","285,597.0","294,507.0","305,462.0","310,281.0","331,820.0","341,972.0","362,023.0","384,079.0","392,395.0","402,093.0","406,067.0","405,058.0","416,955.0","429,636.0","435,544.0","443,243.0","455,123.0","468,726.0","482,745.0","491,404.0","509,560.0","524,399.0","528,798.0","542,096.0","562,358.0","578,578.0","608,832.0","632,243.0","661,094.0","675,116.0","708,549.0","718,278.0","734,098.0","765,577.0","776,173.0","795,439.0","821,008.0","851,067.0","866,971.0","872,004.0","896,248.0","897,696.0","914,008.0","934,897.0","949,894.0","985,257.0","1,000,752.0","1,020,449.0","1,038,071.0","1,054,355.0","1,059,895.0","1,081,402.0","1,117,246.0","1,095,890.0","1,103,731.0","1,124,572.0","1,127,504.0","1,146,974.0","1,158,825.0","1,160,918.0","1,166,545.0","1,193,918.0","1,215,636.0","1,234,688.0","1,256,042.0","1,269,668.0","1,307,543.0","1,328,156.0","1,338,205.0","1,390,373.0","1,327,127.0","1,387,298.0","1,433,111.0","1,441,693.0","1,490,975.0","1,514,022.0","1,532,778.0","1,552,257.0","1,549,962.0","1,558,537.0","1,576,762.0","1,596,421.0","1,566,129.0","1,587,980.0","1,619,986.0","1,640,223.0","1,662,925.0","1,676,438.0","1,658,811.0","1,679,719.0","1,724,791.0","1,733,586.0","1,731,319.0","1,733,046.0","1,747,802.0","1,740,093.0","1,770,841.0","1,796,862.0","1,778,083.0","1,785,362.0","1,798,216.0","1,830,449.0","1,831,279.0","1,845,090.0","1,868,744.0","1,924,910.0","1,893,877.0","1,937,842.0","1,948,890.0","1,975,088.0","2,010,324.0","2,043,327.0","2,076,894.0","2,085,384.0","2,147,479.0","2,189,437.0","2,204,998.0","2,261,846.0","2,295,275.0","2,401,233.0","2,399,048.0","2,428,516.0","2,480,007.0","2,491,094.0","2,534,231.0","2,562,361.0","2,655,875.0","2,676,062.0","2,783,024.0","2,763,768.0","2,830,841.0","2,864,688.0","2,891,577.0","2,823,817.0","2,977,454.0","3,038,794.0","3,065,878.0","3,082,454.0","3,146,488.0","3,296,328.0","3,300,387.0","3,507,100.0","3,562,940.0","3,803,044.0","3,744,759.0","3,785,626.0","3,861,096.0","3,936,233.0","3,925,772.0","3,938,980.0","3,894,715.0","4,002,017.0","3,901,874.0","3,906,419.0","3,862,346.0","3,894,310.0","3,871,069.0","3,907,212.0","3,808,952.0","3,863,521.0","3,871,705.0","3,813,564.0","3,858,966.0","3,933,643.0"
"60","40","    Current expenditures","W013RC1","188,072.0","194,904.0","199,744.0","205,052.0","208,652.0","220,040.0","223,332.0","227,544.0","233,040.0","242,812.0","242,536.0","247,740.0","258,760.0","267,860.0","260,056.0","284,904.0","282,568.0","287,272.0","286,160.0","291,740.0","301,248.0","314,272.0","323,632.0","337,432.0","352,928.0","377,196.0","377,940.0","387,168.0","392,464.0","394,768.0","405,864.0","415,220.0","419,132.0","427,252.0","440,692.0","454,592.0","466,908.0","476,028.0","488,244.0","502,412.0","508,916.0","519,936.0","538,196.0","558,132.0","581,728.0","602,504.0","635,220.0","657,704.0","678,901.0","692,462.0","716,566.0","737,125.0","750,625.0","763,299.0","789,932.0","826,767.0","830,699.0","850,224.0","860,856.0","855,104.0","873,440.0","895,673.0","908,962.0","933,929.0","949,472.0","962,441.0","979,283.0","992,275.0","1,003,055.0","1,029,006.0","1,048,890.0","1,038,974.0","1,042,311.0","1,058,332.0","1,061,676.0","1,086,198.0","1,105,201.0","1,106,002.0","1,117,677.0","1,146,214.0","1,167,552.0","1,189,780.0","1,207,926.0","1,224,652.0","1,258,443.0","1,281,004.0","1,291,717.0","1,315,193.0","1,280,943.0","1,343,054.0","1,377,415.0","1,405,621.0","1,453,599.0","1,474,846.0","1,494,782.0","1,515,725.0","1,516,950.0","1,529,129.0","1,548,106.0","1,568,069.0","1,548,169.0","1,564,900.0","1,591,302.0","1,617,263.0","1,637,949.0","1,653,910.0","1,664,343.0","1,658,671.0","1,695,499.0","1,706,558.0","1,708,411.0","1,728,174.0","1,731,502.0","1,748,989.0","1,752,001.0","1,778,746.0","1,762,543.0","1,774,998.0","1,780,144.0","1,806,477.0","1,810,631.0","1,815,434.0","1,837,496.0","1,872,822.0","1,861,909.0","1,906,598.0","1,917,482.0","1,940,576.0","1,978,604.0","2,000,559.0","2,032,026.0","2,038,212.0","2,091,307.0","2,129,965.0","2,140,586.0","2,183,202.0","2,218,457.0","2,307,117.0","2,307,401.0","2,338,282.0","2,388,701.0","2,400,059.0","2,429,749.0","2,467,160.0","2,551,327.0","2,576,458.0","2,618,929.0","2,664,624.0","2,720,678.0","2,756,328.0","2,789,453.0","2,768,559.0","2,868,206.0","2,920,398.0","2,942,942.0","2,974,212.0","3,042,603.0","3,190,981.0","3,168,333.0","3,148,726.0","3,248,059.0","3,544,324.0","3,553,633.0","3,560,503.0","3,660,929.0","3,701,454.0","3,749,161.0","3,770,291.0","3,750,968.0","3,833,419.0","3,743,454.0","3,726,819.0","3,737,227.0","3,782,085.0","3,759,590.0","3,773,939.0","3,721,037.0","3,787,214.0","3,793,728.0","3,746,434.0","3,802,727.0","3,874,776.0"
"61","41","    Gross government investment","A787RC1","32,480.0","30,252.0","31,036.0","29,124.0","30,828.0","30,340.0","29,944.0","30,716.0","27,696.0","27,508.0","28,852.0","27,136.0","28,556.0","30,600.0","28,264.0","29,976.0","32,756.0","32,268.0","30,684.0","30,900.0","33,292.0","35,228.0","36,404.0","37,724.0","37,708.0","36,884.0","41,716.0","43,080.0","43,660.0","43,420.0","45,596.0","46,320.0","47,960.0","49,368.0","49,836.0","49,628.0","50,556.0","53,804.0","56,092.0","58,516.0","58,332.0","60,048.0","64,648.0","63,948.0","68,324.0","69,008.0","70,268.0","73,412.0","75,404.0","79,580.0","81,672.0","85,060.0","84,868.0","90,280.0","90,316.0","94,360.0","96,768.0","100,044.0","104,328.0","108,212.0","110,488.0","113,676.0","114,356.0","123,840.0","124,724.0","131,036.0","137,360.0","136,980.0","134,596.0","138,576.0","148,092.0","146,272.0","147,304.0","153,148.0","156,044.0","153,292.0","147,432.0","147,876.0","148,076.0","148,548.0","149,024.0","149,668.0","155,000.0","151,176.0","155,916.0","158,500.0","159,304.0","159,096.0","155,704.0","159,308.0","157,460.0","154,716.0","155,520.0","156,644.0","157,056.0","156,356.0","152,404.0","151,476.0","148,828.0","150,024.0","141,180.0","144,180.0","149,732.0","146,344.0","148,676.0","148,788.0","146,672.0","146,668.0","153,664.0","152,076.0","149,648.0","143,780.0","141,460.0","142,368.0","146,600.0","144,392.0","143,964.0","147,268.0","150,868.0","148,552.0","148,092.0","154,324.0","157,108.0","159,904.0","156,348.0","156,340.0","158,480.0","158,336.0","158,744.0","163,500.0","165,720.0","167,416.0","171,844.0","178,480.0","184,568.0","186,216.0","188,864.0","196,276.0","199,124.0","201,152.0","203,644.0","208,992.0","215,280.0","216,108.0","216,676.0","221,392.0","226,896.0","226,552.0","233,252.0","238,444.0","237,216.0","243,284.0","243,044.0","251,680.0","254,692.0","256,272.0","260,652.0","274,800.0","282,032.0","285,652.0","277,460.0","283,432.0","287,312.0","287,728.0","290,084.0","299,476.0","302,864.0","307,412.0","297,528.0","299,704.0","296,908.0","295,420.0","288,124.0","291,356.0","289,408.0","282,228.0","271,664.0","268,884.0","268,248.0","265,120.0","250,996.0","254,720.0"
"62","42","    Capital transfer payments","W020RC1","5,904.0","5,836.0","5,672.0","6,028.0","5,680.0","5,360.0","4,928.0","5,072.0","5,640.0","6,444.0","5,896.0","5,816.0","5,864.0","5,452.0","7,028.0","5,860.0","5,932.0","6,392.0","5,532.0","6,132.0","7,992.0","8,840.0","6,744.0","8,128.0","8,956.0","8,100.0","11,068.0","10,720.0","10,308.0","10,012.0","10,820.0","11,328.0","10,880.0","10,936.0","12,056.0","10,900.0","11,196.0","11,780.0","12,172.0","12,788.0","13,888.0","13,384.0","14,668.0","16,148.0","16,672.0","16,948.0","16,252.0","17,084.0","16,408.0","15,992.0","15,132.0","15,412.0","14,236.0","14,908.0","14,816.0","14,720.0","16,072.0","14,344.0","16,036.0","15,876.0","16,664.0","17,332.0","18,196.0","18,940.0","17,180.0","19,572.0","20,188.0","21,320.0","19,840.0","20,664.0","21,392.0","18,428.0","18,888.0","19,696.0","18,972.0","18,840.0","19,108.0","19,968.0","20,524.0","19,416.0","20,324.0","20,080.0","18,976.0","21,464.0","22,280.0","20,336.0","20,664.0","49,540.0","25,992.0","22,180.0","37,068.0","20,788.0","21,568.0","23,188.0","22,460.0","23,236.0","24,380.0","22,632.0","25,284.0","24,920.0","23,772.0","27,540.0","26,200.0","26,676.0","27,948.0","28,236.0","28,420.0","26,996.0","29,344.0","28,100.0","27,312.0","28,924.0","28,620.0","29,516.0","29,684.0","29,036.0","27,280.0","27,548.0","29,392.0","31,484.0","28,068.0","32,472.0","34,580.0","51,156.0","35,976.0","36,440.0","36,196.0","39,468.0","40,576.0","43,248.0","42,944.0","43,364.0","48,452.0","45,552.0","45,376.0","59,400.0","56,430.0","68,568.0","64,707.0","62,626.0","63,114.0","60,267.0","69,454.0","62,981.0","74,088.0","67,236.0","132,583.0","67,388.0","74,923.0","71,504.0","69,424.0","68,310.0","76,624.0","83,048.0","83,428.0","74,634.0","75,033.0","77,179.0","88,230.0","343,010.0","297,977.0","214,140.0","140,222.0","175,255.0","151,019.0","181,095.0","121,819.0","111,665.0","100,287.0","126,302.0","122,080.0","145,320.0","101,027.0","85,981.0","88,375.0","119,845.0","84,019.0","77,463.0","81,929.0","73,766.0","78,595.0","79,735.0"
"63","43","    Net purchases of nonproduced assets","AD08RC1","41.0","177.0","121.0","77.0","-95.0","-319.0","-123.0","-539.0","-2,335.0","185.0","233.0","161.0","257.0","250.0","-366.0","-2,994.0","-5,231.0","-1,153.0","-4,803.0","-1,633.0","-3,762.0","-13,939.0","216.0","-5,208.0","-773.0","-609.0","-253.0","-99.0","-841.0","-2,998.0","-4,337.0","-1,372.0","144.0","-937.0","-3,465.0","-1,426.0","85.0","-3,188.0","1,052.0","-505.0","-2,542.0","-252.0","-2,730.0","-5,870.0","-2,632.0","751.0","-1,898.0","-12,492.0","204.0","-5,320.0","-13,056.0","-3,932.0","-3,532.0","-1,028.0","-504.0","-9,704.0","40.0","-14,632.0","-5,176.0","-28.0","-2,824.0","-6,232.0","-4,316.0","-2,456.0","188.0","-192.0","-4,524.0","-280.0","-36.0","-7,432.0","-8.0","-4,620.0","-4.0","-188.0","-824.0","-736.0","180.0","2,428.0","-2,380.0","-852.0","124.0","-1,548.0","-728.0","-792.0","-432.0","-1,360.0","-1,436.0","104.0","152.0","148.0","136.0","160.0","208.0","208.0","180.0","160.0","224.0","156.0","100.0","136.0","-68.0","-936.0","1,408.0","-108.0","-164.0","-2,772.0","-28,348.0","-432.0","-1,172.0","-700.0","-1,640.0","-15,628.0","-1,272.0","-27,644.0","-4,100.0","-2,188.0","-2,984.0","-11,156.0","-8,500.0","-1,460.0","-268.0","-816.0","-3,436.0","-348.0","-348.0","-496.0","-1,172.0","-484.0","-4,668.0","-704.0","-428.0","0.0","-52.0","-72.0","-180.0","-760.0","-820.0","-1,364.0","-912.0","-576.0","-412.0","-844.0","-592.0","-1,480.0","-1,044.0","-1,096.0","-4,760.0","-1,072.0","-1,400.0","-2,220.0","-2,516.0","-51,496.0","-2,196.0","-5,068.0","-748.0","-5,384.0","-10,648.0","-21,852.0","-9,760.0","-39,280.0","-27,824.0","-4,860.0","-1,576.0","-1,248.0","-784.0","-1,720.0","-1,136.0","-248.0","-212.0","-680.0","-1,624.0","-1,032.0","-1,388.0","-1,272.0","-1,376.0","-3,740.0","-1,852.0","-2,820.0","-3,692.0","-1,340.0","-1,288.0","-1,940.0"
"64","44","    Less: Consumption of fixed capital","A918RC1","25,172.0","25,572.0","25,960.0","26,400.0","26,896.0","27,360.0","27,828.0","28,228.0","28,648.0","28,936.0","29,144.0","29,264.0","29,792.0","29,924.0","30,184.0","30,420.0","30,892.0","31,440.0","31,976.0","32,632.0","33,308.0","34,120.0","35,176.0","36,104.0","36,796.0","37,492.0","38,076.0","38,776.0","39,524.0","40,144.0","40,988.0","41,860.0","42,572.0","43,376.0","43,996.0","44,968.0","46,000.0","47,020.0","48,000.0","48,812.0","49,796.0","51,020.0","52,424.0","53,780.0","55,260.0","56,968.0","58,748.0","60,592.0","62,368.0","64,436.0","66,216.0","68,088.0","70,024.0","72,020.0","73,552.0","75,076.0","76,608.0","77,976.0","79,796.0","81,468.0","83,760.0","85,552.0","87,304.0","88,996.0","90,812.0","92,408.0","94,236.0","95,940.0","97,560.0","99,412.0","101,120.0","103,164.0","104,768.0","106,416.0","108,364.0","110,620.0","113,096.0","115,356.0","117,352.0","119,408.0","121,388.0","123,292.0","125,132.0","126,832.0","128,664.0","130,324.0","132,044.0","133,560.0","135,664.0","137,392.0","138,968.0","139,592.0","139,920.0","140,864.0","141,700.0","143,220.0","143,996.0","144,856.0","145,556.0","146,728.0","146,924.0","147,704.0","148,656.0","149,952.0","151,484.0","151,724.0","152,276.0","152,184.0","152,544.0","152,448.0","152,412.0","152,204.0","152,508.0","153,136.0","153,344.0","153,124.0","152,720.0","153,296.0","153,688.0","154,604.0","155,244.0","156,324.0","157,004.0","158,624.0","160,008.0","161,040.0","162,096.0","162,808.0","162,932.0","163,276.0","163,368.0","163,608.0","164,072.0","164,488.0","165,352.0","166,212.0","167,656.0","169,364.0","171,272.0","172,968.0","175,040.0","177,380.0","179,660.0","182,408.0","185,172.0","187,928.0","190,624.0","193,724.0","196,612.0","199,368.0","202,000.0","204,840.0","208,224.0","211,264.0","214,436.0","217,280.0","221,152.0","224,780.0","228,448.0","231,008.0","232,732.0","233,992.0","234,832.0","236,612.0","240,152.0","244,072.0","246,936.0","250,140.0","253,856.0","256,728.0","258,944.0","260,108.0","262,644.0","263,840.0","264,928.0","265,060.0","265,916.0","267,220.0","268,508.0","270,416.0","272,064.0","273,648.0"
"65","45","  Net lending or net borrowing (-)","AD02RC1","-7,550.0","-8,497.0","-15,959.0","-17,818.0","-28,013.0","-36,928.0","-42,879.0","-47,977.0","-44,071.0","-53,768.0","-53,409.0","-50,934.0","-44,156.0","-53,155.0","-40,406.0","-54,810.0","-36,947.0","-42,137.0","-31,215.0","-30,923.0","-34,276.0","-28,980.0","-39,717.0","-53,382.0","-79,755.0","-134,368.0","-99,012.0","-100,579.0","-89,139.0","-80,966.0","-85,088.0","-91,289.0","-76,571.0","-76,838.0","-81,865.0","-84,694.0","-88,698.0","-69,127.0","-69,258.0","-65,884.0","-54,087.0","-56,054.0","-63,608.0","-69,000.0","-84,588.0","-110,658.0","-119,257.0","-104,576.0","-95,124.0","-94,660.0","-92,993.0","-134,370.0","-149,703.0","-163,709.0","-199,572.0","-228,526.0","-237,669.0","-216,813.0","-246,264.0","-232,232.0","-213,997.0","-222,342.0","-230,379.0","-250,804.0","-212,559.0","-269,053.0","-248,125.0","-257,385.0","-251,668.0","-269,601.0","-290,911.0","-245,088.0","-248,676.0","-200,544.0","-211,650.0","-217,229.0","-210,289.0","-203,754.0","-191,848.0","-198,021.0","-176,275.0","-194,015.0","-202,872.0","-203,936.0","-234,698.0","-234,217.0","-231,912.0","-274,384.0","-219,299.0","-277,936.0","-313,136.0","-312,655.0","-350,874.0","-360,123.0","-370,394.0","-355,189.0","-361,676.0","-322,773.0","-333,060.0","-297,545.0","-269,121.0","-243,705.0","-268,799.0","-265,359.0","-264,784.0","-250,275.0","-224,170.0","-227,359.0","-236,208.0","-189,442.0","-174,113.0","-128,405.0","-117,410.0","-73,579.0","-66,540.0","-69,235.0","-14,488.0","5,897.0","29,109.0","23,043.0","54,266.0","61,733.0","68,633.0","63,356.0","172,485.0","143,524.0","150,204.0","143,105.0","126,740.0","80,107.0","-148,708.0","-55,043.0","-257,319.0","-300,855.0","-314,867.0","-366,389.0","-387,690.0","-475,357.0","-543,338.0","-470,036.0","-508,789.0","-469,025.0","-450,963.0","-451,664.0","-392,673.0","-385,411.0","-446,832.0","-361,457.0","-321,157.0","-326,019.0","-309,031.0","-216,487.0","-298,471.0","-343,696.0","-383,958.0","-389,402.0","-485,816.0","-855,624.0","-768,927.0","-1,012,204.0","-1,331,884.0","-1,571,893.0","-1,512,317.0","-1,486,691.0","-1,534,542.0","-1,557,373.0","-1,481,488.0","-1,461,376.0","-1,369,830.0","-1,472,121.0","-1,380,435.0","-1,365,971.0","-1,186,573.0","-1,197,305.0","-1,198,943.0","-1,159,524.0","-814,713.0","-617,370.0","-805,683.0","-584,551.0","-593,532.0","....."
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","1. Includes dividends tax for 1933-34 and automobile use tax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
