"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74"
"11","3","  Durable goods manufacturing industries","PK30D3",92.279,92.032,91.669,91.333,91.052,90.671,90.403,90.146,89.802,89.697,89.603,89.669,89.783,89.713,89.774,89.63,89.494,89.422,89.312,88.872,88.847,88.795,88.704,88.676,88.591,88.403,88.529,88.869,89.569,91.052,91.874,92.666,93.418,93.358,93.488,93.923,94.936,96.049,96.849,97.323,97.696,98.231,97.849,98.147,99.092,101.405,102.988,102.092,100.373,99.465,99.68,100.445,100.935,101.799,101.356,101.944,103.207,104.339,104.549,104.417,104.823,104.987,104.701,105.024,105.309,105.34,105.199,105.844,106.205,106.268,106.664
"12","4","    Wood product manufacturing","PK3213",93.951,95.134,94.964,95.8,95.604,94.499,94.726,94.276,94.945,96.456,98.76,96.508,96.742,94.695,92.844,93.092,92.24,94.577,93.807,92.219,92.504,92.362,92.213,92.361,92.428,92.615,96.84,100.519,101.77,106.467,106.538,104.49,106.187,105.709,105.896,107.005,107.347,106.423,104.229,103.55,104.297,104.408,104.726,103.497,102.609,104.623,105.649,104.292,100.876,98.852,100.249,100.023,100.504,104.911,101.761,101.495,102.714,102.088,102.701,103.62,104.13,106.516,108.253,109.651,114.307,115.282,113.925,116.046,117.403,118.951,121.83
"13","5","    Nonmetallic mineral product manufacturing","PK3273",74.682,74.902,74.968,75.167,74.936,75.596,76.312,76.647,77.085,77.595,78.076,78.493,78.804,78.897,78.767,78.65,78.96,79.121,79.334,79.732,79.436,79.655,79.986,80.127,80.104,80.263,80.377,80.674,81.14,82.099,83.609,84.708,86.28,87.416,88.942,90.499,93.241,94.578,95.691,95.778,96.437,96.806,96.415,96.464,97.017,97.716,98.972,100.117,100.887,100.421,99.692,98.973,98.932,98.895,98.916,98.971,99.249,99.893,100.42,100.469,101.994,102.642,103.211,103.573,105.107,106.014,106.558,106.833,107.921,108.69,109.373
"14","6","    Primary metal manufacturing","PK3313",74.704,75.091,75.029,75.014,74.268,73.273,71.91,70.554,68.99,68.621,69.118,70.284,71.893,72.17,72.021,71.421,70.578,69.562,68.875,68.091,68.019,68.786,70.057,70.87,71.069,70.468,70.675,72.336,77.354,84.126,88.385,92.727,95.505,92.428,89.811,94.474,99.451,105.151,111.089,112.587,110.696,116.827,114.043,111.586,116.477,131.352,137.453,117.241,100.156,94.205,99.508,105.234,110.384,116.733,113.261,116.795,124.128,129.237,127.995,123.341,123.39,121.678,117.715,116.92,116.786,115.007,114.161,114.935,115.838,116.658,118.668
"15","7","    Fabricated metal product manufacturing","PK3323",72.283,72.52,72.768,72.976,73.159,73.376,73.476,73.582,73.563,73.646,73.765,74.053,74.318,74.587,74.769,74.925,75.168,75.296,75.351,75.42,75.497,75.574,75.749,75.834,75.902,75.916,76.067,76.319,77.797,80.497,82.048,83.094,84.299,85.018,85.24,85.925,86.95,88.055,89.549,90.448,91.57,92.459,92.759,93.42,95.374,98.796,101.855,102.239,101.5,99.9,99.185,99.344,99.831,100.594,100.893,100.859,102.309,103.97,104.66,104.769,105.268,105.944,105.637,105.823,106.094,106.271,106.268,106.278,106.759,107.05,107.406
"16","8","    Machinery manufacturing","PK3333",78.151,78.383,78.596,78.755,78.996,79.209,79.439,79.629,79.89,80.096,80.204,80.334,80.506,80.658,80.923,81.047,81.345,81.603,81.801,81.961,82.096,82.197,82.352,82.562,82.643,82.791,82.952,83.169,83.584,84.276,84.952,85.643,86.686,87.458,88.045,88.607,89.435,90.01,90.784,91.63,92.576,93.154,93.563,94.212,95.147,96.428,98.508,99.638,100.048,99.946,99.963,100.039,99.959,100.147,100.286,100.582,101.404,102.383,103.198,103.825,104.448,104.918,105.205,105.583,105.981,106.289,106.534,106.839,107.4,107.839,108.103
"17","9","    Computer and electronic product manufacturing","PK3343",162.729,159.468,156.474,153.985,151.546,148.674,146.449,144.485,142.314,140.483,138.292,137.1,135.315,134.146,134.037,133.15,131.964,130.487,128.781,127.881,126.941,125.824,124.348,122.765,120.4,119.605,117.43,115.864,114.77,114.302,113.573,112.785,111.864,111.25,110.859,109.703,109.021,109.441,109.389,108.951,107.558,106.005,104.105,102.723,102.038,101.977,101.718,101.349,100.438,99.959,99.929,99.677,98.896,98.56,98.068,96.897,96.591,96.586,96.131,95.74,95.89,95.972,95.498,95.078,95.046,95.621,95.717,95.628,95.106,95.014,95.054
"18","10","    Electrical equipment, appliance, and component manufacturing","PK3353",81.183,81.469,81.346,81.167,81.065,81.147,81.2,81.044,80.797,80.706,80.973,81.099,81.295,81.38,81.491,81.428,81.424,81.411,81.252,81.13,81.133,80.959,80.915,80.753,80.553,80.447,80.409,80.552,81.164,82.623,83.077,83.689,85,85.577,86.006,87.436,88.815,91.504,93.355,93.512,93.423,95.007,96.083,96.799,98.022,99.372,100.603,99.785,99.077,99.651,100.214,101.093,101.798,102.36,102.38,103.51,104.697,105.708,106.333,106.18,106.988,107.323,107.246,107.456,107.628,107.3,107.294,107.568,107.599,107.452,107.97
"19","11","    Transportation equipment manufacturing","PK3363",90.23,89.99,89.728,89.25,89.362,89.338,89.415,89.615,89.567,89.66,89.608,89.99,90.272,90.545,90.736,90.619,90.627,90.776,91.28,90.376,90.613,90.57,90.237,90.327,90.804,90.486,90.987,91.535,91.681,92.274,92.592,93.431,93.632,93.509,94.005,93.323,93.879,94.402,94.058,94.567,95.548,95.256,95.1,96.789,97.15,97.614,97.916,100.496,100.188,99.926,99.45,100.412,100.669,100.681,100.351,101.297,101.825,102.37,102.549,103.358,103.547,103.679,103.971,105.051,105.003,104.907,104.601,106.075,106.399,105.721,105.489
"20","12","      Motor vehicle and parts manufacturing","PK3MV3",97.576,97.247,96.8,96.124,96.214,95.953,96.146,96.232,96.151,96.315,96.141,96.49,96.515,96.677,96.752,96.395,96.178,96.243,96.787,95.319,95.549,95.481,94.791,94.784,95.227,94.582,95.052,95.524,95.499,96.09,96.086,96.889,96.674,96.271,96.73,95.432,95.672,96.111,95.398,95.795,96.87,96.17,95.486,97.783,97.51,97.326,96.901,100.752,100.009,100.076,99.174,100.691,100.681,100.199,99.482,100.467,100.685,100.906,100.898,102.619,102.75,102.729,102.936,104.413,104.13,103.604,103.056,105.138,105.337,104.244,103.689
"21","13","      Other transportation equipment manufacturing","PK3OT3",73.707,73.653,73.77,73.709,73.859,74.303,74.159,74.576,74.609,74.553,74.755,75.193,76.045,76.552,76.984,77.39,77.875,78.202,78.632,78.863,79.128,79.152,79.689,80.006,80.547,81.037,81.617,82.373,82.978,83.582,84.711,85.64,86.892,87.447,88.033,88.828,90.148,90.893,91.447,92.213,92.994,93.541,94.449,94.976,96.47,98.013,99.451,100.115,100.406,99.766,99.814,100.005,100.634,101.402,101.724,102.581,103.656,104.781,105.291,104.451,104.756,105.166,105.61,105.977,106.338,107.05,107.2,107.502,108.062,108.18,108.57
"22","14","    Furniture and related product manufacturing","PK3373",78.065,78.276,78.508,78.743,79.034,79.238,79.34,79.598,79.856,80.087,80.518,80.801,81.092,81.476,81.757,82.032,82.306,82.601,82.797,82.899,82.975,83.101,83.543,83.804,83.936,84.149,84.174,84.24,84.547,85.091,85.854,86.842,87.76,88.505,89.131,89.879,90.724,91.18,91.627,92.084,92.678,93.009,93.124,93.573,94.369,95.9,98.187,99.489,100.113,99.981,99.916,99.984,99.7,99.999,100.44,100.385,100.983,101.686,102.636,103.349,104.286,104.685,104.989,105.358,105.524,106.091,106.341,106.573,106.976,107.469,108.554
"23","15","    Miscellaneous durable goods manufacturing","PK3393",81.789,82.01,82.171,82.242,82.315,82.363,82.616,82.874,82.923,83.112,83.063,83.314,84.086,84.026,84.685,84.966,85.502,85.787,86.123,86.311,86.419,86.655,86.886,87.2,87.708,88.043,88.311,88.396,88.607,89.009,89.657,89.942,90.629,91.084,91.534,91.526,92.048,92.623,93.048,93.561,94.948,95.348,95.476,96.099,96.99,97.824,99.001,99.255,100.012,100.105,99.751,100.133,100.227,101.057,102.007,103.437,104.652,106.019,106.545,106.351,106.9,107.019,107.125,107.084,107.501,107.966,107.954,108.006,108.235,108.451,108.735
"24","16","  Nondurable goods manufacturing industries","PK30N3",68.143,67.306,67.059,67.328,66.599,66.319,65.951,65.736,65.726,66.695,67.993,69.327,71.047,71.711,72.455,73.333,73.535,73.786,72.707,70.819,70.299,71.36,72.354,73.383,76.151,74.687,75.391,76.525,78.11,79.88,80.982,83.734,85.169,86.132,89.122,92.526,92.447,94.144,94.364,93.39,93.511,98.879,99.796,102.556,106.656,114.983,119.897,103.264,95.918,99.03,101.636,103.363,106.541,109.031,109.186,112.518,118.275,125.606,125.684,124.082,126.171,126.779,126.474,125.887,126.589,126.278,126.719,124.961,126.505,128.554,128.135
"25","17","    Food manufacturing","PK3113",76.779,77.362,76.642,76.182,75.15,75.21,75.605,75.108,74.71,74.046,74.509,74.813,74.809,75.865,75.394,75.782,76.978,78.331,79.005,78.031,77.497,76.853,77.812,77.578,79.303,80.145,81.497,84.39,84.126,88.157,86.037,85.651,86.668,87.24,86.867,87.557,86.801,86.168,87.628,88.67,91.533,93.858,95.133,96.855,100.307,102.885,106.901,103.177,99.62,100.026,99.663,100.697,102.271,103.091,104.195,107.298,110.469,113.719,116.104,116.563,116.808,116.668,118.766,120.733,119.982,119.6,120.108,120.015,121.438,124.776,125.694
"26","18","    Beverage and tobacco product manufacturing","PK3123",60.4,61.232,61.501,62.1,62.621,64.062,64.937,67.665,72.232,72.454,73.772,75.737,75.921,76.481,77.377,77.899,80.459,81.808,82.512,83.182,82.96,84.39,84.582,84.141,82.671,82.557,82.642,83.262,84.037,84.113,84.103,84.533,86.687,87.192,87.744,87.943,88.592,89.094,88.623,88.942,90.216,91.08,91.671,92.639,93.649,94.832,96.068,97.087,99.18,99.751,100.024,101.067,101.643,102.586,102.696,104.05,104.917,104.867,106.505,107.717,108.36,109.019,109.898,110.847,111.549,111.206,111.338,112.347,113.115,113.809,114.09
"27","19","    Textile mills","PK3133",93.412,93.688,94.034,94.039,93.985,93.844,93.461,92.486,91.429,90.566,89.983,90.066,90.176,90.167,90.479,90.456,90.424,90.115,89.326,88.655,87.787,87.889,88.03,87.818,87.61,87.811,87.748,87.842,88.001,88.833,89.255,89.571,90.721,91.507,92.201,93.434,94.744,95.166,95.474,95.824,95.843,95.875,97.08,97.611,98.626,99.41,101.417,101.302,99.866,99.92,99.822,100.364,101.279,102.892,103.824,106.088,110.886,115.207,114.897,113.812,112.64,112.075,111.636,111.785,112.302,111.976,112.129,112.746,113.174,113.272,113.249
"28","20","    Textile product mills","PK3143",83.936,83.517,84.01,84.46,84.543,84.557,84.383,84.312,83.925,84.058,84.098,84.269,84.345,85.05,85.131,85.405,85.921,86.02,85.974,86.034,85.973,85.946,86.341,86.034,85.926,86.81,87.068,87.377,86.536,87.219,88.301,89.449,89.936,90.866,91.247,92.249,93.403,92.948,93.768,94.35,94.567,94.734,95.232,95.527,95.799,96.32,98.16,98.99,98.945,100.092,100.259,100.755,100.752,101.321,101.831,101.991,103.438,105.506,107.262,107.533,107.796,107.975,108.799,108.065,108.211,108.866,109.796,109.587,114.277,114.486,114.202
"29","21","    Apparel manufacturing","PK3153",95.603,95.752,96.057,96.153,96.356,96.399,96.599,96.791,96.831,96.854,96.783,96.997,97.007,97.127,97.339,97.384,97.373,97.221,97.205,97.122,96.765,96.45,96.491,96.703,96.422,96.329,96.242,96.422,96.29,96.393,96.365,97.006,96.655,96.34,96.489,96.29,96.525,96.609,96.692,97.084,97.661,97.707,97.735,97.956,98.229,98.618,99.044,99.742,100.069,99.921,99.868,100.132,100.002,100.202,100.244,100.108,100.807,101.901,102.766,103.011,103.547,103.721,103.852,104.558,104.983,105.093,105.816,106.023,106.148,106.083,106.344
"30","22","    Leather and allied product manufacturing","PK3163",88.435,88.11,87.62,88.461,88.057,87.666,87.775,87.424,86.908,86.973,87.338,87.694,88.131,88.07,88.493,89.561,90.757,92.611,92.129,90.88,90.668,91.088,92.382,92.697,93.013,93.187,93.378,94.115,94.461,94.256,94.337,94.353,94.559,94.674,94.801,94.869,95.174,95.972,96.202,96.629,97.579,97.99,98.161,98.845,99.875,100.149,101.029,101.06,100.858,100.03,99.825,99.302,99.512,100.881,101.653,103.034,104.6,106.186,107.751,106.855,107.114,108.864,109.185,110.287,112.856,115.012,115.477,115.73,118,119.788,119.852
"31","23","    Paper manufacturing","PK3223",75.139,74.174,75.072,77.006,78.094,77.585,76.984,75.663,75.029,76.116,77.651,79.246,80.374,83.053,83.557,83.662,83.529,83.312,82.469,81.651,80.946,80.471,80.892,81.651,81.555,81.631,81.457,81.197,80.772,82.321,84.776,86.056,86.892,87.548,87.181,87.644,89.664,91.599,93.002,93.484,93.772,93.926,94.329,95.989,97.462,98.756,101.863,103.918,102.735,100.293,98.527,98.493,99.887,103.328,105.425,106.223,106.642,107.462,108.035,107.74,108.181,108.132,107.745,109.054,109.67,110.388,111.825,113.045,112.732,113.072,112.808
"32","24","    Printing and related support activities","PK3233",84.286,84.438,84.835,85.838,86.203,86.527,86.685,86.946,86.774,86.993,87.204,87.621,87.994,89.017,89.776,90.26,90.595,90.918,90.707,90.559,90.545,90.53,90.554,90.553,90.822,90.993,90.988,91.097,91.316,91.874,92.449,93.024,93.453,93.68,94.359,94.81,95.603,96.106,96.538,97.091,97.102,97.505,98.009,98.514,99.321,100.094,101.069,101.325,100.828,100.348,99.233,99.537,99.389,99.697,100.128,100.673,101.308,101.816,102.213,102.46,102.42,102.581,102.597,102.869,103.084,103.131,103.357,103.72,103.774,104.174,104.307
"33","25","    Petroleum and coal product manufacturing","PK3243",43.816,38.46,37.191,37.712,33.782,31.066,28.804,28.364,28.205,33.403,37.674,41.513,49.826,49.678,52.311,55.746,53.037,52.268,47.631,40.076,38.974,44.339,46.78,51.667,63.284,51.249,54.199,56.175,63.326,64.797,69.064,79.081,80.824,82.939,97.246,107.979,104.89,113.601,111.223,103.846,100.029,123.165,124.023,132.233,142.599,174.913,183.768,104.154,79.17,96.218,109.877,115.239,124.932,132.275,130.082,140.1,158.208,184.968,178.886,170.158,177.517,178.741,175.845,170.116,171.303,168.764,170.497,162.612,165.121,168.692,164.998
"34","26","    Chemical manufacturing","PK3253",66.847,66.843,66.952,67.097,67.358,67.946,67.843,67.59,67.294,67.499,68.256,69.296,69.55,70.077,70.86,71.211,72.133,72.062,70.808,70.298,70.129,70.46,71.289,71.834,73.052,74.22,73.762,74.002,75.043,76.277,78.092,80.427,82.234,83.093,83.555,86.503,87.599,87.545,88.166,88.43,88.933,89.975,91.005,92.807,95.855,99.291,105.031,103.794,100.487,99.233,99.727,100.531,102.416,103.652,103.936,105.141,108.577,111.772,113.141,113.063,114.542,115.525,114.577,114.446,116.034,116.768,116.05,115.212,117.202,118.468,118.929
"35","27","    Plastics and rubber product manufacturing","PK3263",77.283,77.412,77.346,77.257,77.251,77.124,76.799,76.58,76.498,76.883,77.362,77.837,78.157,78.446,79.075,79.435,79.683,79.937,79.621,79.297,78.935,79.357,79.723,79.774,80.627,81.72,81.412,81.288,81.732,82.409,83.328,85.09,86.997,87.945,88.46,91.317,92.841,92.792,93.352,93.623,93.155,93.222,94.053,94.927,96.701,98.299,101.772,102.493,100.311,99.769,99.596,100.313,101.211,102.976,103.449,104.348,106.766,109.484,110.646,110.677,111.201,112.124,111.77,111.782,113.009,113.924,114.218,114.377,114.738,114.827,114.69
"36","28","Merchant wholesale industries","PK42W3",88.457,87.311,86.532,86.248,84.795,83.637,82.421,81.795,81.388,81.927,82.613,83.362,84.678,84.806,84.765,85.338,84.646,84.19,83.287,81.542,81.477,81.973,82.784,83.427,85.136,83.698,84.18,85.536,87.123,88.254,89.034,90.804,91.392,91.703,93.304,94.871,95.084,96.638,96.92,96.723,97.897,99.4,100.165,104.018,107.348,111.194,113.27,102.257,97.546,98.554,100.224,103.655,106.557,105.349,104.931,110.163,115.312,116.549,116.312,117.655,118.942,116.756,117.325,118.497,118.559,116.998,117.514,117.011,117.711,118.441,117.716
"37","29","  Durable goods merchant wholesale industries","PK42WD3",111.159,110.292,109.277,108.263,106.893,105.35,103.803,102.574,101.636,101.016,100.806,100.766,100.647,100.222,99.623,99.058,97.589,97.107,96.415,95.365,94.986,94.89,94.598,94.438,94.199,93.896,93.952,94.496,95.62,96.482,97.462,98.181,98.223,97.647,97.411,97.665,98.402,99.304,99.293,99.407,99.904,100.176,100.133,100.419,101.38,103.913,105.153,101.288,99.66,99.126,100.115,101.05,102.231,102.64,102.069,103.282,104.421,104.892,105.427,105.591,105.774,105.395,104.959,105.148,105.131,104.634,104.523,105.274,105.614,105.556,105.732
"38","30","    Motor vehicles, parts, and supplies wholesalers","PK42113",100.309,99.809,98.982,97.997,98.168,97.965,98.273,98.669,98.515,98.785,98.83,99.313,99.184,99.531,99.557,99.622,99.401,99.168,99.717,98.204,98.205,97.746,96.798,96.845,97.363,96.343,96.134,96.398,96.176,96.448,96.34,97.66,97.645,97.75,98.715,96.715,97.47,98.048,95.468,95.871,96.109,96.147,96.601,96.727,97.163,97.763,98.68,99.366,99.015,99.894,100.508,100.434,101.466,101.58,102.087,100.872,100.607,101.806,102.948,102.728,103.217,103.904,104.744,103.674,103.398,102.852,102.453,104.143,104.534,103.656,103.243
"39","31","    Furniture and home furnishings wholesalers","PK42123",80.837,80.769,81.082,81.27,81.427,81.519,81.345,81.528,81.433,81.614,81.758,81.97,82.263,82.622,82.897,83.183,83.33,83.433,83.282,83.409,83.542,83.502,83.939,84.098,84.143,84.588,84.758,84.926,84.706,85.529,86.489,87.587,88.317,89.196,89.635,90.438,91.53,91.578,92.32,92.801,93.591,93.982,94.23,94.729,95.293,96.337,97.911,98.995,99.499,100.023,100.12,100.394,99.924,100.147,100.576,100.715,101.925,103.508,104.486,105.367,105.961,106.704,106.952,106.758,106.767,107.24,107.873,108.062,110.114,110.401,110.639
"40","32","    Lumber and other construction materials wholesalers","PK42133",95.2,96.282,95.601,94.764,93.161,91.486,91.063,91.092,92.759,94.63,97.192,95.792,95.888,93.838,91.799,92.318,91.087,93.641,93.204,91.818,92.28,92.128,92.059,92.576,92.184,91.987,94.552,96.862,99.164,104.364,106.915,104.477,105.314,104.47,103.857,105.918,107.563,106.344,103.772,102.504,102.624,101.603,102.036,101.758,99.786,101.139,103.453,103.601,100.225,98.507,99.904,101.481,104.206,107.078,104.307,105.077,106.067,105.514,106.352,106.638,106.142,108.174,109.378,111.245,115.743,116.684,116.216,119.746,120.859,121.247,122.913
"41","33","    Professional and commercial equipment wholesalers","PK42143",298.544,287.299,276.03,266.62,253.375,240.558,229.119,218.761,209.535,202.034,196.215,191.818,188.068,184.373,181.793,178.545,168,164.018,159.174,154.012,151.022,148.897,145.974,143.298,140.25,138.554,137.006,135.939,135.176,133.929,131.919,129.999,127.798,125.225,122.759,120.322,118.251,116.046,114.102,112.813,111.12,110.065,108.325,107.162,105.642,104.817,103.98,102.955,101.816,100.503,99.443,98.43,97.879,97.102,96.936,96.962,96.104,95.039,94.354,94.114,94.296,93.727,93.36,92.545,92.085,91.762,91.526,91.175,90.98,91.097,90.843
"42","34","      Computers and software wholesalers","PK42433",784.027,732.742,685.841,646.123,592.877,545.203,504.173,466.975,435.684,410.063,390.74,376.498,364.517,352.479,343.36,333.062,301.693,289.076,273.772,257.977,248.866,243.082,234.135,225.934,216.168,210.897,206.151,201.657,198.23,194.447,188.571,182.957,175.58,168.434,161.366,154.717,149.047,142.981,137.633,134.033,130.503,126.245,121.678,118.603,114.36,111.779,109.409,107.095,104.168,100.937,98.899,96.868,95.926,94.521,93.785,93.644,91.577,89.592,87.922,86.983,86.927,85.821,85.254,83.566,82.595,81.918,81.508,80.889,80.357,80.368,79.851
"43","35","      Other professional and commercial equipment wholesalers","PK424X3",88.019,88.269,88.063,88.202,88.242,88.11,88.062,88.158,88.159,88.501,88.716,88.822,88.803,88.962,89.381,89.508,89.259,89.498,89.767,89.947,90.071,89.848,90.071,90.298,90.674,90.808,90.921,91.623,92.31,92.494,92.655,92.813,93.613,93.852,94.299,94.56,94.817,95.153,95.516,95.847,95.468,96.652,96.981,97.278,97.901,98.505,99.006,99.17,99.687,100.148,100.05,100.116,99.994,99.959,100.503,100.719,101.446,101.642,102.335,103.072,103.584,103.783,103.708,104.139,104.419,104.62,104.652,104.707,105.012,105.283,105.426
"44","36","    Metal and mineral (except petroleum) wholesalers","PK42153",65.034,65.192,65.349,65.072,64.249,63.562,61.968,59.604,58.283,58.223,58.831,60.11,61.693,61.82,61.566,60.167,59.512,58.635,58.182,57.259,57.382,59.162,60.897,61.773,62.322,62.185,62.656,64.932,72.533,78.617,85.093,89.635,90.36,87.258,84.965,88.951,92.694,98.786,103.262,103.274,105.166,110.405,108.78,108.261,116.413,137.116,144.011,113.797,99.911,93.618,100.606,106.238,114.074,121.969,118.517,122.038,132.522,136.93,137.113,133.595,134.361,130.468,124.587,124.051,123.495,120.459,119.628,121.506,123.751,123.075,123.5
"45","37","    Electrical goods wholesalers","PK42163",112.827,112.31,111.894,110.928,110.022,109.47,108.664,108.7,108.659,108.054,107.41,106.997,106.529,106.433,106.156,105.702,105.2,104.564,104.017,103.794,103.796,103.328,102.844,102.412,101.925,101.75,101.397,100.955,100.009,99.855,99.41,99.345,99.636,99.511,99.231,98.845,99.053,100.254,101.013,101.183,100.535,99.733,99.494,99.391,99.605,99.865,100.132,100.216,100.028,100.142,99.92,99.917,99.641,99.396,99.23,98.982,99.14,99.422,99.38,99.363,99.981,99.974,99.814,99.602,99.742,99.768,99.78,99.781,99.644,99.472,99.518
