"","Table 7#17# Relation of Monetary Interest Paid and Received in t","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"23","3","  Interest paid by organizations not filing corporation income tax returns","B2644C1","1,759.0","2,434.0","2,367.0","2,445.0","3,279.0","4,653.0","5,641.0","5,952.0","6,444.0","8,112.0","11,169.0","15,208.0","21,190.0","24,557.0","21,791.0","23,763.0","24,989.0","25,336.0","24,857.0","27,053.0","31,262.0","29,393.0","27,067.0","21,582.0","18,306.0","20,792.0","29,002.0","29,948.0","33,273.0","37,308.0","42,409.0","56,517.0","49,403.0","33,641.0","28,198.0","30,026.0","47,540.0","69,687.0","81,489.0","66,631.0","33,263.0","23,944.0",".....","....."
"24","4","    Federally sponsored credit agencies","B2645C1","1,080.0","1,659.0","1,452.0","1,412.0","1,990.0","3,093.0","3,708.0","3,695.0","3,703.0","4,743.0","7,055.0","10,294.0","15,040.0","18,731.0","16,400.0","17,465.0","16,294.0","15,249.0","14,598.0","15,956.0","18,991.0","16,616.0","14,304.0","10,959.0","9,014.0","11,391.0","17,368.0","17,515.0","19,895.0","23,015.0","27,779.0","40,227.0","32,449.0","20,378.0","17,389.0","20,113.0","35,051.0","52,258.0","59,855.0","46,475.0","17,564.0","12,247.0",".....","....."
"25","5","    Other \1\","B2646C1","679.0","775.0","915.0","1,033.0","1,289.0","1,560.0","1,933.0","2,257.0","2,741.0","3,369.0","4,114.0","4,914.0","6,150.0","5,826.0","5,391.0","6,298.0","8,695.0","10,087.0","10,259.0","11,097.0","12,271.0","12,777.0","12,763.0","10,623.0","9,293.0","9,402.0","11,634.0","12,433.0","13,377.0","14,293.0","14,630.0","16,290.0","16,954.0","13,263.0","10,809.0","9,913.0","12,489.0","17,429.0","21,634.0","20,156.0","15,699.0","11,697.0",".....","....."
"26","6","  Interest paid by regulated investment companies reported as distributions to stockholders","B2647C1","237.0","408.0","294.0","424.0","817.0","1,054.0","1,036.0","958.0","1,479.0","1,824.0","4,379.0","8,703.0","18,339.0","23,218.0","17,541.0","21,708.0","24,439.0","28,457.0","45,077.0","53,480.0","67,499.0","68,034.0","60,286.0","64,685.0","70,462.0","78,025.0","97,918.0","105,404.0","121,448.0","138,214.0","154,125.0","187,881.0","151,761.0","98,590.0","82,490.0","91,280.0","142,758.0","202,808.0","248,579.0","201,804.0","134,427.0","129,747.0",".....","....."
"27","7","  Adjustment for mutual savings banks and savings and loan associations","B2648C1","644.0","392.0","622.0","490.0","487.0","528.0","430.0","243.0","1,036.0","273.0","996.0","1,822.0","1,641.0","4,584.0","2,127.0","10,136.0","6,266.0","-1,716.0","3,178.0","11,440.0","15,747.0","13,529.0","9,460.0","2,495.0","-4.0","432.0","2,978.0","2,533.0","-876.0","-2,795.0","2,001.0","2,097.0","2,186.0","5,350.0","5,019.0","1,072.0","-789.0","-15,562.0","-11,356.0","-18,616.0","-6,471.0","-4,995.0",".....","....."
"28","8","  Other \2\","B2649C1",".....",".....",".....",".....",".....",".....",".....","39.0","80.0","82.0","104.0","128.0","-458.0","614.0","144.0","3,224.0","-3,144.0","384.0","6,507.0","10,678.0","13,499.0","13,549.0","11,030.0","9,151.0","7,976.0","7,676.0","7,597.0","7,634.0","7,522.0","7,749.0","8,020.0","8,798.0","8,366.0","5,676.0","5,326.0","5,712.0","8,552.0","11,911.0","13,389.0","11,651.0","-36,631.0","8,532.0",".....","....."
"29","9","Equals: Monetary interest paid by corporations, NIPAs","A2063C1","54,357.0","65,289.0","68,180.0","76,243.0","104,198.0","139,184.0","136,421.0","140,620.0","158,747.0","197,514.0","270,006.0","358,545.0","501,928.0","552,920.0","505,953.0","582,715.0","611,937.0","617,809.0","659,876.0","766,064.0","948,976.0","936,889.0","831,548.0","689,188.0","638,607.0","712,282.0","871,309.0","907,277.0","1,008,212.0","1,126,322.0","1,208,439.0","1,497,922.0","1,398,139.0","1,051,372.0","937,212.0","1,063,468.0","1,470,034.0","2,024,797.0","2,378,135.0","1,904,216.0","1,244,349.0","1,054,239.0","1,033,549.0","952,369.0"
"30",NA,"       Nonfarm proprietorships and partnerships"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","10","Interest paid, IRS","B2650C1","5,015.0","5,974.0","7,216.0","8,550.0","10,788.0","13,611.0","14,860.0","15,495.0","16,950.0","20,045.0","26,457.0","33,940.0","28,449.0","31,416.0","32,097.0","36,268.0","40,382.0","40,822.0","31,413.0","35,205.0","45,836.0","42,788.0","39,938.0","35,394.0","36,337.0","45,468.0","52,639.0","59,589.0","70,251.0","84,337.0","85,439.0","104,775.0","109,550.0","79,317.0","74,957.0","75,233.0","115,272.0","149,966.0","188,282.0","156,961.0","106,077.0","96,634.0","91,212.0","....."
"32",NA,"Plus:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","11","  Interest reported on rental expense schedule","B2651C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","15,138.0","18,488.0","20,695.0","28,450.0","33,687.0","39,532.0","50,536.0","60,013.0","66,899.0","67,972.0","65,103.0","60,311.0","56,871.0","54,827.0","57,238.0","57,003.0","59,338.0","64,173.0","68,682.0","78,838.0","83,297.0","83,082.0","84,039.0","87,353.0","101,502.0","112,678.0","126,371.0","129,804.0","124,378.0","123,139.0","118,861.0","....."
"34","12","  Interest passed through to partners","B2652C1",".....",".....",".....","117.0","307.0","488.0","631.0","751.0","930.0","1,227.0","1,791.0","2,587.0","3,501.0","4,675.0","5,747.0","8,395.0","9,623.0","12,762.0","4,818.0","6,164.0","7,220.0","6,588.0","6,981.0","5,805.0","8,198.0","10,070.0","10,139.0","11,936.0","16,476.0","21,525.0","20,141.0","28,814.0","30,525.0","24,793.0","28,773.0","41,539.0","71,713.0","107,738.0","150,018.0","121,419.0","68,714.0","65,208.0","66,397.0","....."
"35","13","  Interest capitalized on tax returns","B2653C1",".....",".....",".....",".....",".....",".....",".....","213.0","289.0","223.0","369.0","441.0","471.0","352.0","519.0","544.0","466.0","564.0","2,434.0","2,348.0","3,081.0","3,192.0","2,098.0","1,346.0","1,104.0","1,982.0","1,490.0","1,243.0","1,139.0","972.0","942.0","1,000.0","1,100.0","750.0","1,023.0","1,193.0","2,406.0","2,347.0","2,362.0","1,755.0","1,770.0","1,572.0","2,482.0","....."
"36","14","Less: Adjustment for misreporting on income tax returns","B2654C1","70.0","87.0","94.0","103.0","120.0","239.0","358.0","479.0","527.0","655.0","904.0","1,118.0","1,379.0","1,534.0","2,071.0","3,110.0","4,226.0","5,515.0","5,967.0","7,937.0","9,355.0","9,151.0","8,720.0","7,920.0","7,874.0","8,559.0","9,299.0","9,955.0","11,302.0","13,140.0","13,463.0","16,397.0","17,235.0","14,447.0","14,482.0","15,759.0","22,234.0","28,533.0","35,766.0","32,216.0","23,269.0","21,939.0","21,278.0","....."
"37","15","Equals: Monetary interest paid, NIPAs","B1102C1","4,945.0","5,887.0","7,122.0","8,564.0","10,975.0","13,860.0","15,133.0","15,980.0","17,642.0","20,840.0","27,713.0","35,850.0","46,180.0","53,397.0","56,987.0","70,547.0","79,932.0","88,165.0","83,234.0","95,793.0","113,681.0","111,389.0","105,400.0","94,936.0","94,636.0","103,788.0","112,207.0","119,816.0","135,902.0","157,866.0","161,741.0","197,030.0","207,237.0","173,495.0","174,310.0","189,559.0","268,659.0","344,196.0","431,266.0","377,723.0","277,670.0","264,614.0","257,674.0","259,974.0"
"38",NA,"       Corporations"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","16","Interest received, IRS","B2655C1","62,212.0","71,570.0","76,110.0","86,308.0","113,284.0","143,012.0","143,308.0","156,011.0","176,670.0","220,861.0","289,304.0","366,865.0","493,437.0","529,754.0","511,271.0","580,407.0","634,665.0","658,671.0","705,655.0","804,625.0","967,192.0","977,403.0","919,664.0","829,318.0","807,931.0","881,640.0","1,039,496.0","1,082,072.0","1,186,893.0","1,276,772.0","1,353,557.0","1,628,042.0","1,548,913.0","1,281,504.0","1,181,665.0","1,384,848.0","1,773,446.0","2,307,195.0","2,639,770.0","2,179,279.0","1,624,321.0","1,365,603.0",".....","....."
"40","17","Less: Interest received by foreign branches of commercial banks","B2656C1",".....",".....",".....",".....",".....",".....",".....","2,151.0","4,765.0","8,104.0","11,871.0","16,556.0","22,464.0","19,736.0","14,325.0","18,585.0","16,170.0","13,072.0","12,781.0","15,068.0","17,886.0","16,604.0","12,745.0","11,974.0","12,239.0","11,065.0","11,529.0","12,043.0","11,323.0","12,847.0","11,533.0","11,781.0","11,090.0","9,860.0","8,878.0","9,580.0","11,157.0","14,319.0","18,853.0","18,717.0","12,135.0","11,619.0",".....","....."
"41",NA,"Plus:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","18","  Interest received by organizations not filing corporation income tax returns","B2657C1","6,164.0","7,390.0","7,358.0","7,790.0","10,267.0","13,712.0","14,619.0","15,784.0","17,028.0","20,919.0","26,813.0","33,649.0","45,416.0","52,005.0","47,918.0","51,636.0","52,118.0","53,011.0","50,562.0","56,732.0","64,038.0","64,138.0","61,457.0","53,804.0","49,954.0","54,940.0","68,309.0","70,124.0","76,227.0","82,353.0","89,897.0","110,553.0","102,354.0","84,134.0","76,532.0","79,392.0","104,933.0","135,517.0","152,782.0","139,463.0","124,105.0","139,556.0",".....","....."
"43","19","    Federal Reserve banks","B2658C1","3,373.0","3,877.0","3,723.0","3,792.0","5,017.0","6,280.0","6,258.0","6,623.0","6,891.0","8,455.0","10,310.0","12,802.0","15,508.0","16,517.0","16,068.0","18,069.0","18,132.0","17,465.0","17,633.0","19,526.0","22,249.0","23,477.0","22,553.0","20,235.0","18,914.0","20,911.0","25,395.0","25,164.0","26,917.0","28,149.0","29,347.0","33,964.0","31,871.0","26,760.0","23,793.0","23,540.0","30,729.0","38,410.0","42,644.0","41,113.0","54,531.0","79,300.0",".....","....."
"44","20","    Federally sponsored credit agencies","B2659C1","1,260.0","1,797.0","1,617.0","1,622.0","2,396.0","3,669.0","4,315.0","4,351.0","4,450.0","5,737.0","8,371.0","11,761.0","16,800.0","20,916.0","17,850.0","19,944.0","17,870.0","16,708.0","15,990.0","17,912.0","21,603.0","18,849.0","16,414.0","12,841.0","11,197.0","13,706.0","19,815.0","20,219.0","22,749.0","26,118.0","31,323.0","44,505.0","36,965.0","25,185.0","22,255.0","25,267.0","40,263.0","57,676.0","65,711.0","53,511.0","26,858.0","19,629.0",".....","....."
"45","21","    Other \3\","B2660C1","1,531.0","1,716.0","2,018.0","2,376.0","2,854.0","3,763.0","4,046.0","4,810.0","5,687.0","6,727.0","8,132.0","9,086.0","13,108.0","14,572.0","14,000.0","13,623.0","16,116.0","18,838.0","16,939.0","19,294.0","20,186.0","21,812.0","22,490.0","20,728.0","19,842.0","20,324.0","23,099.0","24,741.0","26,562.0","28,086.0","29,227.0","32,084.0","33,518.0","32,189.0","30,484.0","30,585.0","33,941.0","39,431.0","44,427.0","44,839.0","42,716.0","40,627.0",".....","....."
"46","22","  Adjustment for mutual savings banks and savings and loan associations","B2661C1","959.0","747.0","947.0","1,196.0","1,197.0","1,258.0","1,483.0","1,194.0","2,254.0","2,516.0","3,210.0","4,020.0","3,562.0","6,076.0","5,751.0","12,754.0","10,247.0","2,481.0","10,178.0","19,787.0","24,213.0","20,184.0","14,687.0","6,377.0","3,526.0","3,679.0","5,424.0","6,188.0","4,384.0","3,306.0","11,046.0","12,438.0","12,996.0","8,177.0","12,687.0","7,788.0","6,646.0","-14,614.0","-10,658.0","-31,403.0","-22,942.0","-27,837.0",".....","....."
"47","23","  Other \4\","B2662C1","6,131.0","7,425.0","8,191.0","9,194.0","10,909.0","13,458.0","16,283.0","19,480.0","21,515.0","25,080.0","32,386.0","42,411.0","54,326.0","69,668.0","79,693.0","78,564.0","90,256.0","100,987.0","108,513.0","112,741.0","122,521.0","127,902.0","131,162.0","124,838.0","123,096.0","133,093.0","147,014.0","153,737.0","167,141.0","170,988.0","175,435.0","173,359.0","157,846.0","150,065.0","152,268.0","150,406.0","154,533.0","162,866.0","173,904.0","161,968.0","63,669.0","158,202.0",".....","....."
"48","24","Equals: Monetary interest received by corporations, NIPAs","A2070C1","75,466.0","87,132.0","92,606.0","104,488.0","135,657.0","171,440.0","175,693.0","190,318.0","212,702.0","261,272.0","339,842.0","430,389.0","574,277.0","637,767.0","630,308.0","704,776.0","771,116.0","802,078.0","862,127.0","978,817.0","1,160,078.0","1,173,023.0","1,114,225.0","1,002,363.0","972,268.0","1,062,287.0","1,248,714.0","1,300,078.0","1,423,322.0","1,520,572.0","1,618,402.0","1,912,611.0","1,811,019.0","1,514,020.0","1,414,274.0","1,612,854.0","2,028,401.0","2,576,645.0","2,936,945.0","2,430,590.0","1,777,018.0","1,623,905.0","1,633,740.0","1,556,796.0"
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","1. Consists of interest paid by nonprofit organizations serving business and by credit unions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2. Consists of construction interest capitalized on tax returns, interest reported on tax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","returns in cost of goods sold, and interest passed through to shareholders by small business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","corporations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","3. Consists of nonprofit organizations serving business, of credit unions, and of other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","tax-exempt interest received by commercial banks and nonlife insurance carriers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","4. Consists of interest received by credit agencies and finance companies reported as business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","receipts on tax returns, of interest passed through to shareholders by small business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","corporations, and of interest received by defined benefit pension plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Note.  Total interest received by financial proprietorships and partnerships is not separately",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","identified by the IRS.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","IRS Internal Revenue Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","NIPAs National income and product accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
