"","Table 6#15D# Net Interest by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 02, 2012   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/19/2012 3:55:38 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","      Net interest","B060RC0",470782,472741,527858,531421,494940,490077,446317,526244,634281,712810,848126,624532,550851,509847
"9","2","Domestic industries","A1850C0",551664,561242,631048,643992,598135,581436,553988,662130,812094,933318,1074787,825948,735951,688845
"10","3","  Agriculture, forestry, fishing, and hunting","N1851C0",10110,10350,11155,9808,9266,8220,7896,9303,9796,11121,11658,11030,9454,10125
"11","4","  Mining","N1852C0",4137,4507,5826,6474,5742,5663,5818,5898,5849,9227,10546,11278,13466,15972
"12","5","  Utilities","N1853C0",19292,19589,23263,26714,25935,25045,24126,22482,20386,23754,24687,23875,23834,28422
"13","6","  Construction","N1854C0",5783,5680,7340,7659,6250,6441,6120,8012,11215,13257,10583,8672,5187,3911
"14","7","  Manufacturing","N1855C0",47494,55769,63411,59829,43345,35545,33320,42590,47577,80432,94565,85242,84564,101705
"15","8","    Durable goods","N1856C0",14223,19239,24173,21282,10448,6922,3771,11711,14138,39067,49948,36773,32911,41858
"16","9","    Nondurable goods","N1857C0",33271,36530,39238,38547,32897,28623,29549,30879,33439,41365,44617,48469,51653,59847
"17","10","  Wholesale trade","N1858C0",14718,15350,17453,14995,11097,8324,4882,6887,11430,14271,15840,12096,11976,14039
"18","11","  Retail trade","N1859C0",14686,13575,19602,17161,12914,12857,11319,16236,21607,24369,22193,18027,17526,20160
"19","12","  Transportation and warehousing","N1860C0",6605,8489,9168,9120,8929,8516,7305,9207,9930,10954,12427,13159,14506,17367
"20","13","  Information","N1861C0",20687,23929,27430,35641,32753,27789,25818,26600,23247,32320,40427,35392,31674,40028
"21","14","  Finance, insurance, real estate, rental, and leasing","N1862C0",373250,359005,408846,433755,406792,404279,418687,503371,617710,687772,803327,574166,456699,381597
"22","15","    Finance and insurance","N1863C0",125,-36847,-22394,-31127,-67451,-75528,-90965,-74138,-48071,-52337,51359,-98681,-152026,-176511
"23","16","    Real estate and rental and leasing","N1864C0",373125,395852,431240,464882,474243,479807,509652,577509,665781,740109,751968,672847,608725,558108
"24","17","  Professional and business services","N1865C0",14120,22150,11801,-3137,12175,16880,-12516,-12613,4494,-10384,-10020,-466,34005,17410
"25","18","    Professional, scientific, and technical services","N1866C0",723,1560,1092,955,2016,2350,2195,2534,2188,4657,6528,7400,7531,7544
"26","19","    Management of companies and enterprises","N1867C0",11482,17823,6316,-8583,6551,11238,-17625,-18685,-1593,-20545,-22043,-13810,20405,3611
"27","20","    Administrative and waste management services","N1868C0",1915,2767,4393,4491,3608,3292,2914,3538,3899,5504,5495,5944,6069,6255
"28","21","  Educational services, health care, and social assistance","N1869C0",5556,6030,6598,6415,5469,5331,5535,6051,7871,10881,11499,10444,9291,10849
"29","22","  Arts, entertainment, recreation, accommodation, and food services","N1870C0",13388,14627,16755,16945,15321,14414,13596,15889,18335,21965,23680,20715,21775,24455
"30","23","  Other services, except government","N1871C0",1838,2192,2400,2611,2143,2127,2085,2223,2656,3379,3375,2318,1994,2805
"31","24","Rest of the world","A1627C0",-80882,-88501,-103190,-112571,-103195,-91359,-107671,-135886,-177813,-220508,-226662,-201416,-185100,-178998
"32","25","  Receipts from the rest of the world","A2067C0",137003,139913,175185,137566,106292,101337,117572,186092,283721,357388,269036,143248,126454,132664
"33","26","  Less: Payments to the rest of the world","B1869C0",217885,228414,278375,250137,209487,192696,225243,321978,461534,577896,495697,344664,311554,311662
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Note.  Estimates in this table are based on the 2002 North American Industry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
