"","Table 2#2B# Wage and Salary Disbursements by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 20, 2012 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/20/2012 10:00:26 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","    Wage and salary disbursements","A576RC1",4181.6,4460,4827.7,4952.2,4997.3,5139.6,5425.7,5701,6068.9,6421.7,6550.9,6270.3,6404.6,6661.3
"9","2","Private industries","A132RC1",3480.4,3726.3,4048,4130.3,4124.2,4226.3,4472.9,4709.5,5033.7,5332.7,5406.8,5095.1,5213.3,5466
"10","3","  Goods-producing industries","N231RC1",945.8,992.2,1056.9,1043.8,1011.5,1011.1,1054.4,1103.4,1176,1213.4,1207.7,1063.3,1057.5,1108.6
"11","4","    Manufacturing","N552RC1",680.6,705.4,744.6,712.8,679.6,673.7,693.1,710.4,738.7,752.2,740.9,661.5,674.1,706.6
"12","5","  Services-producing industries","N233RC1",2534.6,2734.2,2991.1,3086.5,3112.7,3215.2,3418.5,3606.1,3857.8,4119.3,4199,4031.8,4155.8,4357.4
"13","6","    Trade, transportation, and utilities","N234RC1",724.4,772.3,830.7,846.1,846.5,863.3,905.3,944.6,996,1045.2,1049.7,989.1,1005.5,1050.1
"14","7","    Other services-producing industries \1\","N235RC1",1810.2,1961.9,2160.4,2240.4,2266.1,2351.9,2513.1,2661.5,2861.8,3074.1,3149.3,3042.7,3150.3,3307.3
"15","8","Government","B202RC1",701.2,733.7,779.7,821.9,873.1,913.3,952.8,991.5,1035.2,1089,1144.1,1175.2,1191.3,1195.3
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","1. Other services-producing industries consists of information; finance and insurance; real estate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","and rental and leasing; professional, scientific, and technical services; management of companies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","and enterprises, administrative and support and waste management and remediation services;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","educational services; health care and social assistance; arts, entertainment, and recreation;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","accommodation and food services; and other services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Note. Estimates in this table are based on the 2002 North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
