"","Table 1#3#4# Price Indexes for Gross Value Added by Sector      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 28, 2011  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/27/2011 1:29:31 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8","1","    Gross domestic product","B191RG3",23.11,24.328,25.545,26.647,28.124,30.669,33.577,35.505,37.764,40.413,43.773,47.776,52.281,55.467,57.655,59.823,61.633,63.003,64.763,66.99,69.52,72.213,74.762,76.537,78.222,79.867,81.533,83.083,84.554,85.507,86.766,88.648,90.654,92.113,94.099,96.769,100,103.263,106.301,108.598,109.618,110.664
"9","2","Business \1\","B195RG3",26.229,27.363,28.523,29.539,31.071,34.081,37.406,39.385,41.748,44.693,48.492,52.873,57.784,61.062,63.146,64.98,66.521,67.606,69.146,71.344,73.957,76.603,79.083,80.601,82.195,83.607,85.108,86.449,87.827,88.42,89.129,90.763,92.356,93.084,94.412,96.85,100,102.934,105.66,107.536,108.123,109.207
"10","3","  Nonfarm \2\","B358RG3",25.653,26.788,27.944,28.832,29.848,32.915,36.456,38.468,40.896,43.63,47.337,51.912,56.925,60.429,62.361,64.146,65.986,67.111,68.64,70.734,73.298,75.999,78.64,80.202,81.793,83.264,84.744,85.914,87.515,88.181,89.044,90.784,92.299,93.116,94.341,96.597,100,103.027,105.468,107.351,108.289,109.196
"11","4","  Farm","B359RG3",82.883,83.674,85.148,99.493,158.66,153.573,132.952,131.445,126.2,152.318,165.462,145.878,139.618,123.75,140.919,148.219,119.877,117.225,119.937,133.172,141.088,137.915,124.002,121.363,123.382,118.962,122.609,142.888,121.29,114.167,97.842,88.126,98.049,89.075,100.941,120.773,100,93.865,127.167,128.136,95.781,112.802
"12","5","Households and institutions","B193RG3",17.033,18.153,19.223,20.073,21.174,22.354,23.868,25.542,27.532,29.543,31.755,34.685,38.129,41.001,43.466,45.995,48.751,51.224,53.899,56.515,58.902,61.804,64.121,66.374,67.948,70.177,72.483,74.76,76.523,78.9,81.699,84.082,87.628,91.583,95.02,97.691,100,104.093,107.246,110.916,113.343,113.261
"13","6","  Households","B701RG3",19.572,20.443,21.43,22.195,23.134,24.059,25.624,27.334,29.563,31.316,33.57,36.355,40.044,43.504,46.146,48.493,51.353,54.281,56.836,59.553,62.216,65.386,67.077,68.805,70.96,73.003,75.568,78.116,80.123,82.964,84.883,87.005,90.731,94.445,96.9,98.101,100,102.986,105.89,109.325,111.191,110.645
"14","7","  Nonprofit institutions serving households \3\","B702RG3",13.682,15.138,16.328,17.298,18.626,20.161,21.615,23.249,24.926,27.304,29.476,32.642,35.77,37.832,40.069,42.863,45.494,47.36,50.203,52.694,54.734,57.3,60.379,63.267,64.135,66.588,68.568,70.507,71.965,73.768,77.654,80.371,83.687,87.951,92.616,97.151,100,105.61,109.107,113.109,116.335,116.91
"15","8","General government \4\","B765RG3",13.725,15.1,16.422,17.824,19.193,20.668,22.676,24.383,26.228,27.956,30.115,33.061,36.35,39.126,41.329,44.467,46.642,48.378,50.343,52.308,54.462,57.086,60.013,62.486,64.622,66.841,68.724,70.67,72.354,73.995,77.023,79.947,82.961,86.443,91.111,95.271,100,104.635,109.716,113.415,115.761,117.774
"16","9","  Federal","B766RG3",12.846,14.339,15.894,17.644,18.943,20.454,22.569,24.207,26.255,27.878,29.919,32.862,36.352,39.128,40.618,44.55,46.236,47.104,48.218,50.069,51.923,53.548,56.525,59.239,61.08,63.129,65.246,68.029,69.856,71.205,73.794,76.764,78.848,83.726,88.735,94.536,100,105.063,110.024,112.645,113.596,115.162
"17","10","  State and local","B767RG3",14.29,15.534,16.643,17.762,19.167,20.601,22.521,24.254,25.954,27.731,29.941,32.859,35.994,38.744,41.372,43.971,46.44,48.716,51.208,53.227,55.548,58.766,61.636,63.947,66.238,68.539,70.293,71.818,73.431,75.205,78.428,81.331,84.748,87.633,92.154,95.594,100,104.448,109.581,113.75,116.733,118.956
"18",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Gross housing value added","A2009G3",19.543,20.362,21.325,22.072,22.986,23.822,25.357,26.981,29.19,30.91,33.068,36.009,39.674,43.178,45.877,48.247,51.316,54.412,56.96,59.634,62.254,65.433,67.332,69.346,71.343,73.331,75.656,78.015,80.012,82.724,84.718,86.918,90.64,94.33,96.794,98.047,100,102.932,106.024,109.907,111.885,111.378
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
