"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 28, 2011  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/27/2011 1:44:08 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,"2010"
"8","1","      National income without capital consumption adjustment","A422RC1",7767.1,8231,8817.9,9042.9,9206.1,9650.3,10373.9,11353.9,12126.9,12500,12444.2,12173,"....."
"9","2","Domestic industries","A423RC1",7749.8,8203.2,8780.2,8991,9157,9581.6,10282.7,11256.8,12054.4,12376.7,12269.7,12026.8,"....."
"10","3","  Private industries","A736RC1",6829.8,7236.6,7762.4,7920.3,8015,8364.3,9006.9,9921.4,10655.9,10908.1,10726.9,10429.5,"....."
"11","4","    Agriculture, forestry, fishing, and hunting","N5004C1",74.6,69.4,71.4,72.6,67.6,83.3,104.1,92.8,91.9,110.5,119,99.6,"....."
"12","5","    Mining","N5005C1",72.4,68.4,92.5,99.3,81.2,103.3,125,163.1,198.8,204.5,253.6,196.1,"....."
"13","6","    Utilities","N5006C1",128.9,135.6,136.2,140,134.4,136.8,149.1,161.3,196.5,198.4,181.4,184.3,"....."
"14","7","    Construction","N5007C1",385.3,433.5,478,509.3,514.2,534.8,583.3,657,701.8,685.8,626.1,518.6,"....."
"15","8","    Manufacturing","N5008C1",1097.4,1137.1,1194.6,1072.1,1038.1,1074.4,1171.6,1304.8,1400.9,1409.1,1330.6,1215.2,"....."
"16","9","      Durable goods","N5009C1",669.2,689,723.8,606,595.8,613.9,659.6,744,791.3,800.9,755.3,689.8,"....."
"17","10","      Nondurable goods","N5010C1",428.3,448.1,470.9,466.1,442.3,460.6,512,560.8,609.5,608.2,575.3,525.4,"....."
"18","11","    Wholesale trade","N5011C1",513.5,532.8,570.8,563.6,561.9,582.3,634.3,688.4,741.2,769.1,756.6,706.1,"....."
"19","12","    Retail trade","N5012C1",613.6,641.7,674.1,699.6,723.2,759.8,789.2,859.6,903.8,902.1,834,812.4,"....."
"20","13","    Transportation and warehousing","N5013C1",249.7,257.6,272.7,266.5,262.6,275.9,301.3,332.9,360.7,361,364.4,337.9,"....."
"21","14","    Information","N5014C1",270,294.6,296,296.9,299.7,309.8,357.6,408.1,424.5,452.6,442.3,423.2,"....."
"22","15","    Finance, insurance, real estate, rental, and leasing","N5015C1",1357.9,1422.9,1539.3,1655.3,1643.6,1682.1,1785.2,1998.5,2140.8,2160.3,2061.8,2200.7,"....."
"23","16","    Professional and business services \1\","N5016C1",924.4,1014.6,1120.7,1171.3,1212.5,1272.8,1349.2,1490.3,1623.2,1684.9,1737.1,1684.8,"....."
"24","17","    Educational services, health care, and social assistance","N5017C1",607.5,647.9,692.2,753,817.4,873.5,937.7,993.5,1059.4,1114.8,1184.9,1244.8,"....."
"25","18","    Arts, entertainment, recreation, accommodation, and food services","N5018C1",288.8,317.6,339.4,349.2,362.8,377,406.1,434.8,460.6,490.3,475.3,453,"....."
"26","19","    Other services, except government","N5019C1",245.7,262.9,284.5,271.4,295.7,298.5,313.1,336.3,351.7,364.8,359.8,352.8,"....."
"27","20","  Government","B436RC1",920,966.7,1017.8,1070.8,1142,1217.3,1275.8,1335.3,1398.5,1468.6,1542.8,1597.2,"....."
"28","21","Rest of the world","A192RC1",17.3,27.8,37.7,51.9,49.1,68.7,91.2,97.1,72.4,123.3,174.5,146.3,"....."
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Consists of professional, scientific, and technical services; management of companies and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","enterprises; and administrative and waste management services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
