"","Table 3#9#4# Price Indexes for Government Consumption Expenditur","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177"
"21","13","    Gross investment","B788RG3",31.676,32.613,32.611,33.124,33.958,34.627,35.131,35.724,36.291,37.093,37.334,37.622,49.017,48.571,49.438,50.574,50.248,51.206,52.032,51.511,52.347,52.438,53.817,54.21,55.14,56.031,56.725,57.904,59.2,60.171,61.439,62.26,64.262,65.255,64.825,66.292,68.403,69.353,70.414,70.645,71.474,72.811,74.022,74.827,75.426,77.602,78.087,79.873,81.728,83.298,84.967,86.251,87.801,89.737,90.735,90.759,91.393,91.655,92.784,92.886,93.276,93.658,93.789,94.669,93.527,91.949,92.052,90.74,88.927,88.652,87.814,86.347,86.363,85.162,84.478,84.005,84.526,84.545,84.568,85.362,85.761,86.152,86.89,85.962,86.953,87.398,88.339,89.043,89.48,89.602,89.936,90.127,89.953,90.458,90.532,91.435,92.233,92.672,93.383,93.942,94.113,96.213,96.142,96.897,97.031,98.026,98.174,99.583,102.312,97.852,97.493,97.383,97.184,97.235,96.701,96.586,96.071,96.344,96.049,96.552,97.665,97.785,97.665,97.981,98.101,97.617,97.81,97.801,96.992,97.101,96.747,95.473,95.446,95.472,95.649,96.012,96.069,96.151,96.103,96.069,96.657,97.66,98.115,98.98,99.896,99.83,99.809,100.464,100.987,101.789,102.663,102.618,102.915,103.23,103.697,104.103,104.854,105.75,106.494,106.64,105.832,105.487,105.413,105.76,105.915,106.158,106.165,107.179,107.991,108.12,108.602,108.133,108.582,109.069
"22","14","      Structures","B808RG3",12.28,12.779,12.69,12.866,13.143,13.537,13.697,14.194,14.59,14.922,14.992,15.443,15.419,15.647,16.564,17.457,18.521,19.34,19.931,20.366,20.747,21.271,22.436,23.61,24.218,23.95,24.006,24.351,24.295,24.474,25.462,26.695,27.341,28.151,27.561,27.68,27.765,28.732,29.496,29.377,31.891,33.505,35.299,35.787,35.581,36.026,37.382,38.561,38.665,38.968,39.154,39.582,40.107,40.987,41.149,41.127,40.793,40.741,41.893,42.299,44.293,43.937,43.857,45.018,45.448,45.823,45.766,45.627,45.615,45.399,45.43,46.646,47.186,47.612,48.934,48.309,48.158,48.815,50.149,52.424,52.335,53.026,54.074,55.086,54.886,55.003,55.448,55.735,55.998,56.367,58.123,57.294,57.224,57.608,58.072,59.559,60.667,61.386,61.852,62.395,62.683,63.13,64.176,65.056,65.66,66.285,66.843,67.31,67.559,67.978,68.753,68.923,69.452,70.076,70.723,71.509,71.56,71.897,72.775,73.381,73.889,75.016,75.757,76.573,77.086,78.291,79.146,79.802,80.7,81.267,82.113,82.933,83.016,83.653,84.116,84.721,86.033,86.191,86.503,87.108,88.087,89.954,92.873,95.232,96.619,98.506,101.445,103.43,105.03,107.476,108.949,111.089,112.718,113.88,115.057,116.149,117.77,118.878,119.342,119.514,120.808,119.091,117.687,117.58,117.413,116.877,117.27,118.132,119.216,120.306,121.361,122.292,122.711,123.575
"23","15","      Equipment and software","B873RG3",35.547,36.538,36.569,37.141,38.083,38.785,39.385,39.983,40.577,41.439,41.612,41.377,59.975,58.69,58.797,59.452,58.086,58.856,59.548,58.23,59.15,58.902,60.068,59.95,60.85,62.239,63.119,64.498,66.243,67.435,68.661,69.211,71.514,72.437,72.137,73.988,76.707,77.513,78.55,78.893,78.997,80.115,81.062,81.913,82.729,85.32,85.435,87.293,89.591,91.467,93.484,94.945,96.703,98.833,100.015,100.045,100.944,101.288,102.332,102.339,102.27,102.827,103.007,103.777,102.276,100.239,100.382,98.823,96.614,96.34,95.313,93.248,93.124,91.551,90.403,89.982,90.654,90.504,90.194,90.627,91.132,91.463,92.138,90.865,92.07,92.571,93.592,94.359,94.816,94.902,95.057,95.382,95.193,95.717,95.732,96.548,97.292,97.682,98.43,98.987,99.137,101.528,101.242,101.962,101.991,103.047,103.092,104.677,107.884,102.461,101.87,101.702,101.348,101.27,100.485,100.181,99.559,99.813,99.278,99.766,100.985,100.911,100.646,100.882,100.937,100.194,100.277,100.161,99.104,99.146,98.624,97.068,97.025,96.969,97.109,97.441,97.321,97.391,97.288,97.156,97.681,98.566,98.715,99.405,100.266,99.973,99.625,100.136,100.546,101.179,101.991,101.714,101.866,102.076,102.455,102.788,103.43,104.292,105.07,105.212,104.075,103.946,104.083,104.505,104.71,105.071,105.017,106.055,106.826,106.817,107.226,106.603,107.056,107.51
"24","16","  Nondefense","B825RG3",18.83,18.981,19.534,19.792,20.728,21.115,21.32,21.41,22.171,22.663,22.943,23.207,23.566,23.745,23.915,24.342,24.823,25.016,25.226,25.859,26.04,26.821,27.442,28.677,29.512,30.119,30.738,31.651,31.859,32.148,32.607,33.584,34.34,34.8,35,35.831,35.891,36.16,36.512,37.493,37.998,38.507,39.128,40.765,41.424,42.139,42.97,45.09,46.014,46.46,46.865,48.329,48.997,49.454,49.851,50.999,51.311,51.447,51.721,51.526,52.065,52.584,53.085,53.383,54.237,54.595,54.426,55.039,55.332,55.835,56.124,56.37,56.605,56.803,57.078,57.327,58.225,58.852,58.933,58.705,59.869,60.293,60.675,61.151,61.54,62.47,62.518,63.745,65.421,65.682,65.843,65.744,66.239,66.657,67.097,68.142,69.166,69.579,70.42,70.843,71.507,72.438,72.219,72.902,74.149,74.042,74.217,76.913,77.13,75.773,76.067,76.654,77.601,77.87,78.136,78.771,78.838,79.013,79.378,79.252,80.236,80.807,81.449,82.26,83.379,82.785,84.387,85.075,84.897,85.311,85.758,86.481,88.956,88.754,88.435,88.611,91.508,91.68,91.858,92.05,95.108,96.264,96.651,96.915,99.255,99.702,100.466,100.577,102.622,103.551,103.728,103.972,106.321,106.926,106.755,106.969,108.936,109.353,109.654,109.017,109.847,109.686,110.303,110.871,112.206,112.624,113.105,113.435,114.207,115.384,115.994,115.764,116.096,116.657
"25","17","    Consumption expenditures","B542RG3",16.821,16.931,17.452,17.664,18.54,18.883,19.026,19.073,19.804,20.292,20.541,20.751,21.103,21.259,21.409,21.813,22.269,22.419,22.589,23.178,23.292,23.988,24.478,25.582,26.313,26.845,27.437,28.33,28.497,28.768,29.214,30.191,30.897,31.324,31.485,32.32,32.35,32.587,32.889,33.857,34.279,34.697,35.226,36.766,37.387,38.001,38.733,40.86,41.684,41.995,42.282,43.706,44.309,44.707,45.094,46.28,46.632,46.802,47.11,46.893,47.468,47.999,48.524,48.839,49.74,50.12,49.913,50.568,50.875,51.402,51.677,51.88,52.154,52.361,52.628,52.831,53.764,54.4,54.44,54.089,55.324,55.74,56.119,56.604,56.962,57.942,57.926,59.206,61.003,61.3,61.504,61.418,62.039,62.513,63.029,64.194,65.282,65.721,66.663,67.113,67.843,68.819,68.563,69.285,70.619,70.409,70.577,73.592,73.912,72.472,72.856,73.591,74.733,75.049,75.382,76.126,76.316,76.527,76.952,76.862,77.961,78.607,79.339,80.235,81.47,80.732,82.485,83.252,83.114,83.552,84.097,84.925,87.784,87.612,87.278,87.487,90.754,90.951,91.171,91.425,94.839,96.077,96.449,96.665,99.204,99.674,100.508,100.614,102.878,103.858,103.999,104.254,106.931,107.619,107.417,107.623,109.871,110.314,110.591,109.836,110.849,110.705,111.518,112.13,113.698,114.18,114.709,115.074,115.92,117.18,117.801,117.499,117.848,118.443
"26","18","    Gross investment","B798RG3",34.62,35.161,35.863,36.554,37.801,38.547,39.407,39.979,40.75,41.07,41.597,42.401,42.668,43.041,43.386,43.901,44.472,45.09,45.682,46.539,47.45,48.958,50.847,53.099,54.832,56.078,56.741,57.452,58.063,58.455,58.899,59.503,60.53,61.195,61.758,62.258,62.652,63.19,63.956,64.849,66.053,67.355,68.749,70.939,71.808,73.372,74.994,76.507,78.205,79.91,81.425,82.881,84.036,84.98,85.389,85.808,85.662,85.456,85.309,85.312,85.473,85.822,86.022,86.122,86.475,86.587,86.778,86.943,87.074,87.296,87.679,88.286,88.175,88.3,88.613,89.194,89.761,90.281,90.695,91.456,91.958,92.431,92.814,93.166,93.743,94.23,94.81,95.53,96.16,96.173,96.019,95.829,95.396,95.374,95.236,95.402,95.998,96.242,96.404,96.63,96.769,97.28,97.369,97.694,98.225,98.877,99.113,99.436,98.987,98.2,97.921,97.515,97.105,97.047,96.851,96.73,95.975,95.95,95.978,95.648,95.939,96.084,96.201,96.528,96.952,97.27,97.859,98.017,97.581,97.832,97.573,97.529,97.302,96.887,96.684,96.635,96.886,96.898,96.787,96.535,97.003,97.566,98.073,98.706,99.606,99.905,100.177,100.312,100.918,101.489,101.886,102.055,102.273,102.342,102.379,102.644,102.798,103.056,103.519,103.641,103.294,103.028,102.336,102.627,102.485,102.513,102.707,102.819,103.139,103.81,104.346,104.548,104.769,105.114
"27","19","      Structures","B830RG3",16.388,16.707,17.061,17.38,17.793,18.083,18.409,18.721,19.169,19.589,19.913,20.283,20.589,20.904,21.207,21.574,21.852,22.246,22.659,23.109,23.683,24.571,25.675,27.031,28.157,28.927,29.444,29.862,30.252,30.566,30.821,31.097,31.727,32.163,32.611,33.035,33.505,34.049,34.657,35.32,36.066,36.965,37.982,39.051,40.154,41.281,42.545,43.694,44.856,45.928,46.904,47.927,48.86,49.59,50.176,50.497,50.678,50.69,50.697,50.847,51.043,51.28,51.548,51.772,52.076,52.316,52.622,52.916,53.199,53.553,53.825,54.131,54.409,54.644,55.098,55.523,55.904,56.281,56.702,57.192,57.62,58.234,58.827,59.457,60.033,60.445,60.909,61.292,61.707,62.113,62.385,62.366,62.407,62.601,62.785,63.1,63.458,63.888,64.172,64.671,65.185,65.825,66.363,67.034,67.719,68.367,69.067,69.706,70.346,70.53,70.817,70.986,71.128,71.419,71.966,72.923,73.2,73.652,74.37,75.098,75.747,76.448,77.03,77.766,78.702,79.474,80.157,80.889,81.741,82.388,83.119,83.69,83.883,84.278,84.627,85.256,86.191,86.409,86.779,87.522,88.558,90.18,92.37,94.825,97.287,99.108,101.055,102.55,104.794,106.511,108.292,110.251,111.735,112.833,114.149,115.81,116.815,117.834,119.645,121.931,122.414,120.503,118.128,117.534,117.746,118.165,118.948,119.724,120.275,121.252,122.499,123.783,124.497,125.374
"28","20","      Equipment and software","B880RG3",64.098,64.831,66.039,67.359,70.427,72.108,74.119,74.992,76.011,75.169,75.756,77.313,76.81,76.736,76.616,76.9,77.889,78.431,78.737,80.061,80.92,82.755,85.153,87.79,89.365,90.697,90.834,91.719,92.337,92.38,92.965,94.113,95.268,95.879,95.993,95.988,95.405,95.063,95.27,95.735,97.095,98.236,99.262,103.133,101.727,103.063,104.14,105.248,106.887,108.866,110.564,111.926,112.657,113.451,113.149,113.544,112.777,112.24,111.86,111.582,111.625,112.034,112.03,111.873,112.172,112.037,111.959,111.851,111.677,111.571,111.999,112.89,112.143,112.016,111.941,112.579,113.28,113.886,114.214,115.144,115.635,115.905,116.027,116.041,116.544,117.045,117.666,118.64,119.403,119.001,118.402,118.046,117.135,116.876,116.408,116.38,117.139,117.121,117.107,116.936,116.578,116.848,116.415,116.244,116.476,117.025,116.691,116.627,115.1,113.373,112.514,111.599,110.744,110.394,109.563,108.591,107.071,106.67,106.172,105.055,105.097,104.881,104.718,104.794,104.916,104.982,105.506,105.388,104.372,104.432,103.719,103.377,102.95,102.131,101.653,101.254,101.141,101.045,100.682,99.928,100.123,100.196,99.971,99.928,100.312,100.14,99.916,99.632,99.766,100.018,100.019,99.641,99.456,99.203,98.818,98.618,98.52,98.565,98.636,98.101,97.499,97.717,97.537,98.135,97.919,97.834,97.814,97.676,97.901,98.454,98.732,98.568,98.636,98.823
"29","21","State and local","B829RG3",16.537,16.869,17.164,17.483,17.88,18.263,18.585,18.916,19.304,19.632,19.886,20.06,20.461,20.702,21.041,21.382,21.881,22.33,22.665,23.103,23.755,24.556,25.42,26.149,26.666,27.226,27.643,28.105,28.546,28.983,29.274,29.655,30.209,30.744,31.268,31.801,32.275,32.815,33.311,33.768,34.574,35.384,36.598,37.349,38.393,39.473,40.555,41.587,42.887,43.752,44.309,44.953,45.735,46.465,47.172,47.773,48.117,48.63,49.117,49.563,50.332,50.836,51.273,51.695,52.346,52.793,53.193,53.674,53.933,54.213,54.689,55.474,56.014,56.558,57.238,57.588,57.933,58.435,58.831,59.284,59.841,60.447,60.827,61.501,62.381,62.989,63.786,64.74,64.961,65.225,65.647,65.938,66.145,66.705,67.085,67.491,67.953,68.406,68.63,68.986,69.597,69.977,70.623,71.207,71.633,72.171,72.469,72.735,73.425,73.493,73.911,74.397,74.795,74.99,75.269,75.821,75.785,76.003,76.466,77.025,77.659,78.644,79.514,80.328,81.299,82.038,82.821,83.771,84.548,85.013,85.256,85.259,85.602,86.385,87.133,88.12,89.822,90.061,90.661,91.155,92.053,93.139,94.624,96.432,97.578,98.993,100.842,102.588,103.307,104.916,105.99,106.892,109.033,110.445,111.644,113.326,115.571,117.848,119.496,117.75,116.349,116.405,116.852,117.446,118.654,119.038,119.639,120.985,122.565,123.895,124.678,124.866,126.042,126.132
"30","22","  Consumption expenditures","B991RG3",15.886,16.19,16.511,16.798,17.203,17.547,17.846,18.121,18.512,18.829,19.085,19.208,19.632,19.886,20.221,20.534,21.033,21.459,21.755,22.138,22.656,23.239,23.88,24.484,24.96,25.588,26.056,26.558,27.043,27.503,27.829,28.232,28.795,29.359,29.882,30.432,30.901,31.399,31.841,32.244,33.038,33.783,34.984,35.633,36.638,37.666,38.648,39.594,40.863,41.652,42.109,42.695,43.472,44.16,44.865,45.535,45.923,46.529,47.084,47.606,48.493,49.045,49.527,50.006,50.71,51.205,51.633,52.13,52.366,52.576,53.032,53.83,54.395,54.944,55.646,56.003,56.315,56.844,57.233,57.712,58.32,58.94,59.301,60.038,61,61.612,62.439,63.558,63.802,64.05,64.521,64.913,65.201,65.809,66.234,66.655,67.1,67.554,67.798,68.147,68.764,69.149,69.791,70.369,70.735,71.273,71.547,71.775,72.547,72.611,73.031,73.555,74.058,74.152,74.415,74.938,74.936,75.203,75.669,76.257,76.965,78.037,79.023,79.858,80.915,81.597,82.406,83.428,84.306,84.827,85.059,84.95,85.274,86.123,86.98,88.161,90.103,90.381,91.097,91.645,92.604,93.534,94.772,96.461,97.669,98.983,100.76,102.588,103.331,104.782,105.762,106.315,108.285,109.74,110.931,112.677,115.133,117.669,119.269,116.524,114.605,114.929,115.789,116.562,117.919,118.244,118.865,120.386,122.144,123.493,124.155,124.104,125.32,125.228
"31","23","  Gross investment","B799RG3",20.049,20.498,20.722,21.179,21.569,22.126,22.557,23.127,23.526,23.915,24.172,24.582,24.894,25.086,25.45,25.926,26.438,27.006,27.539,28.256,29.564,31.433,33.413,34.807,35.565,35.776,35.913,36.161,36.367,36.685,36.764,37.004,37.494,37.861,38.377,38.794,39.284,40.065,40.849,41.581,42.44,43.597,44.876,46.147,47.394,48.745,50.341,51.82,53.269,54.53,55.648,56.622,57.409,58.366,59.055,59.201,59.25,59.149,59.199,59.17,59.22,59.441,59.625,59.725,60.064,60.25,60.494,60.882,61.258,61.901,62.475,63.176,63.575,64.083,64.636,64.948,65.461,65.814,66.237,66.558,66.848,67.377,67.85,68.2,68.672,69.254,69.9,70.055,70.167,70.51,70.686,70.493,70.312,70.639,70.792,71.118,71.669,72.112,72.233,72.619,73.197,73.55,74.212,74.819,75.537,76.071,76.485,76.937,77.226,77.312,77.719,78.027,77.958,78.591,78.948,79.634,79.448,79.436,79.887,80.313,80.614,81.207,81.563,82.281,82.892,83.872,84.544,85.19,85.532,85.768,86.057,86.538,86.954,87.46,87.749,87.922,88.63,88.711,88.83,89.104,89.75,91.475,93.979,96.294,97.176,99.032,101.197,102.594,103.213,105.493,106.965,109.355,112.232,113.46,114.692,116.099,117.441,118.623,120.471,122.983,123.895,122.81,121.451,121.24,121.744,122.385,122.88,123.414,124.142,125.367,126.729,128.079,129.051,130.06
"32","24","    Structures","B842RG3",16.15,16.542,16.728,17.102,17.433,17.924,18.301,18.763,19.105,19.449,19.676,20.039,20.305,20.471,20.799,21.232,21.687,22.178,22.63,23.279,24.435,26.1,27.809,28.925,29.52,29.633,29.696,29.855,29.998,30.234,30.243,30.409,30.825,31.105,31.525,31.837,32.216,32.873,33.529,34.167,34.827,35.823,36.993,38.128,39.2,40.361,41.766,43.089,44.347,45.402,46.415,47.226,47.94,48.798,49.391,49.491,49.523,49.421,49.422,49.386,49.393,49.624,49.801,49.96,50.223,50.394,50.66,51.017,51.46,52.053,52.603,53.143,53.612,54.156,54.742,55.068,55.553,55.858,56.211,56.496,56.7,57.251,57.708,58.039,58.58,59.156,59.733,59.806,59.773,60.181,60.395,60.123,59.994,60.37,60.598,60.962,61.507,61.982,62.112,62.629,63.198,63.57,64.323,65.16,65.959,66.566,67.124,67.697,68.216,68.492,69.055,69.48,69.935,70.626,71.103,72.026,72.363,72.581,73.309,74.011,74.557,75.433,76.001,76.906,77.69,78.882,79.675,80.546,81.228,81.572,82.025,82.863,83.437,84.152,84.635,84.919,85.874,86.092,86.306,86.69,87.509,89.551,92.602,95.393,96.459,98.758,101.43,103.352,104.158,106.965,108.931,111.88,115.431,117.031,118.664,120.498,122.173,123.554,125.743,128.702,129.848,128.49,126.862,126.663,127.326,128.154,128.782,129.585,130.483,131.98,133.661,135.419,136.581,137.843
"33","25","    Equipment and software","B881RG3",51.426,51.675,52.056,53.057,53.58,53.892,54.185,55.577,56.089,56.276,56.458,56.707,57.154,57.372,57.555,57.74,58.152,58.927,59.793,60.271,61.634,63.387,66.256,69.769,71.927,73.44,74.58,75.889,76.827,77.957,79.069,80.096,80.943,82.098,83.312,84.731,86.169,87.626,89.122,90.048,92.66,94.448,95.258,96.529,98.486,100.618,102.695,104.343,106.452,108.891,110.019,111.946,112.755,113.925,115.072,115.632,115.852,115.851,116.378,116.437,116.863,116.836,116.969,116.423,117.291,117.514,117.408,117.865,117.43,118.177,118.656,120.427,119.991,119.926,119.917,119.957,120.48,121.1,121.926,122.394,123.256,123.439,123.891,124.289,124.139,124.62,125.605,126.31,127.465,127.221,127.057,127.539,127.011,126.869,126.441,126.43,126.902,127.028,127.055,126.461,127,127.199,127.216,126.323,126.502,126.533,126.023,125.68,124.533,123.462,122.905,122.502,119.206,119.474,119.087,118.358,115.329,114.076,113.025,111.996,111.059,110.254,109.586,109.382,109.104,108.996,109.061,108.576,107.211,106.862,106.291,104.921,104.492,103.885,103.159,102.745,102.134,101.501,101.123,100.822,100.577,100.656,100.396,100.417,100.439,100.251,100.122,99.188,98.999,99.027,98.4,98.473,98.717,98.555,98.313,98.155,98.263,98.701,99.3,100.186,100.229,100.143,99.78,99.514,99.444,99.417,99.43,99.024,99.179,99.514,99.86,99.93,100.298,100.534
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
