"","Table 1#8#3# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2009=100]                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 26, 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/31/2013 10:33:24 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","Gross domestic product","B191RA3",7.322,6.699,6.27,5.462,5.393,5.975,6.507,7.349,7.723,7.468,8.064,8.774,10.327,12.278,14.371,15.519,15.369,13.587,13.439,13.996,13.92,15.133,16.353,17.019,17.817,17.717,18.979,19.384,19.792,19.647,21.002,21.541,22.091,23.442,24.463,25.874,27.555,29.373,30.179,31.66,32.653
"9","2","Less: Exports of goods and services","B020RA3",2.547,2.105,1.749,1.371,1.379,1.533,1.616,1.698,2.139,2.116,2.234,2.541,2.605,1.721,1.45,1.558,2.183,4.714,5.375,4.233,4.194,3.672,4.5,4.305,4.017,4.211,4.661,5.43,5.904,5.106,5.632,6.61,6.645,6.98,7.479,8.36,8.594,9.19,9.402,10.14,10.631
"10","3","Plus: Imports of goods and services","B021RA3",2.67,2.323,2.026,1.681,1.751,1.789,2.344,2.317,2.608,2.027,2.129,2.18,2.681,2.434,3.069,3.212,3.415,2.831,2.688,3.136,3.025,3.576,3.716,4.043,4.423,4.205,4.712,5.094,5.308,5.56,6.145,6.227,6.185,6.887,7.073,7.448,8.241,9.466,10.156,11.669,12.334
