"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233"
"25","17","    Gross value added of nonfinancial corporate business \1\","A455RC1",113.8,119.1,122,127.5,134.4,137.4,139.8,141.9,138.5,134.4,135.1,130.9,138.2,147.6,159.4,167.2,172.3,174.8,176.4,179.4,180.5,179,181.1,192.8,197,198.9,198.2,189.6,189.6,190.3,192.2,199.4,208.8,215.5,220.5,226.2,227.8,231.1,232.8,239.1,243.8,244,245,239.6,230.7,229.8,238.5,249.6,258.7,270.5,265.7,269.1,279.2,276.8,276.3,273.2,272,280.2,286.7,296,302.9,307.5,311.9,316.7,320.1,327.8,333.1,338.6,346.9,352.8,360.1,364.5,378.9,386.3,393.9,405.8,417.7,425.9,432.2,440.2,441.5,444.7,453.3,465.1,477.7,492.6,503.6,517.3,526.9,537,546.7,551.2,550.2,558.1,564.4,560.6,585.5,597.5,607.5,621.6,642.9,659.3,674.2,701.7,726.7,740.6,757,778.8,784.5,804.2,821,829.7,832.2,854.3,896.3,923.9,962.5,977.4,999.3,1019.7,1049,1105.3,1148.9,1174.3,1190.7,1267.2,1292.6,1341,1369.9,1399.1,1430.3,1464.5,1500.3,1494.1,1535.1,1619,1678.9,1724.4,1789.9,1790.9,1790,1810.8,1817.4,1806.4,1841.6,1901.3,1962.7,2026.4,2097.7,2155.6,2190,2226.8,2254.6,2282.1,2326.2,2345,2366.9,2367.9,2387.6,2427.7,2471.3,2528.1,2589.1,2640.1,2689.7,2745.2,2791,2860.5,2876.5,2894.4,2925.8,2952.6,2992.4,3054.2,3060.6,3058.7,3068.2,3088,3112.2,3130.4,3178.9,3222.1,3235.2,3307.7,3312.6,3377,3411.5,3490.2,3558.5,3636.8,3698.9,3783.9,3809.7,3843.2,3914.8,3950.3,4004.2,4079.6,4140.3,4214,4297.2,4353.8,4447.2,4509.1,4552.1,4609.9,4701.3,4756.5,4868.1,4921.5,4961.8,5052,5196.5,5252.7,5316.9,5322.4,5315.8,5321.3,5279.1,5257.7,5309.6,5375.6,5392.8,5432.9,5443,5547.8,5669,5767.5,5839.4,5939.6
"26","18","Consumption of fixed capital","B456RC1",7.9,8.2,8.6,8.9,9.2,9.6,10.1,10.4,10.5,10.5,10.6,10.7,10.8,11,11.4,11.9,12.5,12.8,13,13.2,13.5,13.6,13.6,13.8,14,14.2,14.6,14.6,14.8,15.2,15.3,15.5,15.6,15.8,16.2,16.7,17.3,17.8,18.4,18.9,19.2,19.6,20.1,20.8,20.5,21,21.2,21.1,20.8,20.9,21.2,21.5,22.1,22.5,22.8,22.9,23,23.1,23.3,23.4,23.5,23.7,24,24.3,24.7,25.1,25.4,25.7,25.8,26.1,26.5,27,27.5,28.1,28.7,29.4,30.3,31.2,32,32.8,33.3,34,34.7,35.4,36.1,37.1,38,39.3,40.6,41.8,43,44.2,45.3,46.5,47.3,48.3,49.2,50.1,51.1,52.2,53.7,57.6,56.4,57.8,59.3,62.2,63.6,65.7,68.1,71.8,76,80.5,84.2,87.1,89.1,91.3,93.2,95.8,98.1,100.9,105.5,109.2,111.8,115.6,120.6,125.4,130.3,135.1,139.8,145.6,150.4,153.4,159.6,165.3,170.9,177,182.8,189,194.3,200,205,210.1,213.4,216.4,214.8,215.9,219.1,220.4,224.2,229,232.9,236.9,242.2,246,249.4,252,252,253.9,256.4,259.1,262.4,264.9,267,271.7,275.7,279.6,282.9,288.3,292.5,296.2,306.2,311.6,310.5,315.4,321.9,328.9,337.2,340.5,343.2,344.8,346.3,348.3,367,352.9,357.9,359.6,367.9,368.2,401.9,381.2,388.2,394.9,403.3,411.7,418.2,426.8,427.9,432.8,439.2,446,454.6,463,471.6,479.3,483.6,489.4,496.4,503.9,510.2,517.2,531.4,536.6,549.6,562.2,574.3,585.3,616.6,635.9,683.6,651.1,648.1,653.2,658.2,663.3,668.5,673.7,679,684.3,671.8,680.3
"27","19","Net value added","A457RC1",105.9,110.9,113.4,118.6,125.3,127.8,129.8,131.5,128.1,123.9,124.5,120.2,127.4,136.6,148,155.3,159.8,162.1,163.4,166.1,167,165.4,167.5,179,183,184.7,183.6,175,174.8,175.1,176.9,183.9,193.2,199.7,204.2,209.5,210.5,213.3,214.4,220.2,224.6,224.4,224.9,218.9,210.1,208.8,217.3,228.4,237.9,249.6,244.5,247.6,257,254.4,253.5,250.2,249,257.1,263.4,272.6,279.4,283.8,288,292.5,295.3,302.8,307.7,313,321.1,326.6,333.6,337.5,351.5,358.2,365.2,376.4,387.4,394.8,400.2,407.4,408.2,410.7,418.7,429.7,441.6,455.5,465.5,478,486.3,495.2,503.8,507,504.9,511.6,517,512.3,536.3,547.4,556.4,569.4,589.2,601.7,617.8,643.9,667.4,678.4,693.3,713.1,716.4,732.3,745,749.2,748,767.2,807.1,832.7,869.3,881.6,901.2,918.7,943.5,996.1,1037.1,1058.7,1070.1,1141.8,1162.4,1205.9,1230.1,1253.5,1279.9,1311.1,1340.7,1328.8,1364.2,1442.1,1496.1,1535.4,1595.6,1590.9,1585,1600.7,1604.1,1590.1,1626.8,1685.4,1743.5,1805.9,1873.5,1926.6,1957.1,1989.9,2012.4,2036.2,2076.8,2093,2114.9,2113.9,2131.2,2168.6,2208.9,2263.2,2322.1,2368.4,2414,2465.7,2508.1,2572.2,2584,2598.2,2619.7,2641,2681.9,2738.8,2738.7,2729.7,2731,2747.4,2769,2785.6,2832.5,2873.8,2868.2,2954.7,2954.8,3017.3,3043.6,3122,3156.5,3255.7,3310.8,3389.1,3406.4,3431.5,3496.6,3523.5,3576.3,3646.8,3701.1,3768,3842.6,3890.8,3975.7,4029.8,4068.6,4120.5,4204.9,4252.7,4357.9,4404.3,4430.3,4515.4,4647,4690.5,4742.6,4737.1,4699.1,4685.4,4595.5,4606.6,4661.5,4722.5,4734.6,4769.5,4774.5,4874.1,4990,5083.3,5167.6,5259.2
"28","20","  Compensation of employees","A460RC1",75.8,77.2,79.5,82.7,85.6,86.2,88.9,89.2,87.2,85.1,84.2,83.1,86.6,91.5,97.3,102.2,106.7,109.9,110.6,112,114.9,115,117.2,124,126.8,129.1,129.2,127.7,125.7,124.9,124.9,128.3,131.7,136.2,139.8,143.8,146.6,149.5,151.2,155.7,157.8,158.5,159.5,157.8,153.5,151.5,155.5,160.3,165.5,171.6,171.9,174.2,180.1,181.4,180.7,179.5,179.1,182.2,186,190.7,194.4,198.8,200.9,202.9,205.1,208.5,211.7,215.1,218.8,223.5,228.2,232.1,237.5,242,247.2,254.9,262.2,270.1,276.9,282.2,284.8,287.2,293,299.2,308.8,317.4,325.8,335.4,343,352.9,362.6,369.9,373.3,374.8,379.4,378.3,387.8,396.1,402.3,411.5,426.5,437.8,447.1,464.2,481.1,495.2,508.6,523.8,533.6,547.8,562.1,565.2,558.3,562.2,580.2,601.1,625.5,641.9,660.1,678,695.6,725,748.2,772.4,793.4,833.8,860.5,893.6,922.6,945.7,972.7,998.6,1024.1,1031.2,1049.9,1093.8,1126.2,1150.9,1178.4,1190.3,1196.2,1202.4,1208.8,1208.2,1219.3,1246.6,1278.1,1323.7,1358.2,1394.3,1423.6,1448.4,1470.1,1491.3,1512.5,1542.8,1559.5,1567.7,1587.7,1617.5,1643.6,1669,1699.5,1739,1760,1799.5,1829.7,1861.8,1888.4,1901,1918.2,1951.1,1979.9,2012.6,2031.1,2027.9,2018.2,2036.6,2058.7,2079.9,2111.7,2141.9,2168.2,2194.6,2205.8,2234.2,2256.8,2282.5,2329,2365.4,2393.9,2437.9,2475.5,2495.8,2523.5,2544.5,2564.8,2613.2,2652.5,2692.8,2748.1,2783.5,2827.5,2892.6,2971.1,3019.1,3070.3,3121.9,3209.4,3236.2,3279.5,3345.5,3485,3506,3577.5,3608.9,3616.6,3604.8,3587.6,3574.5,3571.2,3605.1,3610.3,3618.7,3627.4,3668.5,3717.9,3771,3818.1,3872.8
"29","21","    Wage and salary accruals","B461RC1",71.9,73.3,75.4,78.4,81.6,82.2,84.8,85.1,83.1,80.9,79.9,78.7,81.6,86.2,91.7,96.2,100.3,103.1,103.8,105,107.8,107.9,110,116.6,119.1,121.3,121.2,119.7,117.5,116.8,116.7,119.9,122.8,127,130.2,134,136.4,139,140.4,144.6,146.2,146.6,147.5,145.6,141.7,139.8,143.6,148,152.7,157.8,157.7,159.6,164.8,165.9,165.3,164.2,163.8,166.6,169.9,174,177.1,180.9,182.5,184.2,186.1,189.1,192,195.1,198.4,202.6,206.9,210.3,215.3,219.2,223.7,230.4,236.2,242.8,248.7,253.3,256.1,258.3,263.4,268.7,276.8,284.3,291.5,299.9,306.5,315.3,323.6,330,332.6,333.7,337.4,336,344,350.9,355.8,363.3,375.8,385,392.3,406.4,420.2,431.6,442.5,455,463.3,475.1,486.9,488.8,481.9,484.3,498.7,515.4,534.5,547.1,561.3,575.3,589.6,613.5,632,651.2,667.1,699.8,721.3,748.3,773,792.2,814.6,836,856.5,862,877.2,913.3,940,959.8,981.8,990.6,993.7,997.6,1002,1000.7,1009.2,1031.7,1057.8,1095.8,1125.1,1155.9,1181.1,1202.7,1222,1240.4,1258.4,1283.5,1295.9,1302.3,1318.5,1343.2,1368.7,1390.4,1416.5,1448.8,1469.7,1502.7,1528.5,1555.7,1576.8,1587.3,1601.5,1628.4,1655.3,1681.2,1694.8,1689.9,1676,1688.7,1704.5,1719.6,1744,1766.3,1785.1,1803.6,1811.7,1832.5,1848.8,1868.2,1904.4,1935.1,1961.2,2002.2,2036.3,2061.4,2092.3,2117,2133.9,2180.1,2218.1,2256.1,2299.8,2340.2,2385.2,2446.3,2500.5,2543.4,2589.2,2635.6,2706.6,2729.5,2768,2827.8,2941.2,2956.2,3018.8,3043.2,3042.8,3027.7,3006.4,2989.3,2965.1,2976.1,2971.4,2971.4,2956.9,2985.5,3022.4,3062.8,3089.9,3130.9
"30","22","    Supplements to wages and salaries","B462RC1",3.8,3.9,4.1,4.2,4,4,4,4.1,4.1,4.2,4.3,4.3,4.9,5.2,5.6,6,6.5,6.7,6.8,7,7.1,7.1,7.2,7.5,7.7,7.8,7.9,8,8.1,8.1,8.2,8.4,8.9,9.2,9.5,9.8,10.3,10.5,10.8,11.1,11.6,11.9,12.1,12.1,11.8,11.7,11.9,12.3,12.8,13.8,14.2,14.6,15.3,15.4,15.4,15.3,15.3,15.7,16.1,16.7,17.4,18,18.4,18.7,19,19.4,19.7,20.1,20.5,20.9,21.4,21.7,22.2,22.7,23.5,24.6,26,27.3,28.2,28.9,28.8,29,29.6,30.4,31.9,33.1,34.3,35.6,36.4,37.7,38.9,40,40.7,41.2,42,42.3,43.8,45.2,46.5,48.2,50.7,52.8,54.8,57.8,60.9,63.6,66.1,68.7,70.3,72.7,75.2,76.4,76.4,77.9,81.5,85.7,90.9,94.8,98.8,102.7,106,111.5,116.2,121.2,126.3,134,139.2,145.2,149.6,153.5,158,162.5,167.6,169.2,172.8,180.5,186.2,191.1,196.6,199.7,202.5,204.8,206.9,207.5,210.1,215,220.3,227.8,233.1,238.5,242.5,245.7,248.1,250.9,254.1,259.3,263.6,265.5,269.1,274.2,274.8,278.6,283,290.2,290.3,296.9,301.2,306.1,311.6,313.7,316.7,322.7,324.6,331.4,336.3,338,342.2,347.9,354.2,360.4,367.6,375.6,383.1,391,394,401.7,408,414.3,424.5,430.3,432.7,435.7,439.2,434.4,431.2,427.5,430.9,433.2,434.4,436.8,448.2,443.4,442.3,446.3,470.6,475.6,481.1,486.4,502.8,506.7,511.6,517.8,543.8,549.9,558.7,565.7,573.8,577.1,581.1,585.2,606.1,629,638.9,647.3,670.6,683.1,695.4,708.3,728.1,742
"31","23","  Taxes on production and imports less subsidies","W325RC1",10.9,11,11.2,11.8,11.9,12.4,12.6,12.7,12.7,12.9,13.1,13.1,13.4,14.1,15.3,14.7,15.7,14.9,15.2,15.6,16.1,16.7,16.9,17.4,17.8,18,18,17.8,17.4,17.3,17.1,17.5,18.3,19,19.5,19.8,20.2,20.5,21,21.6,22,22.2,22.3,21.7,22.2,22.1,22.2,22.7,23.4,23.8,24.7,25.7,25.9,26.3,26.9,27.3,27.4,27.4,27.7,28,28.7,29.5,30.4,30.9,31.2,31.5,31.8,32.2,32.7,33.5,34.3,35,35.5,35.9,36.3,36.4,36.6,36.9,37.1,37.3,37.8,38.5,39.7,41.3,43.1,44.8,46.5,47.8,48.8,49.8,50.7,51.5,52.6,53.6,54.8,56,57.5,58.9,60.4,61.4,61.9,62.7,64.1,65.9,67.7,69.4,71.1,72.1,72.7,73.7,74.8,76.4,77.9,79.3,81,82.6,84,85.8,87.5,89.4,91,92.9,95.7,98.9,102.2,105.9,99.6,103.2,105.1,107.2,110,112.8,114.8,118.1,123.3,129.9,138,145.8,150.2,152.7,152.3,151.8,152.5,155,159.7,165.3,171,176.1,180,183.6,186.8,189.7,192.5,195.8,198.2,199.8,201,203.2,205.4,208.6,211.6,215.1,218.2,222.5,227.9,233.2,235,239.3,242.9,246.8,249.9,253,255.8,260.6,266.1,271.6,278.3,283.2,288.2,293.3,296.8,300.3,304.4,308.4,309.7,314.5,321.4,329.4,340.8,347.7,353.1,356.6,354.3,356,357.6,359.7,364.4,367.2,370.4,374.3,379.5,383.8,387.6,391,392.9,396.6,400.5,404.7,408.6,413.2,418.9,425.6,432,440.3,447.6,453.9,444.4,437.1,423.3,451.5,456.4,464.7,469.7,469.8,477.1,472.6,489,495,501.1,506.9
"32","24","  Net operating surplus","W326RC1",19.3,22.7,22.8,24.2,27.8,29.2,28.4,29.6,28.1,25.9,27.2,24.1,27.4,31.1,35.4,38.4,37.4,37.2,37.7,38.5,36,33.8,33.4,37.5,38.4,37.6,36.4,29.5,31.8,32.9,34.8,38.1,43.2,44.5,44.9,45.9,43.7,43.3,42.2,42.9,44.8,43.7,43,39.4,34.5,35.2,39.5,45.4,49,54.2,47.9,47.7,51.1,46.7,45.9,43.5,42.4,47.4,49.8,53.9,56.3,55.4,56.7,58.7,59,62.8,64.2,65.7,69.5,69.7,71.1,70.4,78.4,80.3,81.7,85.1,88.6,87.8,86.2,87.9,85.5,85,85.9,89.3,89.7,93.3,93.3,94.8,94.6,92.5,90.5,85.5,79,83.2,82.8,78,91,92.4,93.7,96.6,100.8,101.2,106.6,113.8,118.6,113.9,113.7,117.3,110.1,110.8,108,107.6,111.8,125.7,145.9,148.9,159.8,154,153.6,151.3,156.8,178.2,193.2,187.4,174.5,202.1,202.2,209.2,202.4,200.7,197.2,199.7,201.8,179.5,190.9,218.3,231.9,238.6,267.1,247.9,236.4,246.5,242.7,226.8,247.7,273.5,294.4,306.1,335.3,348.7,346.8,351.8,349.8,349.1,366.1,350.4,354.3,343,338.1,342.5,353.7,379.1,404.4,406.9,426.1,433,443.4,471.2,452.7,450.4,451.6,436.9,446.2,465.6,441.4,430.2,434.5,427.7,422.1,412.4,424,431.5,395.6,451.7,439.3,468.6,465.4,510,486.7,542.6,563.8,594.6,576.7,579.7,615.4,619.4,647.2,666.3,678.1,700.9,715,723.5,760.6,746.2,704.5,704.8,734,726.1,739.9,754.9,731.9,744.2,730,744.2,717.5,674.4,638.2,643.6,584.7,580.6,633.9,652.7,654.5,681,669.9,733,783.2,817.2,848.5,879.5
"33","25","    Net interest and miscellaneous payments","B471RC1",0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,1,1,1,0.9,0.9,0.9,0.9,0.9,1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.5,1.5,1.6,1.7,1.7,1.7,1.6,1.6,1.7,1.7,1.8,1.8,2,2.1,2.2,2.3,2.5,2.7,2.8,2.9,2.6,2.9,3,3.1,3.1,3.1,3.2,3.3,3.5,3.6,3.7,4,4,4.3,4.5,4.6,4.5,4.6,4.7,4.9,5,5.1,5.2,5.3,5.6,5.7,5.9,6.1,6.5,6.8,7.2,7.6,8,8.4,8.6,8.8,9.2,9.5,9.7,10.2,11.4,12.3,13.3,13.9,15.1,16.1,17.3,17.8,17.7,17.7,17.6,17.4,17.7,18.2,18.9,19.7,20.1,20.9,22.5,23.7,25.5,27.1,28.1,29.6,29.8,28.6,28,27.2,26.2,26.2,25.8,25.7,25.7,27.7,29.5,31,31.8,32.8,33.6,35.3,37.8,40.1,42.5,46.7,51.8,52.8,53.3,58.9,59.1,64.3,72,73.5,76.9,79.1,77.3,76.4,76.2,74.8,77.4,79.6,79.8,84.4,89.1,90.6,92.1,91.8,89.6,92.3,95.5,95.9,94.9,93.9,93.8,94.6,96.8,100.5,102.2,105,111.7,120.3,134.6,141.3,145.8,146.4,145.6,146.8,147,145.4,143.6,139,134.8,126.2,119.3,112.7,108,105.2,107.3,103.2,99.5,98.2,95.1,97.2,102.7,108.8,114.6,115.8,115.4,114.9,108.8,110.5,112.3,116,120.4,121.6,125,128.9,135.9,142.4,147.5,149.5,150.3,155.7,163.1,171.9,183.5,189.7,196,197.6,202,207,205.8,201.3,193.3,183.6,177.4,172.5,171.4,169.6,170.2,172.1,174.8,176.6
"34","26","    Business current transfer payments","W327RC1",0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,0.9,1,1,1,1,1,0.9,0.9,0.9,1,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.2,1.2,1.3,1.3,1.4,1.4,1.4,1.4,1.3,1.4,1.5,1.5,1.5,1.6,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.8,2.1,2.1,2.2,2.2,2.2,2.3,2.6,2.7,2.7,2.8,2.8,2.8,2.8,2.9,3,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.5,3.4,3.2,3.2,3.6,3.6,3.7,3.8,3.9,3.9,4,4.1,4.7,5,4.6,4.4,4.2,4,4,4,4.4,4.9,5.2,5.6,6.2,6.8,7.3,7.7,8.5,8.8,9.2,9.3,9.5,9.5,9.5,9.5,9.5,9.5,9.4,9.4,9.7,9.9,9.9,11.3,11.9,11.7,11.4,10.8,9.7,8.8,8.3,8.4,9.9,10.4,10.8,11.2,11.3,11.6,11.9,12.3,12.9,17.4,15.8,18.2,29.4,25,26.4,28.5,29.5,30.6,29.8,29.6,28.5,27.8,27.1,26.2,24.6,23.2,22.6,21.4,24.4,25,25.6,26.5,26.7,26.4,26.6,27.2,28.1,28.5,12.6,31.5,28.6,29.6,29.3,30.8,21.9,32.7,33.2,32.2,30.6,29.8,30.3,30,34.4,37.5,39.7,40.6,40.9,39.1,40.9,34.8,31.8,30.1,32.5,46.5,43.6,46,42.1,48.2,48.5,47.9,48.1,49.3,51.9,56.9,37.8,55.5,54.8,54.3,55.3,57.4,58.4,62.3,65.7,67.8,69,69.6
"35","27","    Corporate profits with IVA and CCAdj","A463RC1",17.9,21.4,21.5,22.8,26.4,27.8,26.9,28.1,26.6,24.3,25.6,22.5,25.9,29.6,33.9,36.9,35.7,35.5,35.9,36.5,34.1,31.7,31.3,35.4,36.2,35.3,34.1,27.2,29.4,30.5,32.3,35.5,40.6,41.8,42.2,43.1,40.8,40.5,39.3,39.9,41.6,40.4,39.6,35.9,30.7,31.2,35.4,41.3,45.1,49.9,43.6,43.2,46.6,42.2,41.3,38.8,37.5,42.3,44.5,48.4,50.7,49.5,50.6,52.4,52.7,56.4,57.8,59.1,62.7,62.7,63.8,62.9,70.7,72.4,73.5,76.7,79.5,78.3,76.2,77.4,74.7,73.8,74.5,77.6,77.6,80.6,80.5,81.5,80.1,77.1,74.1,68.3,60.4,63.7,62.3,57,69.7,71.1,72.4,75.3,79.2,79.1,83.7,90.1,93.8,88,86.5,89.1,80.5,79.7,75.9,74,77.5,92.2,112.8,116.1,127.5,121,120.5,117.9,122.6,141.6,154.5,147,133.2,159.8,159.1,164.5,155.1,151.1,145.3,143.6,140.2,116.8,127.7,148.2,160.9,162.7,183.6,163.6,149.8,158.6,157.1,142,161.7,188.3,206.3,215.4,244.3,252.7,245.8,249,244.7,239.9,260.6,239.8,229.4,222.1,216.9,220.1,230.4,253.9,277.7,276.8,295.4,300.2,304.6,324.6,293.5,285.9,283.2,269.1,276.2,293.8,268.8,258.3,264.1,262.2,260.7,259,276.6,290.3,275,315,303.4,335.9,336.5,381,369.8,412.7,427.8,453.5,431.5,434.2,469.7,474.5,504,518.4,526.2,544.3,553.7,562.8,594.6,582.5,536.8,532.3,554.1,530,546,553.3,526.8,524.1,498,506.6,473.5,427.5,384.2,379.7,341.1,323.7,385.8,414.8,421.8,451.1,440.1,501.1,547.3,577.3,604.6,633.3
"36","28","      Taxes on corporate income","B465RC1",11.1,10.5,10.3,11.2,11.5,12.1,11.8,11.3,10.1,8.8,9.2,9,12.5,15.2,18.8,20.7,24.9,20.9,18.7,19.9,18.2,17,16.8,18.7,19.8,19.8,19.3,14.6,14.3,14.8,15.8,17.1,19.5,19.7,20.2,21.1,20.1,20.4,19,20.1,20.4,19.5,18.9,17,14,14.3,16.6,19.3,20.8,22.9,19.9,19.1,21.4,19.4,18.4,17.4,17.1,18.7,20,22,20.5,20.1,20.8,21,20.9,22.7,23.4,24,23.7,23.7,24.3,23.8,25.9,26.7,27.1,28.8,29.9,29.9,29.4,28.8,27.5,27.2,27.4,29.1,32.9,33.4,33.4,34.5,35,33.9,32.6,31.9,27.5,27.5,28,26.1,29.8,30.6,29.5,30.1,31.9,32,33.5,37.7,40.7,40.6,38.9,41.5,40.3,42.4,47,41.8,33.8,37.3,47.7,48.7,55.4,53.7,52.9,52,55.9,60.7,62.6,63.1,56.7,69.7,69.5,74.2,71.3,71.6,71.1,68.6,76.7,57.9,65.5,72.6,71.9,64.6,68,59.5,49.8,51.2,50.3,43.8,45.5,60,69.5,72,82.2,81.1,70.5,69.9,71.4,67.9,73.8,71.2,73.2,71.9,74.5,85.4,79.9,93.2,102,101.8,97.9,102.9,104.2,110.8,112,102.5,94.9,95.4,93.4,99.4,103.9,97.2,86.2,87.6,90.2,90.4,87.7,96.9,92.9,100.3,97.1,107.9,106,121.1,122.7,128.8,135.4,144.6,139.3,138,143.5,143.3,147.2,153,153.2,159,154.6,157.9,169.1,166,156.3,158.7,164.7,154.8,167.6,174.5,171,171.9,183.6,181.4,165.9,150,127.6,126.2,110.9,82,73.2,86.5,93.6,102.6,120.5,120.5,132.2,146.8,147.7,161.8
"37","29","      Profits after tax with IVA and CCAdj","W328RC1",6.9,11,11.1,11.6,14.9,15.7,15.1,16.8,16.5,15.5,16.4,13.5,13.4,14.5,15.1,16.2,10.8,14.6,17.2,16.6,15.8,14.8,14.5,16.7,16.5,15.5,14.9,12.6,15,15.7,16.5,18.4,21.2,22.1,22,22.1,20.8,20.1,20.3,19.8,21.1,20.9,20.7,18.9,16.6,16.8,18.9,21.9,24.3,27,23.7,24.1,25.1,22.8,22.9,21.4,20.4,23.7,24.5,26.4,30.2,29.3,29.8,31.4,31.8,33.8,34.4,35.1,39,39,39.5,39.1,44.8,45.7,46.4,47.9,49.6,48.4,46.8,48.6,47.2,46.6,47.1,48.4,44.7,47.3,47,47,45.1,43.2,41.5,36.4,32.9,36.2,34.3,30.9,39.9,40.5,42.8,45.3,47.2,47.1,50.2,52.4,53.1,47.4,47.6,47.7,40.2,37.3,29,32.2,43.7,54.9,65,67.4,72.1,67.3,67.6,65.9,66.8,80.9,91.9,83.9,76.4,90,89.6,90.2,83.8,79.6,74.3,75,63.5,58.9,62.1,75.5,89,98.1,115.6,104.2,100,107.4,106.8,98.2,116.2,128.3,136.9,143.4,162.1,171.7,175.3,179.1,173.4,171.9,186.8,168.6,156.2,150.2,142.4,134.7,150.5,160.8,175.7,175,197.5,197.3,200.4,213.8,181.5,183.4,188.3,173.7,182.8,194.4,164.9,161.2,178,174.6,170.5,168.6,189,193.4,182.1,214.7,206.3,228,230.5,259.8,247.1,283.9,292.4,308.8,292.2,296.1,326.2,331.1,356.7,365.4,372.9,385.3,399.1,404.9,425.5,416.5,380.6,373.6,389.3,375.2,378.4,378.8,355.8,352.2,314.4,325.2,307.6,277.5,256.6,253.5,230.2,241.7,312.7,328.2,328.2,348.5,319.5,380.6,415.1,430.5,456.9,471.5
"38","30","        Net dividends","B467RC1",5.1,5.4,5.6,5.4,5.9,5.5,5.9,6.1,6,6,5.9,6.3,6.9,7.1,7.5,8,7,7.1,7.1,7,6.7,7.2,7.1,7.3,6.8,7.4,7.4,7.3,7.6,7,7.4,7.4,8,8.2,8.7,8.8,8.9,8.9,8.9,9.3,9.3,9.1,9.2,9.2,9.2,9.2,9.1,8.9,9.5,9.9,9.9,10,10.3,10.3,10.7,10.5,10.3,10.5,10.5,11,11.4,11.7,11.9,11.4,12.1,12.4,12.5,12.8,13.1,13.8,14.2,14.9,15,15.7,16.6,17.5,17.6,16.9,16.6,15.9,17.1,17.9,17.6,16.5,18.6,18.6,19.4,19.5,19,19.2,18.8,19.1,18.3,18.5,18,18.4,18.9,17.6,19,17.1,19.9,19.8,19.7,19.3,19.7,20.6,21.4,21.3,20.3,23,22.1,20.7,24.8,24.2,24.1,25.1,24.1,27.9,29,30.1,29.2,29.9,31.2,33.3,33.9,33.1,37.5,39.2,38.2,38.2,35.9,38.2,38.3,51.6,43,45.7,49.5,51.8,54,54.7,58.4,47.4,52.4,58.1,63,61.1,63.5,65.4,67.9,67.5,67.5,65.9,68.4,76.2,70.6,72.7,71.4,76.4,70.7,72.9,75.4,73.2,74.3,82.1,70.2,78,94.8,85.6,106.3,105.7,108.6,100.9,120.2,116.3,117.4,119.2,120.9,125.8,125.4,130,123.4,128.4,134.6,150.1,146.9,146,148,155.4,147.4,157.7,157.6,168.8,171.7,172.4,181.8,185.9,195.5,190.7,199.1,204.7,206.4,209.9,216.6,230.6,234.9,242.4,239.4,247.3,233.5,230.2,210,224.9,241.1,255.8,264.2,244.2,248.4,233.3,252.2,247.8,250.2,259.5,243.7,266.3,255.5,307,265.6,273.6,270.6,271.4
