"","Table 1#1#6# Real Gross Domestic Product, Chained Dollars","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192"
"11","3","  Goods","DGDSRX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2393.6,2449.8,2478.8,2521.3,2559.1,2572.6,2599.4,2621.9,2628,2635.1,2653.9,2749.5,2742.6,2753.6,2788.3,2796.2,2811.7,2872.2,2953.5,2980.4,3012.8,3029.5,3066,3099.4,3136.5,3177.8,3195.5,3198.8,3262.2,3267.8,3294.5,3345.6,3363.5,3376.3,3392.3,3394.9,3348.7,3360.4,3296.6,3185.5,3188.8,3166.9,3222.9,3215.2,3247,3288,3319.1,3380.5,3404.9,3398.2,3405.5,3438.5,3480.1,3489.8,3513.5,3533.6,3586,3596.8,3620.2,3648.1,3658.3,3718,3755.2,3793.2,3803.7,3855,3902,3917.9,3919.1
"12","4","    Durable goods","DDURRX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,664,695.8,712.5,721,761.2,747.2,759.8,765.1,777.7,777,785.9,851.4,841,849.2,874.1,862,864.7,904.4,944.7,956.8,972.7,982.2,1001.3,1015.5,1026.3,1055.4,1067.3,1038.8,1081.3,1080.2,1095.1,1109.6,1122,1138.3,1150.9,1155.5,1122.5,1119,1084.7,1006.8,1008.6,1002.6,1050.6,1031.5,1045.2,1076.3,1093.8,1127.4,1141.8,1134.2,1148.6,1181.5,1213.8,1222.1,1242.2,1266.7,1293.6,1300.8,1311.2,1324.6,1333.2,1377.2,1402.5,1423.5,1430.4,1458.3,1481.7,1495.5,1489.4
"13","5","    Nondurable goods","DNDGRX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1780.2,1796.8,1805.1,1841.8,1825.7,1862,1874.3,1892.3,1881,1889.8,1898.6,1914.7,1921.7,1922.7,1927.4,1952.6,1966,1980.3,2017,2030.9,2046.3,2052.6,2068.5,2087.2,2114,2123.2,2127.9,2164.2,2182.1,2189.3,2200.3,2237,2241.6,2237.1,2240.2,2238.4,2226.2,2241.8,2212.2,2178.6,2180.2,2164.4,2172.5,2183.5,2201.6,2212.1,2226,2254.5,2265.1,2265.6,2259.7,2262.4,2273.9,2275.9,2281.1,2279.4,2306.3,2310.4,2323.8,2338.9,2341.3,2361,2375.2,2393.7,2397.8,2423,2447.9,2451.5,2457.6
"14","6","  Services","DSERRX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5245.4,5297.5,5356.2,5427.4,5510.8,5577.3,5629.2,5679.9,5709.6,5723.7,5733.7,5756.8,5791.9,5825.2,5848.2,5887.4,5909.4,5942.3,5986.9,6029,6084,6126.8,6177.1,6238.4,6271.5,6331.8,6388.4,6421.9,6464.4,6511.3,6541.2,6589.5,6623.8,6644.9,6673.4,6683.6,6710.5,6715.5,6708.1,6700.3,6662.5,6639.5,6642.7,6649.4,6670.6,6710.3,6744,6785.6,6812,6839.2,6876.6,6877.7,6898,6906,6909.7,6918.8,6931.4,6956.8,6978.1,7041.7,7065.7,7108.5,7163.8,7240.4,7277.4,7325.3,7363.4,7415,7464.5
"15","7","Gross private domestic investment","A006RX1",627.2,623.5,636.2,605.5,587.4,588.7,598.3,566.5,632.5,650.5,658.4,640.6,682.9,721.6,731.9,736.5,779.6,812.9,783.4,811.3,765,761.9,722.4,726.8,609.7,591.6,637.5,655.2,718.5,746.9,749.5,755.1,790.1,846.8,889.6,867.3,884.2,941.6,969.1,991.5,993.1,992.2,975.5,958.2,951.6,870.7,813.3,889.2,971.7,931.3,983.5,948.4,854.9,853.8,845.7,780.3,807.5,879.1,934.2,1025.1,1124.2,1160.7,1185.8,1170.4,1138.3,1157.7,1149.8,1192.2,1191.9,1171,1139.5,1143,1173.8,1174.4,1174.6,1254.6,1194.4,1222.9,1229.7,1248.4,1290.7,1278.3,1266.9,1257.7,1270,1270.4,1245.6,1176.3,1137.1,1137.2,1159.8,1201,1178.9,1245.7,1255.8,1294.2,1324.6,1332.1,1323.1,1392.5,1446.2,1517.1,1492.2,1553.5,1570.3,1537.7,1528.6,1566.7,1590.6,1667.7,1744.5,1743.9,1781.6,1880,1913.6,1940.7,2027.1,2013.4,2067.2,2125.5,2186.1,2188,2242.8,2308.6,2287.8,2424.5,2394.1,2395.6,2285.3,2277.1,2236.6,2126.9,2202.8,2224.9,2224.6,2220.7,2239.5,2251.3,2330.9,2413.1,2414.5,2500.9,2539.4,2590.6,2664.4,2630.5,2657.9,2737.6,2773.8,2755.7,2727.6,2663,2638.5,2674.7,2658.1,2605.2,2517.5,2472.6,2403.8,2190,1937.7,1820.5,1804.7,1949.6,2012.9,2116.9,2185.7,2166.1,2125.9,2208,2214,2373.7,2429.6,2489.1,2482,2462.2,2505.1,2537.2,2619.7,2647.1,2630.5,2709.5,2758.1,2772.5,2830.2,2864.8,2859.7,2852.7,2827.2
"16","8","  Fixed investment","A007RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2101.6,2151.2,2200.4,2210.5,2272,2322.9,2332.4,2337.5,2325.4,2294.7,2276.1,2223.8,2210.7,2205.2,2197.8,2190.9,2206.8,2254.4,2325.9,2370.9,2362.5,2422.8,2472,2518.2,2558.8,2599.2,2640.4,2645.5,2700.7,2676.8,2649.6,2622.8,2618.2,2624.9,2609,2586.3,2539.1,2503.4,2424.1,2263.8,2089.3,2011,2008.4,1994.1,1997.9,2062.8,2060.8,2103.1,2098.4,2140.2,2227.5,2280.6,2360.4,2399.8,2400.4,2441,2470.6,2486.3,2509.5,2541,2578.3,2613.4,2663.5,2679.7,2701.4,2735.5,2760.7,2763.2,2751.8
"17","9","    Nonresidential","A008RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1459,1497.3,1539.3,1544.9,1599.9,1650.5,1667.9,1672.3,1658.8,1621.2,1600,1553.6,1522.1,1501.9,1493,1475.1,1478.6,1514.3,1544.7,1566.8,1549.4,1583.8,1626.9,1661.4,1681.9,1706.1,1737.4,1744.3,1808.7,1831.3,1853.1,1865.2,1897.2,1934.4,1964.4,1997.6,1998.1,1986.6,1933,1820.1,1688.3,1634,1613.1,1598.4,1615,1659.3,1692.8,1728.1,1724.1,1761,1840.8,1883.1,1938.1,1973.7,1963.4,1981.4,2000.7,2005.7,2023.1,2065.5,2106.9,2129.8,2176.3,2180,2188.6,2210.6,2224.9,2213,2179.9
"18","10","      Structures","B009RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,497.6,492.4,492.2,497.3,507.8,529,547.6,549.5,534,536.9,541.2,489.4,463.4,438,417.3,411.4,408.5,419.3,417.5,418,409.3,411.6,417.9,417.7,423.1,420.9,418.6,422.3,437.8,450.9,458.9,458.4,474.8,500.6,524,536.8,539,547.7,543.7,530.3,490.5,453.3,422.6,386.5,359.7,369.8,364.4,371.2,343,366.7,388.2,400.9,419.5,429.9,425.5,417.5,411,422.6,440.4,444.7,464.6,464.4,462.3,467.1,458.2,465.2,456.6,450.7,438.2
"19","11","      Equipment","Y033RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,635.4,658,680.3,675.9,706.4,732.5,735.1,733.7,728.1,697.8,679.7,677,665.5,657.9,659.4,649.2,649.5,671.3,691,704.3,692.8,719.9,744.6,767.4,774.2,791,817.9,823.4,866.5,869.6,871.9,875.2,886.1,896.2,900.9,910,899.4,876.6,831.6,736.8,653.9,631.6,639.9,651.9,697.7,735.2,766.2,787.8,810.6,819.3,871,890.8,924.4,944,936,952.6,967.4,965.3,956,989.3,997.9,1013.7,1053.1,1040,1046,1046.9,1072,1066.4,1042.7
"20","12","      Intellectual property products","Y001RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371.3,385.3,400.3,407.6,419.4,425.3,427.5,432,435.1,430.2,426.6,420.1,419.8,425.8,430.1,427.9,433,436.6,446.2,452.9,454.7,457.8,468.6,478.4,487,495,499.9,498,503.8,511,522.9,532.1,537,538.9,541.1,552.4,561.2,563.3,558.2,552.5,543.6,549.4,550.9,559.8,557.6,554.7,563,570,571.9,576.3,583.5,593.3,596.1,601.7,603.7,613.8,625.3,620.3,628.3,633.7,645.7,653.4,663.8,675,687.1,701,699.6,699.4,702.4
"21","13","    Residential","A011RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,623,632.7,637.4,642.1,645.3,641.9,632,632.6,635.3,645.2,649.2,645,666.2,682.7,684.7,697.1,709.8,721,762.3,785,794.2,819.5,825.3,836.7,856.4,872.3,881.9,879.9,871.7,827.8,781.6,745.2,711.2,682.7,639.2,586.1,540,516.3,490.9,443.6,401,377,395.4,395.7,383,403.5,368.1,375.1,374.4,379.3,386.8,397.6,422.5,426.3,437.3,459.8,469.9,480.3,486,475.9,472.6,484.4,488.5,500.2,512.4,524,534.4,547.4,566.7
"22","14","  Change in private inventories","A014RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.5,45.3,51.5,107.5,23.6,108.7,68.7,63.9,-37.9,-12.8,-36.9,-97.4,-3.8,26.5,32.4,35.1,36.3,-0.2,7.6,46.6,56.4,81.9,71.1,76.2,111.3,33,18.2,94.8,78.6,84.4,81.9,41.4,19.6,49.4,50.2,23,-20.2,-26.4,-20.7,-67.4,-144.5,-190.1,-206.1,-49.6,9.8,48.8,116.2,58.1,25.1,57.5,-13,80.8,56,76.6,70.6,15.5,25.2,39.6,93.6,87.2,36.9,77.1,79.9,78.2,112.8,113.5,85.5,78.3,60.9
"23","15","Net exports of goods and services","A019RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-340.4,-371.1,-393.9,-402.9,-449,-464.9,-493.5,-503.8,-494,-483.8,-508.7,-521.8,-546,-567.7,-585.1,-638.4,-620.3,-649.7,-642.1,-655.4,-676.1,-740,-753,-769.9,-774.1,-773.5,-777.7,-803.9,-799,-799.1,-819.7,-759.3,-771,-753.7,-703.2,-622.6,-623.7,-550.4,-526.9,-530.3,-451.3,-366.3,-383.6,-380.4,-408.8,-469.7,-498.4,-458.1,-466.2,-455.2,-454.3,-461.7,-462.7,-452.7,-446.8,-426,-425.9,-434.2,-428.3,-381.5,-434,-443.3,-429.1,-463.6,-541.2,-534.6,-546.1,-551.9,-566.6
"24","16","  Exports","A020RX1",145.2,177.8,173.6,179.5,180.9,188.9,188.3,190.1,190.8,190.4,198.3,181.7,201.4,195.5,207.4,216.1,232,243.2,244,256,259.2,271.8,257.2,263.9,265.8,258,253.7,268,266.2,268.9,276.7,279.5,275,282.4,284.6,275.5,281.9,311.3,314.7,327.2,327.5,328.4,340.2,361.6,371.7,378.7,377.9,375.6,382.7,384.8,376.6,378.4,362,364.1,348,332.1,337.4,338.4,343.5,350.5,357.8,366.7,374.8,382.4,383.4,382.5,377,388.3,400.5,404.8,414.1,429.5,429.8,447.5,466.9,484.3,511.2,525.5,535.9,552.2,568.7,593.6,599.7,608.7,635.2,643.1,648,653.7,657.7,681.6,697.8,713.5,726.4,726.7,742.1,745.9,747.6,756.5,754.5,778.9,786.5,813.1,843.5,863,879.6,891.9,930.5,943.8,955.2,970.7,978.6,1039.6,1059.4,1101.7,1127.2,1125.7,1130.9,1118.5,1113.3,1154.5,1126.4,1137.9,1171.3,1200.9,1219.2,1254.7,1285.5,1274.3,1254.5,1213,1154.1,1118,1140.9,1172.1,1180.5,1164.5,1157.6,1156.2,1187,1239.2,1276.6,1293.1,1300.6,1332.1,1352.6,1377.6,1379.2,1418.1,1471,1498.5,1495.5,1562.1,1587.7,1615.7,1665.6,1716.7,1737.9,1790,1766.1,1669.2,1535.3,1539.4,1593.3,1682.9,1708.2,1748.1,1797.5,1852.6,1862.3,1890.7,1910.6,1929.7,1942.6,1964.4,1974.1,1971.7,1976.6,2000.5,2021.1,2074.2,2038.7,2086.8,2096,2123.9,2091.4,2117.5,2121.1,2110.3,2096.7
"25","17","    Goods","A253RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,793.8,805.1,826,852.6,869.3,895.5,928.4,915.7,902.1,866.1,818.4,800.3,798.9,826.9,832.3,813.1,815.4,815.5,832.7,869,886,899.3,907.8,924.8,942.5,971.7,970.2,997.8,1041.9,1056.9,1058.3,1091,1105.6,1122.8,1155.8,1181.7,1211.8,1249,1241.2,1144.1,1027.6,1020.8,1070.9,1141.2,1173.7,1204.1,1229.9,1265.4,1274,1289.5,1300.5,1326.2,1332.2,1347.6,1355,1341.9,1343.3,1367.8,1384.6,1433.4,1398.4,1439.1,1460.1,1474.3,1429.3,1452,1448.8,1428.9,1416.6
"26","18","    Services","A646RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331.7,331.7,344.2,346.8,348.3,357.6,354.9,356.7,350.4,345.3,334.4,316.1,341.1,344,347,350.6,341.1,339.6,353.4,369.3,390.1,393.1,391.9,406.6,409.3,404.8,407.9,419.2,427.8,440.4,435.8,470.1,481.2,492,508.9,534.4,525,539.8,523.4,524.9,507.6,518.7,522.5,541.7,534.2,543.6,567.2,587,588,601.2,610.3,603,610.1,616.4,618.6,629.9,633.3,632.4,636.1,640.2,639.8,647.3,635.4,649.1,660.6,664.4,670.7,678.9,677.3
"27","19","  Imports","A021RX1",213.9,256.1,252.8,250,249.2,254.1,253.5,257.5,254.4,273.6,279.7,260.7,298.8,288.2,294.2,307.5,321.7,312.4,303.8,306,295.7,311.3,305.9,302.8,272.4,250.6,271.5,286,303.9,317.1,330,340.9,357.1,360.3,355.3,360.4,384.5,385.8,390.8,396.2,395.1,397.2,391.1,399.7,400,371,344.3,362.8,378.3,378.9,374.6,385.3,374.3,368.2,385.3,370.2,378.6,407.7,439.5,461.1,498.1,519,532.4,548,535.9,562.3,556.8,578.7,578.1,602.7,619.4,624.2,620.5,636,648.3,663.2,660.1,652.5,667.9,688.3,691.5,694.8,693.8,706.4,728.8,727.6,724.6,705.2,697.1,709.5,729.5,745.6,751,763.4,775.4,794,811.2,827.9,838.8,872.5,892.9,926.1,952.2,979,1000.4,1009.9,1013.4,1026.4,1059.7,1083.4,1118.6,1140.6,1189.3,1229.3,1274.6,1302.1,1351,1381.9,1400.5,1445.7,1466.9,1509,1565.2,1603.8,1668.1,1719.6,1779,1778.1,1748.5,1696.8,1662.8,1639.8,1686.9,1739.8,1765.6,1802.9,1777.9,1805.9,1829.1,1894.6,1952.7,2033,2053.6,2102,2126.8,2151.2,2156.9,2222,2269.9,2297.6,2315.2,2321.4,2358.7,2369.4,2368.7,2339.3,2361.6,2340.4,2293,2199.5,1986.7,1905.7,1977,2063.4,2116.9,2217.8,2296,2310.7,2328.5,2345.9,2364.9,2391.3,2405.3,2417,2420.9,2397.8,2402.6,2434.7,2449.4,2455.7,2472.7,2530.1,2525.1,2587.5,2632.5,2652.1,2667.2,2662.2,2663.3
"28","20","    Goods","A255RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1222.5,1265,1314.2,1346.1,1399.3,1439.4,1488.8,1494.2,1467.1,1410.5,1383.7,1372.4,1398.1,1457.6,1483.8,1504.9,1487.6,1526.8,1530.7,1587,1631,1698.2,1722.4,1765,1787.5,1805.8,1810,1868.3,1900.1,1924.6,1944.9,1931.9,1965.1,1970.7,1968.4,1939.3,1950.1,1932.4,1883.8,1785.1,1594.1,1515.6,1585.1,1666.4,1719.4,1814.2,1880.4,1893,1917.7,1921.3,1931.8,1957.8,1969.9,1978.1,1981.2,1959.4,1964.7,1990.4,2003.3,2006.8,2029.9,2078.4,2074.1,2123.8,2161.1,2178.4,2186,2178.7,2175.2
"29","21","    Services","B656RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241.1,240.3,247,253.4,264.5,276,286,279.1,276.8,282.7,275.5,263.5,285,278.1,277.5,293.8,286.2,275,294,303.1,317.1,330.1,326.4,332.1,334.2,340.3,341.7,348.2,364.7,367.7,364.7,384.8,388.7,394,395.7,395.6,407.8,404.2,406.8,414.2,392.6,390,391.9,396.9,397.2,402.7,414.6,416.6,408.7,423.5,432.4,432.4,434.1,437.9,438.6,437.7,437.1,443.5,445.2,448.1,441.3,450.1,449.4,462.2,469.8,472.1,479.5,481.8,486.2
