"","Table 7#2#4B# Price Indexes for Motor Vehicle Output            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1967 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 24, 2009 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/23/2009 9:29:29 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","      Motor vehicle output","A953RG3",33.425,34.464,35.147,36.052,37.811,37.676,37.459,40.075,43.611,47.018,49.937,53.342,57.383,62.066,66.603,69.604,72.172,74.547,76.541,78.067,80.658,80.975,83.825,85.05,87.865,89.918,93.479,97.782,100.268,102.67,103.736,102.319,102.768,102.676,101.704,100.972,98.704,98.99,100,99.687,98.891,96.404
"9","2","        Auto output","A133RG3",37.542,38.736,39.442,40.27,42.082,41.657,41.214,43.748,46.982,50.629,53.262,56.458,60.522,65.252,68.824,71.491,74.219,76.28,78.337,79.725,83.628,83.654,86.535,87.11,89.799,91.616,94.584,98.885,101.2,104.081,105.262,103.642,102.756,102.629,101.958,102.259,98.333,98.62,100,101.04,100.439,98.424
"10","3","        Truck output","A716RG3",26.152,26.89,27.585,28.753,30.546,31.105,31.357,34.161,38.261,41.296,44.792,48.568,52.582,57.225,63.873,67.658,69.97,72.987,74.912,76.694,77.175,77.952,80.79,82.972,86.021,88.451,92.812,97.146,99.83,101.786,102.755,101.495,102.909,102.841,101.652,100.217,98.9,99.185,100,98.909,97.997,95.194
"11","4","Final sales of domestic product","AB60RG3",33.665,34.715,35.399,36.313,38.073,37.926,37.735,40.345,43.863,47.276,50.177,53.559,57.614,62.312,67.021,70.034,72.583,74.916,76.916,78.414,80.966,81.224,84.098,85.348,88.207,90.213,93.729,98.062,100.513,102.906,103.96,102.533,102.966,102.802,101.804,101.138,98.699,98.987,100,99.661,98.862,96.406
"12","5","  Personal consumption expenditures","AB61RG3",30.263,31.295,31.865,32.721,34.382,34.44,34.805,36.902,40.624,43.78,46.261,49.673,53.194,56.66,61.455,64.743,67.718,70.603,72.528,74.871,78.713,79.952,82.414,82.676,85.27,87.058,91.292,96.302,100.68,103.052,103.589,102.424,102.842,103.224,103.366,102.549,99.308,98.487,100,99.591,98.368,96.445
"13","6","    New motor vehicles","AB67RG3",35.784,36.796,37.371,38.436,40.036,39.744,39.756,41.974,45.749,48.596,51.158,55.019,59.269,63.909,67.702,70.349,72.153,74.253,76.742,80.066,82.432,83.751,85.644,87.484,90.896,93.243,95.952,99.462,101.936,103.924,104.61,104.08,104.012,103.888,103.323,101.639,100.176,99.509,100,99.356,98.313,96.842
"14","7","      Autos","A136RG3",37.405,38.459,39.062,40.173,41.857,41.544,41.556,43.864,47.806,50.784,53.459,57.507,61.943,66.775,70.689,73.469,75.295,77.323,79.697,83.104,85.94,87.48,89.141,90.323,93.521,95.65,97.923,101.048,103.151,104.749,104.85,104.047,103.192,103.203,102.732,101.535,99.618,99.055,100,100.907,100.491,100.164
"15","8","      Light trucks (including utility vehicles)","B704RG3",33.044,34.032,34.542,35.553,36.904,36.701,36.721,38.82,42.333,44.956,47.332,50.858,54.81,59.17,62.944,65.325,67.228,69.721,72.661,75.922,77.262,78.147,80.528,83.596,87.425,90.136,93.485,97.512,100.453,102.898,104.214,103.95,104.616,104.367,103.724,101.698,100.513,99.786,100,98.29,96.808,94.488
"16","9","    Net purchases of used autos and used light trucks","W240RG3",15.839,16.849,17.386,17.716,19.454,20.492,21.954,23.791,27.386,31.499,33.891,36.095,37.504,37.72,45.263,50.498,57.565,63.485,63.629,62.766,71.792,72.851,77.224,73.018,73.765,74.41,81.864,90.099,98.35,101.446,101.722,99.476,100.733,102.036,103.562,104.564,97.368,96.195,100,100.096,98.501,95.731
