"","Table 2BU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127"
"11","3","A   Durable goods manufacturing industries","KP30D0",164963,169303,170041,173891,171201,175385,180701,175806,178542,177798,180303,181038,177807,185714,185861,183699,182725,179460,177674,182490,185680,188965,190052,190612,190410,193485,191592,193220,194403,192811,194007,196698,194023,194748,195834,196142,203272,194431,198176,201388,198829,200799,197585,195428,199253,195028,192785,193656,185591,191354,189776,181802,186500,183702,182148,180592,174679,176463,177244,178898,180384,178802,176283,182647,181946,178357,183764,181213,180323,182170,179709,175404,178553,178812,176855,176342,176455,176754,180485,175381,181143,181662,180988,181155,178857,179427,186036,183325,180766,182059,182000,184858,182960,182989,184151,186764,187926,184786,185682,186790,188345,187710,186617,191472,190708,193359,193623,198853,196519,196482,196668,193597,198241,197278,194628,198518,191997,193521,192979,194296,192554,189273,191322,194610
"12","4","A     Wood product manufacturing","KP3210",7182,6988,7074,7175,7075,7220,7504,7273,7485,7335,7503,7430,7674,7745,7724,7562,7514,7732,7643,7475,7389,7669,7839,7945,7693,8047,7844,8080,8038,7675,7849,7663,7695,7821,7922,8035,8308,8067,8576,7875,7975,7684,7531,7601,7659,7613,7369,7436,7228,7351,7225,7363,7548,7386,7413,7476,7496,7457,7372,7400,7469,7478,7460,7534,7586,7478,7548,7413,7340,7418,7692,7550,7550,7185,7364,7353,7224,7453,7394,7547,7436,7551,7610,7335,7383,7077,7452,7626,7605,7433,7572,7849,7438,7237,7471,7789,7489,7508,7535,7461,7521,7453,7498,7593,7590,7650,7914,7920,7935,7935,7640,7224,7160,7288,7040,7156,7001,6834,6811,7556,6666,6462,6600,6674
"13","5","A     Nonmetallic mineral product manufacturing","KP3270",7309,7470,7535,7650,7576,7596,7687,7659,7738,7635,7661,7683,7827,7899,7936,7975,8127,8057,8019,7953,7957,7976,8123,8297,8105,8189,8153,7992,7986,8046,7993,8168,8147,8183,8371,8309,8354,7935,8284,8288,8068,8040,8180,8020,8158,8109,7920,7884,7702,7908,7855,7839,8026,7944,7944,7914,7613,7811,7698,7694,7789,7702,7131,7299,7208,7111,7113,7197,7131,7055,7039,7084,7218,7159,7197,7264,7342,7445,7572,7518,7797,7888,7111,7243,7173,7094,7733,7661,7459,7581,7694,7673,7557,7576,7747,7821,7661,7661,7824,7818,7871,7889,7782,7864,7919,7994,8030,8066,8115,8155,8101,7860,7986,7963,7813,7734,7683,7679,7522,7549,7379,7429,7539,7488
"14","6","A     Primary metal manufacturing","KP3310",12951,13282,13033,13250,13068,13337,13334,13231,13431,13401,13738,13723,13887,14255,14044,13976,13791,13564,13476,13717,13505,13502,13325,13290,13395,13493,13431,13278,13558,13458,13476,13603,13648,13466,13663,13928,13966,13244,13448,13429,12923,13237,13107,12674,12828,12597,12486,12366,11966,12231,12124,11814,12161,12011,12062,12028,11640,11750,11673,11430,11622,11372,11661,12045,12004,11744,11857,11881,11662,11774,11386,11247,11465,11195,11295,11257,11350,11025,11420,11062,11250,11399,11454,11759,11691,11709,12384,12071,11926,12362,12606,12477,12359,11927,12141,12423,12217,11998,12124,12054,11911,11895,11763,12241,12375,12288,12111,12241,12399,12101,12367,12003,12468,12362,12342,12270,11727,11450,11559,11770,12048,11837,11923,11628
"15","7","A     Fabricated metal product manufacturing","KP3320",19800,20283,20257,21059,20419,20877,20814,20862,21163,21135,21174,21108,21035,21680,21545,21297,21473,21467,21535,21422,21506,21441,21491,21731,21567,21671,21324,21501,21584,21514,21588,21569,21608,21738,22108,22081,22644,21835,22675,22758,22375,22745,22488,22200,22425,21899,21768,22053,21230,21536,21458,20833,21288,20865,20821,20977,20443,20696,20585,20456,20688,20312,20299,21080,20865,20786,21078,20990,20950,20971,20615,20581,20088,20851,20238,20115,19962,19733,20239,19430,19721,19970,19735,20000,19482,19215,20479,20103,19839,19848,20122,19974,20004,19658,20098,20050,19991,19827,19960,19924,20115,20137,19694,20147,20289,20266,20270,20603,20948,20863,20841,20808,21042,21003,20620,20807,20437,20245,20143,20541,20566,20295,20354,20710
"16","8","A     Machinery manufacturing","KP3330",21971,22637,22833,23216,22711,23250,23607,23248,23892,23812,23770,24073,24091,24336,24773,23922,24087,24443,23966,23081,23294,23396,23037,22892,22611,22867,22843,22748,23003,23320,23083,23337,23623,23576,23689,24034,25051,23646,24701,24740,24201,24361,24611,24514,24467,24019,23761,23691,24577,24070,23386,22400,22738,21835,21958,22299,20488,21146,20653,20010,21549,22083,20772,20958,21843,21014,21316,21211,20924,20924,20779,20445,19916,20273,20097,19965,20313,20182,20126,19850,20046,19938,19873,20645,20111,19779,21355,21436,20744,21550,21883,21580,22048,22296,21598,22590,22687,22250,22013,22093,22448,22225,22459,22832,22827,23374,23501,23747,24306,23476,23819,24167,24308,24424,24872,25036,24506,25081,24543,24364,22562,23066,23309,24574
"17","9","A     Computer and electronic product manufacturing","KP3340",28454,29409,30623,29909,30297,31875,31796,32371,32791,32122,31638,32814,31729,33439,33354,33235,32280,33915,33062,33567,34360,34434,35126,35389,35558,36136,35897,37070,37353,37724,39217,38489,38257,38314,38389,37587,40711,39731,40598,42527,42643,42442,43140,43416,43822,43423,42915,44040,42044,42162,41183,38105,37093,37151,35502,34132,34349,34101,33988,35604,35130,34698,34599,35054,34843,34494,35411,35304,35658,35938,36152,35190,35953,35529,35228,35005,34723,35179,34983,35532,35993,37091,36665,36852,36814,36237,36228,37505,37217,36267,38252,38552,37694,39258,39744,39622,41455,40444,40711,41633,41787,41483,41804,43316,42720,43493,43731,45386,45166,47624,46076,45344,46532,46160,46612,47160,45323,46130,46948,43638,47692,45262,44936,48359
"18","10","A     Electrical equipment, appliance, and component manufacturing","KP3350",9025,9104,9037,9452,9264,9337,9376,9281,9731,9845,9777,9471,9642,9917,9780,9630,9641,9647,9753,9669,9859,9699,9781,10011,9648,9875,9850,9993,10024,9836,10098,10356,9906,9940,10151,9978,10646,10388,10493,10388,10421,10604,10468,10330,10358,10284,10593,10467,10175,10455,10252,9906,10068,9783,9309,9356,8730,8888,8567,8835,8559,8540,8691,8925,8956,8605,8743,8601,8575,8707,8796,8618,8525,8392,8400,8393,8351,8347,8488,8097,8444,8469,8481,8501,8201,8160,8272,8362,8230,8207,8457,8359,8267,8209,8307,8306,8353,8439,8279,8307,8452,8475,8547,8674,8654,8800,8629,8501,8734,8633,8717,8677,8755,8570,8648,8597,8288,8322,8170,8386,8575,8578,8816,8884
"19","11","A     Transportation equipment manufacturing","KP3360",45140,46525,45969,48825,47261,47916,52988,48289,48298,48517,51139,50693,47586,51968,51945,51778,51819,45561,45527,50942,53134,56263,56564,56095,56748,57971,57010,57457,57682,56178,55704,58450,55979,56551,56282,56806,58381,54618,53887,55384,54371,55687,51969,50629,53431,50858,49912,49706,44935,49544,50516,47825,51913,51463,51492,50545,48690,49313,51549,52477,52071,51284,50355,53989,52675,51586,54714,52748,52616,53616,51440,48565,51988,52296,51072,51183,51210,51695,53884,50163,54337,53152,53804,52872,52091,54465,55899,52647,51955,52386,49445,52463,51563,50957,50927,51500,51705,50420,50840,51246,51856,51757,50821,52727,51968,53276,53163,56391,52404,52120,53061,51200,53763,53021,50289,53551,50709,51900,51947,54047,51760,50654,51903,51151
"20","12","D       Motor vehicle and parts manufacturing","KP3MV0",33612,34261,33307,35111,33867,34206,38325,35458,35000,35879,37125,36590,33746,37414,37568,37062,37921,31341,31174,36437,37781,39480,40182,40714,40757,42294,41825,41398,42083,41930,40429,42122,41948,41620,41710,42116,43306,40970,41257,41034,39121,40684,38682,36297,39232,37754,35842,36115,31620,35396,36787,34814,37490,36202,37018,36053,33992,35293,37034,37480,37382,36864,35697,39908,38963,37786,40382,39558,38588,39808,37361,35121,39610,38843,38168,38671,38656,38874,41060,38040,41211,40688,40382,40443,39763,40889,42864,40435,38779,39445,36787,39372,38843,37947,38659,39678,38831,38324,37664,37252,38505,38733,37739,39210,39578,39478,38124,39453,38855,37625,38670,37581,39194,38688,36141,38523,35153,36671,36553,38737,35741,35726,36674,35843
"21","13","D       Other transportation equipment manufacturing","KP3OT0",11486,12240,12665,13729,13415,13738,14674,12825,13308,12624,14022,14118,13871,14571,14389,14741,13901,14270,14406,14527,15382,16826,16412,15388,16009,15681,15184,16075,15603,14231,15284,16346,14014,14930,14568,14686,15072,13643,12622,14349,15255,15007,13291,14332,14203,13111,14067,13588,13298,14135,13728,13012,14418,15234,14465,14476,14665,14008,14507,14980,14679,14411,14631,14116,13747,13819,14366,13255,14046,13855,14078,13434,12487,13500,12964,12600,12640,12898,12942,12220,13231,12595,13494,12558,12449,13646,13182,12358,13225,13019,12691,13159,12800,13048,12377,11991,12945,12217,13186,13922,13373,13083,13104,13549,12540,13815,14886,16643,13583,14378,14325,13595,14505,14275,14012,14890,15220,14995,15135,15145,15657,14687,14992,15029
"22","14","A     Furniture and related product manufacturing","KP3370",5415,5741,5624,5533,5510,5520,5505,5471,5614,5628,5726,5686,5960,5962,6027,5901,5753,5927,6077,5957,5993,6002,6062,6157,6171,6277,6161,6075,6229,6202,6104,6162,6193,6056,6072,6207,5955,6025,6239,6422,6264,6300,6301,6346,6270,6362,6254,6214,6156,6290,6158,6106,6009,5722,5984,5985,5704,5767,5729,5729,5850,5726,5680,5870,5756,5730,5752,5693,5570,5603,5516,5779,5624,5659,5591,5502,5682,5714,5875,5892,5901,5866,5896,5671,5896,5691,5695,5900,5906,5913,6005,5981,5861,5936,5901,5999,5982,6046,6119,6240,6235,6188,6205,6090,6215,6206,6353,6439,6407,6351,6334,6477,6419,6406,6241,6322,6257,6214,6052,6184,6016,5947,6036,5961
"23","15","A     Miscellaneous durable goods manufacturing","KP3390",8273,8391,8364,8416,8429,8710,8535,8304,8606,8662,8605,8634,8718,8823,9078,8720,8644,9288,8825,8951,8915,8854,8933,9025,9118,9156,9269,9139,9064,8949,8910,8997,9041,9165,9248,9250,9275,8937,9253,9572,9581,9690,9783,9697,9834,9868,9812,9823,9617,9838,9645,9613,9604,9516,9581,9745,9465,9435,9322,9215,9540,9467,9553,9764,10057,9681,10088,10042,9811,10074,10252,10255,10211,10187,10309,10229,10178,9916,10329,10283,10159,10409,10393,10338,10127,10051,10318,10059,9953,10330,10013,10056,10189,10370,10628,10911,11062,10756,10838,10779,10931,10938,10896,10957,10930,10931,10892,10845,11161,10991,11058,11148,11235,11451,11590,11584,11588,11556,11411,11444,11428,11335,11346,11531
"24","16","A   Nondurable goods manufacturing industries","KP30N0",146427,148362,147334,148981,149848,149570,150453,150306,150971,151283,152879,151678,153168,153342,152652,151628,151595,151970,150297,151713,151560,150733,150326,151344,150753,153813,152416,150372,151387,152879,151495,152371,151919,153056,155191,152549,154187,151365,152447,153713,153757,153839,152719,152857,152515,151934,151373,151129,149469,152749,150059,147561,149591,145993,148859,149952,144798,148873,147672,149310,150152,147860,147020,146747,148728,147998,147250,147519,145913,146886,146877,147758,145782,142896,143548,142287,144095,144208,146696,144828,145636,145957,143003,144922,144880,142148,147878,146784,146644,147677,147894,149388,146992,148937,147405,147023,148853,146421,148798,146167,148558,146398,145738,147244,143580,141104,143250,142691,146586,142659,144422,143872,145004,141601,142748,141737,138402,140739,137377,137703,137455,136145,137716,135371
"25","17","A     Food manufacturing","KP3110",33548,33808,33718,33758,34175,34165,34444,34118,34013,34006,34549,34971,36037,35775,35963,35982,35225,35381,35087,35646,35334,35638,35561,35449,35328,36054,36140,35548,36248,36024,35801,35738,35986,35862,36280,36004,36032,35132,35852,36769,35954,36276,36333,36426,36500,36381,36296,36256,36258,36504,36605,36520,36286,36239,36304,36207,36011,36079,36652,36869,37047,36895,36769,36618,37019,36252,36525,36764,35125,36726,36720,36543,35584,35377,35455,35407,35247,35279,35875,35825,35592,34976,34314,34807,34751,33667,33739,34321,33649,34018,35135,36399,36142,37011,37057,35963,36617,36568,35616,35915,36407,36538,36292,36505,36644,36091,36763,36711,36730,36810,36677,36841,36742,36143,36363,36323,35857,36374,35927,35313,35039,34405,34152,34241
"26","18","A     Beverage and tobacco product manufacturing","KP3120",9702,9568,10135,9493,10007,9823,9888,10077,10047,10325,10609,9988,9830,10434,10305,9939,10123,10440,10016,10215,10057,10062,9541,9344,9306,9453,9752,9185,9269,9725,9276,9426,8943,9366,9418,8792,9358,8852,9575,8987,9739,9367,9175,9533,9000,9313,9515,9176,8900,9309,9356,8917,9869,9343,9312,10040,8910,9875,8789,9047,8953,8392,8940,8248,8694,8499,8338,8348,8218,8172,7936,7964,8137,8102,8747,8463,8574,8717,8744,8628,8571,8689,8472,8573,8436,8291,9260,8723,8783,9201,8736,8966,8924,8784,8722,8642,8363,8287,8386,8518,8905,8886,8711,9141,8575,8761,8857,8825,8855,8690,8815,8738,9188,9100,8772,9284,8636,9078,9068,8602,8841,8686,9054,8993
"27","19","A     Textile mills","KP3130",4760,4814,4781,4763,4676,4641,4701,4544,4706,4709,4680,4679,4864,4799,4821,4585,4611,4579,4648,4619,4467,4531,4575,4494,4637,4500,4338,4565,4571,4500,4431,4423,4516,4465,4513,4567,4355,4388,4474,4397,4326,4430,4392,4345,4292,4233,4205,4136,4111,4074,3937,3823,3887,3833,3795,3811,3750,3739,3553,3630,3590,3665,3657,3872,3750,3679,3852,3669,3607,3690,3685,3486,3589,3595,3636,3540,3460,3587,3571,3499,3577,3677,3503,3437,3450,3344,3364,3407,3356,3207,3361,3254,3264,3199,3168,3210,3157,3143,3005,3057,3022,3002,2912,2713,2613,2652,2687,2665,2689,2654,2664,2626,2619,2624,2662,2581,2548,2624,2560,2479,2615,2534,2466,2465
"28","20","A     Textile product mills","KP3140",2515,2588,2580,2625,2570,2590,2639,2650,2657,2679,2673,2709,2708,2685,2525,2623,2572,2589,2614,2559,2626,2620,2619,2651,2717,2682,2656,2723,2739,2726,2779,2771,2787,2848,2863,2763,2902,2868,2930,2862,2851,2824,2781,2810,2750,2709,2689,2579,2750,2709,2643,2556,2594,2611,2625,2635,2635,2607,2615,2628,2627,2786,2755,2853,2880,2839,2811,2810,2838,2853,2874,2872,2563,2570,2578,2578,2498,2467,2528,2485,2542,2600,2587,2978,2786,2700,2781,2705,2698,2692,2723,2722,2637,2722,2703,2730,2758,2719,2683,2670,2677,2677,2687,2717,2772,2741,2743,2717,2728,2715,2712,2707,2737,2715,2681,2598,2563,2541,2515,2587,2555,2527,2508,2511
"29","21","A     Apparel manufacturing","KP3150",5519,5698,5426,5815,5672,5658,5775,5760,5919,5864,5968,5675,5618,5609,5524,5509,5422,5525,5446,5447,5388,5235,5251,5292,5388,5324,5287,5318,5258,5226,5177,5105,5136,5130,5113,5053,5096,5108,5337,5047,5081,5035,4817,5073,4986,4995,4882,4879,4775,4859,4850,4710,4607,4513,4310,4481,4397,4467,4314,4495,4436,4458,4362,4614,4597,4487,4633,4505,4527,4435,4610,4502,4333,4155,3938,3843,3763,3813,3775,3630,3554,3509,3395,3301,3232,3093,3200,3147,3143,2949,3044,3002,3020,3055,3007,3091,3119,3046,3041,2971,3087,3130,3088,3089,3088,3161,3331,3435,3272,3288,3408,3408,3456,3310,3245,3163,3190,3209,3225,3259,3251,3253,3263,3311
"30","22","A     Leather and allied product manufacturing","KP3160",916,950,948,933,907,926,919,896,893,870,871,933,926,922,903,876,858,858,825,831,830,762,833,922,807,797,796,788,811,788,829,822,824,823,818,894,792,741,800,824,815,806,830,807,751,794,779,884,819,767,778,725,742,697,661,664,650,685,672,736,757,758,744,803,827,863,880,880,905,879,909,866,781,735,674,639,600,579,591,575,545,570,579,566,558,548,569,580,571,623,617,619,612,621,612,499,646,594,580,583,607,576,547,559,559,540,549,543,553,573,565,541,556,582,594,581,607,624,519,554,579,599,603,586
"31","23","A     Paper manufacturing","KP3220",13299,13624,13566,13878,13608,13563,13512,13633,13671,13819,13993,13972,13917,13733,13848,13842,13991,13836,13832,13818,13683,13727,13521,14120,14119,14382,13647,13703,13647,13740,13702,14370,14153,13959,14369,14398,14302,14079,14201,14130,13612,13669,13730,13278,13668,13279,13517,13692,13289,13812,13524,13258,13005,12785,12789,12830,12540,12820,12644,12289,12712,12161,12439,12654,12886,12641,12999,13519,13136,13189,12826,13254,13125,13087,13027,12734,12542,12590,12408,12227,12225,12306,12225,12211,12852,12510,12661,12653,12577,12961,12715,12808,12515,12390,12436,12424,12757,12751,12717,12637,12697,12617,12318,12187,11942,12259,12328,12362,12821,12512,12457,12548,12574,12353,12257,12242,12048,12017,11899,12599,11837,11721,11759,11793
"32","24","A     Printing and related support activities","KP3230",8414,8531,8279,8426,8537,8517,8465,8414,8649,8591,8488,8552,8536,8491,8556,8581,8546,8523,8639,8618,8647,8655,8803,8353,8707,8641,8698,8612,8553,8712,8674,8654,8648,8522,8763,8763,8626,8761,8610,8597,9088,9002,8806,8678,8655,8465,8497,8604,8580,8657,8565,8291,8540,8304,8254,8267,8011,8106,7999,7980,8077,7864,8077,8022,8073,8049,8037,8148,8140,8206,8090,8125,7996,8049,7949,8044,7872,7647,7551,7663,7674,7590,7754,7813,7704,7624,7806,7754,7780,8028,7923,7700,7831,7742,7726,7803,7735,7624,7600,7556,7479,7433,7321,7292,7256,7265,7161,7002,7208,7209,7117,7220,7349,7398,7389,7354,7259,7285,7433,7399,7444,7403,7429,7405
"33","25","A     Petroleum and coal product manufacturing","KP3240",19022,19088,18564,19088,20035,19821,20162,20309,19954,19609,19581,18911,19305,19459,19825,19471,19936,19912,19038,19714,19955,19441,18785,19888,19263,20439,20206,18665,19482,20168,19955,19694,19417,20437,20925,19582,20309,19769,18908,19239,20027,19748,19493,19673,19279,19938,19459,18911,19656,19475,18830,18998,19334,18346,20071,20005,18477,20577,20738,22565,22595,22069,20766,18754,19731,19712,19692,19561,18709,18098,18498,19169,18531,16022,16107,17477,19504,18618,18444,18464,18451,18829,18648,18659,18640,18773,20314,19719,19952,19738,19234,19386,19210,19410,18442,19451,20151,19079,21396,19229,20211,19279,18925,19016,18110,16750,17320,17549,18960,17399,18400,17350,17421,16278,16732,16171,16296,17142,15689,16019,16549,16116,17009,15094
