"","Table 8#7# Selected Per Capita Product and Income Series in Curr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231"
"11","2","  Gross national product","A791RC",1499,1552,1615,1631,1666,1682,1703,1764,1799,1840,1876,1877,1833,1800,1802,1776,1836,1892,2001,2066,2158,2201,2236,2255,2266,2263,2294,2366,2401,2416,2398,2355,2343,2338,2357,2400,2469,2509,2550,2577,2582,2607,2625,2662,2707,2709,2739,2694,2642,2657,2722,2786,2833,2897,2891,2902,2954,2940,2944,2903,2916,2964,3009,3067,3129,3158,3184,3193,3229,3264,3319,3357,3433,3469,3518,3530,3629,3685,3759,3859,3971,4008,4063,4122,4165,4178,4243,4309,4437,4549,4613,4684,4794,4857,4942,4968,5020,5085,5153,5144,5356,5443,5520,5564,5741,5895,6000,6163,6388,6549,6636,6815,6884,7042,7146,7290,7339,7489,7735,7963,8220,8357,8493,8695,8933,9219,9470,9636,9800,10328,10586,10928,11142,11390,11705,11947,12223,12198,12405,12894,13467,13577,13973,14040,13960,14186,14251,14370,14612,15067,15433,15854,16339,16714,16949,17138,17400,17625,17905,18150,18332,18429,18674,18825,19105,19422,19678,20133,20384,20780,21061,21453,21899,22181,22396,22603,23080,23349,23437,23454,23488,23671,23788,23989,24316,24600,24769,25165,25318,25508,25671,26060,26366,26764,26979,27352,27602,27711,27911,28227,28541,28999,29169,29542,29955,30460,30752,30953,31430,31587,31861,32386,32793,33009,33400,34053,34405,34946,35021,35250,35371,35441,35452,35636,36002,36077,36471,NA
"12","3","  Personal income","A792RC",1224,1253,1289,1303,1317,1299,1349,1366,1401,1433,1465,1458,1412,1397,1386,1387,1475,1475,1526,1583,1633,1672,1687,1714,1721,1737,1773,1803,1825,1844,1835,1827,1817,1804,1810,1838,1864,1901,1938,1959,1980,2009,2029,2062,2075,2095,2114,2105,2094,2099,2142,2161,2186,2228,2231,2253,2269,2287,2290,2288,2300,2323,2353,2391,2415,2448,2466,2487,2503,2521,2550,2589,2629,2667,2708,2745,2789,2831,2896,2955,3009,3050,3110,3169,3211,3238,3296,3343,3434,3524,3605,3672,3733,3812,3900,3960,4004,4095,4140,4165,4244,4341,4388,4456,4579,4646,4762,4956,5053,5182,5304,5474,5546,5654,5811,5907,5955,6079,6234,6394,6555,6673,6837,6993,7154,7321,7509,7740,7918,8192,8430,8664,8908,9082,9354,9639,9914,9977,10256,10669,10956,11101,11517,11629,11709,11876,11985,12115,12219,12431,12654,12997,13378,13724,14061,14246,14504,14650,14775,15019,15221,15344,15504,15628,15918,16144,16421,16782,17022,17276,17561,17869,18330,18515,18641,18885,19285,19556,19783,19831,19840,20033,20146,20299,20666,20895,20970,21480,21120,21557,21621,22001,21807,22305,22518,22851,23043,23181,23344,23562,23877,24200,24450,24667,25021,25271,25555,25907,26408,26804,27114,27336,27551,27719,27940,28396,29215,29636,30048,30284,30508,30502,30531,30434,30727,31052,31252,31481
"13","4","  Disposable personal income","A229RC",1108,1128,1161,1176,1181,1162,1210,1221,1254,1301,1338,1331,1289,1280,1274,1279,1363,1356,1399,1433,1471,1498,1505,1520,1520,1531,1565,1590,1611,1630,1625,1619,1626,1615,1623,1649,1670,1701,1733,1750,1765,1790,1806,1835,1845,1863,1881,1876,1869,1878,1915,1933,1952,1988,1988,2005,2015,2029,2030,2030,2042,2064,2092,2127,2145,2171,2183,2197,2212,2230,2259,2296,2344,2403,2436,2465,2491,2526,2599,2653,2690,2711,2760,2806,2846,2874,2919,2957,3035,3111,3142,3190,3218,3284,3380,3434,3484,3572,3643,3665,3761,3848,3888,3942,3997,4048,4161,4343,4444,4562,4663,4807,4865,4947,5077,5161,5208,5505,5515,5650,5795,5883,6017,6145,6279,6417,6594,6782,6946,7172,7353,7540,7758,7898,8115,8357,8639,8673,8910,9252,9489,9584,9942,10075,10158,10295,10448,10554,10684,10861,11146,11448,11808,12116,12398,12537,12643,12975,12964,13180,13395,13508,13630,13687,14002,13980,14354,14645,14915,15165,15446,15720,16036,16171,16266,16465,16892,17120,17316,17371,17456,17634,17735,17851,18259,18446,18488,18910,18632,18972,19003,19315,19152,19519,19770,20058,20207,20245,20414,20574,20780,20956,21198,21349,21576,21763,21971,22234,22644,22972,23191,23336,23500,23620,23763,24109,24745,25118,25447,25635,25785,25805,26387,25853,26759,27144,27404,27645
"14","5","  Personal consumption expenditures","A794RC",958,992,1050,1073,1093,1116,1135,1159,1172,1194,1208,1208,1196,1202,1192,1203,1217,1238,1323,1300,1367,1333,1344,1363,1367,1388,1398,1444,1461,1467,1465,1456,1462,1474,1482,1503,1535,1559,1577,1594,1596,1606,1618,1641,1660,1666,1686,1688,1680,1691,1713,1727,1763,1791,1813,1817,1822,1848,1840,1843,1838,1858,1866,1897,1919,1942,1956,1981,1994,2009,2038,2055,2098,2133,2172,2177,2227,2257,2297,2362,2410,2430,2470,2492,2507,2547,2576,2607,2691,2753,2826,2862,2916,2965,3008,3058,3105,3145,3193,3214,3297,3355,3404,3471,3546,3625,3702,3811,3920,3983,4062,4124,4201,4324,4443,4467,4576,4700,4842,4962,5113,5194,5317,5464,5613,5730,5857,6012,6133,6384,6514,6667,6833,6972,7187,7370,7568,7561,7792,8042,8261,8389,8556,8603,8743,8835,9005,9232,9370,9657,9887,10112,10302,10511,10636,10825,11078,11261,11516,11636,11778,11886,12154,12296,12443,12706,12938,13060,13348,13565,13804,14067,14249,14464,14643,14797,15083,15255,15468,15500,15494,15660,15763,15806,16148,16286,16438,16738,16811,17034,17235,17447,17609,17802,18032,18233,18362,18594,18767,18905,19125,19399,19508,19717,20002,20097,20419,20588,20821,21130,21338,21611,21868,22239,22542,22882,23311,23562,23847,24039,24330,24468,24491,24834,25040,25271,25579,25700
"15","6","    Durable goods","A795RC",89,104,120,131,136,139,141,152,151,154,161,158,154,167,172,178,184,186,234,207,221,188,183,183,186,186,175,201,210,208,204,198,193,196,193,203,222,235,244,237,225,225,223,233,238,235,232,228,216,211,214,220,236,245,248,235,240,245,241,233,218,223,229,239,243,249,251,261,266,271,274,279,289,295,304,292,320,318,327,337,352,338,350,350,342,358,357,361,386,394,415,415,424,424,424,423,416,420,423,398,448,461,470,487,502,516,530,555,593,586,583,569,558,576,601,553,573,595,638,666,709,718,731,755,791,813,830,855,843,921,920,940,944,936,971,959,970,879,934,978,1019,994,1039,972,1011,1020,1029,1078,1095,1179,1229,1296,1344,1381,1380,1425,1480,1497,1587,1527,1554,1611,1762,1741,1642,1720,1801,1750,1828,1833,1815,1872,1868,1892,1933,1870,1954,1881,1853,1796,1743,1746,1770,1738,1798,1809,1845,1886,1884,1955,2000,2059,2085,2107,2137,2194,2180,2198,2236,2242,2261,2310,2286,2296,2339,2294,2389,2403,2427,2503,2504,2617,2622,2692,2738,2782,2876,2837,2870,2815,2878,2884,2890,3087,2998,2985,3120,3036
"16","7","    Nondurable goods","A796RC",560,571,601,605,613,627,637,645,652,663,660,659,649,640,626,627,628,636,664,660,703,697,708,721,714,726,737,746,745,742,735,731,736,733,736,742,745,752,755,766,772,774,779,783,790,795,811,805,806,810,818,821,830,836,841,846,839,852,845,846,850,851,850,858,866,870,874,881,883,884,893,893,912,926,941,945,956,973,989,1024,1044,1059,1072,1072,1080,1087,1095,1107,1140,1164,1191,1201,1220,1241,1257,1277,1304,1318,1332,1351,1356,1370,1378,1395,1415,1452,1482,1521,1564,1592,1638,1680,1732,1781,1829,1848,1880,1927,1978,2007,2050,2079,2119,2159,2205,2238,2261,2323,2365,2442,2505,2573,2649,2717,2820,2908,2997,3020,3067,3142,3255,3292,3314,3336,3354,3357,3411,3444,3452,3521,3591,3624,3677,3744,3760,3788,3831,3880,3907,3958,3991,3955,3971,4012,4109,4172,4204,4239,4297,4374,4464,4539,4603,4701,4740,4799,4908,4943,5028,5059,5031,5068,5066,5034,5112,5111,5158,5238,5239,5280,5298,5339,5380,5424,5501,5549,5566,5612,5634,5675,5739,5834,5851,5941,5993,5978,6054,6055,6100,6162,6214,6294,6381,6513,6589,6748,6855,6974,7041,7101,7158,7189,7169,7151,7278,7344,7356,7437
"17","8","    Services","A797RC",309,317,329,337,345,350,357,362,369,377,387,392,392,395,394,398,404,416,425,433,443,448,453,459,467,476,486,497,507,517,526,527,534,544,552,559,568,572,578,591,599,606,616,625,631,637,643,654,658,670,681,686,698,711,723,736,742,752,755,763,770,784,787,800,810,823,830,840,845,854,870,883,898,912,926,941,951,966,981,1001,1014,1033,1048,1069,1085,1103,1123,1139,1164,1195,1221,1247,1272,1300,1326,1357,1385,1406,1437,1465,1493,1524,1555,1590,1630,1657,1690,1735,1763,1804,1840,1875,1911,1967,2012,2067,2123,2179,2226,2290,2354,2398,2467,2550,2616,2679,2765,2834,2925,3021,3089,3154,3240,3319,3396,3502,3600,3663,3790,3922,3988,4102,4204,4295,4377,4457,4566,4710,4823,4957,5067,5192,5280,5386,5496,5612,5767,5884,6022,6151,6233,6320,6420,6543,6693,6814,6934,7071,7223,7358,7526,7656,7778,7870,7970,8128,8222,8432,8587,8645,8720,8846,8927,9033,9239,9366,9435,9614,9689,9799,9937,10049,10144,10271,10395,10491,10615,10783,10897,10987,11125,11255,11371,11480,11670,11826,11976,12130,12293,12466,12621,12700,12864,13035,13216,13352,13579,13751,13936,14123,14293,14396,14432,14596,14765,14942,15102,15227
"18",NA,"Chained (1996) dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","9","  Gross domestic product","A939RX",NA,NA,NA,NA,10350,10357,10336,10448,10551,10674,10671,10642,10448,10378,10450,10296,10676,10958,11332,11484,11566,11716,11896,11862,11951,11913,11937,12277,12455,12511,12375,12120,12009,11978,12052,12231,12529,12678,12790,12795,12686,12734,12661,12805,12823,12741,12808,12617,12231,12255,12476,12698,12912,13198,13136,13121,13306,13193,13162,12934,12957,13149,13310,13523,13710,13810,13892,13871,13989,14125,14342,14390,14666,14793,14939,14925,15249,15412,15673,15996,16352,16371,16425,16517,16628,16576,16650,16727,17032,17285,17359,17387,17619,17625,17677,17543,17475,17457,17551,17302,17731,17777,17858,17848,18155,18527,18661,18936,19377,19528,19402,19515,19326,19337,19073,18919,18639,18758,19027,19217,19631,19752,19795,19904,20100,20412,20722,20688,20697,21440,21583,21809,21808,21765,21854,21859,21869,21364,21267,21586,21961,21758,21958,21641,21238,21282,21127,21090,21291,21749,22082,22482,22929,23271,23415,23534,23687,23822,24116,24254,24426,24476,24642,24714,24848,25058,25206,25580,25699,25948,26013,26285,26551,26635,26688,26708,26980,26980,26846,26530,26314,26381,26354,26401,26567,26730,26840,27096,27005,27090,27119,27436,27591,27898,27962,28217,28243,28221,28351,28485,28616,29009,29063,29297,29529,29873,30089,30195,30563,30653,30870,31277,31428,31500,31802,32248,32366,32672,32635,32640,32523,32320,32216,32350,32681,32718,32962,32943
"20","10","  Gross national product","A791RX",NA,NA,NA,NA,10400,10410,10387,10502,10610,10736,10734,10704,10507,10435,10504,10345,10728,11013,11399,11550,11628,11789,11973,11943,12027,11991,12013,12350,12527,12587,12442,12187,12081,12050,12124,12312,12611,12759,12871,12878,12778,12824,12753,12886,12917,12843,12905,12694,12310,12335,12553,12774,12986,13272,13215,13205,13386,13275,13247,13024,13052,13239,13401,13616,13802,13911,13993,13987,14099,14230,14448,14500,14785,14907,15056,15034,15372,15539,15791,16102,16462,16481,16531,16628,16737,16682,16766,16840,17147,17402,17480,17506,17738,17739,17786,17650,17586,17572,17663,17404,17853,17905,17973,17970,18281,18651,18797,19070,19532,19693,19596,19710,19555,19553,19270,19087,18780,18899,19180,19399,19806,19934,19978,20092,20315,20622,20929,20871,20909,21616,21776,22031,22037,22022,22161,22163,22177,21648,21534,21804,22196,21979,22191,21900,21476,21547,21348,21301,21501,21973,22309,22717,23143,23485,23625,23720,23832,23978,24242,24394,24545,24554,24730,24765,24906,25135,25279,25661,25806,26041,26093,26375,26639,26718,26780,26828,27090,27096,26939,26725,26457,26474,26432,26514,26675,26836,26932,27191,27129,27185,27235,27488,27669,27959,28018,28273,28324,28316,28392,28572,28715,29074,29106,29358,29561,29923,30120,30210,30596,30674,30831,31256,31508,31594,31871,32359,32446,32769,32704,32747,32565,32429,32263,32471,32696,32663,32936,NA
"21","11","  Disposable personal income","A229RX",NA,NA,NA,NA,7269,7087,7245,7128,7240,7433,7532,7516,7335,7330,7335,7365,7863,7782,7870,7923,7877,7963,7991,7970,7937,7992,8111,8229,8305,8392,8316,8250,8243,8195,8257,8397,8479,8630,8759,8818,8857,8922,8918,9006,8974,9002,9021,8948,8808,8828,8984,9057,9086,9221,9167,9195,9225,9241,9209,9165,9202,9302,9394,9543,9582,9663,9691,9727,9766,9831,9910,10036,10199,10438,10547,10638,10709,10807,11073,11268,11337,11334,11449,11548,11682,11740,11816,11865,12048,12228,12228,12277,12267,12358,12563,12614,12651,12827,12954,12860,13075,13226,13235,13334,13376,13466,13720,14202,14356,14455,14512,14660,14413,14258,14258,14144,14014,14638,14402,14515,14734,14827,14930,14999,15064,15125,15308,15524,15634,15804,15915,16024,16153,16050,16098,16177,16222,15885,15950,16196,16205,16095,16400,16358,16290,16349,16342,16331,16404,16484,16746,17053,17415,17716,17996,18067,18040,18342,18203,18331,18530,18677,18708,18649,18830,18608,18924,19119,19345,19447,19571,19724,19896,19800,19793,19844,20092,20146,20107,19888,19839,19912,19891,19853,20126,20194,20128,20432,20020,20261,20225,20432,20202,20480,20567,20775,20801,20720,20797,20874,20957,21003,21160,21165,21261,21385,21522,21708,22075,22341,22478,22540,22630,22618,22634,22828,23234,23451,23637,23680,23624,23537,24071,23537,24296,24479,24609,24706
"22","12","  Personal consumption expenditures","A794RX",NA,NA,NA,NA,6730,6806,6796,6765,6769,6819,6802,6826,6804,6881,6866,6931,7020,7107,7439,7187,7322,7089,7138,7146,7137,7247,7248,7469,7532,7552,7501,7416,7412,7475,7539,7657,7793,7908,7969,8029,8010,8005,7986,8055,8073,8054,8083,8053,7914,7946,8035,8092,8209,8308,8361,8334,8343,8418,8350,8320,8283,8373,8380,8514,8572,8646,8682,8770,8801,8856,8942,8983,9132,9266,9403,9396,9575,9656,9788,10034,10158,10159,10243,10255,10291,10403,10428,10462,10681,10824,10999,11017,11115,11159,11178,11231,11274,11293,11353,11279,11461,11532,11586,11742,11868,12057,12208,12463,12662,12621,12642,12579,12444,12462,12478,12242,12312,12499,12644,12749,12998,13091,13192,13337,13466,13505,13597,13761,13805,14068,14099,14168,14225,14169,14257,14266,14211,13849,13948,14078,14109,14087,14114,13967,14021,14029,14085,14286,14387,14657,14854,15063,15194,15369,15438,15600,15807,15919,16169,16184,16292,16435,16682,16754,16734,16912,17057,17049,17313,17395,17491,17650,17679,17710,17818,17834,17940,17950,17962,17746,17609,17683,17679,17578,17800,17829,17896,18085,18064,18191,18343,18456,18573,18679,18759,18885,18901,19030,19119,19180,19288,19442,19473,19547,19710,19748,20002,20100,20298,20550,20682,20873,21057,21296,21471,21666,21887,21998,22150,22206,22291,22317,22342,22609,22735,22790,22969,22968
"23","13","    Durable goods","A795RX",NA,NA,NA,NA,401,407,411,437,432,434,439,430,419,456,477,493,510,512,638,554,569,482,470,464,467,473,440,518,536,530,525,507,489,511,511,542,589,620,638,617,585,584,569,585,595,578,570,561,521,510,518,534,563,582,591,559,573,585,578,559,524,534,545,569,580,593,596,621,632,644,649,658,681,696,717,691,755,755,779,809,847,809,834,832,814,848,838,837,888,903,942,933,948,943,938,931,912,918,918,849,941,960,982,1023,1045,1068,1093,1149,1221,1199,1186,1154,1120,1128,1134,1011,1033,1052,1116,1147,1205,1205,1214,1232,1280,1308,1322,1344,1305,1404,1380,1386,1368,1334,1368,1327,1306,1156,1208,1244,1279,1224,1261,1165,1203,1204,1210,1265,1276,1370,1421,1489,1545,1577,1573,1620,1675,1689,1793,1720,1750,1805,1957,1923,1798,1871,1945,1883,1973,1968,1936,1984,1970,1994,2029,1957,2036,1961,1932,1866,1796,1796,1814,1779,1836,1840,1875,1914,1914,1978,2015,2066,2087,2100,2116,2172,2151,2172,2215,2226,2243,2306,2291,2311,2363,2338,2455,2485,2521,2613,2632,2769,2798,2887,2949,3012,3129,3093,3145,3095,3173,3208,3236,3470,3406,3416,3588,3511
"24","14","    Nondurable goods","A796RX",NA,NA,NA,NA,3068,3107,3103,3047,3035,3054,3016,3045,3046,3041,3004,3033,3057,3079,3120,3041,3105,3058,3112,3132,3099,3160,3197,3225,3238,3240,3203,3186,3196,3173,3199,3237,3248,3290,3301,3353,3372,3349,3336,3344,3341,3343,3377,3346,3294,3305,3345,3368,3393,3408,3411,3419,3391,3419,3381,3369,3377,3399,3387,3421,3438,3443,3455,3462,3465,3468,3483,3472,3526,3580,3631,3630,3662,3693,3734,3851,3877,3901,3915,3888,3908,3917,3909,3920,3997,4039,4091,4079,4109,4120,4116,4128,4161,4156,4170,4188,4189,4192,4180,4202,4218,4311,4361,4425,4463,4415,4430,4403,4336,4312,4310,4238,4247,4328,4351,4353,4430,4480,4506,4533,4549,4530,4525,4594,4613,4651,4686,4729,4741,4710,4746,4769,4745,4670,4647,4659,4694,4697,4684,4679,4676,4672,4686,4720,4734,4771,4830,4867,4884,4961,4965,4981,5000,5029,5047,5074,5130,5174,5173,5208,5231,5257,5248,5256,5306,5343,5386,5431,5441,5432,5469,5501,5504,5501,5497,5413,5392,5415,5399,5338,5409,5384,5400,5466,5449,5492,5523,5540,5592,5624,5656,5697,5711,5737,5743,5773,5792,5836,5850,5888,5914,5908,5975,5964,6029,6101,6130,6190,6247,6306,6326,6421,6438,6501,6517,6543,6567,6547,6552,6593,6706,6691,6692,6739
"25","15","    Services","A797RX",NA,NA,NA,NA,3155,3180,3161,3137,3181,3215,3243,3253,3255,3263,3240,3236,3271,3354,3386,3407,3445,3452,3465,3461,3495,3528,3562,3604,3621,3658,3663,3625,3652,3713,3757,3778,3818,3827,3845,3900,3926,3957,3987,4025,4030,4045,4052,4083,4082,4135,4170,4168,4211,4269,4310,4344,4362,4391,4374,4398,4423,4484,4484,4546,4571,4626,4648,4689,4698,4734,4810,4858,4915,4972,5023,5075,5109,5167,5221,5293,5331,5380,5410,5468,5522,5576,5639,5669,5721,5808,5870,5928,5975,6024,6065,6128,6173,6190,6246,6269,6304,6349,6386,6465,6552,6608,6675,6788,6840,6899,6927,6948,6941,6984,6995,7036,7070,7145,7172,7242,7330,7372,7442,7545,7593,7618,7711,7773,7867,7959,7988,8002,8083,8120,8117,8162,8167,8088,8154,8233,8164,8222,8213,8201,8208,8220,8255,8360,8440,8560,8633,8723,8769,8823,8902,8996,9126,9195,9306,9389,9402,9432,9496,9580,9697,9763,9833,9896,10007,10060,10155,10212,10248,10263,10292,10362,10376,10480,10531,10474,10435,10488,10480,10482,10570,10623,10636,10717,10714,10730,10814,10855,10898,10959,10990,11016,11040,11123,11162,11182,11253,11299,11332,11348,11433,11500,11574,11654,11751,11844,11928,11935,12032,12132,12229,12274,12373,12451,12538,12608,12602,12619,12616,12650,12712,12771,12812,12823
"26","16","Population (mid-period, thousands)","B230RC",140864,141214,141750,142742,143156,143803,144462,145135,145761,146341,146973,147659,148298,148891,149529,150211,150852,151385,152039,152724,153336,153947,154655,155389,156033,156644,157324,158043,158648,159234,159963,160713,161389,162044,162792,163585,164266,164926,165674,166481,167190,167869,168654,169497,170218,170915,171684,172463,173116,173781,174535,175340,176045,176727,177481,178268,179694,180335,181094,181915,182634,183337,184103,184894,185553,186203,186926,187680,188299,188906,189631,190362,190954,191560,192256,192938,193467,193994,194647,195279,195763,196277,196877,197481,197967,198455,199012,199572,199995,200452,200997,201538,201955,202419,202986,203584,204086,204721,205419,206130,206763,207362,208000,208642,209142,209637,210181,210737,211192,211663,212191,212708,213144,213602,214147,214700,215135,215652,216289,216848,217314,217776,218338,218917,219427,219956,220573,221201,221719,222281,222933,223583,224152,224737,225418,226117,226754,227389,228070,228689,229155,229674,230301,230903,231395,231906,232498,233074,233546,234028,234603,235153,235605,236082,236657,237232,237673,238176,238789,239387,239861,240368,240962,241539,242009,242520,243120,243721,244208,244716,245354,245966,246460,247017,247698,248374,248936,249509,250290,251197,252008,252782,253655,254566,255332,256141,257065,257996,258793,259551,260412,261286,262018,262753,263581,264423,265154,265879,266704,267573,268261,268984,269826,270721,271472,272216,273079,273980,274725,275437,276269,277134,277881,278589,279449,280328,281076,281758,282476,283202,283794,284442,285154,285898,286507,287072,287770,288475
