"","Table 3#2# Federal Government Current Receipts and Expenditures ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"22","4","  Taxes on production and imports \2\","W007RC1","17,812.0","18,081.0","18,992.0","18,481.0","19,799.0","20,064.0","22,077.0","21,374.0","22,723.0","25,278.0","25,684.0","33,663.0","49,929.0","40,956.0","44,383.0","47,300.0","46,052.0","43,698.0","45,940.0","49,827.0","49,741.0","50,912.0","61,765.0","63,295.0","66,358.0","78,986.0","75,553.0","72,854.0","77,837.0","80,698.0","83,432.0","87,251.0","85,283.0","86,805.0","90,181.0","95,246.0","99,393.0","99,228.0","94,605.0","93,968.0","91,365.0","96,757.0","108,614.0","117,979.0"
"23","5","    Excise taxes","B234RC1","15,442.0","15,597.0","15,880.0","15,484.0","16,528.0","16,406.0","16,213.0","16,814.0","17,320.0","18,178.0","18,230.0","26,503.0","41,340.0","32,347.0","35,292.0","35,397.0","33,894.0","30,001.0","30,407.0","33,415.0","32,260.0","33,422.0","44,929.0","44,968.0","46,548.0","57,544.0","55,734.0","53,633.0","58,220.0","61,112.0","64,250.0","66,128.0","64,647.0","66,886.0","68,749.0","71,981.0","74,076.0","72,561.0","65,832.0","64,745.0","68,303.0","68,177.0","76,744.0","84,496.0"
"24","6","    Customs duties","B235RC1","2,370.0","2,484.0","3,112.0","2,997.0","3,271.0","3,658.0","5,864.0","4,560.0","5,403.0","7,100.0","7,454.0","7,160.0","8,589.0","8,609.0","9,091.0","11,903.0","12,158.0","13,697.0","15,533.0","16,412.0","17,481.0","17,490.0","16,836.0","18,327.0","19,810.0","21,442.0","19,819.0","19,221.0","19,617.0","19,586.0","19,182.0","21,123.0","20,636.0","19,919.0","21,432.0","23,265.0","25,317.0","26,667.0","28,773.0","29,223.0","23,062.0","28,580.0","31,870.0","33,483.0"
"25","7","  Taxes on corporate income","B075RC1","36,064.0","30,616.0","33,456.0","36,607.0","43,260.0","45,115.0","43,559.0","54,577.0","61,615.0","71,400.0","74,428.0","70,319.0","65,701.0","49,047.0","61,345.0","75,238.0","76,265.0","83,826.0","103,188.0","111,126.0","117,214.0","118,120.0","109,937.0","118,768.0","138,469.0","156,723.0","179,320.0","190,622.0","202,995.0","204,242.0","212,967.0","219,440.0","164,670.0","150,458.0","197,805.0","250,282.0","340,958.0","395,011.0","362,838.0","233,650.0","200,392.0","298,655.0","294,249.0","351,047.0"
"26","8","    Federal Reserve banks","B677RC1","3,019.0","3,494.0","3,357.0","3,231.0","4,341.0","5,550.0","5,382.0","5,870.0","5,937.0","7,006.0","9,279.0","11,706.0","14,024.0","15,205.0","14,229.0","16,054.0","17,796.0","17,804.0","17,739.0","17,364.0","21,646.0","23,608.0","20,778.0","16,774.0","15,987.0","20,470.0","23,389.0","20,083.0","20,659.0","26,561.0","25,410.0","25,344.0","27,089.0","24,495.0","22,022.0","18,078.0","21,468.0","29,052.0","34,598.0","31,689.0","47,430.0","79,268.0","75,424.0","88,418.0"
"27","9","    Other","A678RC1","33,045.0","27,122.0","30,099.0","33,376.0","38,919.0","39,565.0","38,177.0","48,707.0","55,678.0","64,394.0","65,149.0","58,613.0","51,677.0","33,842.0","47,116.0","59,184.0","58,469.0","66,022.0","85,449.0","93,762.0","95,568.0","94,512.0","89,159.0","101,994.0","122,482.0","136,253.0","155,931.0","170,539.0","182,336.0","177,681.0","187,557.0","194,096.0","137,581.0","125,963.0","175,783.0","232,204.0","319,490.0","365,959.0","328,240.0","201,961.0","152,962.0","219,387.0","218,825.0","262,629.0"
"28","10","  Taxes from the rest of the world","W008RC1","394.0","374.0","367.0","403.0","378.0","367.0","471.0","714.0","727.0","954.0","1,148.0","1,597.0","1,517.0","1,372.0","1,211.0","1,304.0","1,939.0","1,713.0","2,040.0","2,374.0","2,740.0","3,030.0","2,602.0","2,638.0","2,740.0","3,142.0","3,916.0","5,155.0","5,096.0","5,680.0","5,918.0","7,336.0","7,654.0","7,582.0","8,954.0","9,983.0","12,130.0","14,611.0","15,279.0","18,799.0","14,827.0","15,709.0","16,321.0","17,835.0"
"29","11","Contributions for government social insurance","W780RC1","43,314.0","45,504.0","50,330.0","58,258.0","74,546.0","84,085.0","88,054.0","99,786.0","111,078.0","128,715.0","149,798.0","163,631.0","193,009.0","206,043.0","223,068.0","254,129.0","277,909.0","298,933.0","317,431.0","354,779.0","377,963.0","402,040.0","420,613.0","443,965.0","465,517.0","496,152.0","521,903.0","545,413.0","579,432.0","617,402.0","654,826.0","698,571.0","723,253.0","739,421.0","763,243.0","808,910.0","853,391.0","905,689.0","947,242.0","974,381.0","950,798.0","970,905.0","904,336.0","937,803.0"
"30","12","Income receipts on assets","W009RC1","2,816.0","3,207.0","3,614.0","3,760.0","4,019.0","4,513.0","5,254.0","6,223.0","7,066.0","8,946.0","11,208.0","14,363.0","19,227.0","23,407.0","24,709.0","27,715.0","30,136.0","32,114.0","28,198.0","30,217.0","28,867.0","30,441.0","30,006.0","25,652.0","26,594.0","23,577.0","23,812.0","26,642.0","25,494.0","21,514.0","21,077.0","25,602.0","26,411.0","21,752.0","23,509.0","25,344.0","27,250.0","28,951.0","33,406.0","33,868.0","48,533.0","54,579.0","57,426.0","52,887.0"
"31","13","  Interest receipts \3\","B094RC1","2,490.0","2,809.0","3,108.0","3,250.0","3,365.0","3,635.0","4,281.0","5,155.0","5,779.0","7,425.0","9,151.0","11,314.0","14,819.0","18,337.0","20,365.0","22,786.0","25,577.0","28,842.0","25,130.0","27,394.0","25,880.0","26,943.0","26,249.0","22,193.0","22,837.0","20,021.0","20,843.0","22,534.0","20,973.0","17,303.0","17,068.0","19,314.0","18,019.0","15,275.0","16,484.0","16,626.0","17,341.0","18,761.0","22,075.0","19,537.0","22,768.0","29,542.0","28,518.0","22,245.0"
"32","14","  Dividends","W053RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","60.0","246.0","255.0","220.0","578.0","18,745.0","17,032.0","18,782.0","21,064.0"
"33","15","  Rents and royalties \4\","B1040C1","326.0","398.0","506.0","510.0","654.0","878.0","973.0","1,068.0","1,287.0","1,521.0","2,057.0","3,049.0","4,408.0","5,070.0","4,344.0","4,929.0","4,559.0","3,272.0","3,068.0","2,823.0","2,987.0","3,498.0","3,757.0","3,459.0","3,757.0","3,556.0","2,969.0","4,108.0","4,521.0","4,211.0","4,009.0","6,288.0","8,392.0","6,477.0","7,025.0","8,658.0","9,663.0","9,935.0","11,111.0","13,753.0","7,020.0","8,005.0","10,126.0","9,578.0"
"34","16","Current transfer receipts","W011RC1","998.0","959.0","928.0","1,120.0","1,048.0","1,081.0","1,106.0","1,223.0","1,577.0","2,228.0","2,543.0","3,142.0","3,128.0","4,381.0","5,220.0","6,274.0","8,596.0","7,611.0","10,206.0","9,607.0","11,787.0","13,309.0","17,187.0","18,419.0","20,154.0","21,591.0","17,536.0","22,727.0","20,064.0","21,466.0","22,270.0","24,083.0","24,922.0","24,428.0","25,507.0","29,027.0","31,967.0","36,827.0","40,980.0","48,565.0","66,242.0","64,387.0","66,055.0","49,735.0"
"35","17","  From business","W012RC1","937.0","871.0","863.0","985.0","920.0","966.0","981.0","1,077.0","1,409.0","2,045.0","2,358.0","2,910.0","2,869.0","3,681.0","4,240.0","5,246.0","7,401.0","6,293.0","8,177.0","6,778.0","8,701.0","9,896.0","13,304.0","14,316.0","15,112.0","15,948.0","11,362.0","15,558.0","12,144.0","12,693.0","12,441.0","13,357.0","14,041.0","13,674.0","14,467.0","15,872.0","16,850.0","19,469.0","21,471.0","29,070.0","46,719.0","43,765.0","45,930.0","28,729.0"
"36","18","  From persons","B233RC1","61.0","88.0","65.0","135.0","128.0","115.0","125.0","146.0","168.0","183.0","185.0","232.0","259.0","700.0","980.0","1,028.0","1,195.0","1,318.0","2,029.0","2,829.0","3,086.0","3,413.0","3,883.0","4,103.0","5,042.0","5,643.0","6,174.0","7,169.0","7,920.0","8,773.0","9,829.0","10,726.0","10,881.0","10,754.0","11,040.0","13,155.0","15,117.0","17,358.0","19,509.0","19,495.0","19,523.0","20,622.0","20,125.0","21,006.0"
"37","19","Current surplus of government enterprises \5\","B097RC1","-1,263.0","-2,463.0","-2,781.0","-2,377.0","-3,385.0","-3,250.0","-4,419.0","-2,906.0","-3,429.0","-2,895.0","-2,667.0","-3,641.0","-2,613.0","-2,140.0","-1,944.0","-2,686.0","-1,623.0","-587.0","-499.0","657.0","1,067.0","-2,332.0","2,127.0","4,120.0","3,456.0","4,040.0","5,049.0","4,460.0","6,574.0","7,551.0","7,202.0","5,318.0","2,798.0","6,853.0","6,680.0","4,885.0","943.0","1,794.0","2,045.0","842.0","750.0","-3,085.0","-7,279.0","-13,434.0"
"38","20","    Current expenditures","W013RC1","196,943.0","219,892.0","241,532.0","267,895.0","286,935.0","319,146.0","373,808.0","402,079.0","435,417.0","483,398.0","531,295.0","619,289.0","706,264.0","782,656.0","849,221.0","903,001.0","970,868.0","1,029,981.0","1,062,129.0","1,118,774.0","1,197,478.0","1,286,589.0","1,351,758.0","1,484,738.0","1,540,564.0","1,580,409.0","1,653,719.0","1,709,661.0","1,752,810.0","1,781,041.0","1,834,204.0","1,907,260.0","2,012,819.0","2,136,725.0","2,293,475.0","2,421,964.0","2,603,524.0","2,759,824.0","2,927,497.0","3,140,849.0","3,479,872.0","3,721,277.0","3,764,934.0","3,772,680.0"
"39","21","Consumption expenditures","A957RC1","100,423.0","102,292.0","106,611.0","112,172.0","113,913.0","122,466.0","132,925.0","139,004.0","149,597.0","161,965.0","175,989.0","202,111.0","231,300.0","255,658.0","277,853.0","292,030.0","316,751.0","336,493.0","347,772.0","360,836.0","380,163.0","401,815.0","423,941.0","430,211.0","427,700.0","427,331.0","427,659.0","428,418.0","438,696.0","436,433.0","455,570.0","475,057.0","505,391.0","560,327.0","628,454.0","681,373.0","723,441.0","763,940.0","798,350.0","879,822.0","933,702.0","1,003,905.0","1,008,675.0","1,011,673.0"
"40","22","Current transfer payments","W014RC1","64,547.0","79,517.0","95,045.0","111,510.0","124,582.0","145,505.0","184,080.0","199,243.0","213,669.0","233,624.0","255,646.0","300,203.0","330,464.0","359,754.0","383,535.0","396,464.0","419,342.0","444,695.0","452,035.0","480,873.0","520,603.0","569,109.0","596,383.0","717,940.0","765,107.0","800,055.0","839,232.0","886,352.0","915,140.0","943,117.0","981,670.0","1,033,169.0","1,125,146.0","1,233,247.0","1,323,445.0","1,388,499.0","1,475,116.0","1,572,444.0","1,673,479.0","1,823,474.0","2,135,613.0","2,282,502.0","2,274,294.0","2,283,599.0"
"41","23","  Government social benefits","W015RC1","46,341.0","56,357.0","66,891.0","73,820.0","85,702.0","104,602.0","134,319.0","145,632.0","154,662.0","165,150.0","185,820.0","223,183.0","254,392.0","285,352.0","306,664.0","312,909.0","329,406.0","348,072.0","360,938.0","381,942.0","415,215.0","451,223.0","497,986.0","555,708.0","587,702.0","613,259.0","649,376.0","684,517.0","710,042.0","724,351.0","743,791.0","777,813.0","845,706.0","922,770.0","973,125.0","1,025,546.0","1,090,910.0","1,196,673.0","1,272,211.0","1,407,425.0","1,624,899.0","1,726,649.0","1,745,342.0","1,790,493.0"
"42","24","    To persons","B087RC1","45,756.0","55,636.0","66,080.0","72,855.0","84,544.0","103,280.0","132,332.0","143,142.0","152,083.0","162,408.0","182,771.0","219,640.0","250,104.0","281,249.0","303,039.0","309,236.0","325,378.0","343,674.0","356,658.0","377,362.0","410,083.0","445,059.0","491,714.0","549,483.0","581,503.0","606,433.0","642,583.0","676,943.0","702,192.0","716,143.0","735,263.0","769,145.0","836,268.0","913,117.0","963,035.0","1,014,894.0","1,079,675.0","1,184,246.0","1,258,895.0","1,391,949.0","1,608,883.0","1,710,132.0","1,728,221.0","1,772,514.0"
"43","25","    To the rest of the world \6\","W016RC1","585.0","721.0","811.0","965.0","1,158.0","1,322.0","1,987.0","2,490.0","2,579.0","2,742.0","3,049.0","3,543.0","4,288.0","4,103.0","3,625.0","3,673.0","4,028.0","4,398.0","4,280.0","4,580.0","5,132.0","6,164.0","6,272.0","6,225.0","6,199.0","6,826.0","6,793.0","7,574.0","7,850.0","8,208.0","8,528.0","8,668.0","9,438.0","9,653.0","10,090.0","10,652.0","11,235.0","12,427.0","13,316.0","15,476.0","16,016.0","16,517.0","17,121.0","17,979.0"
"44","26","  Other current transfer payments","W010RC1","18,206.0","23,160.0","28,154.0","37,690.0","38,880.0","40,903.0","49,761.0","53,611.0","59,007.0","68,474.0","69,826.0","77,020.0","76,072.0","74,402.0","76,871.0","83,555.0","89,936.0","96,623.0","91,097.0","98,931.0","105,388.0","117,886.0","98,397.0","162,232.0","177,405.0","186,796.0","189,856.0","201,835.0","205,098.0","218,766.0","237,879.0","255,356.0","279,440.0","310,477.0","350,320.0","362,953.0","384,206.0","375,771.0","401,267.0","416,049.0","510,714.0","555,853.0","528,953.0","493,106.0"
"45","27","    Grants-in-aid to state and local governments","B089RC1","13,660.0","18,342.0","22,142.0","30,513.0","33,489.0","34,908.0","43,626.0","49,077.0","54,760.0","63,482.0","63,980.0","69,690.0","69,410.0","66,261.0","67,940.0","72,339.0","76,169.0","82,425.0","78,382.0","85,737.0","91,841.0","104,357.0","124,022.0","141,681.0","155,713.0","166,849.0","174,477.0","181,457.0","188,142.0","200,799.0","219,155.0","233,106.0","261,258.0","287,179.0","321,711.0","332,201.0","343,353.0","340,783.0","358,970.0","371,005.0","458,060.0","505,292.0","472,479.0","443,224.0"
"46","28","    To the rest of the world (net) \6\","W017RC1","4,546.0","4,818.0","6,012.0","7,177.0","5,391.0","5,995.0","6,135.0","4,534.0","4,247.0","4,992.0","5,846.0","7,330.0","6,662.0","8,141.0","8,931.0","11,216.0","13,767.0","14,198.0","12,715.0","13,194.0","13,547.0","13,529.0","-25,625.0","20,551.0","21,692.0","19,947.0","15,379.0","20,378.0","16,956.0","17,967.0","18,724.0","22,250.0","18,182.0","23,298.0","28,609.0","30,752.0","40,853.0","34,988.0","42,297.0","45,044.0","52,654.0","50,561.0","56,474.0","49,882.0"
"47","29","Interest payments \3\","A091RC1","27,464.0","33,330.0","35,235.0","37,630.0","43,291.0","47,984.0","52,467.0","58,896.0","65,261.0","79,112.0","91,456.0","107,529.0","133,429.0","152,681.0","166,971.0","193,827.0","213,742.0","224,204.0","232,315.0","247,915.0","269,660.0","289,046.0","304,358.0","306,887.0","311,439.0","320,840.0","352,326.0","359,988.0","365,600.0","365,569.0","352,184.0","353,728.0","331,225.0","302,670.0","292,603.0","306,074.0","344,429.0","372,346.0","408,216.0","387,964.0","353,616.0","380,575.0","422,558.0","420,574.0"
"48","30","  To persons and business \3\","B092RC1","26,687.0","32,381.0","33,483.0","35,079.0","39,640.0","43,937.0","48,134.0","54,626.0","60,024.0","70,879.0","80,899.0","95,663.0","117,153.0","134,690.0","148,911.0","173,660.0","191,588.0","200,860.0","208,211.0","219,160.0","235,119.0","252,980.0","268,289.0","272,615.0","277,275.0","284,485.0","305,239.0","303,224.0","295,908.0","293,485.0","285,437.0","289,343.0","274,141.0","253,353.0","245,178.0","251,257.0","276,437.0","286,473.0","309,174.0","290,913.0","264,772.0","287,995.0","325,081.0","327,581.0"
"49","31","  To the rest of the world","B093RC1","777.0","949.0","1,752.0","2,551.0","3,651.0","4,047.0","4,333.0","4,270.0","5,237.0","8,233.0","10,557.0","11,866.0","16,276.0","17,991.0","18,060.0","20,167.0","22,154.0","23,344.0","24,104.0","28,755.0","34,541.0","36,066.0","36,069.0","34,272.0","34,164.0","36,355.0","47,087.0","56,764.0","69,692.0","72,084.0","66,747.0","64,385.0","57,084.0","49,317.0","47,425.0","54,817.0","67,992.0","85,873.0","99,042.0","97,051.0","88,844.0","92,580.0","97,477.0","92,993.0"
"50","32","Subsidies \5\","B096RC1","4,509.0","4,753.0","4,641.0","6,583.0","5,149.0","3,191.0","4,336.0","4,936.0","6,890.0","8,697.0","8,204.0","9,446.0","11,071.0","14,563.0","20,862.0","20,680.0","21,033.0","24,589.0","30,007.0","29,150.0","27,052.0","26,619.0","27,076.0","29,700.0","36,318.0","32,183.0","34,502.0","34,903.0","33,374.0","35,922.0","44,780.0","45,306.0","51,057.0","40,481.0","48,973.0","46,018.0","60,538.0","51,094.0","47,452.0","49,589.0","56,941.0","54,295.0","59,407.0","56,834.0"
"51","33","    Net federal government saving","A923RC1","-5,108.0","-34,761.0","-50,823.0","-48,886.0","-37,689.0","-40,646.0","-96,976.0","-79,854.0","-71,907.0","-59,825.0","-44,519.0","-86,251.0","-85,816.0","-164,627.0","-205,009.0","-192,338.0","-195,615.0","-212,661.0","-163,167.0","-157,343.0","-156,643.0","-200,920.0","-246,207.0","-332,655.0","-311,810.0","-253,684.0","-240,841.0","-178,506.0","-91,165.0","2,718.0","66,528.0","155,892.0","13,986.0","-270,944.0","-403,538.0","-399,766.0","-305,424.0","-228,099.0","-266,705.0","-635,114.0","-1,249,801.0","-1,329,530.0","-1,248,254.0","-1,109,669.0"
"52","34","Social insurance funds","B243RC1","5,697.0","961.0","-3,006.0","-641.0","5,880.0","3,210.0","-16,280.0","-16,025.0","-14,058.0","-4,696.0","-43.0","-15,773.0","-14,278.0","-34,374.0","-37,854.0","-9,360.0","878.0","5,651.0","14,459.0","39,051.0","42,643.0","42,381.0","24,658.0","5,364.0","2,833.0","15,352.0","15,623.0","12,915.0","28,942.0","58,281.0","92,539.0","114,282.0","88,142.0","49,712.0","37,828.0","51,192.0","48,444.0","11,755.0","-4,051.0","-54,940.0","-253,117.0","-290,928.0","-271,818.0","-293,887.0"
"53","35","Other","B244RC1","-10,805.0","-35,722.0","-47,818.0","-48,245.0","-43,569.0","-43,856.0","-80,696.0","-63,829.0","-57,849.0","-55,129.0","-44,476.0","-70,478.0","-71,538.0","-130,253.0","-167,155.0","-182,978.0","-196,493.0","-218,312.0","-177,626.0","-196,394.0","-199,286.0","-243,301.0","-270,866.0","-338,020.0","-314,643.0","-269,035.0","-256,463.0","-191,421.0","-120,107.0","-55,563.0","-26,010.0","41,610.0","-74,155.0","-320,656.0","-441,367.0","-450,958.0","-353,869.0","-239,854.0","-262,654.0","-580,174.0","-996,684.0","-1,038,602.0","-976,435.0","-815,783.0"
"54",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","36","  Total receipts","W018RC1","195,398.0","188,813.0","195,296.0","224,370.0","254,338.0","283,295.0","281,719.0","327,808.0","370,667.0","428,785.0","492,270.0","539,552.0","627,339.0","625,544.0","649,985.0","716,633.0","781,626.0","824,291.0","906,170.0","969,073.0","1,049,734.0","1,097,267.0","1,116,551.0","1,163,363.0","1,241,657.0","1,341,834.0","1,427,826.0","1,548,644.0","1,682,208.0","1,808,918.0","1,929,503.0","2,091,254.0","2,054,756.0","1,891,082.0","1,911,913.0","2,046,813.0","2,323,089.0","2,559,557.0","2,687,263.0","2,533,998.0","2,250,682.0","2,406,826.0","2,526,301.0","2,677,079.0"
