"","Table 1#5#3# Real Gross Domestic Product, Expanded Detail, Quant","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","[Index numbers, 2009=100]                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 27, 2014    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/26/2014 1:56:03 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","    Gross domestic product","B191RA3",32.653,32.721,33.798,35.572,37.58,37.385,37.311,39.321,41.133,43.421,44.8,44.69,45.85,44.974,47.057,50.473,52.613,54.46,56.346,58.715,60.875,62.044,61.998,64.202,65.965,68.628,70.493,73.169,76.453,79.855,83.725,87.149,87.977,89.539,92.038,95.534,98.735,101.368,103.182,102.883,100,102.507,104.4,107.302,109.317
"9","2","Personal consumption expenditures","DPCERA3",28.815,29.494,30.62,32.498,34.109,33.827,34.595,36.524,38.063,39.737,40.681,40.552,41.155,41.74,44.119,46.446,48.888,50.941,52.664,54.867,56.468,57.633,57.764,59.907,61.988,64.392,66.318,68.635,71.218,75.027,79.124,83.127,85.214,87.376,90.076,93.525,96.798,99.715,101.957,101.588,100,101.96,104.555,106.854,108.991
"10","3","  Goods","DGDSRA3",28.957,29.185,30.407,32.395,34.073,32.83,33.053,35.367,36.885,38.41,39.024,38.036,38.486,38.754,41.219,44.19,46.514,49.116,50,51.858,53.166,53.496,52.434,54.086,56.333,59.304,61.076,63.811,66.853,71.321,76.94,80.922,83.373,86.61,90.808,95.419,99.335,102.942,105.731,103.106,100,103.446,106.925,110.495,114.413
