"","Table 1#5#4# Price Indexes for Gross Domestic Product, Expanded ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Index numbers, 2009=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 25, 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/24/2015 2:24:58 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","    Gross domestic product","A191RG3",21.691,22.836,23.996,25.035,26.396,28.76,31.431,33.157,35.209,37.68,40.79,44.48,48.658,51.624,53.658,55.564,57.341,58.504,59.935,62.036,64.448,66.841,69.057,70.632,72.315,73.851,75.393,76.767,78.088,78.935,80.065,81.89,83.755,85.04,86.735,89.118,91.985,94.812,97.34,99.218,100,101.226,103.315,105.22,106.935,108.694
"9","2","Personal consumption expenditures","DPCERG3",21.326,22.325,23.274,24.07,25.368,28.009,30.348,32.013,34.091,36.479,39.714,43.978,47.908,50.553,52.729,54.724,56.661,57.887,59.65,61.974,64.641,67.44,69.652,71.494,73.279,74.803,76.356,77.981,79.327,79.936,81.11,83.131,84.736,85.873,87.572,89.703,92.261,94.729,97.102,100.065,100,101.653,104.149,106.121,107.572,109.105
"10","3","  Goods","DGDSRG3",32.908,34.164,35.19,36.091,38.244,43.017,46.492,48.311,50.89,54.014,59.122,65.742,70.626,72.551,73.862,75.259,76.466,76.109,78.557,80.627,83.729,87.158,89.289,90.366,91.151,92.078,92.939,93.96,93.851,92.44,92.925,94.769,94.697,93.806,93.703,95.03,96.951,98.277,99.403,102.362,100,101.637,105.413,106.701,106.2,105.823
