"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"26","8","General government \4\","A765RX1","1,141,889.0","1,147,587.0","1,150,246.0","1,149,722.0","1,156,037.0","1,179,643.0","1,198,215.0","1,209,293.0","1,222,736.0","1,246,956.0","1,262,014.0","1,281,727.0","1,291,473.0","1,307,575.0","1,319,557.0","1,339,757.0","1,381,429.0","1,419,773.0","1,455,414.0","1,496,881.0","1,534,215.0","1,573,123.0","1,589,559.0","1,596,692.0","1,600,809.0","1,602,642.0","1,605,298.0","1,608,838.0","1,620,984.0","1,639,009.0","1,653,789.0","1,680,884.0","1,711,172.0","1,743,478.0","1,765,185.0","1,777,826.0","1,794,109.0","1,809,048.0","1,834,658.0","1,872,931.0","1,907,619.0","1,919,475.0","1,912,209.0","1,912,056.0"
"27","9","  Federal","A766RX1","496,669.0","480,812.0","463,594.0","446,359.0","434,109.0","434,776.0","433,741.0","435,500.0","437,892.0","444,389.0","446,028.0","454,062.0","462,394.0","471,676.0","484,346.0","497,653.0","514,652.0","527,959.0","545,205.0","556,209.0","565,218.0","575,574.0","579,188.0","569,990.0","560,701.0","545,281.0","528,044.0","515,731.0","506,991.0","501,739.0","498,048.0","500,856.0","503,011.0","511,625.0","525,266.0","533,434.0","540,787.0","545,294.0","553,128.0","574,161.0","603,629.0","624,258.0","630,453.0","630,063.0"
"28","10","  State and local","A767RX1","613,347.0","640,718.0","666,981.0","690,160.0","714,484.0","740,488.0","762,994.0","773,131.0","785,061.0","803,557.0","818,257.0","829,623.0","829,466.0","835,133.0","831,874.0","837,084.0","861,214.0","886,310.0","903,847.0","934,834.0","963,704.0","992,557.0","1,005,543.0","1,022,733.0","1,036,745.0","1,054,796.0","1,075,648.0","1,092,260.0","1,113,809.0","1,137,564.0","1,156,285.0","1,180,686.0","1,208,872.0","1,232,584.0","1,240,452.0","1,244,778.0","1,253,628.0","1,264,062.0","1,281,838.0","1,298,891.0","1,303,990.0","1,295,199.0","1,281,702.0","1,281,939.0"
"29","11","Residual","A961RX1","-146,600.0","-156,400.0","-155,100.0","-146,200.0","-139,800.0","-168,800.0","-174,200.0","-158,800.0","-137,900.0","-130,800.0","-122,500.0","-146,800.0","-120,600.0","-149,200.0","-154,600.0","-106,900.0","-88,900.0","-92,500.0","-95,000.0","-106,100.0","-102,700.0","-112,300.0","-126,300.0","-110,500.0","-118,100.0","-96,200.0","-98,100.0","-77,700.0","-60,000.0","-51,400.0","-31,800.0","-23,100.0","-28,200.0","-29,900.0","-10,700.0","-4,500.0","-1,200.0","300.0","-2,400.0","-1,200.0","0.0","-300.0","-3,400.0","-5,800.0"
"30",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","12","  Gross housing value added","A2009X1","450,410.0","465,938.0","488,394.0","512,140.0","529,523.0","556,225.0","574,574.0","581,168.0","590,481.0","616,203.0","633,864.0","659,490.0","674,281.0","688,278.0","706,803.0","726,267.0","764,395.0","787,535.0","809,825.0","836,357.0","852,957.0","870,261.0","889,619.0","913,999.0","944,994.0","983,249.0","1,018,592.0","1,036,464.0","1,060,813.0","1,085,465.0","1,123,536.0","1,163,670.0","1,199,411.0","1,204,195.0","1,219,117.0","1,260,245.0","1,318,128.0","1,352,070.0","1,358,663.0","1,398,481.0","1,409,013.0","1,428,975.0","1,453,519.0","1,464,236.0"
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","and the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","for the chain-type quantity indexes uses weights of more than one period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","chained-dollar estimates are usually not additive. The residual line is the difference between the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
