"","Table 1#6#4# Price Indexes for Gross Domestic Purchases         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"11","4","    Durable goods","DDURRG3",58.996,60.269,62.35,63.037,63.97,68.17,74.271,78.333,81.843,86.424,92.152,100.15,106.847,111.015,113.27,114.945,116.162,117.439,120.818,122.811,125.049,126.291,128.143,129.028,130.298,132.848,133.817,132.467,129.574,125.912,122.52,120.339,117.982,115.034,110.885,108.752,107.669,105.915,103.764,101.758,100,98.622,97.725,96.466,94.712,92.384
"12","5","      Motor vehicles and parts","DMOTRG3",35.217,36.28,38.035,38.13,38.304,40.663,44.681,48.097,50.907,54.436,58.54,62.879,67.743,70.954,73.173,75.264,77.007,79.131,82.752,84.052,86.535,86.814,89.256,90.94,94.522,98.91,102.829,104.892,105.29,104.146,104.462,104.847,105.258,104.705,101.76,100.942,102.49,102.549,101.982,99.653,100,105.735,108.894,110.392,111.073,110.605
"13","6","      Furnishings and durable household equipment","DFDHRG3",52.156,53.29,54.254,55.025,56.323,60.913,66.968,69.85,72.426,76.09,80.836,87.404,93.864,98.701,101.001,102.225,103.346,104.435,106.085,107.597,107.918,109.01,109.632,110.93,111.519,113.241,113.064,113.385,113.217,113.122,111.651,110.844,108.944,106.693,103.689,102.41,102.43,101.904,101.075,100.39,100,95.761,94.242,93.98,92.074,88.843
"14","7","      Recreational goods and vehicles","DREQRG3",217.957,218.252,226.014,229.291,232.802,243.117,259.208,268.133,275.846,285.744,298.463,315.048,329.175,336.775,332.745,328.035,322.27,312.043,308.099,306.124,305.31,302.833,298.989,289.804,279.406,273.586,262.087,243.51,223.129,204.295,186.497,174.832,162.919,152.363,142.74,135.716,128.357,120.579,112.311,106.669,100,92.854,86.714,81.49,77.137,73.638
"15","8","      Other durable goods","DODGRG3",32.324,33.164,34.074,35.177,36.325,39.119,42.093,44.144,46.08,48.638,52.65,63.419,66.908,67.554,69.732,71.221,71.998,73.699,78.716,83.857,87.755,93.287,96.74,99.294,100.058,101.656,103.348,102.732,101.29,99.438,96.935,95.652,95.957,94.577,92.774,92.532,91.949,93.334,95.718,98.866,100,100.43,103.607,104.13,103.885,102.256
"16","9","    Nondurable goods","DNDGRG3",24.109,25.194,25.905,26.736,28.891,33.261,35.831,36.998,39.118,41.618,46.103,51.76,55.757,57.022,58.001,59.207,60.315,59.545,61.57,63.527,66.679,70.501,72.559,73.614,74.212,74.607,75.387,77.094,77.899,77.326,79.248,82.651,83.529,83.538,85.264,88.214,91.592,94.438,97.214,102.653,100,103.085,109.188,111.828,112.025,112.748
"17","10","      Food and beverages purchased for off-premises consumption","DFXARG3",21.121,22.299,22.807,23.894,26.919,31.012,33.343,33.963,35.964,39.405,43.275,46.913,50.256,51.578,52.17,53.738,54.323,55.601,57.356,59.066,62.181,65.219,67.266,67.783,68.731,69.881,71.396,73.574,74.976,75.918,77.161,78.969,81.271,82.5,84.062,86.686,88.2,89.683,93.182,98.851,100,100.309,104.276,106.645,107.752,109.763
"18","11","      Clothing and footwear","DCLORG3",66.846,69.333,71.798,73.101,75.528,81.131,84.769,87.489,91.223,92.947,94.765,98.241,101.484,102.971,104.38,104.922,107.174,106.732,109.807,113.34,114.999,118.747,121.007,121.908,121.256,119.216,116.431,115.029,115.065,112.971,111.475,110.148,107.965,105.13,102.526,102.171,101.268,100.872,99.936,99.13,100,99.347,101.089,104.744,105.732,106.162
"19","12","      Gasoline and other energy goods","DGOERG3",12.395,12.569,12.774,12.925,14.274,19.85,21.244,22.261,23.85,24.948,33.605,46.728,52.706,50.258,48.316,47.816,47.918,37.62,39.011,39.301,42.785,48.995,48.175,47.808,47.338,47.455,48.091,51.367,51.365,44.786,48.473,62.668,60.508,56.638,66.186,77.761,95.226,107.471,116.409,137.313,100,118.14,149.286,154.355,150.297,145.169
"20","13","      Other nondurable goods","DONGRG3",20.55,21.509,22.333,22.889,23.513,25.826,28.792,30.282,32.037,33.779,35.988,39.275,42.604,45.901,49.063,50.881,52.85,54.954,57.168,59.726,63.026,66.215,69.743,72.368,73.589,74.104,75.416,76.844,77.646,79.108,82.206,84.003,85.949,87.522,87.759,88.795,90.141,92.06,93.361,95.601,100,101.954,103.507,105.227,105.588,107.005
"21","14","  Services","DSERRG3",16.109,17.003,17.932,18.693,19.6,21.261,23.091,24.691,26.553,28.617,31.008,34.216,37.704,40.638,43.169,45.417,47.677,49.619,51.073,53.501,55.966,58.473,60.698,62.831,65.006,66.763,68.594,70.462,72.428,73.922,75.404,77.502,79.88,81.969,84.533,87.058,89.933,92.976,95.981,98.947,100,101.661,103.524,105.745,107.919,110.29
"22","15","    Household consumption expenditures","DHCERG3",15.359,16.218,17.103,17.829,18.685,20.233,21.97,23.505,25.282,27.257,29.523,32.587,35.966,38.929,41.54,43.837,46.123,48.113,49.597,52.051,54.647,57.341,59.753,62.124,64.466,66.272,68.154,70.032,71.954,73.332,74.762,76.768,79.075,81.216,83.958,86.624,89.528,92.645,95.712,98.768,100,101.778,103.679,106.004,108.196,110.532
"23","16","      Housing and utilities","DHUTRG3",16.061,16.76,17.619,18.286,19.107,20.164,21.75,23.324,25.39,27.183,29.38,32.457,36.037,39.36,41.907,44.039,46.359,48.564,50.311,52.303,54.41,56.774,58.657,60.295,62.037,63.639,65.36,67.293,69.126,70.755,72.439,74.885,78.361,80.636,83.182,85.516,88.551,92.277,95.513,98.869,100,100.249,101.652,103.537,106.137,109.3
"24","17","      Health care","DHLCRG3",9.684,10.416,10.953,11.418,11.957,13.093,14.565,15.969,17.3,18.76,20.589,23.082,25.901,28.816,31.452,33.806,35.856,37.988,40.432,43.584,47.416,51.462,55.439,59.336,62.507,65.047,67.42,69.007,70.389,71.716,73.29,75.354,77.882,79.883,82.918,85.984,88.718,91.41,94.79,97.352,100,102.517,104.4,106.284,107.818,109.068
"25","18","      Transportation services","DTRSRG3",17.516,18.869,20.195,20.964,21.891,23.767,26.394,28.363,30.331,32.339,35.214,40.874,45.846,48.385,50.222,52.204,53.234,53.767,56.046,58.666,61.245,63.586,65.331,67.188,69.525,70.372,71.926,72.833,74.447,75.759,76.888,79.195,80.084,80.469,82.2,83.421,86.461,90.024,92.097,97.022,100,102.024,104.758,106.777,108.135,109.407
"26","19","      Recreation services","DRCARG3",20.272,21.207,22.14,22.708,23.514,25.145,26.999,28.335,29.69,31.466,33.544,36.08,38.38,40.472,42.229,44.054,45.956,47.732,49.582,51.484,54.044,56.994,59.958,61.818,63.798,65.161,66.597,68.815,71.04,72.799,75.138,78.044,80.6,82.922,85.467,87.722,90.19,93.249,95.861,98.848,100,101.075,102.816,105.638,107.469,109.488
"27","20","      Food services and accommodations","DFSARG3",15.899,17.074,17.985,18.65,19.925,22.23,24.232,25.836,27.707,30.129,33.382,36.615,39.885,42.166,43.987,45.971,47.948,49.913,51.929,54.162,56.615,59.206,61.57,62.877,64.111,65.236,66.775,68.575,70.609,72.502,74.376,76.458,78.64,80.542,82.247,84.974,87.695,90.649,94.158,97.821,100,101.33,103.877,106.836,109.05,111.925
"28","21","      Financial services and insurance","DIFSRG3",22.995,24.176,25.625,27.195,27.838,30.068,32.293,33.597,36.178,40.952,43.183,46.524,50.04,52.928,58.03,61.699,66.88,67.884,64.651,67.743,69.707,70.707,70.303,72.645,76.497,77.946,79.641,82.364,85.64,85.681,85.043,85.9,85.579,87.674,91.508,95.008,97.947,100.576,103.496,104.619,100,103.993,106.511,110.465,113.48,116.774
"29","22","      Other services","DOTSRG3",16.247,17.03,18.035,18.958,20.073,22.244,23.838,25.328,26.63,28.027,30.061,32.792,36.149,38.963,41.162,43.257,44.833,47.184,48.328,50.356,52.249,54.344,56.958,59.387,61.442,63.734,65.812,67.712,69.609,71.029,72.77,74.166,76.485,79.411,82.368,85.066,88.213,91.171,93.734,97.544,100,102.393,104.23,106.458,108.82,110.843
"30","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs)","DNPIRG3",65.295,68.143,71.952,74.925,79.755,91.299,99.685,104.855,112.035,119.387,131.067,143.257,150.362,142.523,131.821,126.093,123.315,119.263,116.968,115.616,108.061,98.986,91.535,83.178,78.736,78.58,78.503,79.864,83.25,88.899,92.092,97.17,101.711,102.151,99.609,98.123,100.153,101.089,102.417,103.124,100,98.946,99.934,99.723,101.465,104.618
"31","24","Gross private domestic investment","B006RG3",27.995,29.2,30.647,31.925,33.664,37.022,41.457,43.749,46.973,50.779,55.337,60.516,66.162,69.675,69.889,70.643,71.517,73.124,74.647,76.523,78.47,80.108,81.46,81.431,82.396,83.608,84.933,84.87,84.922,84.309,84.439,85.625,86.436,86.783,87.841,90.646,94.544,98.18,100.001,101.028,100,99.109,100.453,101.825,103.632,105.622
"32","25","  Fixed investment","B007RG3",27.156,28.342,29.759,31.029,32.756,35.996,40.366,42.694,45.97,49.815,54.292,59.357,64.808,68.456,68.717,69.386,70.397,72.12,73.587,75.639,77.587,79.28,80.662,80.678,81.647,82.886,84.242,84.298,84.448,83.995,84.186,85.45,86.268,86.614,87.734,90.546,94.507,98.167,99.988,100.996,100,99.18,100.524,101.955,103.822,106.047
"33","26","    Nonresidential","B008RG3",33.85,35.47,37.133,38.403,39.952,43.837,49.611,52.344,55.812,59.544,64.333,70.012,76.669,81.037,80.903,81.159,81.997,83.436,84.388,86.511,88.518,90.413,92.116,91.773,91.968,92.667,93.558,92.969,92.453,91.011,90.167,90.661,90.393,90.047,89.885,91.141,93.83,96.561,98.574,100.337,100,99.07,100.545,102.082,103.186,104.445
"34","27","      Structures","B009RG3",11.985,12.773,13.756,14.746,15.888,18.085,20.244,21.236,23.078,25.307,28.247,30.873,35.118,37.889,36.925,37.247,38.133,38.863,39.488,41.163,42.775,44.157,44.957,44.967,46.286,47.92,49.996,51.266,53.223,55.659,57.378,59.635,62.762,65.404,67.774,72.879,82.056,92.048,97.62,102.259,100,98.844,101.851,105.464,108.416,111.147
"35","28","      Equipment","Y033RG3",55.032,57.092,58.898,59.671,60.68,65.231,75.167,79.781,84.683,89.387,95.169,103.547,111.123,115.712,116.045,115.097,115.097,117.409,118.174,119.808,122.098,124.594,126.705,126.513,125.034,124.812,123.445,120.646,117.318,112.054,107.728,105.386,102.28,100.246,98.52,98.36,98.639,98.317,98.602,98.691,100,98.009,98.858,99.828,100.263,100.89
"36","29","        Information processing equipment","Y034RG3",428.338,431.947,422.031,412.437,414.71,421.115,448.471,452.94,445.546,427.917,422.441,424.164,433.349,438.066,425.212,404.996,388.576,377.479,365.019,359.881,355.046,347.208,339.321,325.681,309.046,295.73,277.08,249.19,224.912,195.955,173.801,162.89,149.23,139.348,129.742,123.737,118.255,112.515,108.351,103.644,100,98.322,97.127,95.183,94.249,94.112
"37","30","          Computers and peripheral equipment","B935RG3",62138.19,55815.091,42498.13,34278.946,32499.912,26534.998,24546.148,20500.724,17840.338,12067.393,9999.091,7804.036,6858.437,6173.201,5146.729,4163.808,3539.787,3049.288,2597.304,2412.554,2252.823,2044.054,1836.292,1567.117,1331.668,1171.121,980.096,747.403,576.17,428.065,333.314,291.687,241.498,209.756,187.539,174.007,153.434,134.346,120.591,108.738,100,96.005,92.053,90.17,89.527,89.497
"38","31","          Other","B937RG3",69.127,71.646,74.204,76.047,77.545,82.475,90.21,94.399,95.16,99.059,101.937,109.439,117.049,122.578,125.992,128.729,130.644,133.941,137.197,139.053,140.827,142.523,144.309,145.796,145.464,144.679,143.438,141.226,139.455,133.33,127.691,124.443,120.126,116.314,110.49,106.769,105.866,104.497,103.681,101.596,100,99.312,99.274,97.304,96.25,96.076
"39","32","        Industrial equipment","B680RG3",19.221,20.176,21.077,21.507,22.112,24.192,29.156,31.598,34.465,37.485,41.165,46.521,50.964,53.391,54.487,55.096,56.011,58.561,61.088,63.834,66.153,69.324,71.795,73.386,74.39,75.906,78.496,80.125,80.671,81.126,81.598,82.053,82.587,82.619,83.241,85.282,88.455,91.213,94.543,98.693,100,101.055,103.941,105.829,106.115,106.853
"40","33","        Transportation equipment","B681RG3",24.325,25.491,26.756,27.33,27.626,30.197,33.57,35.978,38.772,42.266,45.893,50.711,54.489,56.955,57.809,58.411,60.175,63.941,64.95,65.662,67.895,70.889,74.521,76.094,76.442,78.567,78.723,80.839,82.982,83.309,83.673,83.665,83.392,84.648,86.626,90.192,90.725,91.38,92.759,93.178,100,93.112,95.004,97.177,98.722,99.789
"41","34","        Other equipment","B862RG3",19.526,20.232,21.205,21.804,22.27,24.244,29.474,31.646,34.43,37.276,40.509,45.455,50.551,54.149,55.361,56.412,57.556,59.37,60.878,62.676,65.248,67.838,70.063,71.587,72.84,74.063,75.589,77.617,78.589,79.752,80.787,81.307,82.462,83.151,83.907,84.558,88.156,90.149,91.979,94.341,100,97.187,98.427,101.516,102.836,103.908
"42","35","      Intellectual property products","Y001RG3",35.531,37.225,38.587,39.738,41.705,45.598,49.258,51.435,53.693,56.488,60.243,64.895,69.739,73.699,76.451,78.594,79.901,80.523,81.965,84.52,85.586,86.456,88.505,87.461,88.068,88.422,90.901,91.212,91.725,91.32,93.074,96.128,96.408,95.408,95.193,95.11,95.987,97.509,99.181,100.827,100,100.541,101.883,102.857,103.693,104.898
"43","36","        Software \1\","B985RG3",126.548,128.643,125.58,123.352,125.731,130.634,136.123,136.428,137.755,134.708,138.687,142.113,147.229,151.143,149.629,147.086,144.507,139.244,138.27,136.727,129.976,125.459,124.929,114.52,113.784,110.031,109.37,106.756,103.676,100.58,101.835,104.89,105.347,103.485,101.092,98.635,98.183,99.378,100,100.904,100,99.107,99.272,98.991,99.543,99.433
"44","37","        Research and development","Y006RG3",22.463,23.387,24.305,25.139,26.672,29.818,32.387,34.088,35.924,38.192,41.424,45.675,49.823,53.429,56.056,58.309,59.48,60.336,61.598,64.518,66.474,68.016,70.014,71.715,72.606,74.155,77.978,79.056,81.437,82.691,84.672,87.829,87.601,86.997,88.444,90.542,92.997,95.101,98,100.938,100,102.461,105.635,108.235,109.65,112.384
"45","38","        Entertainment, literary, and artistic originals","Y020RG3",25.419,27.467,29.236,30.561,31.669,33.521,36.65,38.62,40.224,43.23,45.186,47.395,50.27,52.183,54.796,57.013,59.744,62.317,64.844,67.459,71.318,74.657,78.852,79.819,81.075,83.235,85.56,87.896,88.907,89.051,91.195,93.766,95.192,95.522,96.641,97.416,97.928,98.79,100.145,100.137,100,99.405,99.069,99.535,99.585,100.823
"46","39","    Residential","B011RG3",15.743,16.249,17.19,18.236,19.856,21.907,23.933,25.483,28.084,31.533,35.094,38.88,42.026,44.28,45.328,46.671,47.953,50.068,52.234,54.052,55.819,57.105,57.848,58.561,60.945,63.15,65.408,66.812,68.424,70.229,72.86,76.093,79.705,81.679,85.549,91.546,98.103,103.821,105.176,103.647,100,99.645,100.395,101.342,106.448,112.684
"47","40","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","41","    Farm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","    Nonfarm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","Government consumption expenditures and gross investment","B822RG3",16.157,17.439,18.823,20.241,21.583,23.635,25.809,27.21,28.873,30.724,33.206,36.641,40.215,42.822,44.478,46.272,47.71,48.536,49.868,51.468,53.45,55.673,57.672,59.473,60.893,62.51,64.324,65.656,66.932,68.068,70.403,73.431,75.559,77.426,80.341,83.947,88.235,92.086,96.14,100.282,100,102.673,105.717,107.286,108.618,109.883
"51","44","  Federal","B823RG3",19.221,20.726,22.415,24.368,25.995,28.042,30.478,32.352,34.256,36.425,39.045,42.862,46.949,50.184,51.828,53.779,54.92,55.227,55.653,57.361,58.929,60.807,63.068,64.642,66.04,67.79,69.945,71.129,72.224,73.059,74.867,77.341,78.748,81.31,84.773,87.736,91.449,94.448,97.319,100.286,100,102.614,105.422,106.341,107.53,108.505
"52","45","    National defense","B824RG3",18.687,20.077,21.744,23.987,25.631,27.692,29.955,31.85,33.854,36.154,38.84,42.887,47.111,50.518,52.252,54.314,55.228,55.327,55.787,57.389,58.897,60.88,62.888,64.661,65.636,67.261,69.266,70.451,71.435,72.23,74.034,76.467,77.874,80.529,84.475,87.371,91.395,94.633,97.572,100.809,100,102.365,105.274,106.415,107.275,108.415
"53","46","      Consumption expenditures","B977RG3",16.338,17.594,19.152,20.943,22.468,24.342,26.396,28.059,29.81,31.862,34.363,38.239,42.157,45.247,46.8,48.86,50.083,50.687,51.594,53.347,54.815,56.903,58.932,60.864,61.605,63.085,64.92,66.182,67.381,68.315,70.156,72.84,74.667,78.024,82.672,85.931,90.528,94.228,97.516,101.055,100,102.705,105.754,106.888,107.814,108.989
"54","47","      Gross investment","B788RG3",28.787,30.621,32.375,37.433,39.22,41.847,44.8,47.707,50.806,54.09,57.323,61.606,66.84,71.473,73.947,75.959,75.731,74.065,73.044,74.201,75.908,77.561,79.514,80.628,82.604,84.857,87.592,88.398,88.34,88.443,90.016,91.205,90.666,90.233,91.247,92.682,94.51,96.054,97.757,99.967,100,101.16,103.557,104.725,105.335,106.325
"55","48","    Nondefense","B825RG3",20.251,22.099,23.799,24.926,26.484,28.468,31.26,33.066,34.741,36.623,39.088,42.416,46.19,49.025,50.452,52.123,53.836,54.69,55.026,57.029,58.756,60.347,63.228,64.333,66.638,68.639,71.086,72.267,73.566,74.471,76.285,78.829,80.237,82.645,85.297,88.377,91.529,94.101,96.849,99.321,100,103.064,105.691,106.218,107.966,108.686
"56","49","      Consumption expenditures","B542RG3",17.576,19.478,21.186,22.269,23.696,25.225,27.733,29.463,30.99,32.713,34.809,37.654,40.982,43.412,44.719,46.309,48.104,48.951,49.078,50.932,52.442,53.898,57.061,58.344,60.956,63.147,65.569,67.084,68.729,69.934,72.09,74.881,76.597,79.849,83.131,86.755,90.326,93.303,96.451,99.091,100,103.392,106.286,106.906,108.939,109.622
"57","50","      Gross investment","B798RG3",27.8,29.566,31.249,32.486,34.407,37.768,41.361,43.34,45.427,47.757,51.283,55.999,61.055,65.08,66.816,68.653,69.985,70.813,71.819,74.226,76.567,78.53,80.537,81.12,82.548,83.988,86.482,86.729,87.063,87.141,88.077,89.995,90.563,90.603,91.478,93.01,94.956,96.37,97.992,99.986,100,102.111,103.983,104.249,105.175,106.025
"58","51","  State and local","B829RG3",14.18,15.323,16.505,17.56,18.716,20.767,22.768,23.868,25.372,27.017,29.399,32.582,35.822,38.01,39.698,41.405,43.095,44.339,46.407,47.955,50.275,52.781,54.621,56.599,58.046,59.591,61.209,62.624,63.998,65.287,67.877,71.162,73.628,75.143,77.761,81.719,86.333,90.677,95.426,100.279,100,102.714,105.923,107.947,109.377,110.819
"59","52","      Consumption expenditures","B991RG3",13.621,14.705,15.846,16.906,17.967,19.597,21.417,22.589,24.143,25.732,27.963,30.911,33.909,35.959,37.811,39.75,41.604,42.806,44.937,46.504,49.025,51.724,53.778,56.129,57.629,59.188,60.739,62.231,63.694,65.074,67.941,71.496,74.197,75.792,78.803,82.947,87.267,91.396,95.744,100.77,100,103.306,106.601,108.346,109.676,110.998
"60","53","      Gross investment","B799RG3",17.074,18.499,19.899,20.961,22.582,26.675,29.582,30.297,31.484,33.396,36.539,40.902,45.374,48.263,48.884,49.214,50.005,51.444,53.172,54.612,55.943,57.533,58.385,58.637,59.836,61.306,63.233,64.296,65.278,66.162,67.565,69.736,71.252,72.447,73.515,76.73,82.526,87.741,94.116,98.267,100,100.242,103.091,106.356,108.254,110.271
"61",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","54","  Final sales of computers to domestic purchasers \2\","W489RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,17979.029,14960.774,11680.722,10280.295,9223.361,7601.777,6193.245,5293.55,4511.571,3876.448,3592.993,3352.989,3011.977,2669.127,2233.422,1872.298,1644.237,1361.101,1017.178,762.96,551.264,416.138,353.898,282.881,236.693,204.467,186.274,161.564,139.611,124.775,111.169,100,94.719,88.666,84.316,80.928,78.462
"63","55","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.281,38.402,42.462,46.413,49.095,50.904,52.703,54.379,55.605,57.26,59.33,61.708,64.205,66.273,67.935,69.605,71.165,72.864,74.417,75.812,76.658,78.177,80.415,82.21,83.525,85.492,88.112,91.368,94.443,97.151,100.151,100,101.589,104.114,105.945,107.363,108.899
"64","56","  Food \3\","B981RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.242,53.705,55.33,55.624,56.782,58.612,59.849,62.979,65.969,67.998,68.459,69.414,70.549,72.049,74.116,75.342,76.182,77.408,79.214,81.5,82.703,84.221,86.879,88.295,89.741,93.197,98.917,100,100.35,104.142,106.438,107.503,109.083
"65","57","  Energy goods and services","B982RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.035,50.543,51.083,51.59,45.059,45.603,45.932,48.663,52.777,52.976,53.215,53.693,53.886,54.315,56.818,57.408,52.534,54.672,64.608,66.197,62.376,70.15,78.159,91.727,102.03,108.183,123.77,100,110.317,127.915,129.653,128.594,127.496
"66","58","  Gross domestic purchases excluding food and energy","B983RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.565,53.574,55.437,57.276,58.903,60.581,62.838,65.182,67.576,69.741,71.5,73.201,74.802,76.446,77.641,78.781,79.519,80.695,82.439,83.961,85.313,86.928,89.237,92.053,94.792,97.201,99.46,100,101.267,103.097,104.836,106.3,107.868
"67","59","  Gross domestic product","B191RG3",21.691,22.836,23.996,25.035,26.396,28.76,31.431,33.157,35.209,37.68,40.79,44.48,48.658,51.624,53.658,55.564,57.341,58.504,59.935,62.036,64.448,66.841,69.057,70.632,72.315,73.851,75.393,76.767,78.088,78.935,80.065,81.89,83.755,85.04,86.735,89.118,91.985,94.812,97.34,99.218,100,101.226,103.315,105.174,106.739,108.318
"68","60","      Gross domestic product excluding final sales of computers","BB00RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.532,38.52,42.096,46.124,48.995,51.037,52.983,54.798,56.013,57.484,59.568,61.956,64.361,66.578,68.22,69.978,71.558,73.22,74.83,76.404,77.532,78.92,80.905,82.958,84.389,86.187,88.62,91.593,94.525,97.154,99.136,100,101.275,103.411,105.309,106.923,108.537
"69","61","      Food \3\","BB10RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.271,55.748,57.586,59.617,62.947,65.384,67.174,67.59,68.592,69.515,71.322,74.349,74.825,75.141,76.226,78.007,80.48,81.763,83.59,86.543,87.364,88.763,92.996,99.848,100,99.87,104.205,107.574,108.605,109.295
