"","Table 5#6#6B# Change in Real Private Inventories by Industry, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56"
"16","8","  Durable goods industries","N661RX1",15,25.6,8.2,18.4,25.4,8.7,22.4,12.5,16.1,11.6,10.7,20,11.7,22.7,9,12.8,-6.9,-22,-22.7,-19.2,-7.1,3.5,10,-4.8,3.7,-3.4,-8,11,15.2,17.3,27.2,12.7,22.5,11.8,1.2,17.9,5.9,16.1,16.7,-2.3,11.2,-8.8,-5.2,10.5,9.8,-1.7,20.4,-1.6,-53.1,-54.7,-44.2,-20.8,7.7
"17","9","  Nondurable goods industries","N664RX1",5.7,9.1,10.2,14.2,6.6,6,6.8,3.3,7.8,-4.2,13.3,7.2,6,2.9,6,10.4,0.9,17.1,-1.6,4.5,-0.8,1,-5.9,3.6,-10.7,-3.9,6,3.6,-1,-1.1,1,9.8,13,0.5,1,4.5,12.1,4.3,0,0.7,-8,10,15.5,-0.4,-14,-0.5,-13.8,-14.6,8.7,-19.2,-22.8,14.1,4
"18","10","Retail trade","N153RX1",5.2,23,16.4,12.1,30,1.7,8.5,20.5,40.2,13.9,7.8,41.4,7.9,37.2,21.8,15.7,-23.4,7.9,12,-39.2,19.7,25.4,16.9,32.9,25.2,8.2,17.2,18.7,31.7,29.6,12.4,21,14.7,-11.2,-5.5,20.4,11.7,8.2,13.9,9.2,-3.4,8.8,19.7,-1.7,-17.3,-13.9,5.6,-21.5,-47.2,-51.4,-17.3,13.3,14.5
"19","11","  Motor vehicle and parts dealers","N631RX1",0.4,7,5.6,7.6,10.5,-6.5,-4.6,8.4,25.4,-0.3,1.9,22.3,1.5,23.9,15.9,5.7,-26.2,10.2,9.5,-29.2,19.6,18.4,2.4,28.3,17,11.8,7.6,15.3,14.9,13.7,2,0,3.3,-19,-7.5,12.1,1.2,0.2,1.1,-4,-7.2,3.7,23.6,-8.3,1.6,-5.6,5.7,-3.7,-35.6,-32.8,4.7,22.1,19
"20","12","  Food and beverage stores","N542RX1",0.4,0.5,1.6,-0.9,1.1,2.1,-0.2,1.3,2.1,1.8,2.4,0.8,-0.1,-2.2,0.4,-0.8,1,0.7,0,0.2,-0.2,0,1.8,-0.9,-0.9,-3.2,1.5,-2.5,0.4,0.9,0.4,-0.1,0.3,0.2,-1.9,1,1.7,1.2,0.7,0.1,-0.8,1.3,2.1,0.9,0.1,1.3,0.3,-0.7,2.3,-0.3,0.3,-2.8,1.6
"21","13","  General merchandise stores","N543RX1",-0.4,3.4,-1.3,-1.1,-0.2,-0.2,2.6,-0.7,3.2,2.2,2.1,3.8,0.4,2.7,-0.9,2.1,5.3,0.7,-0.2,-5.3,-1.9,-0.4,3.9,4.1,0.6,1,1.9,0.6,6.1,3.2,1.4,7.4,5.8,-0.1,2.3,0.9,-2.2,-1.3,6.4,3.7,0.5,0.2,-2.7,0.6,-6.1,-0.9,-1.5,-4,-3.6,-2.6,-4.3,0.2,-5.5
"22","14","  Other retail stores","N558RX1",4.9,12,10.4,6,18.4,6.9,11,11.4,8.6,10.6,1.7,13.7,6.1,11.6,5.7,8.4,-2,-4.4,2.2,-3.4,1.2,6.6,9.1,0.1,8.1,-2,6.3,5.2,10.2,11.8,8.7,13.8,5.4,7.7,1.6,6.5,10.9,8,5.8,9.2,3.8,3.6,-2.5,4.7,-12.5,-8.9,1.3,-13,-12.3,-17.2,-17.4,-4.7,0.4
"23","15","Other industries","N154RX1",8.9,4.9,3.3,5.5,2.9,5.7,5.5,9.1,7.7,9.5,7.4,5.6,11,13.9,19.5,6.5,2.1,-0.8,-0.7,-1.5,-3.2,1.5,-1,-1.4,-0.6,4,1.1,1.9,6.3,5.9,6.9,6.2,2.6,2.6,0.2,3.9,3,6.9,4.5,4.1,5.3,4,1.2,3.3,2.9,0.3,1.7,5.4,-3.4,-5.8,-4.3,-3,4.1
"24","16","Residual","N969RX1",1.5,1.3,-1.1,1.5,2.2,-1.5,0.8,0.6,5.5,1.3,2.8,6.3,2.8,5.9,3.6,3,-4.9,-2.4,-1.4,-8.1,2.2,4.2,2,3.6,0.7,0.7,-0.3,-0.7,1.5,1.7,0,-0.1,0.1,-0.3,0.1,-0.2,1.1,1.2,0,-0.2,0.3,0.7,0.5,0.1,-0.4,0.3,-8,-1.9,5.3,2.7,-1.2,0.6,-1.3
"25",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","17","  Change in private inventories","A014RX1",43.2,103.9,75.4,87,117.2,43.2,60.6,65.5,89.4,41.1,44.6,99.1,18.7,101,63.1,58.1,-34.8,-10.7,-30.8,-90.7,-15.1,13.4,19.8,32.9,31.5,-3.5,3,38.3,52.4,78.7,62.7,71.6,91.4,15.5,11.8,81,65.8,72.5,67.5,31.8,14.5,23.3,29.8,10.3,0.6,-37.1,-29.7,-37.4,-113.9,-160.2,-139.2,-19.7,33.9
"27","18","    Durable goods industries","N355RX1",27.6,53.3,33.3,46.8,72.3,23,32.5,34.8,55.7,11.3,27,63.9,17.9,62.1,34.4,36.2,-46.8,-24.6,-34.4,-80,4.4,18,13.7,36.3,29.3,1.6,-11.6,34.7,35.5,48.1,37.1,31.9,61.6,8.6,12.2,58.6,20.6,32.9,42.4,5.2,11.1,-8.2,10.7,16.7,15.2,-19.6,32.8,9.2,-115.3,-121.8,-93.1,-21.8,29.2
"28","19","    Nondurable goods industries","N357RX1",14.1,49.4,42.2,38.8,41.6,19.6,27.1,29.7,31,30.9,16.4,32.3,-0.3,37,28,20.9,14.6,15.6,5.5,-6.6,-20.6,-5.7,5.7,-4.9,1.4,-5.2,15,3.3,16.8,30.4,25.4,39.6,29.5,7,-0.3,22.8,45.1,39.7,25.1,26.6,3.2,30.8,18.8,-5.6,-13.7,-18.4,-57.8,-45.1,-1.7,-40.8,-47.6,1.4,5.7
"29","20","  Nonfarm industries","B015RX1",53.3,95.7,65.5,79.8,110.6,45.6,57.6,64,90,39.3,53.5,100.3,36.5,93.7,64.3,50.5,-40.1,-7.4,-33.1,-85.5,-19.5,25.5,22.6,33.6,27.5,-2.3,2.5,41.3,49.4,60.2,55.7,68.1,98.4,15.3,7.2,78.4,62.3,80.4,73.9,36.2,8.3,27.9,32.7,12.5,14.5,-35.8,-24.5,-35.7,-114.9,-163.1,-141.4,-13.7,37.6
"30","21","  Wholesale trade","N658RX1",21.4,35.9,17.8,32.5,33.4,14.7,30.3,16.4,24.3,8.8,23.5,27.8,17.9,26.6,15,23.1,-6.4,-6.9,-25.2,-16,-8.2,4.6,4.8,-1.4,-6.5,-7.2,-2.4,14.7,14.4,16.4,28.6,22.6,35.6,12.4,2.2,22.3,18,20.3,16.6,-1.5,2.9,1.9,11.3,9.6,-5.9,-1.6,3.8,-16.8,-42.3,-72.9,-66.5,-4.8,11.6
"31","22","    Merchant wholesale trade","N151RX1",20.1,32.5,16.3,26.7,29.1,14.2,28.1,13.7,21.9,4.9,19.8,25.4,14.1,20.8,9.7,19.8,-3.3,-2.7,-16.5,-12.5,-3.8,2.1,4,0.1,-3.9,-6.3,-2,12.3,13.3,13.3,24.2,23,26.6,12.4,2.7,15.6,16.1,23.8,14.9,4.1,2.5,2.8,12.3,12.2,-7.1,2.8,15.9,-6.7,-33.1,-63.1,-58.2,-1.8,5.4
"32","23","      Durable goods industries","N626RX1",14.2,23.8,7.6,14.2,22.2,8.8,20.1,10.4,14.8,8.9,9.7,18.4,9,19.5,5.1,9.9,-3.9,-19.7,-16.9,-16.1,-5.6,1.8,8,-5.2,5,-2.3,-6.5,7.4,14.6,16.5,23.3,14.1,17,12.3,0.8,13.8,8.5,18.8,12.1,1.3,5.3,-6.2,-4.4,8.4,11.9,3.4,22.9,-0.2,-44.9,-48,-38.7,-19,3.7
"33","24","      Nondurable goods industries","N627RX1",5.4,7.7,9.1,12.8,6,5.3,7.4,2.9,6.8,-5,10.5,6.5,5,0.4,4.7,10.2,0.8,18.5,1,4.4,2.1,0.2,-4.3,5.5,-9.1,-4,4.7,4.9,-1.4,-3.3,0.7,8.8,9.6,0,1.9,1.9,7.6,5.1,2.8,2.8,-2.7,8.4,15.7,3.8,-16.8,-0.7,-5.2,-6.4,9.7,-16,-19.8,15.3,1.8
"34","25","    Nonmerchant wholesale trade","N152RX1",1.3,3.3,1.4,5.9,4.2,0.3,2,2.8,2.3,4.1,3.7,2.3,3.9,6,5.4,3.3,-3.2,-4.3,-9,-3.7,-4.7,2.6,0.8,-1.6,-2.8,-0.9,-0.5,2.4,1,3.2,4.4,-0.5,9.1,0,-0.5,6.6,1.9,-3.4,1.7,-5.7,0.3,-1,-0.9,-2.6,0.9,-4.6,-11.8,-10.3,-9.5,-9.8,-8.3,-3.1,6.1
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Note.  Estimates in this table are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Chained (2005) dollar series for real change in private inventories are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","as the period-to-period change in chained-dollar end-of-period inventories. Quarterly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","changes in end-of-period inventories are stated at annual rates. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","for the chain-type quantity indexes uses weights of more than one period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","chained-dollar estimates are usually not additive. The residual line is the difference between",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
