"","Table 5#5#4# Price Indexes for Private Fixed Investment in Equip","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/26/2010 8:41:01 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","      Private fixed investment in equipment and software","B327RG3",24.747,23.765,22.501,21.172,20.373,21.509,21.303,21.282,22.493,23.027,22.777,23.367,24.855,27.345,27.488,28.02,28.51,31.222,35.358,37.897,39.306,40.27,43.679,44.544,44.647,45.685,46.085,49.411,52.157,53.144,54.142,54.571,54.259,53.974,53.667,53.635,53.666,53.795,54.973,56.446,58.011,60.13,61.903,62.64,63.692,68.375,78.417,83.021,87.917,92.55,98.41,106.786,114.418,118.918,119.21,118.199,118.048,119.899,120.571,122.07,123.591,125.181,126.935,125.459,124.213,123.537,122.127,119.224,115.722,110.615,107.393,106.108,103.617,101.519,100.293,99.876,100,100.208,100.729,101.457
"9","2","Nonresidential equipment and software","B010RG3",24.423,23.444,22.221,20.959,20.136,21.272,21.084,21.051,22.256,22.792,22.551,23.155,24.628,27.086,27.228,27.751,28.219,30.891,34.996,37.519,38.967,39.944,43.338,44.215,44.321,45.385,45.815,49.219,52.009,53.025,53.998,54.445,54.146,53.878,53.581,53.558,53.607,53.749,54.94,56.416,57.985,60.119,61.905,62.651,63.716,68.414,78.523,83.143,88.083,92.731,98.61,107.032,114.681,119.155,119.406,118.364,118.221,120.094,120.75,122.256,123.786,125.389,127.178,125.681,124.408,123.695,122.265,119.323,115.788,110.641,107.406,106.114,103.603,101.494,100.287,99.897,100,100.194,100.715,101.455
"10","3","  Information processing equipment and software","B679RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223.505,254.565,260.124,261.978,267.625,283.623,278.589,277.626,280.352,283.597,291.649,305.778,309.317,312.09,310.384,306.116,298.87,288.242,283.871,276.444,262.656,259.012,257.158,259.297,261.76,255.72,250.088,251.949,256.676,272.425,274.79,271.346,261.2,259.319,261.123,267.313,269.897,262.811,251.625,242.43,235.154,228.591,225.512,220.564,214.966,211.198,200.013,192.361,184.636,175.93,161.998,149.57,135.058,125.622,122.047,115.986,110.658,106.399,102.759,100,98.149,96.698,95.6
"11","4","    Computers, software, and communication","W175RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,688.065,674.897,654.507,628.035,591.381,577.324,550.696,504.146,485.638,479.988,483.773,485.15,465.234,449.833,451.341,453.007,473.345,468.44,448.121,413.084,400.199,389.484,392.868,392.016,372.941,348.817,329.81,310.563,294.143,286.022,275.266,263.705,255.594,235.31,222.826,210.605,196.889,177.825,161.749,143.633,131.908,127.685,120.282,113.682,108.112,103.52,100,97.63,95.661,94.034
"12","5","      Computers and peripheral equipment","B935RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,496986.194,390212.067,288275.275,204487.975,134306.512,112349.361,92834.959,65070.732,52869.906,45116.45,40849.551,36692.755,27938.206,22534.927,21365.392,17444.067,16136.6,13477.144,11728.211,7933.086,6573.387,5130.361,4508.726,4034.679,3363.776,2721.382,2313.526,1992.948,1697.542,1576.791,1472.397,1335.949,1200.159,1024.233,870.349,765.419,640.569,488.486,376.572,279.774,217.847,190.64,157.838,137.092,122.55,113.617,100,87.395,78.065,69.96
"13","6","      Software \1\","B985RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.855,149.653,146.999,141.353,135.995,137.107,133.618,129.357,127.722,127.897,129.05,131.191,128.067,125.794,128.221,133.221,138.818,139.13,140.482,137.376,141.433,144.926,150.144,154.135,152.592,149.999,147.368,142,141.008,139.435,132.55,127.943,127.403,116.787,116.037,112.209,111.535,108.87,105.729,102.572,103.851,106.967,107.432,105.534,103.069,100.519,100,101.17,101.7,102.748
"14","7","      Communication equipment \2\","B275RG3",39.323,35.09,31.524,29.898,28.307,32.508,33.007,32.84,33.144,32.831,32.342,32.666,33.639,35.106,34.787,34.617,35.097,54.195,66.377,65.681,65.69,67.06,69.837,67.599,64.992,65.333,65.172,66.209,68.817,69.682,70.05,69.558,69.134,68.537,69.007,70.001,69.695,70.428,72.731,76.327,80.497,84.227,88.456,92.622,94.873,102.813,113.053,119.093,115.745,120.643,122.997,131.363,141.973,149.994,154.115,158.948,161.99,162.608,163.803,163.803,163.887,163.819,164.378,163.114,161.356,158.745,153.908,151.088,149.94,141.321,132.065,127.316,120.358,113.672,107.977,102.034,100,98.944,99.085,98.571
"15","8","    Medical equipment and instruments","W176RG3",19.81,19.256,18.709,19.417,16.561,17.127,16.398,16.473,15.918,16.575,16.56,17.373,18.676,19.696,19.23,18.6,18.129,16.83,18.416,19.518,19.614,20.507,22.351,21.799,22.336,22.878,23.844,25.115,26.938,27.794,28.486,28.827,28.905,28.994,28.932,28.77,28.903,29.719,30.38,31.164,32.083,33.576,34.559,34.853,35.752,38.517,44.51,47.38,50.065,54.026,58.729,64.709,70.775,74.739,77.098,79.016,79.399,82.783,86.351,88.13,90.02,92.518,94.565,96.988,98.703,99.51,100.718,101.132,99.794,98.942,98.257,97.598,98.026,98.683,99.991,99.962,100,99.933,99.982,100.657
"16","9","    Nonmedical instruments","W177RG3",15.191,14.766,14.347,14.889,12.7,13.133,12.575,12.632,12.206,12.71,12.699,13.322,14.321,15.103,14.746,14.263,13.902,12.905,14.121,15.051,15.187,15.836,17.332,17.046,17.618,17.897,18.541,19.541,21.042,21.824,22.448,23.123,23.475,23.794,24.033,23.864,23.91,24.953,26.239,27.142,28.036,29.04,30.396,31.04,31.551,33.576,38.333,41.047,43.899,46.357,49.068,52.858,57.461,61.213,64.513,65.01,66.902,69.357,71.598,74.203,76.608,79.571,81.84,84.132,85.877,87.297,88.82,90.249,91.788,92.445,93.081,94.066,94.896,96.105,97.433,98.417,100,101.671,104.245,106.727
"17","10","    Photocopy and related equipment","B285RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.917,71.393,77.888,76.653,74.108,77.505,76.467,76.569,77.051,77.448,77.573,83.091,85,85.907,86.531,88.461,90.21,89.916,89.586,90.721,90.551,92.791,89.797,88.093,88.456,88.455,87.368,87.747,89.755,93.376,97.099,98.34,102.119,106.639,120.282,125.059,126.093,128.558,130.183,133.062,140.153,145.831,150.966,155.956,159.293,162.443,167.887,162.177,159.519,162.236,150.643,138.895,123.406,119.747,114.884,111.381,103.526,102.184,100.899,100,98.719,99.927,101.704
