"","Table 5#5#6U# Real Private Fixed Investment in Equipment and Sof","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of chained (2000) dollars; quarters seasonally adjusted at annual rates]                                                                                                                                                                        ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1990 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 28, 2004     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/25/2004 11:48:10 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003
"8","1","      Private fixed investment in equipment and software","A327RX0",360690,351344,376761,423258,473146,529184,584814,664398,752002,847211,926248,878722,854306,901848
"9","2","Nonresidential equipment and software","B010RX0",355022,345897,371112,417433,467218,523124,578725,658301,745559,840205,918889,871336,846701,893475
"10","3","  Information processing equipment and software","A679RX0",100739,105850,122156,138247,155693,182698,218883,269862,328857,398457,467618,457588,459252,522710
"11","4","    Computers, software, and communication","W175RX0",63797,67621,80514,92388,107800,132695,164776,212667,266029,335851,401668,390799,385356,438584
"12","5","      Computers and peripheral equipment \1\","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","6","      Software \2\","B985RX0",39858,45143,53036,59302,65131,71642,84054,108838,129413,157206,176159,171822,167471,182410
"14","7","      Communication equipment","C275RX0",35732,34382,36671,39063,46318,53370,60620,69067,80034,95406,124068,115487,103200,110425
"15","8","    Medical equipment and instruments","W176RX0",17320,18390,20026,21827,20968,21115,22950,25871,29689,31526,34435,36850,40951,46674
"16","9","    Nonmedical instruments","W177RX0",15221,15347,15886,15855,16570,17992,18608,16940,17202,17094,17785,18330,20007,21964
"17","10","    Photocopy and related equipment","C285RX0",8161,8409,8523,10169,10916,9954,10267,10354,11571,10049,9638,6701,7216,7310
"18","11","    Office and accounting equipment","B936RX0",5089,4749,5197,5609,5569,5620,5754,5706,5161,4025,4092,4821,5077,7494
"19","12","  Industrial equipment","A680RX0",109163,102168,104034,112866,122933,134927,139934,142953,148132,147866,159215,145023,136052,131094
"20","13","    Fabricated metal products","C263RX0",10138,10167,10274,10087,10803,11161,12081,10472,10973,11760,12393,12059,12033,11958
"21","14","    Engines and turbines","A668RX0",3708,4377,4118,3951,4234,3483,4138,3837,4530,5524,7108,10718,9867,4337
"22","15","      Steam engines","BA13RX0",2626,3231,2971,2757,2932,2025,2643,2102,2875,3292,5066,8418,7455,1648
"23","16","      Internal combustion engines","BA14RX0",1181,1266,1261,1283,1391,1502,1549,1749,1669,2235,2042,2306,2388,2686
"24","17","    Metalworking machinery","C271RX0",19457,18328,19246,20886,24235,27726,28220,30334,30473,29494,30046,25382,23185,19788
"25","18","    Special industry machinery, n.e.c.","C272RX0",27571,24903,24746,27137,28789,32780,33681,33419,33742,32934,36397,30383,27748,30369
"26","19","    General industrial, including materials handling, equipment","C273RX0",32701,29840,30892,35618,38267,41918,43305,45309,47990,46027,48579,43849,41500,42082
"27","20","    Electrical transmission, distribution, and industrial apparatus","C276RX0",15514,14423,14638,15132,16549,17817,18457,19578,20422,22127,24692,22623,21678,22534
"28","21","  Transportation equipment","A681RX0",81003,78830,80225,95108,111414,120574,125416,135867,145389,167681,160845,142583,128240,116584
"29","22","    Trucks, buses, and truck trailers","C279RX0",28463,25268,28891,39525,52257,59620,65056,73314,80691,88933,81823,66641,64393,62364
"30","23","      Light trucks (including utility vehicles)","W178RX0",11485,10869,10647,15481,25216,29681,38437,48176,49281,53511,50819,44294,42105,41112
"31","24","      Other trucks, buses, and truck trailers","W179RX0",17447,14763,18857,24779,27461,30344,26743,24969,31413,35448,31004,22406,22307,21301
"32","25","    Autos","C280RX0",30247,30769,29758,33118,40286,37928,37656,36513,32834,36886,36527,34906,33705,32629
"33","26","    Aircraft","C281RX0",16391,17159,16819,16030,10586,14786,13910,16465,22017,31704,32580,33494,22864,14707
"34","27","    Ships and boats","C282RX0",1938,1942,1402,2486,2069,1988,2494,2861,2956,2922,3372,2850,3336,4221
"35","28","    Railroad equipment","C283RX0",3938,3591,3378,3831,5007,5378,5323,5879,6570,7181,6544,4533,4398,3631
"36","29","  Other equipment","A682RX0",98793,84377,83909,93702,100469,105886,109958,119926,129724,130309,134581,129132,126952,130952
"37","30","    Furniture and fixtures","A667RX0",24646,21693,23792,23960,24478,25778,26333,30235,33061,34794,36250,32437,29985,30278
"38","31","      Household furniture","BA15RX0",1382,1212,1182,1304,1445,1507,1608,1637,1810,1993,2080,2034,2155,2247
"39","32","      Other furniture","BA16RX0",23382,20715,22931,22880,23245,24446,24812,28702,31313,32812,34170,30406,27861,28081
"40","33","    Agricultural machinery","C268RX0",16756,13524,11592,13189,14543,14772,14590,16666,17188,12516,13703,14456,16184,16813
"41","34","      Farm tractors","BA17RX0",4439,3786,3327,3846,4464,4370,4016,5779,5750,3947,4893,4597,5247,6111
"42","35","      Other agricultural machinery","W213RX0",12299,9783,8272,9418,10065,10385,10568,10895,11452,8569,8810,9855,10932,10692
"43","36","    Construction machinery","C269RX0",17413,11353,11085,14031,15688,17258,19285,20497,23066,23089,23229,20122,20598,21321
"44","37","      Construction tractors","BA18RX0",2665,1695,1108,1462,1498,1681,1902,2671,3023,3010,3170,2711,2655,2627
"45","38","      Other construction machinery","W214RX0",14954,9764,9978,12553,14215,15587,17385,17824,20049,20083,20058,17410,17941,18698
"46","39","    Mining and oilfield machinery","C270RX0",2191,1738,1535,2925,2824,2802,2901,3730,3663,5446,5319,5995,4541,5985
"47","40","    Service industry machinery","C570RX0",13965,13041,12563,13250,14374,15063,15440,15165,16752,17635,17539,17343,16302,16920
"48","41","    Electrical equipment, n.e.c.","A670RX0",3496,2904,2958,2947,3104,3335,3215,3630,4382,4322,4605,4897,4967,5431
"49","42","      Household appliances","BA19RX0",478,410,427,496,573,622,673,696,769,785,817,829,872,922
"50","43","      Miscellaneous electrical","BA20RX0",3142,2590,2626,2527,2575,2743,2581,2967,3619,3540,3788,4065,4094,4515
"51","44","    Other","C286RX0",20497,20043,20246,23355,25409,26835,28198,29993,31604,32508,33936,33871,34402,34195
"52","45","  Less: Sale of equipment scrap, excluding autos","C287RX0",2697,2267,2236,4194,3842,4055,4240,4096,4016,3598,3369,2697,2632,2421
"53","46","Residential equipment","B013RX0",6024,5788,5967,6086,6126,6205,6176,6124,6449,7011,7359,7381,7584,8344
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","1. The quantity index for computers can be used to accurately measure the real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","growth rate of this component. However, because computers exhibit rapid changes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","in prices relative to other prices in the economy, the chained-dollar estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","should not be used to measure the component's relative importance or its contribution",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","to the growth rate of more aggregate series; accurate estimates of these contributions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","are shown in table 5.5.2 and real growth rates are shown in table 5.5.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2. Excludes software ""embedded,'' or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","NOTE. Chained (2000) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","index and the 2000 current-dollar value of the corresponding series, divided by 100. Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","the formula for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","corresponding chained-dollar estimates are usually not additive. The residual line is the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
