"","Table 5U# BEA Retail and Food Service Sales                     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1992 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 28, 2004     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/25/2004 12:00:53 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003
"8","1","S1 EN04472AMA       Retail and food services","T050010",2149471,2293912,2481025,2606635,2766110,2891766,3037491,3292838,3513873,3609573,3722946,3932108
"9","2","S1 EN44ZZZZMA Retail trade","T050020",1934367,2065637,2242593,2359662,2509352,2619300,2749594,2990569,3190304,3273728,3369840,3553478
"10","3","S1 EN441ZZZMA   Motor vehicle and parts dealers","T050030",440786,496519,566732,605920,654559,680351,720356,802360,841960,867061,879638,933877
"11","4","S4 EN4411ZZMA     Automobile dealers","T050040",369802,419765,482616,517313,560847,581838,614782,688469,720461,745476,754724,793146
"12","5","S4 EN4412ZZMA     Other motor vehicle dealers","T050050",18781,21850,24758,27189,29129,31821,35630,39774,44415,45168,47210,59393
"13","6","S2 EN4413ZZMA     Automotive parts, accessories and tire stores","T050060",52203,54903,59359,61418,64582,66692,69943,74116,77083,76417,77703,81338
"14","7","S1 EN44DZZZMA   Furniture, home furnishings, electronics and appliance stores","T050070",103391,112740,127005,137895,145772,152299,163138,176319,188238,187237,196199,207366
"15","8","S1 EN442ZZZMA     Furniture and home furnishings stores","T050080",58029,61078,66175,69108,73210,78059,82789,89724,96572,96245,100001,105513
"16","9","S4 EN4421ZZMA       Furniture Stores","T050090",33593,35415,37761,39338,41668,44496,46831,49848,53663,53553,55732,57280
"17","10","S4 EN4422ZZMA       Home furnishings stores","T050100",24436,25664,28414,29770,31542,33563,35959,39876,42909,42692,44270,48233
"18","11","S1 EN443ZZZMA     Electronics and appliance stores","T050110",45362,51661,60830,68786,72562,74240,80349,86594,91667,90992,96198,101853
"19","12","S1 EN444ZZZMA   Building material and garden equipment and supplies dealers","T050120",168056,180113,200180,208891,223215,240520,255246,275813,290139,301705,316001,339088
"20","13","S2 EN4441ZZMA     Building material and supplies dealers","T050130",142831,155481,174020,181476,193071,207679,221046,241370,254149,264588,278930,297778
"21","14","S3 EN4442ZZMA     Lawn and garden equipment and supplies stores","T050140",25225,24631,26160,27415,30144,32841,34201,34443,35990,37118,37071,41310
"22","15","S1 EN445ZZZMA   Food and beverage stores","T050150",381372,385287,395393,401651,412640,420909,432544,453779,472218,492393,502922,521000
"23","16","S1 EN4451ZZMA     Grocery stores","T050160",346487,350369,359815,365892,375250,382226,391837,411590,426595,444358,453151,468270
"24","17","S3 EN4452ZZMA     Specialty food stores","T050170",11895,12106,12169,12443,12860,13209,13679,13890,14938,16049,16773,18512
