"","Table 6#16C# Corporate Profits by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 17, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/29/2010 9:29:21 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","    Corporate profits with inventory valuation and capital consumption adjustments","A051RC1",367.8,426.6,425.6,434.4,457.3,496.2,543.7,628.2,716.2,801.5,884.8,812.4,856.3,819.2
"9","2","Domestic industries","A445RC1",319.8,369.6,358.4,358.4,380.8,423.1,466.8,550.3,623.2,699.5,777.3,709.7,734.8,673.6
"10","3","  Financial","A587RC1",59.9,65.4,74.9,81.6,109.5,127.1,119.3,116.8,152.7,162.1,191.1,165.9,201.3,206.1
"11","4","  Nonfinancial","A463RC1",259.9,304.3,283.5,276.7,271.3,296.1,347.5,433.5,470.6,537.4,586.2,543.7,533.5,467.5
"12","5","Rest of the world","B394RC1",48,57,67.1,76.1,76.5,73.1,76.9,78,92.9,102,107.6,102.8,121.5,145.6
"13","6","  Receipts from the rest of the world","B933RC1",58.9,71.6,75.5,80.9,75.5,78.3,88.9,104.5,127.4,139.4,155.5,146.8,176.8,202.5
"14","7","  Less: Payments to the rest of the world","B934RC1",10.9,14.6,8.4,4.8,-1,5.2,12,26.6,34.4,37.4,47.9,44,55.3,56.9
"15","8","    Corporate profits with inventory valuation adjustment","A052RC1",306.9,367.7,374.1,398.8,430.3,471.6,515,586.6,666,743.8,815.9,738.6,776.6,755.7
"16","9","Domestic industries","A390RC1",258.8,310.8,307,322.7,353.8,398.5,438.1,508.6,573.1,641.8,708.3,635.9,655,610
"17","10","  Financial","A392RC1",61.6,68.8,80.2,92.3,122.1,142.7,133.4,129.2,160.1,167.5,187.4,159.6,190.4,194.4
"18","11","    Federal Reserve banks","B397RC1",16.2,18.1,20.6,21.8,20.7,18.3,16.7,18.5,22.9,22.5,24.3,25.6,26.7,31.2
"19","12","    Other","B398RC1",45.3,50.7,59.5,70.5,101.4,124.4,116.7,110.7,137.2,144.9,163.2,134,163.8,163.2
"20","13","  Nonfinancial","A399RC1",197.3,242,226.8,230.4,231.7,255.8,304.7,379.5,413,474.4,520.9,476.2,464.6,415.7
"21","14","    Manufacturing","A400RC1",87.5,122.5,112.1,114.4,99.4,100.8,116.8,150.1,176.7,192,212.2,173.4,174.6,166.5
"22","15","      Durable goods","A406RC1",41.3,54.8,51.8,44.5,35.1,41.2,56.5,75.8,82.3,92,104.8,86.7,77.9,64.6
"23","16","        Primary metal industries","A407RC1",2.6,6.1,6.4,3.5,1.5,0,0.4,2.4,7.2,5.7,6.4,6.3,2.2,1.1
"24","17","        Fabricated metal products","A408RC1",5.5,6.6,6.4,6.1,5.3,6.3,7.4,11.2,11.9,14.6,17.1,16.1,16.1,15.5
"25","18","        Industrial machinery and equipment","A409RC1",5.6,11.3,12.4,12,5.8,7.6,7.6,9.3,14.9,17,16.9,19.6,12,16.2
"26","19","        Electronic and other electric equipment","A410RC1",6.1,7.8,9.5,8.7,10.2,10.6,15.4,23.2,22,20.7,26,9.1,5.3,5.1
"27","20","        Motor vehicles and equipment","A411RC1",3.8,6.3,2.8,-1.8,-5.3,-0.9,6.1,8,0.2,4.5,5.2,5.9,7.5,-1.4
"28","21","        Other","A412RC1",17.7,16.7,14.3,16.1,17.5,17.6,19.6,21.7,26.1,29.5,33.3,29.8,34.8,28.1
"29","22","      Nondurable goods","A401RC1",46.2,67.7,60.3,69.9,64.3,59.6,60.4,74.3,94.4,99.9,107.4,86.6,96.6,101.9
"30","23","        Food and kindred products","A402RC1",11.2,9.7,11.2,14.4,18.3,18.4,16.5,20.4,27.6,22.7,25.2,22,28.1,26
"31","24","        Chemicals and allied products","A403RC1",14.6,18.8,18.3,17,16.3,16.1,16,23.6,28.2,26.6,32.4,26.2,24.8,15.3
"32","25","        Petroleum and coal products","A404RC1",-1.4,12.9,6.6,16.5,7.4,-0.8,2.8,1.5,7.4,15.3,17.6,7.1,4.6,29.7
"33","26","        Other","A405RC1",21.9,26.4,24.2,22,22.3,25.9,25,28.9,31.2,35.3,32.3,31.4,39.2,30.9
"34","27","    Transportation and public utilities","A416RC1",42.4,48.9,43.8,44.7,53.8,59.2,70.2,85.2,87.9,93.7,86.5,81.1,59.1,45.8
"35","28","      Transportation","A417RC1",3.7,8.2,1.5,-0.1,2.6,2.6,7.3,11.1,12.1,16.4,19.6,22,16.2,15.3
"36","29","      Communications","A418RC1",19.6,19.6,18.3,20.2,23.6,28,33.1,37.6,34.5,36,26.5,22.6,5.9,2.4
"37","30","      Electric, gas, and sanitary services","A419RC1",19.2,21.2,24,24.6,27.6,28.6,29.7,36.5,41.3,41.3,40.4,36.5,36.9,28.1
"38","31","    Wholesale trade","A414RC1",19,20.4,22.1,19.6,22.2,25.5,26.7,31.8,28,40.6,48.2,51.7,51.7,55.6
"39","32","    Retail trade","A415RC1",24,21,22.1,21.6,27.7,29.2,40.6,47.2,44.8,53.7,65.9,74.7,75.6,71.4
"40","33","    Other","A420RC1",24.4,29.3,26.7,30.1,28.7,41.1,50.4,65.2,75.5,94.5,108.1,95.5,103.6,76.4
"41","34","Rest of the world","B394RC1",48,57,67.1,76.1,76.5,73.1,76.9,78,92.9,102,107.6,102.8,121.5,145.6
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Note. Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
