"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78"
"44","36","    Metal and mineral (except petroleum) wholesalers","PK42153",65.034,65.192,65.349,65.072,64.249,63.562,61.968,59.604,58.283,58.223,58.831,60.11,61.693,61.82,61.566,60.167,59.512,58.635,58.182,57.259,57.382,59.162,60.897,61.773,62.322,62.185,62.656,64.932,72.533,78.617,85.093,89.635,90.36,87.258,84.966,88.951,92.694,98.786,103.262,103.274,105.166,110.405,108.78,108.261,116.413,137.116,144.011,113.797,99.911,93.618,100.606,106.238,114.074,121.969,118.517,122.038,132.522,136.93,137.113,133.595,134.36,130.466,124.586,124.053,123.495,120.461,119.628,121.46,123.499,122.674,123.095,120.773,114.496,108.287,104.008
"45","37","    Electrical goods wholesalers","PK42163",112.827,112.31,111.894,110.928,110.022,109.47,108.664,108.7,108.659,108.054,107.41,106.997,106.529,106.433,106.156,105.702,105.2,104.564,104.017,103.794,103.796,103.328,102.844,102.412,101.925,101.75,101.397,100.955,100.009,99.855,99.41,99.345,99.636,99.511,99.231,98.845,99.053,100.254,101.013,101.183,100.535,99.733,99.494,99.391,99.605,99.865,100.132,100.216,100.028,100.142,99.92,99.917,99.641,99.396,99.23,98.982,99.14,99.422,99.38,99.363,99.981,99.974,99.815,99.602,99.742,99.768,99.78,99.782,99.664,99.527,99.618,99.592,99.66,99.321,99.092
"46","38","    Hardware and plumbing and heating equipment wholesalers","PK42173",75.218,75.373,75.458,75.672,75.778,75.8,75.806,75.95,76.031,76.236,76.541,76.802,77.063,77.386,77.619,77.647,77.997,78.156,78.307,78.621,78.684,78.705,78.785,78.811,79.238,79.427,79.582,79.864,80.645,81.477,82.408,83.44,85.069,85.587,86.025,86.894,87.372,88.472,89.958,91.26,92.423,93.417,93.85,94.245,95.453,97.635,100.209,101.044,100.151,99.79,99.764,100.289,100.389,100.827,101.218,101.596,102.537,103.819,104.849,105.134,105.816,105.927,106.262,106.972,107.184,107.388,107.473,107.733,108.36,109.216,109.591,109.965,110.311,110.224,110.384
"47","39","    Machinery, equipment, and supplies wholesalers","PK42183",76.172,76.259,76.378,76.566,76.788,76.853,76.94,77.257,77.437,77.509,77.531,77.777,78.001,78.119,78.312,78.445,78.687,78.875,78.986,79.176,79.2,79.327,79.666,79.862,80.13,80.402,80.69,81.039,81.645,82.526,83.293,84.39,85.701,86.828,87.365,88.001,88.835,89.538,90.467,91.192,92.16,92.85,93.52,94.209,95.332,96.696,98.623,99.667,100.166,100.024,99.847,99.95,100.165,100.633,100.912,101.241,102.323,103.701,104.839,105.533,106.244,106.836,107.211,107.684,108.062,108.255,108.501,108.873,109.447,109.814,110.072,110.288,110.3,110.327,110.295
"48","40","    Miscellaneous durable goods wholesalers","PK42193",83.575,83.337,83.265,83.478,83.251,82.141,80.286,79.045,78.743,78.8,80.297,82.396,83.18,82.94,81.364,80.658,79.394,79.161,78.415,78.013,77.334,78.357,78.803,79.353,79.581,80.062,80.468,82.689,86.608,85.484,88.617,90.667,89.111,87.635,88.385,91.282,93.317,96.364,97.525,98.113,101.944,102.317,103.622,107.178,110.548,116.459,116.725,97.436,94.711,95.125,101.38,107.878,113.572,112.767,109.522,120.687,124.791,123.776,125.668,128.727,126.237,122.376,119.467,124.077,122.373,119.589,119.523,121.107,120.195,119.35,120.691,118.863,114.547,113.469,110.727
"49","41","  Nondurable goods merchant wholesale industries","PK42WN3",69.168,67.881,67.296,67.537,66.071,65.23,64.295,64.131,64.137,65.542,66.898,68.24,70.67,71.225,71.621,73.091,73.026,72.596,71.544,69.307,69.476,70.409,72.049,73.298,76.449,74.184,74.991,76.967,78.902,80.244,80.841,83.507,84.573,85.669,88.911,91.689,91.408,93.585,94.152,93.653,95.5,98.201,99.733,107.069,112.712,117.841,120.754,103.088,95.793,98.092,100.344,105.881,110.278,107.644,107.366,116.287,125.244,127.217,126.215,128.748,131.157,127.143,128.73,130.902,131.046,128.704,129.372,127.563,128.504,130.117,128.41,123.161,113.716,115.433,114.004
"50","42","    Paper and paper products wholesalers","PK42213",73.282,71.842,73.435,76.063,76.941,76.024,74.969,73.193,72.611,73.695,75.91,77.942,79.809,83.311,84.054,84.406,84.148,82.744,80.728,79.672,78.807,77.906,78.807,79.717,79.769,80.233,79.621,79.238,78.885,81.415,84.548,85.441,86.735,87.065,85.748,86.603,89.151,91.867,94.099,94.565,94.633,94.517,95.1,97.277,99.096,100.47,104.53,106.362,104.054,100.396,98.207,97.592,99.458,104.362,106.907,107.356,107.738,108.598,108.88,108.126,107.89,107.947,107.347,109.306,109.91,110.699,112.265,112.927,113.391,113.5,113.137,112.85,112.977,112.175,111.548
"51","43","    Drugs and druggists' sundries wholesalers","PK42223",70.787,70.458,70.731,71.312,72.821,75.22,75.811,76.317,76.333,76.479,77.303,77.843,77.979,78.024,78.536,78.665,78.893,78.888,78.843,79.182,79.364,79.635,80.151,80.618,80.835,81.338,81.814,82.385,83.114,83.676,83.809,84.609,85.606,86.711,87.855,88.321,88.927,89.354,89.957,90.517,91.334,91.797,92.664,93.564,94.57,95.721,96.898,97.905,98.732,99.438,100.424,101.401,102.657,103.448,104.433,105.109,105.6,105.366,106.019,107.201,108.34,109.21,110.45,111.176,112.694,114.074,114.77,115.381,117.971,118.908,120.15,122.022,123.048,125.155,126.501
"52","44","    Apparel, piece goods, and notions wholesalers","PK42233",97.368,97.607,97.812,97.932,98.256,98.077,97.919,97.818,97.545,97.417,97.358,97.285,97.395,97.238,97.193,97.09,97.253,97.368,97.132,96.687,96.108,95.603,95.461,95.73,95.928,96.058,96.054,96.182,96.251,96.278,96.274,96.329,96.482,96.512,96.82,96.817,97.016,97.195,97.313,97.425,97.74,97.863,98.046,98.329,98.634,98.934,99.511,99.958,100.235,100.023,99.89,99.85,99.801,100.153,100.771,101.317,103.811,106.33,108.397,109.046,109.472,109.484,109.207,109.722,109.844,109.791,109.524,109.775,109.597,109.939,110.237,110.302,110.111,110.149,110.331
"53","45","    Grocery and related products wholesalers","PK42243",76.656,76.338,75.761,76.471,76.159,76.159,76.293,76.575,76.99,76.775,76.92,77.059,76.847,77.455,76.852,77.655,78.81,79.421,79.406,79.573,80.868,78.384,78.376,78.471,79.614,80.387,81.333,83.59,82.635,84.958,84.453,87.25,86.941,87.388,86.553,88.293,87.808,87.754,90.051,90.831,93.563,94.729,94.545,97.206,99.056,100.09,101.463,102.051,99.936,99.476,98.956,101.67,104.359,104.325,103.141,104.676,109.257,108.67,111.514,112.668,112.229,111.849,112.485,114.245,115.014,114.776,115.617,115.675,116.479,119.443,120.338,121.28,118.929,118.009,118.202
"54","46","    Farm product raw material wholesalers","PK42253",82.216,84.053,81.829,79.542,75.133,71.902,67.802,65.825,63.606,62.427,60.18,59.736,63.41,64.818,60.328,65.077,65.494,62.081,63.967,60.491,60.685,59.669,70.643,71.344,70.981,71.667,71.952,81.867,83.099,83.741,74.76,68.658,70.143,69.977,70.218,70.677,69.459,70.326,73.624,88.357,91.441,91.912,97.695,113.686,132.977,138.526,137.901,102.489,97.071,104.296,97.47,101.056,98.129,98.984,110.975,133.911,147.773,160.011,161.404,153.25,155.953,151.955,172.64,170.918,166.756,160.384,148.87,134.798,136.942,144.94,125.65,123.229,117.792,113.966,114.533
"55","47","    Chemical and allied products wholesalers","PK42263",62.687,62.152,62.4,62.341,62.051,61.851,61.486,61.253,60.684,60.664,61.362,62.568,63.494,64.398,65.387,65.436,66.486,66.006,64.379,63.334,62.972,64.332,65.253,66.087,69.059,68.845,68.58,69.054,71.138,72.643,75.691,78.71,80.214,80.872,82.72,88.23,89.322,90.779,92.44,90.892,91.311,93.566,94.927,99,103.518,110.616,118.644,104.847,97.35,98.094,101.075,103.473,108.404,109.76,107.834,112.191,120.207,127.74,128.384,124.208,124.4,125.189,120.717,121.137,124.574,123.537,122.587,121.311,122.994,122.539,123.376,119.538,112.549,112.289,110.885
"56","48","    Petroleum and petroleum products wholesalers","PK42273",42.544,36.682,35.349,35.904,31.15,28.252,25.898,25.277,25.138,31.14,36.111,40.331,49.125,48.733,51.921,55.056,51.387,50.361,45.828,37.358,36.869,43.174,45.504,50.102,62.647,49.861,52.776,54.937,62.565,64.656,69.631,79.97,81.739,84.582,100.103,109.641,106.829,116.338,113.88,104.283,106.917,116.922,120.575,145.918,160.216,176.139,181.38,108.232,81.147,90.279,104.714,125.652,143.247,126.034,120.181,149.79,179.132,181.378,170.229,183.266,194.215,174.003,172.542,180.456,179.168,168.615,175.705,172.922,172.142,171.083,168.915,141.67,99.838,109.002,100.547
"57","49","    Beer, wine, and distilled alcoholic beverages wholesalers","PK42283",78.74,78.933,78.597,78.005,78.506,78.448,78.369,79.184,79.436,79.145,79.626,79.628,80.153,81.367,82.444,82.904,83.983,84.436,84.514,85.117,85.171,85.308,85.386,85.992,85.988,86.645,86.377,87.186,89.919,88.492,88.21,88.678,91.82,91.975,92.188,92.555,93.405,93.912,92.477,92.536,92.601,92.733,93.254,94.01,95.592,96.335,96.548,97.556,99.501,99.938,99.513,101.103,101.006,101.005,101.16,103.912,104.28,104.494,104.534,107.168,107.4,107.71,109.106,109.965,110.298,110.575,110.6,110.813,111.317,112.297,112.3,110.809,111.417,112.228,112.441
"58","50","    Miscellaneous nondurable goods wholesalers","PK42293",64.814,65.11,64.907,64.892,64.382,64.45,64.806,65.934,67.617,67.707,68.255,69.343,69.951,70.142,70.718,71.713,73.874,73.944,73.625,73.205,73.211,74.547,75.4,75.107,75.359,75.872,75.234,76.319,77.718,78.559,78.692,79.227,80.7,82.245,83.421,84.249,85.269,85.693,85.741,86.205,88.822,91.241,92.591,94.713,99.741,106.755,114.252,109.533,101.299,100.79,98.411,99.487,101.232,102.762,103.417,106.585,111.023,113.5,114.854,115.56,115.565,116.003,117.744,117.763,118.054,118.087,116.53,114.458,115.715,117.897,116.368,115.406,114.456,114.578,113.965
"59","51","Retail trade industries","PK443",90.377,89.941,89.806,89.742,89.232,88.739,88.912,88.745,88.781,89.595,90.426,90.739,91.804,92.137,92.316,92.475,92.532,92.814,92.316,91.119,90.7,91.548,91.685,91.731,92.424,91.183,91.795,91.838,92.752,93.504,93.775,94.941,95.071,95.535,97.119,97.417,97.592,98.422,99.068,97.539,98.365,99.571,99.926,101.179,102.091,103.185,104.855,99.947,98.089,99.206,100.819,101.892,102.398,101.951,102.129,103.273,104.93,106.84,107.428,107.527,108.156,108.002,108.087,108.53,108.43,107.614,107.883,107.716,107.768,108.01,107.921,106.548,103.861,104.632,104.482
"60","52","  Motor vehicle and parts dealers","PK4413",96.399,95.732,95.745,95.994,95.675,95.132,95.803,95.988,96.112,96.031,96.923,97.149,97.313,97.761,97.81,98.343,98.699,98.411,98.416,98.756,98.368,98.403,98.814,98.622,97.687,97.269,96.822,96.062,96.321,96.721,96.605,97.614,98.261,98.69,98.404,99.099,99.455,99.581,99.742,99.537,99.561,99.734,99.994,100.398,100.035,99.299,99.084,98.319,98.262,99.127,100.027,102.567,103.899,104.435,105.047,105.213,105.984,107.711,108.548,108.608,108.832,109.219,109.385,109.718,109.948,109.968,110.176,110.302,110.272,110.466,110.468,110.281,110.39,110.865,110.741
"61","53","  Furniture, furnishings, electronics, and appliance stores","PK44233",160.197,159.663,158.412,157.456,156.158,154.812,153.865,151.759,150.086,148.217,146.42,144.083,143.36,142.41,141.782,139.889,138.286,136.306,134.469,132.652,130.723,129.916,128.416,126.809,125.217,123.392,121.859,120.838,120.235,119.604,118.313,117.229,116.397,115.808,114.556,113.823,113.148,111.845,111.064,110.184,109.248,108.373,107.033,105.767,105.278,103.939,103.763,102.792,101.836,101.155,99.071,97.943,96.615,95.16,93.693,92.619,91.6,91.277,90.354,89.137,88.496,87.619,86.616,85.57,84.839,83.671,82.493,81.792,81.119,80.393,79.642,78.469,77.581,77.406,75.922
"62","54","  Building material and garden equipment and supplies dealers","PK4443",100.16,100.79,100.163,98.56,98.481,97.554,96.736,95.263,95.969,97.219,98.183,96.251,96.717,96.524,95.593,96.467,96.598,97.497,96.73,93.826,94.784,95.292,94.984,94.359,94.454,94.142,94.787,95.347,96.63,98.313,98.431,98.026,99.415,99.849,99.888,100.104,100.842,101.008,100.529,100.229,100.954,101.088,100.911,100.508,100.328,100.744,101.396,101.118,100.159,100.393,100.016,99.404,99.873,100.718,99.502,99.271,100.306,100.784,101.29,101.534,102.297,102.966,102.84,103.086,104.246,104.524,104.19,104.154,104.76,104.323,104.72,104.824,104.524,104.445,103.722
"63","55","  Food and beverage stores","PK4453",72.371,72.539,72.744,73.152,73.611,73.756,73.984,74.482,75.227,75.441,75.997,76.515,77.397,77.853,78.489,78.519,79.075,79.929,80.741,80.891,81.024,81.369,81.446,81.548,82.112,82.398,83.255,84.161,84.699,85.665,86.14,86.879,86.781,87.546,87.936,88.353,88.725,88.86,89.491,89.667,90.895,92.149,93.166,94.377,95.691,97.656,99.931,100.303,100.001,99.936,99.908,100.154,100.632,100.873,101.203,101.896,103.35,104.904,106.165,107.07,107.752,108.121,108.376,108.861,109.199,109.29,109.681,109.81,110.346,111.584,112.353,112.763,112.275,112.231,112.779
"64","56","  Clothing and clothing accessories stores","PK4483",111.941,113.2,111.918,111.219,110.366,109.761,110.055,109.395,108.043,108.878,108.394,108.453,107.898,106.969,106.481,106.306,106.695,105.017,103.979,103.126,102.983,102.758,102.043,101.402,100.175,99.269,99.758,99.325,99.087,99.685,99.198,99.138,98.995,98.506,98.23,98.001,97.721,98.87,98.886,98.911,99.399,98.715,98.034,98.707,98.948,98.881,99.635,98.904,99.387,99.988,100.305,100.321,100.09,99.729,99.661,99.458,100.217,101.393,103.235,103.973,104.602,105.139,104.643,105.51,105.804,105.171,105.71,105.345,105.454,105.521,105.562,104.384,104.052,103.801,104.039
"65","57","  General merchandise stores","PK4523",96.934,97.394,96.93,96.642,96.765,96.629,96.844,96.739,96.649,96.839,96.846,96.85,96.786,96.863,96.834,96.577,96.76,96.155,95.883,95.587,95.277,95.317,95.031,94.691,94.417,94.165,94.522,94.586,94.8,95.289,95.252,95.643,95.631,95.937,96.042,96.261,96.507,96.929,97.288,97.103,97.614,98.004,98.062,98.75,99.25,99.914,101.019,100.377,100.054,100.251,100.065,99.636,99.5,99.028,98.713,98.599,99.075,99.791,100.438,100.566,100.763,100.454,100.128,100.061,99.753,99.165,98.856,98.434,98.26,98.107,97.853,97.038,95.921,95.694,95.513
"66","58","    Department stores","PK45213",107.241,107.969,107.135,106.759,106.644,106.385,106.569,106.248,105.696,106.029,105.821,105.855,105.333,105.312,104.989,104.715,104.568,103.714,103.09,102.611,101.913,101.87,101.443,101.013,100.323,99.909,100.158,99.906,99.894,100.25,99.929,100.085,100.14,100.18,99.8,99.803,99.866,100.347,100.438,100.392,100.499,100.214,99.672,100.046,100.023,99.849,100.281,100.013,100.283,100.445,99.995,99.282,98.944,98.271,97.743,97.088,97.156,97.648,98.474,98.59,98.842,98.717,98.221,98.199,97.879,97.156,96.832,96.368,96.215,95.743,95.38,94.343,93.695,93.313,93.061
"67","59","    Other general merchandise stores","PK45293",88.097,88.159,88.264,88.098,88.628,88.679,88.961,89.161,89.717,89.731,90.029,90.012,90.515,90.721,91.044,90.8,91.361,91.005,91.087,90.97,91.019,91.133,90.966,90.701,90.765,90.641,91.087,91.391,91.773,92.361,92.526,93.086,93.026,93.513,93.933,94.288,94.649,95.035,95.556,95.292,96.039,96.814,97.208,98.069,98.845,99.942,101.388,100.558,99.947,100.159,100.097,99.801,99.76,99.38,99.161,99.29,99.948,100.764,101.332,101.465,101.64,101.255,100.997,100.912,100.61,100.071,99.768,99.361,99.181,99.141,98.926,98.188,96.904,96.73,96.573
"68","60","  Other retail stores","PK44X3",75.42,73.881,73.967,73.995,72.466,71.705,71.745,71.497,71.326,73.727,75.516,76.826,79.917,80.65,81.24,81.488,81.077,82.375,80.932,77.706,76.731,79.425,80.08,81.023,84.433,80.959,82.788,83.137,85.474,86.502,87.57,90.534,90.262,91.038,96.878,97.121,97.058,99.531,101.441,96.512,98.358,101.826,102.729,105.973,108.508,111.547,115.283,100.04,94.674,97.592,102.743,105.112,105.947,104.424,105.192,108.837,112.609,116.353,116.473,116.278,117.597,116.715,117.261,118.291,117.604,115.425,116.384,116.123,116.135,116.571,116.104,112.276,104.288,106.772,106.659
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
