"","Table 1#2#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 28, 2006 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/27/2006 11:02:16 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
"8","1","    Gross domestic product","A191RL1",-8.6,-6.4,-13,-1.3,10.8,8.9,13,5.1,-3.4,8.1,8.8,17.1,18.5,16.4,8.1,-1.1,-11,-0.9,4.4,-0.5,8.7,7.7,3.8,4.6,-0.7,7.1,1.9,2,-1,7.1,2.5,2.3,6.1,4.4,5.8,6.4,6.5,2.5,4.8,3.1,0.2,3.4,5.3,5.8,-0.5,-0.2,5.3,4.6,5.6,3.2,-0.2,2.5,-1.9,4.5,7.2,4.1,3.5,3.4,4.1,3.5,1.9,-0.2,3.3,2.7,4,2.5,3.7,4.5,4.2,4.5,3.7,0.8,1.6,2.7,4.2,3.5
"9","2","       Final sales of domestic product","A190RL1",-6.8,-5.8,-11.3,-3,9.5,6.2,13.2,4.2,-1.4,7.4,6.8,16.1,20.9,18,8.1,-0.8,-13.8,2.1,1.9,2.4,5.8,7.1,5.3,4.9,0.2,5.6,2.3,2.6,-0.8,6.2,2.6,2.4,5.5,4.5,6,5.8,6,3.1,5,3.1,0.9,2.8,5.3,5.3,-0.2,1.1,3.9,4.4,5.5,3.6,0.7,1.3,-0.6,4.2,5.2,5.3,3.8,3,4.3,3.4,2.1,0.1,3,2.6,3.4,3,3.7,4,4.2,4.5,3.8,1.6,1.2,2.7,3.9,3.9
"10","3","       Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","4","Goods","A353RL1",-12.3,-7.5,-17.1,2.1,14.8,13.5,15.1,7.6,-6.7,8.9,12.7,16.8,5.5,15.7,6.7,-0.5,4.8,-0.3,3.4,-3.6,9.8,6.3,0.2,4.4,-2.1,10.9,1.7,0.8,-4.4,8,2.9,0.8,6.5,3.8,6.6,8.3,8.4,0.1,4.1,3.3,-0.6,2.7,6.8,10.1,-0.9,-1.9,7.6,4.7,6.5,4.1,-0.7,4.3,-4.6,4.2,11.4,2.2,3,4.1,6.2,5.4,1.3,-1.4,3.9,3.8,6.5,3.5,5.1,7.2,5.4,5.7,4.1,-1.7,1.2,3.4,6.5,4.6
"12","5","    Final sales","A325RL1",-9,-6.3,-13.5,-1.9,11.9,8.2,15.5,5.9,-3,7.6,8.8,14.8,9.2,18.8,6.7,0.1,-1.2,5.2,-1,1.6,4.4,5,2.9,5,-0.2,7.6,2.3,1.9,-4,6.1,3.2,0.9,5.3,4.1,7,6.9,7.3,1.2,4.5,3.3,1.1,1.4,6.7,9,-0.3,1.1,4.2,4.2,6.4,5.2,1.5,1.3,-1.3,3.4,6.3,5.2,3.8,3,6.7,5,1.9,-0.7,3.1,3.6,4.8,4.9,5.1,5.7,5.5,6,4.5,0.9,-0.1,3.3,5.4,5.7
"13","6","    Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","7","  Durable goods","A354RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.8,0.1,-3.6,20.3,8.3,-3.8,11.3,-8.7,20.4,-2.2,0.3,-14,17.9,2.8,-2.3,13.8,5.6,10.4,12.2,12.6,-0.4,4.6,5.3,-4.9,3.1,12.2,19.1,-0.3,-7,12.3,7.5,10.5,5.3,-5.3,2,-9.4,9.2,18.2,2.8,4.7,7.2,9.9,6.7,1,-4.5,6.2,8.2,8.6,7.5,7.5,12,8.8,8.2,6,-4.5,0.8,4.2,8.5,6
