"","Table 1#5#4# Price Indexes for Gross Domestic Product, Expanded ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"11","4","    Durable goods","DDURRG3",28.502,26.834,23.96,21.111,20.598,21.835,21.712,21.836,22.736,22.719,22.444,22.67,24.348,28.503,31.091,34.951,36.969,38.496,41.87,44.011,44.312,44.538,47.522,47.818,47.443,46.403,46.224,47.338,49.08,49.971,50.765,50.573,50.701,50.919,51.114,51.344,50.923,50.812,51.628,53.282,54.785,55.966,57.899,58.537,59.404,63.304,68.969,72.741,76,80.255,85.574,93,99.219,103.089,105.177,106.732,107.862,109.048,112.185,114.036,116.114,117.268,118.986,119.808,120.987,123.356,124.255,123.001,120.314,116.909,113.741,111.693,109.479,106.672,102.907,101.005,100,98.488,96.714,95.537,94.009
"12","5","      Motor vehicles and parts","DMOTRG3",11.946,11.508,10.735,10.074,9.444,9.891,9.745,9.791,10.037,10.435,10.196,10.212,11.101,14.221,14.978,16.087,16.347,20.462,22.484,24.221,25.069,25.139,26.425,27.513,26.993,26.059,26.361,27.558,29.295,30.403,31.911,31.314,31.491,32.004,32.256,32.519,32.253,32.035,32.472,33.591,34.267,35.302,37.009,37.101,37.271,39.566,43.476,46.8,49.534,52.968,56.961,61.183,65.916,69.041,71.187,73.222,74.918,76.984,80.506,81.771,84.187,84.458,86.834,88.473,91.957,96.226,100.038,102.043,102.428,101.314,101.618,101.994,102.394,101.855,99.074,98.399,100,100.126,99.483,98.523,98.708
"13","6","      Furnishings and durable household equipment","DFDHRG3",24.634,23.688,21.038,18.156,18.208,19.678,19.803,19.938,21.271,20.888,20.732,20.933,22.501,26.014,29.744,34.169,37.074,37.213,39.831,41.508,40.524,41.234,45.442,44.986,45.064,44.851,44.519,44.886,45.641,45.546,45.574,45.976,46.131,46.076,46.098,46.149,45.852,46.232,47.272,49.128,50.883,51.99,52.93,53.683,54.948,59.426,65.334,68.145,70.658,74.233,78.864,85.271,91.573,96.293,98.536,99.73,100.824,101.886,103.496,104.972,105.285,106.35,106.956,108.223,108.797,110.477,110.305,110.618,110.454,110.362,108.927,108.138,106.285,104.102,101.176,99.938,100,99.483,98.665,98.049,97.735
"14","7","      Recreational goods and vehicles","DREQRG3",203.641,169.626,134.45,110.509,103.062,106.919,105.803,104.616,107.277,106.848,104.313,105.93,108.131,123.146,123.323,134.212,137.9,141.37,163.182,172.637,179.146,177.569,181.246,174.947,172.724,167.176,161.959,163.788,169.564,174.207,169.191,170.344,169.432,167.575,167.24,165.214,162.937,161.129,162.104,165.285,169.092,169.32,175.342,177.884,180.608,188.61,201.094,208.018,214.002,221.68,231.548,244.415,255.375,261.271,258.144,254.49,250.017,242.083,239.024,237.492,236.86,234.938,231.956,224.83,216.764,212.248,203.327,188.915,173.104,158.493,144.658,135.567,126.318,118.15,110.805,105.521,100,94.23,88.301,84.337,79.697
"15","8","      Other durable goods","DODGRG3",21.033,20.652,19.719,17.727,17.774,18.449,18.095,18.479,18.649,18.037,18.187,18.724,20.373,23.499,24.679,27.554,28.645,28.633,30.256,30.594,30.444,30.006,31.848,31.774,31.92,31.262,30.869,31.192,31.397,31.436,31.584,31.671,31.605,31.472,31.637,32.448,32.282,32.273,33.04,33.767,35.439,36.36,37.358,38.566,39.825,42.889,46.149,48.398,50.52,53.325,57.724,69.53,73.356,74.063,76.452,78.084,78.936,80.801,86.302,91.937,96.212,102.276,106.062,108.862,109.7,111.452,113.307,112.631,111.051,109.02,106.275,104.869,105.203,103.257,101.604,101.383,100,101.938,106.078,111.534,113.348
"16","9","    Nondurable goods","DNDGRG3",12.225,11.592,9.912,8.501,8.459,9.356,9.662,9.695,10.032,9.541,9.392,9.472,10.268,11.95,13.37,14.148,14.769,16.002,18.069,19.178,18.557,18.605,20.198,20.416,20.345,20.396,20.263,20.554,21.157,21.671,21.704,21.963,22.055,22.175,22.396,22.695,23.104,23.844,24.279,25.154,26.242,27.422,28.196,29.1,31.447,36.202,39,40.27,42.577,45.299,50.181,56.338,60.689,62.066,63.131,64.443,65.65,64.811,67.015,69.146,72.576,76.736,78.977,80.124,80.776,81.206,82.055,83.913,84.789,84.16,86.259,90.006,90.952,90.878,92.791,96.12,100,103.215,106.25,112.188,108.998
"17","10","      Food and beverages purchased for off-premises consumption","DFXARG3",11.474,10.737,8.672,7.093,7.132,8.017,8.641,8.655,8.92,8.245,8.164,8.212,9.078,10.856,12.502,12.836,13.227,14.601,16.814,17.647,16.939,17.024,18.814,19.271,18.897,18.886,18.541,18.677,19.242,20.045,19.838,20.004,20.105,20.257,20.47,20.883,21.305,22.204,22.232,22.905,23.932,25.267,25.843,27.075,30.502,35.14,37.782,38.484,40.751,44.65,49.035,53.158,56.946,58.444,59.115,60.891,61.554,63.003,64.99,66.929,70.458,73.9,76.22,76.805,77.88,79.184,80.9,83.368,84.956,86.024,87.433,89.486,92.116,93.528,95.296,98.267,100,101.709,105.623,111.926,113.289
"18","11","      Clothing and footwear","DCLORG3",27.522,26.269,22.95,18.85,19.211,22.272,21.88,21.906,23.058,22.496,21.973,22.222,24.402,29.235,32.671,36.897,40.113,43.437,46.9,49.782,47.637,47.257,51.386,50.517,50.398,50.523,50.386,51.343,52.107,52.33,52.777,53.484,53.793,53.954,54.428,54.941,55.419,56.951,59.298,62.649,66.038,68.494,70.93,72.217,74.614,80.15,83.744,86.43,90.119,91.822,93.619,97.052,100.257,101.726,103.118,103.653,105.877,105.441,108.479,111.969,113.607,117.311,119.543,120.433,119.79,117.774,115.023,113.638,113.673,111.604,110.127,108.816,106.659,103.851,101.27,100.926,100,99.573,98.638,97.823,98.714
"19","12","      Gasoline and other energy goods","DGOERG3",6.777,6.555,5.826,5.688,5.566,5.87,5.82,5.976,6.095,5.986,5.78,5.787,6.054,6.412,6.637,6.778,6.768,7.035,7.906,9,9.133,9.235,9.491,9.663,10.033,10.196,10.304,10.626,11.115,10.991,11.146,11.344,11.357,11.415,11.443,11.337,11.724,12.003,12.394,12.621,13.008,13.19,13.406,13.565,14.98,20.832,22.295,23.362,25.03,26.182,35.267,49.04,55.313,52.744,50.706,50.181,50.289,39.481,40.94,41.245,44.901,51.419,50.557,50.173,49.68,49.802,50.47,53.908,53.906,46.996,50.883,65.768,63.48,59.378,69.37,81.537,100,112.926,122.378,143.694,104.053
"20","13","      Other nondurable goods","DONGRG3",11.311,10.912,10.396,9.82,9.328,9.564,9.553,9.507,9.843,9.683,9.59,9.766,10.068,11.005,11.748,12.429,12.853,13.447,15.3,16.15,15.798,15.868,16.901,16.966,17.218,17.264,17.443,17.741,18.31,18.752,19.057,19.353,19.4,19.464,19.734,20.027,20.305,20.71,21.217,22.03,22.845,23.911,24.827,25.445,26.139,28.711,32.008,33.664,35.615,37.552,40.007,43.661,47.362,51.028,54.542,56.564,58.752,61.092,63.552,66.397,70.065,73.61,77.532,80.45,81.807,82.38,83.839,85.425,86.318,87.942,91.377,93.38,95.548,97.125,97.307,98.479,100,102.161,103.539,106.098,111.02
"21","14","  Services","DSERRG3",7.787,7.564,7.031,6.352,5.953,5.877,6.006,6.104,6.33,6.336,6.32,6.369,6.594,7.059,7.501,7.845,8.102,8.594,9.22,9.707,9.872,10.126,10.625,11.013,11.441,11.728,11.931,12.217,12.575,12.883,13.23,13.581,13.827,14.09,14.306,14.573,14.846,15.277,15.786,16.468,17.326,18.287,19.285,20.103,21.078,22.868,24.836,26.558,28.56,30.779,33.353,36.805,40.558,43.712,46.433,48.85,51.053,53.378,55.413,58.127,60.844,63.812,66.586,69.24,71.299,73.205,75.37,77.479,79.817,81.695,83.515,85.824,88.428,90.807,93.692,96.687,100,103.411,106.964,110.582,112.252
"22","15","    Household consumption expenditures (for services)","DHCERG3",7.514,7.302,6.792,6.129,5.737,5.648,5.775,5.867,6.081,6.093,6.076,6.126,6.34,6.784,7.205,7.536,7.782,8.244,8.82,9.277,9.438,9.676,10.142,10.524,10.94,11.215,11.406,11.671,12.007,12.3,12.636,13.014,13.252,13.507,13.714,13.977,14.234,14.643,15.131,15.788,16.604,17.533,18.489,19.275,20.199,21.873,23.751,25.411,27.332,29.467,31.916,35.229,38.882,42.086,44.908,47.392,49.635,52.025,54.106,56.862,59.738,62.93,65.93,68.869,71.116,73.087,75.323,77.457,79.765,81.529,83.306,85.523,88.064,90.505,93.572,96.707,100,103.463,107.105,110.838,112.643
"23","16","      Housing and utilities","DHUTRG3",13.077,12.728,12.068,10.939,9.942,9.184,9.213,9.364,9.712,9.957,9.936,9.962,10.096,10.31,10.365,10.445,10.554,10.731,11.075,11.666,12.004,12.368,12.844,13.34,13.947,14.326,14.547,14.767,15.03,15.318,15.565,15.859,16.07,16.243,16.416,16.562,16.703,16.934,17.225,17.619,18.184,18.975,19.947,20.703,21.632,22.829,24.624,26.406,28.746,30.775,33.263,36.746,40.8,44.563,47.446,49.86,52.486,54.983,56.96,59.215,61.601,64.277,66.41,68.263,70.236,72.049,73.998,76.187,78.263,80.108,82.014,84.783,88.718,91.297,94.164,96.66,100,104.282,108.047,111.926,113.31
"24","17","      Health care","DHLCRG3",2.939,2.947,2.74,2.414,2.379,2.466,2.608,2.662,2.734,2.788,2.769,2.856,2.928,3.115,3.362,3.611,3.772,4.092,4.533,4.789,4.856,4.959,5.186,5.441,5.699,5.897,6.104,6.322,6.584,6.84,7.035,7.508,7.678,7.872,8.095,8.371,8.631,9.016,9.59,10.195,10.914,11.738,12.343,12.867,13.475,14.755,16.414,17.996,19.496,21.142,23.202,26.012,29.188,32.474,35.444,38.097,40.408,42.81,45.564,49.116,53.435,57.995,62.476,66.868,70.442,73.304,75.978,77.766,79.324,80.82,82.594,84.919,87.769,90.065,93.481,96.932,100,103.039,106.84,109.726,112.447
"25","18","      Transportation services","DTRSRG3",8.957,8.885,8.437,7.785,7.34,7.485,7.65,7.607,7.564,7.619,7.647,7.511,7.649,8.114,8.296,8.251,8.357,8.639,9.282,9.957,10.641,11.12,11.914,12.358,12.936,13.371,13.691,14.155,14.68,15.1,15.543,15.891,16.355,16.707,16.779,17,17.294,17.608,18.266,19.089,20.265,21.831,23.364,24.254,25.326,27.497,30.537,32.815,35.092,37.414,40.741,47.289,53.041,55.979,58.104,60.397,61.589,62.206,64.842,67.873,70.857,73.565,75.584,77.732,80.436,81.417,83.214,84.263,86.13,87.648,88.956,91.625,92.643,93.072,95.07,96.459,100,104.215,106.622,112.403,115.461
"26","19","      Recreation services","DRCARG3",7.711,7.567,7.228,6.882,6.49,6.538,6.632,6.76,7.007,7.137,7.073,7.136,7.394,7.786,8.361,9.39,9.857,10.495,11.306,11.718,11.927,12.024,12.423,12.876,13.465,14.05,14.519,14.952,15.505,16.09,16.475,17.087,17.56,17.978,18.367,18.881,19.266,19.773,20.465,21.56,22.476,23.514,24.548,25.177,26.071,27.879,29.934,31.416,32.919,34.887,37.191,40.004,42.553,44.873,46.821,48.845,50.953,52.922,54.974,57.083,59.921,63.192,66.478,68.541,70.736,72.246,73.839,76.299,78.766,80.716,83.311,86.536,89.372,91.943,94.761,97.27,100,103.37,106.213,109.517,110.785
"27","20","      Food services and accommodations","DFSARG3",7.205,6.762,5.834,4.925,4.763,5.126,5.512,5.521,5.717,5.449,5.339,5.401,5.889,6.883,7.722,8.053,8.322,9.257,10.333,10.803,10.513,10.698,11.502,11.76,11.658,11.789,11.762,11.896,12.288,12.6,13.05,13.403,13.672,14.012,14.315,14.537,14.823,15.396,16.25,17.098,18.121,19.461,20.499,21.257,22.71,25.337,27.619,29.447,31.579,34.34,38.047,41.732,45.46,48.059,50.135,52.396,54.648,56.888,59.203,61.748,64.544,67.499,70.194,71.684,73.09,74.373,76.128,78.179,80.497,82.654,84.79,87.16,89.644,91.818,93.773,96.889,100,103.35,107.348,111.599,114.315
"28","21","      Financial services and insurance","DIFSRG3",5.774,5.64,5.129,4.565,4.354,4.509,4.704,4.916,5.131,5.009,4.972,5.113,5.248,5.605,5.86,6.103,6.335,7.005,7.303,7.685,7.824,7.976,8.074,8.566,9.539,9.882,10.176,10.499,10.85,11.019,11.65,12.159,12.57,13.088,13.103,13.651,13.998,14.842,15.183,16.307,17.765,18.677,19.797,21.01,21.506,23.229,24.948,25.955,27.949,31.638,33.361,35.942,38.658,40.89,44.831,47.666,49.7,52.479,53.873,57.147,59.147,62.102,64.836,69.726,70.503,71.664,74.514,77.523,82.117,84.071,84.91,85.66,85.177,87.519,91.48,96.488,100,102.303,106.726,109.986,109.444
"29","22","      Other services","DOTSRG3",6.628,6.394,5.928,5.452,5.206,5.283,5.343,5.427,5.7,5.66,5.726,5.773,6.039,6.576,7.341,8.109,8.62,9.019,9.637,10.119,10.344,10.595,11.138,11.547,11.974,12.174,12.364,12.792,13.222,13.574,13.964,14.353,14.517,14.754,15.074,15.41,15.805,16.262,16.782,17.524,18.373,19.258,20.395,21.439,22.699,25.154,26.957,28.642,30.113,31.693,33.994,37.082,40.878,44.06,46.547,48.916,50.698,53.357,54.646,56.933,59.081,61.488,64.426,67.158,69.489,72.092,74.479,76.639,78.786,80.394,82.357,83.942,86.539,89.912,93.234,96.358,100,103.422,106.374,110.819,113.229
"30","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRG3",22.11,21.266,19.443,18.068,17.389,18.346,18.484,18.984,19.977,19.449,19.481,19.456,20.397,22.132,23.742,24.826,25.684,28.332,32.957,35.502,35.806,37.233,40.352,40.438,41.166,42.206,43.294,45.3,47.346,48.578,49.452,46.284,46.749,47.411,48.173,48.393,49.743,51.569,53.242,55.28,58.721,61.268,64.628,67.272,71.595,81.93,89.516,94.258,100.718,107.37,117.927,129.131,135.99,129.701,120.696,115.921,113.63,110.239,108.437,107.544,101.09,93.192,86.681,79.268,75.32,75.252,75.316,76.668,79.859,85.104,88.129,92.985,97.282,98.066,96.567,96.198,100,102.104,103.525,104.531,103.25
"31","24","      Gross output of nonprofit institutions \2\","DNPERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.811,11.082,11.288,11.501,11.778,12.063,12.413,12.845,13.433,14.14,15.062,16.044,16.815,17.608,18.735,20.988,23.099,24.893,26.751,28.785,31.674,35.46,39.333,42.394,44.678,46.836,48.715,50.416,52.626,55.727,58.789,61.571,64.43,66.767,68.823,70.801,72.809,74.808,76.723,79.019,81.179,84.377,87.611,90.203,93.108,96.179,100,103.617,106.807,109.691,111.61
"32","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.494,6.995,7.157,7.309,7.514,7.768,7.998,8.268,8.697,9.211,9.823,10.552,11.03,11.577,12.317,13.686,15.104,16.411,17.671,19.074,21.002,23.686,26.724,29.952,32.815,35.354,37.465,39.567,42.072,45.462,49.701,54.117,58.676,63.096,66.607,69.112,71.652,73.828,75.372,76.845,78.744,81.427,84.316,87.498,91.913,96.172,100,104.129,107.947,111.53,114.665
"33","26","Gross private domestic investment","B006RG3",15.943,15.259,13.941,11.64,10.57,10.523,10.351,10.456,11.251,10.888,10.803,11.07,11.882,13.153,13.677,14.092,14.465,15.838,18.837,20.397,20.653,21.075,22.978,23.396,23.432,23.597,23.94,25.345,26.199,26.244,26.477,26.607,26.533,26.548,26.463,26.613,27.037,27.592,28.32,29.378,30.77,32.072,33.671,35.077,36.972,40.648,45.666,48.19,51.805,56.03,61.099,66.836,73.154,76.899,76.706,77.256,78.047,79.737,81.263,83.12,85.107,86.747,87.981,87.672,88.673,89.828,90.84,90.455,90.12,89.109,88.989,89.954,90.748,91.118,92.411,95.632,100,104.371,106.677,107.355,106.502
"34","27","  Fixed investment","B007RG3",11.256,10.796,9.986,8.822,8.677,9.111,9.154,9.245,10.047,10.184,10.129,10.384,11.151,12.227,12.761,13.191,13.608,15.005,17.622,19.127,19.5,19.933,21.653,22.182,22.366,22.535,22.904,24.252,25.094,25.156,25.394,25.53,25.449,25.465,25.391,25.545,25.981,26.528,27.271,28.367,29.767,31.047,32.611,34.009,35.888,39.422,44.361,46.932,50.616,54.891,59.866,65.468,71.551,75.468,75.349,75.79,76.744,78.579,80.036,82.111,84.099,85.808,87.082,86.831,87.838,89.023,90.06,89.817,89.589,88.756,88.7,89.751,90.553,90.924,92.301,95.541,100,104.419,106.718,107.551,106.132
"35","28","    Nonresidential","B008RG3",14.967,14.265,13.281,12.022,11.817,12.229,12.355,12.336,13.369,13.474,13.33,13.637,14.534,16.066,16.584,16.918,17.35,19.192,22.326,24.249,24.811,25.319,27.749,28.377,28.632,28.907,29.3,31.608,33.223,33.386,33.824,33.978,33.783,33.788,33.784,33.955,34.342,34.854,35.741,36.999,38.527,40.348,42.246,43.673,45.355,49.733,56.581,59.718,63.805,68.078,73.606,80.098,87.832,92.67,91.843,91.621,92.34,93.908,94.753,96.857,98.89,100.783,102.341,101.488,101.54,102.029,102.247,101.054,99.775,97.587,96.173,96.219,95.788,95.363,95.355,96.834,100,103.534,106.209,107.897,107.524
"36","29","      Structures","B009RG3",4.65,4.402,4.027,3.495,3.531,3.543,3.708,3.702,4.206,4.126,4.081,4.147,4.438,4.951,5.381,5.5,5.744,6.433,7.798,8.675,8.645,8.753,9.761,10.021,10.217,10.093,10.295,11.176,11.655,11.468,11.53,11.516,11.446,11.537,11.636,11.801,12.143,12.58,12.973,13.621,14.518,15.473,16.664,17.863,19.247,21.91,24.534,25.741,27.973,30.675,34.238,37.421,42.567,45.927,44.757,45.147,46.219,47.106,47.863,49.895,51.848,53.522,54.491,54.502,56.103,58.089,60.601,62.141,64.516,67.48,69.559,72.298,76.087,79.292,82.174,88.441,100,112.922,121.275,125.207,122.811
"37","30","      Equipment and software","B010RG3",24.423,23.444,22.221,20.959,20.136,21.272,21.084,21.051,22.256,22.792,22.551,23.155,24.628,27.086,27.228,27.751,28.219,30.891,34.996,37.519,38.967,39.944,43.338,44.215,44.321,45.385,45.815,49.219,52.009,53.025,53.998,54.445,54.146,53.878,53.581,53.558,53.607,53.749,54.94,56.416,57.985,60.119,61.905,62.651,63.716,68.414,78.523,83.143,88.083,92.731,98.61,107.032,114.681,119.155,119.406,118.364,118.221,120.094,120.75,122.256,123.786,125.389,127.178,125.681,124.408,123.695,122.265,119.323,115.788,110.641,107.406,106.114,103.603,101.494,100.287,99.897,100,100.194,100.715,101.455,102.008
"38","31","        Information processing equipment and software","A679RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223.505,254.565,260.124,261.978,267.625,283.623,278.589,277.626,280.352,283.597,291.649,305.778,309.317,312.09,310.384,306.116,298.87,288.242,283.871,276.444,262.656,259.012,257.158,259.297,261.76,255.72,250.088,251.949,256.676,272.425,274.79,271.346,261.2,259.319,261.123,267.313,269.897,262.811,251.625,242.43,235.154,228.591,225.512,220.564,214.966,211.198,200.013,192.361,184.636,175.93,161.998,149.57,135.058,125.622,122.047,115.986,110.658,106.399,102.759,100,98.149,96.698,95.6,93.913
"39","32","          Computers and peripheral equipment","B935RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,496986.194,390212.067,288275.275,204487.975,134306.512,112349.361,92834.959,65070.732,52869.906,45116.45,40849.551,36692.755,27938.206,22534.927,21365.392,17444.067,16136.6,13477.144,11728.211,7933.086,6573.387,5130.361,4508.726,4034.679,3363.776,2721.382,2313.526,1992.948,1697.542,1576.791,1472.397,1335.949,1200.159,1024.233,870.349,765.419,640.569,488.486,376.572,279.774,217.847,190.64,157.838,137.092,122.55,113.617,100,87.395,78.065,69.96,64.239
"40","33","          Software \4\","B985RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.855,149.653,146.999,141.353,135.995,137.107,133.618,129.357,127.722,127.897,129.05,131.191,128.067,125.794,128.221,133.221,138.818,139.13,140.482,137.376,141.433,144.926,150.144,154.135,152.592,149.999,147.368,142,141.008,139.435,132.55,127.943,127.403,116.787,116.037,112.209,111.535,108.87,105.729,102.572,103.851,106.967,107.432,105.534,103.069,100.519,100,101.17,101.7,102.748,101.494
