"","Table 2#2B# Wage and Salary Disbursements by Industry           ","F2","F3","F4","F5","F6","F7","F8","F9","F10"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 28, 2005  ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/28/2005 2:48:20 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004
"8","1","    Wage and salary disbursements","A576RC1",4183.4,4466.3,4829.2,4942.8,4976.3,5103.6,5342.6
"9","2","Private industries","A132RC1",3486.2,3736.9,4054.5,4126.9,4113.7,4205.6,4416.7
"10","3","  Goods-producing industries","N231RC1",942.7,988.7,1066.5,1044.3,1010.2,1007.7,1039.5
"11","4","    Manufacturing","N552RC1",675.2,697.1,749.3,708.8,675.2,668.8,682.5
"12","5","  Services-producing industries","N233RC1",2543.4,2748.2,2988,3082.6,3103.5,3198,3377.3
"13","6","    Trade, transportation, and utilities","N234RC1",723,775.8,826.5,844.6,843.6,858.6,891.4
"14","7","    Other services-producing industries \1\","N235RC1",1820.4,1972.4,2161.5,2238,2259.9,2339.4,2485.8
"15","8","Government","B202RC1",697.3,729.3,774.7,815.9,862.6,897.9,925.8
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","1. Other services-producing industries consists of information; finance and insurance; real estate",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","and rental and leasing; professional, scientific, and technical services; management of companies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","and enterprises, administrative and support and waste management and remediation services;",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","educational services; health care and social assistance; arts, entertainment, and recreation;",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","accommodation and food services; and other services.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Note. Estimates in this table are based on the 1997 North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA
