"","Table 6U# Real BEA Retail and Food Service Sales","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"1","[Millions of chained (2005) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 21, 2012 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/20/2012 5:04:32 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","S1 QN04472AMG       Retail and food services","T060010",2839655,2959591,3070073,3244418,3466968,3601564,3680006,3785920,3939354,4100214,4267409,4425910,4495374,4317802,4107726,4246511,4417328
"9","2","S1 QN44ZZZZMG Retail trade","T060020",2521915,2635936,2735656,2899035,3112341,3231662,3306890,3406634,3546952,3694720,3848573,3991734,4054254,3885358,3692452,3823142,3979671
"10","3","S1 QN441ZZZMG   Motor vehicle and parts dealers","T060030",625433,664891,689256,729041,800995,828549,840855,845271,886149,911472,920882,928916,934104,809889,699999,737880,790805
"11","4","S4 QN4411ZZMG     Automobile dealers","T060040",537179,571066,589359,622504,686787,708765,723498,724506,757511,774871,779165,786773,791730,678510,586816,626003,677686
"12","5","S4 QN4412ZZMG     Other motor vehicle dealers","T060050",29069,30767,33668,38333,42971,48122,49407,52310,59127,65063,68065,68871,69458,60040,45126,41914,42218
"13","6","S2 QN4413ZZMG     Automotive parts, accessories and tire stores","T060060",59642,63548,66883,68854,71649,72006,67900,68477,69507,71535,73652,73287,72967,70610,66765,68949,70309
"14","7","S1 QN44DZZZMG   Furniture, home furnishings, electronics and appliance stores","T060070",90962,97821,105227,116178,130953,144409,150654,164626,179497,203060,225169,247782,263171,260743,242565,262807,280523
"15","8","S1 QN442ZZZMG     Furniture and home furnishings stores","T060080",64422,68102,72848,77300,84482,91428,92459,96847,101904,109950,116100,120794,120393,109292,95331,100399,103611
"16","9","S4 QN4421ZZMG       Furniture Stores","T060090",37062,38765,41415,43704,46716,50529,51177,52853,53288,57566,61328,62845,62544,56660,50009,53519,55258
"17","10","S4 QN4422ZZMG       Home furnishings stores","T060100",27292,29286,31381,33550,37750,40883,41265,43981,48621,52389,54772,57954,57856,52639,45322,46878,48351
"18","11","S1 QN443ZZZMG     Electronics and appliance stores","T060110",31287,34216,37015,42579,49574,55791,60256,69028,78302,93320,109070,127298,144201,155183,152817,169692,186530
"19","12","S1 QN444ZZZMG   Building material and garden equipment and supplies dealers","T060120",184367,195557,206387,225544,243451,257218,270494,283443,298361,316166,340459,354132,337332,318363,282270,281844,290003
"20","13","S2 QN4441ZZMG     Building material and supplies dealers","T060130",158188,168233,175982,191793,208382,222052,234977,248428,263859,281831,305258,318386,302055,281682,248701,245120,249209
"21","14","S3 QN4442ZZMG     Lawn and garden equipment and supplies stores","T060140",26222,27374,30423,33777,35028,35034,35368,34872,34401,34308,35201,35746,35228,36306,33109,35890,39625
"22","15","S1 QN445ZZZMG   Food and beverage stores","T060150",509807,506571,506102,506775,514308,513130,517021,510246,510808,511884,521692,531511,534234,523292,511905,518086,524091
"23","16","S1 QN4451ZZMG     Grocery stores","T060160",465483,461486,460500,459871,467313,464054,466969,460170,459928,459259,468052,475655,477117,466651,455841,460637,465967
"24","17","S3 QN4452ZZMG     Specialty food stores","T060170",15712,15665,15741,15773,15530,16104,16619,16901,17449,17979,17959,17935,18079,17428,17244,17757,17097
"25","18","S2 QN4453ZZMG     Beer, wine, liquor stores","T060180",28746,29527,29956,31196,31538,33000,33457,33196,33447,34647,35680,37923,39051,39256,38877,39759,41129
"26","19","S1 QN448ZZZMG   Clothing and clothing accessories stores","T060190",120298,126866,130967,142146,154334,164013,165571,174941,187239,199136,212553,225879,234031,228107,213059,222845,230540
"27","20","S2 QN4481ZZMG     Clothing stores","T060200",83273,87078,90779,98659,106746,113877,116881,123947,133441,142800,153749,164110,173024,170651,163298,172093,178429
"28","21","S2 QN4482ZZMG     Shoe stores","T060210",19967,20994,21211,22228,23262,23750,23792,24330,25124,25666,26775,28238,27638,26759,24655,25771,26592
"29","22","S3 QN4483ZZMG     Jewelry, luggage, and leather goods stores","T060220",17366,19064,19245,21494,24526,26539,25016,26745,28721,30679,32029,33539,33477,30977,25827,25914,26545
"30","23","S1 QN452ZZZMG   General merchandise stores","T060230",317849,330853,345954,368003,397978,420224,442655,465773,495785,524063,560738,588619,616694,630280,632681,665727,691362
"31","24","S1 QN4521ZZMG     Department stores","T060240",203714,209466,216872,222048,230236,231982,229361,225109,223414,226131,230236,229440,227896,218033,207191,212023,213413
"32","25","S2 QN4529ZZMG     Other general merchandise stores","T060250",108769,116216,123986,141663,164216,185573,211618,239818,272097,297858,330502,359112,388513,411437,424174,452054,475877
"33","26","S1 QN44EZZZMG   Other retail stores","T060260",704450,740867,776904,833229,885667,913892,927491,968920,991722,1029641,1067080,1115203,1135995,1113407,1101899,1130415,1172095
"34","27","S1 QN446ZZZMG     Health and personal care stores","T060270",135170,142584,152090,162495,172347,181471,187409,195878,204676,206882,213945,220637,230275,233903,234579,236698,241031
"35","28","S1 QN447ZZZMG     Gasoline stations","T060280",336013,341389,348411,371454,379239,361354,372145,389129,377906,388217,388591,392674,387416,377745,374178,368573,356900
"36","29","S1 QN451ZZZMG     Sporting goods, hobby, book, and music stores","T060290",59166,61842,63568,67555,72670,76499,77662,79300,80698,83244,85963,89950,92583,92510,89948,91581,95079
"37","30","S4 QN4511ZZMG       Sporting goods, hobby, and musical instrument stores","T060300",36848,38696,39654,42477,46306,49916,51289,53284,55044,57536,60623,65396,69263,70682,69764,72094,75425
"38","31","S4 QN4512ZZMG       Book, periodical, and music Stores","T060310",22846,23648,24463,25578,26776,26816,26529,26091,25687,25719,25340,24563,23385,21980,20414,19814,20038
"39","32","S1 QN453ZZZMG     Miscellaneous store retailers","T060320",83990,89884,96876,104961,110083,112389,108332,108874,110223,112082,116460,123516,125045,116931,105558,109702,117002
"40","33","S3 QN4531ZZMG       Florists","T060330",7118,7824,8229,8433,8820,8904,8312,7904,7341,6954,7522,7813,7859,7409,6405,6583,6902
"41","34","S3 QN4532ZZMG       Office supplies, stationery, and gift stores","T060340",27718,28491,30474,33521,36648,39085,37490,37980,38318,40388,42517,45540,45674,43099,40671,42119,44482
"42","35","S4 QN4533ZZMG       Used merchandise stores","T060350",6561,7183,7989,9030,9434,9903,9653,9824,9479,9531,9693,10906,11278,11072,10468,11442,13163
"43","36","S4 QN4539ZZMG       Other miscellaneous store retailers","T060360",43159,47333,51245,54898,55673,54507,52931,53181,55206,55230,56729,59278,60232,55421,48345,49932,52877
"44","37","S1 QN454ZZZMG     Nonstore retailers","T060370",113963,125569,134175,145331,164530,185910,187764,202244,219614,240065,262121,289029,302714,294711,299440,327028,372502
"45","38","S2 QN4541ZZMG       Electronic shopping and mail-order houses","T060380",48506,55909,64183,73972,87415,105969,108200,117544,133581,154805,179680,208353,225185,225166,231325,262358,308328
"46","39","S4 QN4542ZZMG       Vending machine operators","T060390",8911,9515,9673,9590,9801,10003,8854,8802,7779,7899,7691,7658,6848,5495,4784,4639,4748
"47","40","S4 QN4543ZZMG       Direct selling establishments","T060400",67095,70340,68838,68578,73066,73353,73897,79100,80236,77934,74750,73348,71539,65829,65594,63713,65636
"48","41","S1 QN722ZZZMG Food services and drinking places","T060410",322182,326834,337480,347469,355202,370659,373462,379394,392451,405508,418835,434176,441115,432045,414561,423272,437824
"49","42","S4 QN7221ZZMG   Full-service restaurants","T060420",137746,141192,150420,153532,157241,163198,165487,169805,177288,182701,187790,194527,197442,190130,181992,183725,193538
"50","43","S4 QN7222ZZMG   Limited-service eating places","T060430",141851,142657,142799,147984,149726,155486,156790,158618,163027,169948,176114,181137,182732,181716,175701,181893,186675
"51","44","S4 QN7223ZZMG   Special food Services","T060440",24807,25058,26335,27729,29812,32904,32477,32030,33076,34215,36355,39278,41823,41846,39237,40070,40044
"52","45","S4 QN7224ZZMG   Drinking places (alcoholic beverages)","T060450",17835,17989,17984,18272,18452,19085,18716,18948,19057,18644,18576,19233,19117,18357,17619,17540,17534
"53",NA,"              Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","46","S1 QN04472BMG   Retail and food services except motor vehicle and parts dealers","T060460",2215228,2294703,2380854,2515367,2664229,2771447,2837888,2940639,3052855,3188629,3346526,3496878,3560983,3503420,3399821,3500683,3618285
"55","47","S1 QN44GZZZMG   Retail trade except motor vehicle and parts dealers","T060470",1896608,1970524,2045904,2169553,2309652,2401536,2464766,2561314,2660456,2783143,2927691,3062724,3119912,3071490,2985739,3078328,3181378
"56","48","S2 QN44BZZZMG   GAFO-Department store merchandise stores \1\","T060480",610521,641162,672153,724267,790414,843117,872575,921759,980894,1049791,1126939,1197605,1251791,1254820,1220656,1285567,1340914
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","S1=Based on Census advance data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","S2=Based on Census preliminary and final data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","S3=Based on unpublished Census data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
