"","Table 1#15# Price, Costs, and Profit Per Unit of Real Gross Valu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94"
"11","3","Unit nonlabor cost","A467RD3",0.033,0.034,0.036,0.036,0.036,0.036,0.037,0.037,0.038,0.039,0.039,0.041,0.039,0.038,0.038,0.037,0.04,0.039,0.039,0.04,0.041,0.043,0.043,0.04,0.04,0.04,0.04,0.043,0.043,0.043,0.042,0.041,0.041,0.04,0.041,0.042,0.042,0.043,0.045,0.045,0.045,0.047,0.047,0.048,0.051,0.052,0.051,0.05,0.049,0.047,0.05,0.05,0.049,0.049,0.05,0.052,0.052,0.05,0.05,0.05,0.049,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.051,0.05,0.05,0.05,0.049,0.049,0.049,0.05,0.051,0.051,0.051,0.053,0.054,0.054,0.056,0.056,0.058,0.058,0.059,0.061
"12","4","  Consumption of fixed capital","A456RD3",0.013,0.014,0.015,0.015,0.015,0.015,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.018,0.019,0.019,0.019,0.018,0.018,0.017,0.017,0.018,0.018,0.019,0.02,0.02,0.02,0.021,0.021,0.022,0.023,0.024,0.023,0.023,0.022,0.021,0.022,0.022,0.021,0.021,0.021,0.022,0.022,0.021,0.021,0.021,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.021,0.021,0.021,0.022,0.022,0.022,0.022,0.022,0.023,0.023,0.023,0.024
"13","5","  Taxes on production and imports less subsidies plus business current transfer payments (net)","W330RD3",0.019,0.019,0.02,0.02,0.02,0.02,0.02,0.02,0.021,0.021,0.021,0.022,0.021,0.021,0.021,0.02,0.022,0.021,0.021,0.021,0.022,0.023,0.023,0.022,0.022,0.022,0.022,0.023,0.022,0.022,0.021,0.021,0.021,0.021,0.022,0.022,0.022,0.022,0.023,0.023,0.023,0.024,0.024,0.024,0.025,0.025,0.025,0.024,0.024,0.023,0.025,0.025,0.025,0.025,0.026,0.027,0.027,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.027,0.026,0.026,0.026,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.026,0.027,0.027,0.028,0.028,0.029,0.029,0.029,0.03
"14","6","  Net interest and miscellaneous payments","A471RD3",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.006,0.006,0.006,0.007,0.007
"15","7","Corporate profits with IVA and CCAdj (unit profits from current production)","A463RD3",0.031,0.036,0.035,0.037,0.041,0.043,0.041,0.043,0.041,0.038,0.039,0.035,0.038,0.041,0.045,0.048,0.047,0.046,0.046,0.047,0.043,0.041,0.04,0.042,0.042,0.04,0.039,0.032,0.035,0.036,0.038,0.041,0.044,0.044,0.044,0.044,0.042,0.041,0.04,0.04,0.041,0.04,0.04,0.037,0.032,0.033,0.037,0.041,0.042,0.045,0.04,0.039,0.042,0.038,0.038,0.036,0.035,0.038,0.039,0.041,0.042,0.041,0.041,0.042,0.042,0.044,0.044,0.045,0.046,0.046,0.045,0.045,0.048,0.049,0.049,0.05,0.05,0.049,0.048,0.048,0.046,0.045,0.045,0.046,0.045,0.046,0.045,0.045,0.044,0.042,0.04
"16","8","  Taxes on corporate income","A465RD3",0.019,0.017,0.017,0.018,0.018,0.019,0.018,0.017,0.016,0.014,0.014,0.014,0.019,0.021,0.025,0.027,0.033,0.027,0.024,0.026,0.023,0.022,0.022,0.022,0.023,0.023,0.022,0.018,0.017,0.018,0.019,0.02,0.021,0.021,0.021,0.022,0.021,0.021,0.02,0.02,0.021,0.02,0.019,0.018,0.015,0.016,0.017,0.02,0.02,0.021,0.019,0.018,0.02,0.018,0.017,0.016,0.016,0.017,0.018,0.019,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.017,0.018,0.017,0.018,0.018,0.018,0.019,0.019,0.019,0.018,0.018,0.017,0.017,0.017,0.018,0.019,0.019,0.019,0.019,0.02,0.019,0.018
"17","9","  Profits after tax with IVA and CCAdj","A466RD3",0.012,0.018,0.018,0.019,0.023,0.024,0.023,0.026,0.025,0.024,0.025,0.021,0.02,0.02,0.02,0.021,0.014,0.019,0.022,0.021,0.02,0.019,0.018,0.02,0.019,0.017,0.017,0.015,0.018,0.019,0.019,0.021,0.023,0.023,0.023,0.022,0.021,0.02,0.021,0.02,0.021,0.02,0.02,0.019,0.017,0.018,0.019,0.021,0.022,0.024,0.021,0.021,0.022,0.021,0.021,0.02,0.019,0.021,0.021,0.022,0.025,0.024,0.024,0.025,0.025,0.026,0.026,0.027,0.029,0.028,0.028,0.028,0.031,0.031,0.031,0.031,0.031,0.03,0.029,0.03,0.029,0.028,0.028,0.029,0.026,0.027,0.026,0.026,0.025,0.024,0.023
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","1. The implicit price deflator for gross value added of nonfinancial corporate business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","divided by 100. Estimates for nonfinancial corporate business for 2000 and earlier periods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","are based on the 1987 Standard Industrial Classification (SIC); later estimates for these",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","industries are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Note. The current-dollar gross value added is deflated using the gross value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","added chain-type price index for nonfinancial industries from the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","GDP-by-industry accounts.  For periods when this price index is not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","available, the chain-type price index for GDP goods and structures is used.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","IVA Inventory valuation adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","CCAdj Capital consumption adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
