"","Table 6#14C# Inventory Valuation Adjustment to Nonfarm Incomes b","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2010 10:21:45 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Inventory valuation adjustment to nonfarm incomes","A1830C0",-17050,-23374,-17668,-14010,4807,-3358,-4452,-13174,-19753,2667,15077,17024,-4839,-18539
"9","2","Corporate business","B058RC0",-16239,-22174,-16348,-12892,4927,-2821,-4021,-12436,-18284,3071,14090,15743,-3954,-16809
"10","3","  Mining","B1831C0",-327,-33,-308,-480,354,-31,198,-135,-271,-418,39,131,-173,-159
"11","4","  Construction","B1832C0",-251,-237,-87,-14,-25,-169,-386,-274,-86,-152,-18,55,-173,68
"12","5","  Manufacturing","A672RC0",-7524,-11330,-6247,-4369,5816,806,693,-5140,-6453,5370,6853,7705,-121,-9940
"13","6","    Durable goods","A674RC0",-3206,-6658,-3220,-637,2336,1123,1028,-1938,264,5790,5672,5145,308,-4096
"14","7","    Nondurable goods","A673RC0",-4318,-4672,-3027,-3732,3480,-317,-335,-3202,-6717,-420,1181,2560,-429,-5844
"15","8","  Transportation and public utilities","A676RC0",-1486,604,-1165,-1560,1278,45,251,-52,-100,-631,249,352,-405,-595
"16","9","    Transportation","C528RC0",-1143,649,-992,-1496,1156,7,270,-62,-210,-549,123,167,-421,-264
"17","10","    Communications","C529RC0",-344,-86,-113,18,10,109,-56,-68,106,144,101,79,191,100
"18","11","    Electric, gas, and sanitary services","C530RC0",1,41,-60,-82,112,-71,37,78,4,-226,25,106,-175,-431
"19","12","  Wholesale trade","C526RC0",-3824,-6319,-3382,-2071,-220,-567,-2446,-3807,-6159,1013,3908,6593,-935,-3591
"20","13","  Retail trade","C527RC0",-2439,-4123,-3951,-3878,-1872,-2608,-2139,-2598,-3338,-1908,2971,604,-1931,-2129
"21","14","  Other","B1833C0",-966,-1006,-1603,-1014,-75,-497,-380,-839,-2234,-773,109,489,-562,-554
"22","15","Noncorporate business","B179RC0",-811,-1200,-1320,-1118,-120,-537,-431,-738,-1469,-404,987,1281,-885,-1730
"23","16","  Mining","B1834C0",-24,-3,-55,-98,95,-6,45,-27,-31,-75,10,20,-80,-86
"24","17","  Construction","B1835C0",-37,-35,-9,-2,-4,-23,-62,-42,-15,-30,-10,32,-82,31
"25","18","  Manufacturing","A1836C0",-103,-225,-95,-53,68,15,-48,-117,-167,156,144,433,-165,-796
"26","19","    Durable goods","B1837C0",-67,-100,-60,-8,49,20,-3,-39,17,169,52,176,-49,-247
"27","20","    Nondurable goods","B1838C0",-36,-125,-35,-45,19,-5,-45,-78,-184,-13,92,257,-116,-549
"28","21","  Wholesale trade","B1839C0",-90,-135,-89,-53,-7,-17,-65,-110,-232,46,286,458,-115,-274
"29","22","  Retail trade","B1840C0",-392,-617,-629,-682,-206,-365,-246,-324,-455,-296,469,191,-288,-358
"30","23","  Other","B1841C0",-165,-185,-443,-230,-66,-141,-55,-118,-569,-205,88,147,-155,-247
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
