"","Table 5#7#6B# Real Private Inventories and Real Domestic Final S","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53"
"11","3","Mining, utilities, and construction","N238RX1",NA,NA,NA,33.6,33.7,35.1,36.3,36.1,37.8,39.6,40.9,43.3,44,44.2,43.6,42.7,43.7,43,43.1,41.1,43.1,46.5,49.1,51.7,51.8,50.1,49.2,48.1,48.4,49.5,50.9,53.4,51.9,51.8,53,53.9,54.6,56.4,56.4,56.2,55.7,57.8,59.2,60.8,61.8,62,61.4,60.2,57.8,55.8
"12","4","Manufacturing","N376RX1",NA,NA,NA,409.9,413.6,419.4,424.8,430.7,439.1,443.9,446.7,449.3,452.7,454.8,458.8,466.3,465.6,470.6,471.5,474.2,472,466.1,458.9,452.8,449.1,446.3,447.1,447,446.4,442.7,438.5,437.5,437.4,438.9,438.6,440.1,449.4,450.4,451.7,455.3,458.9,463,466.2,467.1,465.3,463.4,462.8,463.6,467,460.5
"13","5","  Durable goods industries","N377RX1",NA,NA,NA,248.3,250.8,254.9,258.7,262,269.3,274.1,277.3,279.9,282,282,284.3,288.4,287.1,290.8,291.7,295.7,294.6,290.5,283.8,277.5,273.1,270.2,269.2,270.7,269.6,265.6,262.2,264.2,263.1,263.8,264.3,265.9,272.6,274.5,277.3,279.7,280.2,282,284.7,286.4,286.3,283.5,282.9,286.4,287.1,283.5
"14","6","  Nondurable goods industries","N378RX1",NA,NA,NA,161.9,163.1,164.8,166.4,169,170,169.8,169.4,169.4,170.6,172.7,174.4,177.8,178.5,179.8,179.8,178.5,177.4,175.5,175.1,175.3,176,176,177.9,176.3,176.8,176.9,176.1,173.3,174.2,175,174.1,174.2,176.8,176,174.8,175.9,178.9,181.2,181.7,181,179.5,180.2,180.1,177.8,180.3,177.5
"15","7","Wholesale trade","N379RX1",NA,NA,NA,273.3,278.8,287,291,298.3,305.5,308.1,315.6,320.9,325.9,328.1,334.1,340.6,345.4,351.6,355.3,358.2,358.4,359.1,354.6,347.5,343.6,343.6,346.7,348.8,348.3,346.7,347.2,349.6,351.6,354.7,361.8,367.6,374.4,378.2,378.8,383.5,386.5,391.4,398.3,398.4,398,398.3,401.9,401.5,400.3,400.5
"16","8","  Durable goods industries","N380RX1",NA,NA,NA,164.3,168.1,174.9,176.7,180.6,186.7,187.9,193,197.3,200.5,203,205.9,210.6,213.8,219.6,221,222.6,222.6,218.3,213,206.3,202.2,201.6,204.7,205.9,206.7,205.4,203.8,207.2,210.9,214.6,221,224.5,229.5,232.1,232.2,237,237.7,241.8,248.3,247.3,248.3,245.4,245,245.8,247.2,247.8
"17","9","  Nondurable goods industries","N381RX1",NA,NA,NA,109.3,111.1,112.3,114.5,118,119,120.4,122.9,123.6,125.4,125.1,128.2,129.9,131.6,132.1,134.2,135.6,135.8,140.7,141.4,140.9,141.1,141.7,141.8,142.6,141.4,141.1,143.1,142.2,140.7,140.3,141.2,143.4,145.4,146.6,147,147.2,149.3,150.3,151,151.9,150.7,153.4,157,155.9,153.8,153.6
"18","10","Retail trade","N382RX1",NA,NA,NA,325.9,325.4,330.8,335.6,340.6,350.4,353.2,355.7,357.9,366.3,369.5,373.7,385.5,387.6,396.7,402.4,407.1,402.9,404.3,405.7,396.3,401.6,408.7,413.4,420.6,426.5,428.9,433.7,436.4,442.6,449.8,454,458.6,460.9,457.6,457.2,462.2,466.9,469.5,471.5,472.1,469,469.1,471.5,466.4,461.8,457.8
"19","11","  Motor vehicle and parts dealers","N864RX1",NA,NA,NA,101.5,100.5,101.7,103.5,106.6,110.4,110.3,109.4,108.9,114.2,114.3,116.2,121.9,123,129.1,133.1,134.2,129,131.3,133.1,125.4,130.9,135.9,136.9,143.8,148.6,152.5,154.6,156.5,160.2,164,165.9,164.2,163.8,158.6,157.9,161.5,163.4,164.3,163.1,161.1,157.4,156.5,159.2,152.5,149.9,146.7
"20","12","  Food and beverage stores","N239RX1",NA,NA,NA,28.5,28.5,28.5,29,28.8,29.4,29.9,29.9,30.1,30.5,30.7,31.4,31.9,32,31.5,31.7,31.8,32.1,32.3,32.2,32.5,32.2,32.3,32.6,32.6,32.7,32.2,32.6,31.7,31.8,32,32.1,32.1,32,32,31.6,31.9,32.4,32.6,32.7,32.6,32.4,32.7,33.1,33.3,33.4,33.6
"21","13","  General merchandise stores","N240RX1",NA,NA,NA,58.9,58.2,59,58.6,59,59.5,59.7,60.3,59.9,60.4,60.7,61.3,62.6,62.8,63.3,63,63.7,65.2,65.3,64.9,63.6,62.7,62.8,63.8,64.8,64.6,64.5,65.1,65.6,66.9,67.8,68.1,69.8,71.5,71.5,72,71.9,71,70.5,72.2,73.7,74.1,74.1,73.5,73.3,72.6,72.6
"22","14","  Other retail stores","N865RX1",NA,NA,NA,137.2,138.3,141.7,144.5,146.1,151.1,153.3,156.1,159,161.2,163.8,164.7,169,169.8,172.7,174.6,177.5,176.5,175.3,175.5,174.8,175.8,177.8,180.1,179.5,180.9,180,181.9,183.3,184.5,186.9,188.8,193.2,194.2,195.8,196.1,197.4,200.6,202.4,203.6,204.7,204.8,205.4,205.5,206.5,204.8,203.6
"23","15","Other industries","N385RX1",NA,NA,NA,82.7,84.9,86,86.8,88.1,88.9,90.2,91.6,94,96,98.3,100.1,101.3,104.6,108.1,112.5,113.7,114.3,114.2,114.1,113.9,113.1,113.5,113.1,112.5,112.2,113.2,113.5,113.9,115.3,116.5,118.1,119.5,119.9,120.4,120.1,120.7,121.5,123,124.1,124.5,125.8,126.6,127,127.5,127.6,126.8
"24","16","Residual","N968RX1",NA,NA,NA,-1,-1.1,-0.9,-1,-0.9,-0.9,-0.9,-0.9,-0.8,-0.5,-0.4,-0.1,0.3,-0.2,0,0.1,-0.1,0.3,0.7,0.7,0.5,0.8,0.7,0.6,0.6,0.4,0.6,0.7,0,-0.6,-0.7,-0.8,-1,-1,-0.3,-0.2,-1,-1,-0.6,-0.6,-0.1,0.1,0.6,0.4,1.2,1.9,1.7
"25",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","17","  Private inventories","A371RX1",NA,NA,NA,1251.6,1260.2,1283.8,1301.9,1322.7,1351.9,1364.5,1380.6,1395.3,1415.2,1425.6,1438.3,1464.2,1470.9,1495.7,1509.8,1520.7,1518.7,1518.1,1510.6,1488.9,1486.4,1487,1494,1501.4,1507.5,1506.8,1509.5,1515.7,1524.4,1540.7,1555.7,1570,1588.6,1592.8,1595.5,1608.9,1620.4,1634.6,1647.9,1651.2,1647.5,1646.7,1650.7,1648.7,1646.2,1633.6
"27","18","    Durable goods industries","N241RX1",NA,NA,NA,572,578.1,591.3,599.7,610.5,629.2,636.2,644.7,652.9,665,668.7,676.7,693.3,697.8,714.6,721.9,729.3,723.4,717.2,707.3,686.9,685.7,687.4,691.5,702.4,707.5,706.5,705,713.6,721,731.2,741.1,747.7,760.4,762.4,766.4,779.4,783.4,790.7,799.8,797.8,796.5,790.1,790.3,789,787.5,778.5
"28","19","    Nondurable goods industries","N242RX1",NA,NA,NA,680.5,683,693.2,702.9,712.9,723.2,728.8,736.3,742.8,750.3,757.2,761.7,770.9,773.1,781.1,787.9,791.3,795.3,800.6,803,801.7,800.2,799.2,802.2,798.9,799.9,800.2,804.1,802.2,803.9,810.1,815.4,823.1,829.3,831.5,830.5,831.6,839,845.9,850.4,855.4,852.9,857.9,861.5,860.7,859.6,855.4
"29","20","  Nonfarm industries","A373RX1",NA,NA,NA,1125.2,1136.4,1158.3,1174.3,1193.7,1221.6,1234.8,1250.3,1264.9,1284.6,1294.7,1310.1,1336.4,1346.8,1370.1,1384.8,1394.3,1390.9,1390.6,1382.8,1362.4,1359.6,1362.7,1370.1,1377.6,1382.4,1381.6,1384.5,1391.6,1399.2,1411.8,1425.7,1439.8,1459.6,1464,1465.5,1478.8,1490.2,1506,1521,1525.1,1522.4,1521.8,1526.6,1521.4,1516.9,1503.2
"30","21","  Wholesale trade","N379RX1",NA,NA,NA,273.3,278.8,287,291,298.3,305.5,308.1,315.6,320.9,325.9,328.1,334.1,340.6,345.4,351.6,355.3,358.2,358.4,359.1,354.6,347.5,343.6,343.6,346.7,348.8,348.3,346.7,347.2,349.6,351.6,354.7,361.8,367.6,374.4,378.2,378.8,383.5,386.5,391.4,398.3,398.4,398,398.3,401.9,401.5,400.3,400.5
"31","22","    Merchant wholesale trade","N802RX1",NA,NA,NA,231.8,236.5,243.6,247.5,254.1,260.5,263.1,270.2,274.4,278.9,280.4,285.8,292,296.5,302,304.8,307,307.2,308,304.9,298.6,295.5,295.9,298.5,300.5,301,299.2,299.7,301.8,303.6,306,312.6,318.9,323,326.4,327.6,332.3,334.2,339.4,345,345.2,344.7,345.8,349.9,350.4,350.2,352.6
"32","23","      Durable goods industries","N803RX1",NA,NA,NA,141.5,144.6,150.7,152.5,156,161.4,162.7,167.3,170.8,173.7,175.4,178.2,182.8,185.8,191.1,191.9,192.8,192.8,188.6,184.5,178.5,175,174.6,177.3,178.6,180,178.7,177.2,180.1,183.4,187.1,192.7,196.7,199.7,202.1,202.3,207.3,208.1,212.3,217.1,216.5,216.4,214.6,214.7,215.5,218.7,221.1
"33","24","      Nondurable goods industries","N804RX1",NA,NA,NA,90.5,92.1,93.1,95.1,98.2,99.2,100.5,103,103.6,105.3,104.9,107.6,109.2,110.7,110.9,113,114.2,114.4,119.3,120.3,119.9,120.3,121.1,120.9,121.7,120.8,120.3,122.2,121.5,120.1,119.1,120.1,122.4,123.6,124.6,125.5,125.5,126.5,127.6,128.6,129.3,128.9,131.5,135,134.8,132.2,132.4
"34","25","    Nonmerchant wholesale trade","N805RX1",NA,NA,NA,41.6,42.5,43.5,43.6,44.3,45.1,45.1,45.5,46.5,47,47.8,48.4,48.6,48.9,49.6,50.5,51.1,51.2,51.1,49.6,48.8,48.1,47.6,48.2,48.3,47.3,47.5,47.5,47.8,48,48.7,49.2,48.7,51.3,51.7,51.1,51.2,52.2,52,53.2,53.2,53.3,52.5,52.2,51.4,50.4,48.5
"35","26","    Final sales of domestic business \2\","A809RX1",NA,NA,NA,488.3,492.7,496.3,506.2,509.2,513.5,521.7,527.5,538,541.5,549.9,556,563.4,571.2,575,577.5,581,581.8,581.5,578.8,583.6,581.1,582.6,584.1,582.5,585.7,592.6,606.7,609.7,613.8,618.3,625.1,630.9,635.1,645.4,652.5,652.4,661.8,666.4,667.2,673.5,675.1,683.8,691.6,693.1,693.4,702.8
"36","27","    Final sales of goods and structures of domestic business \2\","A810RX1",NA,NA,NA,301.2,304.6,306.2,314.1,315.5,318.2,323.7,328.6,337.5,337.8,343.5,346.8,352.3,357.8,359.3,360.3,361.6,362.5,362.5,359.8,364.3,360.8,360.3,361.1,357.9,360.7,366,378.4,379.4,380.5,382.9,388.3,391.2,393.7,403.4,407.7,405.8,414.5,417,416,417.8,417.3,424.1,428.4,428.4,426.5,435.3
"37",NA,"Ratios of private inventories to final sales of domestic business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","28","Private inventories to final sales","A811RX2",NA,NA,NA,2.56,2.56,2.59,2.57,2.6,2.63,2.62,2.62,2.59,2.61,2.59,2.59,2.6,2.58,2.6,2.61,2.62,2.61,2.61,2.61,2.55,2.56,2.55,2.56,2.58,2.57,2.54,2.49,2.49,2.48,2.49,2.49,2.49,2.5,2.47,2.45,2.47,2.45,2.45,2.47,2.45,2.44,2.41,2.39,2.38,2.37,2.32
"39","29","Nonfarm inventories to final sales","A812RX2",NA,NA,NA,2.3,2.31,2.33,2.32,2.34,2.38,2.37,2.37,2.35,2.37,2.35,2.36,2.37,2.36,2.38,2.4,2.4,2.39,2.39,2.39,2.33,2.34,2.34,2.35,2.37,2.36,2.33,2.28,2.28,2.28,2.28,2.28,2.28,2.3,2.27,2.25,2.27,2.25,2.26,2.28,2.26,2.26,2.23,2.21,2.2,2.19,2.14
"40","30","Nonfarm inventories to final sales of goods and structures","A813RX2",NA,NA,NA,3.74,3.73,3.78,3.74,3.78,3.84,3.82,3.81,3.75,3.8,3.77,3.78,3.79,3.76,3.81,3.84,3.86,3.84,3.84,3.84,3.74,3.77,3.78,3.79,3.85,3.83,3.78,3.66,3.67,3.68,3.69,3.67,3.68,3.71,3.63,3.59,3.64,3.6,3.61,3.66,3.65,3.65,3.59,3.56,3.55,3.56,3.45
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1. Inventories are as of the end of the quarter.  The quarter-to-quarter changes calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","from this table are at quarterly rates, whereas the change in private inventories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","component of GDP is stated at annual rates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2. Quarterly totals at monthly rates.  Final sales of domestic business equals final sales of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","domestic product less gross output of general government, gross value added of nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","institutions, compensation paid to domestic workers, and space rent for owner-occupied housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","It includes a small amount of final sales by farm and by government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Chained (2000) dollar inventory series are calculated to ensure that the chained (2000) dollar change in inventories for 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","equals the current-dollar change in inventories for 2000 and that the average of the 1999 and 2000 end-of-year chain-weighted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","and fixed-weighted inventories are equal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
