"","Table 2#3#3# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249"
"11","3","  Motor vehicles and parts","B165RA3",7.579,7.718,7.302,8.312,8.859,8.365,8.6,9.096,9.455,11.463,11.831,11.871,12.741,13.345,16.389,15.19,14.618,12.277,11.288,10.537,10.653,11.102,9.084,12.98,14.17,13.849,13.701,12.708,11.897,13.201,12.756,14.05,16.543,18.188,18.838,17.52,15.552,14.984,14.489,15.532,16.581,15.895,15.416,15.452,13.031,12.852,12.865,13.704,15.106,16.033,16.679,14.697,16.205,16.817,17.14,16.192,14.096,14.491,14.94,16.252,16.987,17.655,17.425,18.909,19.471,19.99,20.001,20.419,20.961,21.193,22.18,20.17,24.394,23.946,24.744,25.02,26.592,24.012,24.723,24.59,23.333,25.442,24.748,24.08,27.219,27.758,29.453,29.133,29.974,29.345,29.642,29.255,27.369,28.206,28.001,22.916,29.826,30.787,32.076,34.219,34.457,35.433,36.079,39.108,42.247,40.601,39.114,36.462,33.556,33.651,34.815,29.302,30.434,30.725,34.619,36.39,39.641,39.657,39.976,40.553,44.232,44.218,44.145,44.299,42.987,48.533,46.642,46.348,45.591,41.589,43.427,41.669,41.414,33.249,36.941,37.575,40.84,37.119,39.922,34.664,38.289,37.97,38.4,41.799,40.888,46.437,47.962,51.352,53.755,54.554,53.896,55.958,59.526,60.314,66.877,59.859,61.017,64.096,72.836,67.043,58.87,63.607,68.423,64.188,69.09,67.831,65.364,67.182,66.927,67.124,70.316,64.837,70.313,66.819,65.871,62.005,58.012,57.582,60.018,58.881,62.139,62.738,63.59,65.013,64.163,67.243,67.147,69.737,71.935,70.907,70.401,72.635,69.254,69.401,71.071,72.033,72.811,73.953,73.972,74.577,77.814,75.23,80.047,82.189,80.278,86.388,87.958,96.162,91.87,98.377,98.954,96.226,104.334,97.309,99.133,99.223,101.586,100.534,101.606,116.266,109.193,109.31,115.283,110.176,109.913,114.431,117.661,115.482,116.138,115.317,116.653,118.444,115.892,120.132,121.35,108.176,112.658,113.137,113.684,113.738,116.303,116.767,114.746,114.513,111.313,105.357
"12","4","  Furniture and household equipment","B166RA3",4.263,4.384,4.6,4.837,4.563,4.823,4.908,4.574,4.283,4.374,4.755,5.136,5.215,5.021,6.652,5.345,5.946,4.921,5.038,5.196,5.268,5.256,5.316,5.619,5.567,5.65,5.651,5.668,5.635,5.635,5.734,6.009,6.289,6.382,6.63,6.608,6.677,6.896,6.756,6.768,6.671,6.648,6.591,6.412,6.433,6.31,6.53,6.646,6.824,6.989,7.03,7.055,6.95,7.028,6.804,6.778,6.793,6.933,7.091,7.242,7.263,7.35,7.565,7.656,7.781,7.928,8.133,8.26,8.662,9.01,9.13,9.359,9.404,9.618,9.96,10.609,10.853,10.935,11.413,11.459,11.508,11.629,11.661,11.959,12.154,12.265,12.757,12.578,12.724,12.872,12.718,12.741,12.888,12.866,12.864,13.001,13.074,13.269,13.437,13.893,14.391,14.553,15.041,15.456,16.281,16.409,16.536,16.706,16.965,17.033,16.834,15.799,15.741,16.174,16.424,16.765,17.074,17.156,17.419,17.78,18.174,18.64,19.001,19.588,19.279,20.07,20.059,20.424,20.355,20.881,21.681,21.415,21.026,20.258,20.425,21.146,21.163,20.904,20.731,20.151,19.842,20.08,20.363,20.904,21.73,22.532,23.631,24.362,24.976,25.607,25.996,26.701,27.081,27.496,28.338,29.426,30.115,31.004,32.331,32.974,33.171,33.492,34.296,34.474,35.262,35.978,36.23,37.213,37.542,38.246,38.209,38.325,39.043,38.418,38.025,37.736,37.957,38.949,39.184,38.702,39.822,40.126,41.181,42.192,43.526,44.676,45.628,46.527,47.526,49.289,50.754,52.831,53.104,54.161,56.271,58.019,58.548,61.572,62.522,64.549,65.958,67.97,70.363,72.177,74.61,76.238,79.587,82.326,85.054,87.909,91.289,94.618,98.007,99.48,100.956,101.557,103.48,104.87,106.178,109.623,114.056,116.154,116.722,118.773,119.291,124.231,131.036,133.937,137.13,140.224,144.348,147.272,150.441,154.051,158.837,164.252,171.893,174.044,176.989,180.397,185.449,188.009,192.006,193.857,194.714,201.21
"13","5","  Other","B167RA3",6.649,6.604,6.836,6.812,6.824,6.776,6.761,6.745,6.418,6.408,6.382,6.429,6.545,6.644,7.073,6.877,6.879,6.857,6.926,7.126,7.122,7.241,7.364,7.672,7.886,7.71,7.616,7.536,7.385,7.839,8.442,8.59,8.494,8.866,8.926,9.31,9.262,9.425,9.653,9.875,9.754,9.341,9.988,9.906,9.872,9.682,9.935,10.161,10.344,10.464,10.452,10.613,10.386,10.502,10.24,10.273,10.163,10.199,10.323,10.567,10.66,10.901,11.125,11.363,11.492,11.693,11.778,11.867,12.399,12.859,13.534,13.433,13.66,13.888,14.49,15.772,16.973,17.003,17.378,17.463,17.606,17.873,18.052,18.385,18.692,19.537,19.79,20.332,20.467,20.681,20.348,20.359,21.187,20.927,21.753,22.094,21.366,21.714,22.084,22.2,23.258,24.334,25.086,25.916,26.932,27.405,28.081,28.231,28.642,29.161,28.711,27.497,28.641,29.119,30.411,30.306,31.352,31.711,32.088,32.521,31.179,33.842,35.252,36.619,35.157,36.046,36.991,37.794,37.424,39.033,38.039,37.222,36.493,33.825,34.095,36.059,35.004,35.593,36.539,35.15,34.978,35.328,34.905,34.862,35.615,36.138,37.428,38.964,40.833,42.448,42.444,43.694,44.001,43.91,44.536,45.281,46.196,46.338,48.68,54.28,51.697,52.621,52.012,51.709,53.775,54.342,54.786,56.447,54.091,55.989,56.394,57.368,57.728,56.276,56.126,56.177,55.291,54.892,53.719,52.694,53.874,54.11,55.847,56.363,57.59,58.443,59.985,60.653,61.286,62.901,63.995,66.228,66.056,67.204,68.873,69.22,70.147,72.733,73.638,75.434,76.153,76.317,78.278,79.882,80.949,83.091,84.728,86.941,89.421,90.878,93.294,96.626,99.415,99.974,100.489,100.122,99.603,99.207,98.334,101.064,103.917,104.979,105.362,106.417,106.738,110.177,114.419,115.882,117.745,117.681,119.52,121.237,123.216,125.726,124.158,127.497,133.447,132.148,132.236,134.083,135.461,138.918,142.08,140.796,139.967,140.804
"14","6","Nondurable goods","B004RA3",24.353,24.788,24.881,24.551,24.553,24.804,24.597,24.95,25.076,25.133,24.936,25.289,25.593,25.869,26.332,25.775,26.429,26.129,26.716,27.014,26.838,27.471,27.914,28.284,28.504,28.631,28.428,28.412,28.622,28.523,28.89,29.376,29.596,30.105,30.337,30.962,31.273,31.189,31.215,31.447,31.55,31.703,32.166,32.008,31.625,31.855,32.393,32.782,33.126,33.413,33.598,33.827,33.81,34.205,33.966,33.997,34.22,34.579,34.598,35.086,35.399,35.566,35.829,36.045,36.196,36.349,36.641,36.665,37.355,38.044,38.731,38.861,39.308,39.748,40.326,41.727,42.106,42.476,42.765,42.601,42.928,43.134,43.163,43.403,44.356,44.921,45.619,45.61,46.047,46.275,46.351,46.631,47.113,47.21,47.523,47.897,48.06,48.236,48.24,48.639,48.948,50.15,50.858,51.732,52.3,51.852,52.157,51.964,51.284,51.104,51.208,50.486,50.696,51.793,52.22,52.377,53.415,54.13,54.592,55.064,55.388,55.285,55.377,56.388,56.738,57.36,57.974,58.676,58.967,58.729,59.363,59.845,59.69,58.918,58.812,59.128,59.679,59.861,59.862,59.953,60.024,60.118,60.454,61.041,61.344,61.954,62.872,63.499,63.845,64.984,65.196,65.566,65.936,66.464,66.867,67.392,68.263,69.01,69.154,69.812,70.088,70.715,70.842,71.216,71.857,72.603,73.386,74.218,74.439,74.51,75.255,75.971,76.171,76.334,76.571,75.762,75.7,76.296,76.341,75.796,77.065,76.968,77.475,78.706,78.599,79.315,80.095,80.465,81.245,82.014,82.712,83.505,83.606,84.027,84.338,84.636,85.122,86.125,86.613,87.339,87.861,87.89,89.161,89.51,90.664,91.78,92.426,93.747,94.967,95.925,96.223,98.383,98.458,99.835,100.398,101.309,101.438,101.409,102.018,103.242,104.085,104.426,104.507,105.439,106.435,107.033,109.027,109.513,110.759,111.178,112.026,113.369,114.043,115.225,116.068,117.412,118.67,119.59,120.275,121.187,122.232,122.815,123.182,123.261,123.147,124.317
"15","7","  Food","B168RA3",33.611,34.283,34.147,33.308,33.199,33.774,33.011,33.616,33.774,33.744,33.552,33.474,34.187,34.308,34.41,34.149,34.913,34.929,35.606,35.39,35.347,36.299,36.777,37.038,37.868,37.892,37.602,37.586,38.032,37.879,38.669,39.256,39.368,39.936,40.236,40.831,41.444,41.249,41.249,41.558,41.71,42.111,42.542,42.507,41.951,41.927,42.279,42.686,43.147,43.483,43.906,44.244,43.921,44.303,43.956,43.905,44.27,44.557,44.46,44.795,44.9,44.944,45.285,45.223,45.206,45.495,45.713,45.969,46.461,47.219,47.84,48.106,48.807,49.372,50.044,51.947,52.01,52.147,52.321,52.008,52.62,52.688,52.592,53.258,54.244,55.093,55.978,56.106,56.592,56.752,56.62,57.139,58.055,58.353,58.736,58.992,59.101,59.092,58.827,59.315,59.348,61,61.476,62.067,62.007,60.902,61.192,60.549,60.1,59.832,60.755,60.115,60.347,61.931,62.229,62.272,63.721,64.844,65.346,65.675,66.636,66.069,65.592,66.277,66.484,66.317,66.954,67.569,67.758,67.493,68.125,69.211,69.512,68.911,68.304,68.15,68.571,68.978,68.624,69.02,68.952,69.533,70.059,71.056,71.179,71.524,72.42,72.505,72.571,73.365,73.932,73.987,74.329,75.107,75.523,76.035,76.786,76.977,76.645,77.416,77.535,77.841,77.998,78.623,79.493,80.769,81.651,82.333,82.346,81.99,82.636,83.187,84.046,85.114,85.377,84.591,84.276,85.015,85.004,84.38,85.335,84.378,84.644,86.306,85.955,86.433,87.138,87.292,87.64,88.835,89.199,89.655,89.35,89.332,89.421,89.495,89.791,90.288,90.163,90.649,91.301,90.998,91.741,91.407,92.186,93.248,93.991,94.801,94.948,96.093,96.683,98.619,99.024,100.045,100.28,100.65,101.294,101.415,101.666,102.144,102.702,103.171,103.159,103.712,104.776,104.879,106.498,106.55,108.175,108.456,109.047,110.759,111.655,112.509,113.851,114.976,116.503,117.85,118.173,118.798,119.163,119.987,120.08,120.924,121.315,122.534
"16","8","  Clothing and shoes","B169RA3",14.389,14.222,14.459,14.444,14.304,14.39,14.525,14.852,14.853,14.667,14.135,14.694,14.654,14.913,15.46,14.772,15.098,14.543,14.851,15.059,14.972,15.505,15.977,16.33,15.773,16.158,15.852,15.629,15.818,15.82,15.762,16.116,16.299,16.751,16.614,16.969,16.977,17.039,17.199,17.177,16.964,16.892,17.255,16.819,16.643,16.966,17.346,17.64,17.713,18.16,18.035,18.209,18.257,18.396,18.087,18.02,18.184,18.371,18.534,19.033,19.13,19.349,19.419,19.574,19.486,19.608,19.975,19.792,20.641,21.192,21.514,21.734,21.768,21.704,22.132,22.982,23.498,23.582,23.847,23.632,23.623,23.799,23.908,23.77,24.428,24.676,25.092,24.903,25.159,25.234,25.316,25.173,24.88,24.822,24.762,25.165,25.416,26.092,26.276,26.636,26.775,27.415,28.241,29.005,29.833,29.727,29.757,29.921,30.037,29.818,29.438,28.27,29.296,30.344,30.862,31.068,31.467,31.563,31.963,32.333,32.42,33.05,33.528,35.224,35.495,36.716,37.279,38.092,38.013,38.232,39.444,39.598,39.189,39.04,39.993,40.769,41.814,41.998,42.525,42.363,42.728,42.056,42.869,43.671,44.149,45.662,46.204,48,48.744,50.45,49.747,50.693,51.134,51.873,52.608,53.322,54.874,56.785,56.961,57.048,57.911,58.208,59.009,58.634,59.395,59.068,60.474,61.835,62.153,63.039,64.548,64.791,64.167,63.166,63.064,62.403,63.097,64.091,63.827,62.589,65.226,66.283,67.656,68.511,68.209,69.491,70.074,70.861,72.37,72.221,73.436,75.544,75.264,75.801,77.179,77.263,77.972,79.887,81.166,81.68,81.595,80.894,83.459,84.529,86.749,88.409,88.049,90.284,93.682,94.81,95.62,95.687,97.837,99.554,101.139,101.471,100.947,101.358,101.734,104.071,106.102,106.478,106.045,108.973,108.792,111.568,114.488,114.242,117.397,116.085,117.617,120.093,121.735,124.771,124.821,128.889,131.064,131.326,133.044,134.502,137.518,138.442,139.942,138.806,139.821,143.488
"17","9","  Gasoline, fuel oil, and other energy goods","A173RA3",29.286,30.282,30.593,30.521,31.219,31.284,31.595,31.228,30.946,31.404,31.421,31.793,31.959,33.172,33.819,32.997,34.306,34.046,34.919,35.666,35.522,35.927,36.463,36.901,37.031,36.906,37.314,37.234,37.44,37.546,38.319,39.326,39.965,40.94,41.368,42.494,42.912,42.997,42.472,43.411,44.014,43.487,44.326,44.205,44.429,45.765,46.62,47.103,47.337,47.25,46.905,46.871,47.317,48.437,47.627,47.676,47.203,48.382,47.299,47.407,48.736,48.805,48.807,49.99,51.188,50.717,50.484,50.825,51.685,52.943,54.582,54.383,54.078,55.43,56.749,57.408,57.429,58.853,59.68,59.935,59.822,60.379,60.276,61.379,62.668,62.736,63.421,63.302,64.693,65.494,65.716,67.096,68.219,67.576,68.548,68.547,69.882,70.99,70.663,70.698,72.196,72.823,74.203,77.239,78.906,78.365,78.777,77.572,69.151,71.433,72.768,74.937,73.445,74.119,73.574,73.217,75.487,76.902,77.987,80.096,78.606,78.469,79.352,79.754,80.462,81.093,80.198,79.852,82.084,78.418,77.335,76.003,73.998,71.571,70.438,70.41,70.939,70.746,70.615,70.53,71.306,71.45,70.25,69.964,71.464,71.106,72.625,73.317,72.828,73.96,74.442,75.016,75.019,75.457,75.688,75.619,77.004,78.604,79.677,80.729,79.722,81.938,80.053,81.223,81.923,83.09,83.025,83.812,84.049,83.651,83.469,86.043,83.332,82.899,83.811,80.948,80.625,81.836,82.836,82.098,83.285,85.236,85.56,86.001,85.708,86.736,88.302,87.867,89.04,88.518,88.876,88,90.212,90.978,89.988,90.157,91.535,92.262,92.223,92.012,92.522,93.877,94.253,94.65,96.567,96.893,96.716,98.995,100.886,101.075,98.647,101.868,100.036,99.311,98.736,101.916,102.583,98.376,99.786,103.242,102.324,103.204,103.756,103.166,102.968,102.751,104.077,104.953,104.893,105.377,105,104.942,103.842,104.942,105.184,104.843,103.215,102.167,102.423,102.729,104.098,103.422,103.33,102.901,101.329,99.664
"18","10","    Gasoline and oil","B170RA3",16.62,17.087,17.316,17.242,17.657,17.854,18.433,18.666,18.916,19.804,20.089,20.146,19.996,20.742,20.704,20.434,21.543,21.85,22.657,22.952,23.269,23.772,24.443,24.856,25.113,25.255,25.789,25.504,25.681,25.724,26.345,27.141,27.58,28.414,28.606,29.42,29.914,30.235,29.877,30.89,31.489,30.979,31.641,31.465,31.704,32.78,33.235,33.817,34.355,34.645,34.481,34.812,34.968,36.521,35.847,35.693,35.67,36.48,36.086,36.269,37.265,37.44,37.702,38.227,38.541,39.029,38.633,39.055,40.082,40.849,41.503,41.325,41.656,42.703,43.107,44.029,44.639,45.615,45.919,46.022,46.287,46.701,47.174,47.954,49.164,49.934,51.002,51.115,52.209,53.481,53.937,55.117,56.345,56.374,57.425,57.893,58.737,59.783,60.091,60.468,61.391,61.538,62.256,63.637,65.83,64.983,65.579,65.368,59.005,61.308,63.017,65.539,64.36,64.408,63.425,64.085,65.42,66.43,66.854,67.828,67.729,68.573,69.178,69.22,68.938,70.297,70.967,70.828,71.899,68.648,68.502,68.212,66.717,65.59,64.522,64.605,66.41,66.372,66.357,66.256,67.185,67.941,66.823,66.754,68.846,67.232,68.91,69.716,69.246,70.765,71.364,71.958,71.684,72.252,72.394,72.57,74.183,75.379,75.974,77.401,76.608,78.728,77.292,78.421,78.67,80.09,79.735,80.743,81.732,80.949,80.887,82.491,81.984,80.406,80.848,79.763,78.925,80.016,80.359,80.15,81.653,82.524,83.993,84.204,83.841,85.086,86.202,85.686,86.115,86.747,86.509,85.981,88.338,88.436,87.575,87.393,88.703,90.275,90.163,90.411,91.662,92.616,92.938,93.447,96.387,96.153,96.282,98.941,100.793,100.495,98.088,102.028,100.605,99.298,98.474,101.622,102.708,98.781,100.225,104.21,103.23,103.613,104.273,103.174,103.379,103.557,104.681,105.456,105.876,106.547,106.162,106.471,105.191,106.882,107.352,107.363,106.045,104.279,104.503,104.651,105.354,104.909,105.146,104.617,103.243,101.954
"19","11","    Fuel oil and coal","B171RA3",235.12,245.038,246.502,246.532,251.772,249.147,244.044,232.951,222.986,214.745,209.525,215.428,221.507,230.13,242.795,232.595,236.273,225.914,227.217,235.56,227.141,225.375,222.96,223.437,221.079,216.174,213.831,217.673,218.181,219.364,222.122,226.024,229.734,232.305,236.73,242.499,241.016,236.604,233.513,232.03,232.097,231.828,235.119,236.135,235.869,240.659,248.082,246.155,240.5,233.552,230.162,223.167,228.658,220.165,217.682,221.635,212.998,219.816,207.063,205.629,211.809,209.791,204.872,217.093,233.525,215.766,218.714,217.205,214.212,223.242,241.417,241.021,229.246,234.855,251.958,246.966,235.988,244.243,253.952,256.821,249.762,252.42,241.651,247.609,248.981,236.016,228.997,224.758,230.27,221.44,217.065,220.762,218.892,206.581,205.2,196.943,205.699,206.996,196.256,190.447,200.587,208.828,220.302,249.276,240.484,245.414,242.384,226.019,190.449,191.511,187.081,183.998,178.719,187.734,193.334,179.22,193.672,200.199,209.822,226.411,207.021,194.427,198.648,203.407,216.273,208,187.971,185.009,201.404,192.807,180.208,166.377,158.212,139.798,137.988,136.694,122.216,120.329,118.944,119.046,118.082,111.565,109.414,106.738,101.921,115.23,114.94,114.347,113.662,110.689,109.943,110.318,113.336,112.303,113.547,110.772,109.706,115.77,122.04,119.09,115.706,119.035,112.049,113.706,119.46,117.856,121.067,119.305,110.998,115.139,113.225,126.764,99.573,111.489,117.731,94.472,100.113,102.782,111.569,104.694,102.097,116.784,103.473,106.667,107.268,105.721,112.518,113.04,122.991,108.975,116.455,111.237,111.558,120.651,118.053,122.438,124.559,115.119,115.892,110.302,102.322,108.221,109.241,108.369,98.566,105.214,101.718,99.783,101.953,107.807,105.196,99.763,93.535,99.484,101.766,105.215,101.341,93.992,94.913,92.838,92.572,98.81,98.108,103.101,98.475,94.119,97.545,99.522,94.334,92.714,92.422,88.42,89.078,84.08,81.908,77.754,72.883,79.403,80.054,82.085,90.388,87.329,83.74,84.398,80.774,75.486
"20","12","  Other","B172RA3",13.609,14.225,14.407,14.54,14.752,14.649,14.817,14.867,15.198,15.613,15.891,16.563,16.601,16.802,17.559,16.944,17.481,17.079,17.646,18.748,18.257,18.345,18.531,18.992,19.205,19.178,19.15,19.446,19.217,19.041,19.046,19.245,19.511,19.713,20.208,20.921,21.014,20.888,20.933,21.1,21.377,21.584,21.981,22.024,21.575,21.719,22.538,22.881,23.326,23.347,23.65,23.786,24.056,24.487,24.757,25.038,25.245,25.613,25.95,26.655,27.218,27.51,27.899,28.323,28.727,28.83,29.221,29.027,29.603,30.006,30.83,30.667,31.322,31.828,32.071,33.178,33.927,34.678,34.965,35.051,35.372,35.697,35.868,35.556,36.49,36.98,37.542,37.578,37.775,38.098,38.469,38.523,39.002,39.136,39.568,40.112,39.87,39.37,39.696,39.972,40.601,41.585,42.162,42.867,43.76,44.244,44.884,45.489,46.079,45.278,43.906,42.707,42.346,42.499,43.342,43.825,44.258,44.588,44.75,44.961,44.928,44.851,45.282,46.165,46.733,48.129,49.212,50.245,50.406,51.074,51.775,52.241,52.424,51.582,51.957,52.957,53.276,53.221,53.498,53.332,53.002,52.85,53.148,53.183,53.073,53.811,54.816,55.368,56.272,57.559,57.79,58.152,58.679,58.589,58.746,59.367,59.631,60.093,60.775,61.561,62.046,63.008,63.191,63.454,63.548,64.062,64.415,65.082,65.584,65.928,66.561,67.333,67.959,67.595,67.808,67.617,67.499,67.311,67.357,67.528,68.348,68.246,68.591,69.594,70.1,70.713,71.51,72.2,73.085,74.142,75.16,76.16,76.555,77.554,77.95,78.817,79.204,80.58,81.81,83.406,84.089,84.751,86.419,87.524,88.457,89.559,90.88,92.286,93.907,94.635,94.912,98.336,97.28,99.819,100.787,102.114,101.488,102.474,103.545,104.793,106.029,105.966,106.313,107.378,109.239,109.911,112.338,113.813,113.936,115.424,116.917,117.647,118.273,119.189,119.778,121.128,122.971,124.472,125.551,127.049,128.27,128.953,129.588,129.094,128.514,130.448
"21","13","Services","B005RA3",12.349,12.509,12.494,12.453,12.682,12.864,13.03,13.131,13.2,13.287,13.254,13.298,13.493,13.884,14.081,14.243,14.484,14.584,14.717,14.771,14.972,15.166,15.374,15.618,15.749,15.965,16.058,15.959,16.144,16.48,16.756,16.933,17.2,17.311,17.474,17.806,17.988,18.198,18.42,18.687,18.804,18.952,19.068,19.296,19.342,19.673,19.941,20.052,20.276,20.671,20.978,21.252,21.505,21.711,21.72,21.944,22.177,22.581,22.669,23.077,23.285,23.656,23.866,24.18,24.293,24.564,25.058,25.405,25.792,26.16,26.527,26.9,27.158,27.538,27.919,28.382,28.644,28.99,29.242,29.641,30.003,30.367,30.799,31.039,31.438,31.966,32.387,32.8,33.14,33.5,33.831,34.292,34.611,34.8,35.234,35.508,35.808,36.175,36.52,37.098,37.685,38.15,38.651,39.389,39.779,40.212,40.454,40.652,40.671,41.088,41.337,41.769,42.146,42.612,42.86,43.355,43.823,44.108,44.628,45.341,45.702,45.992,46.68,47.193,47.895,48.538,48.775,49.023,49.519,49.979,50.169,50.509,50.637,50.338,50.969,51.738,51.422,51.852,51.863,51.954,52.186,52.455,52.94,53.879,54.599,55.388,56.204,56.849,57.042,57.601,58.338,59.124,60.272,60.828,61.779,62.333,62.477,62.744,63.281,63.941,64.93,65.544,66.153,66.743,67.599,68.069,68.901,69.453,69.909,70.236,70.662,71.414,71.612,72.528,73.11,73.082,73.007,73.732,74.038,74.47,75.355,76.05,76.768,77.343,77.73,78.024,78.902,79.501,80.226,80.631,81.088,81.472,81.992,82.752,83.323,83.827,84.662,85.149,85.688,86.18,86.992,87.733,88.717,89.635,90.663,91.68,92.701,92.998,94.083,95.155,96.269,97.103,98.53,99.474,100.521,101.475,101.758,102.218,102.519,103.114,103.579,104.247,104.585,105.055,105.458,105.917,106.664,107.415,108.502,109.309,110.088,111.003,111.465,111.946,112.995,113.696,114.149,114.938,115.495,116.612,117.494,117.916,118.605,119.02,119.739,119.937
"22","14","  Housing","B174RA3",12.09,12.436,12.722,12.761,12.922,13.094,13.254,13.446,13.632,13.879,14.122,14.34,14.507,14.841,15.07,15.386,15.624,15.922,16.202,16.41,16.689,16.943,17.204,17.452,17.679,17.905,18.12,18.231,18.487,18.756,18.976,19.199,19.41,19.669,19.949,20.169,20.422,20.674,20.866,21.162,21.399,21.729,21.995,22.254,22.569,22.759,22.985,23.149,23.574,23.89,24.295,24.656,24.939,25.176,25.486,25.872,26.145,26.38,26.689,27.171,27.409,27.885,28.296,28.816,28.979,29.158,29.553,29.926,30.227,30.591,30.982,31.465,31.82,32.277,32.776,33.235,33.515,33.764,34.214,34.568,34.884,35.258,35.8,36.281,36.765,37.043,37.518,38.105,38.596,39.147,39.617,40.106,40.335,40.543,40.925,41.457,41.785,42.265,42.871,43.562,44.225,44.76,45.329,46.007,46.481,47.071,47.639,48.224,48.973,49.585,50.136,50.616,50.729,51.044,51.443,51.912,52.24,52.674,53.1,53.35,53.676,53.912,54.276,54.748,55.685,56.523,57.135,57.803,58.33,58.84,59.337,59.836,60.287,60.663,61.075,61.595,62.012,62.502,62.666,62.806,62.674,62.563,62.768,63.028,63.25,63.503,64.343,65.203,65.801,66.267,67.18,68.088,68.472,69.169,69.836,70.39,70.732,70.904,71.511,72.056,72.645,72.945,73.758,74.703,74.973,75.468,76.101,76.715,77.099,77.545,77.975,78.492,79.093,79.493,79.921,80.304,80.637,81.263,81.838,82.181,82.438,82.606,82.831,83.083,83.161,83.255,83.77,84.36,85.431,85.991,86.757,87.322,87.712,88.018,88.327,88.682,88.942,89.281,89.7,90.207,90.804,91.344,91.949,92.525,93.334,93.97,94.631,95.167,96.315,96.891,97.549,98.155,98.936,99.687,100.342,101.036,101.787,102.462,102.983,103.61,103.77,103.7,103.43,103.262,103.535,103.961,104.789,105.777,106.639,107.274,108.016,108.803,109.657,110.608,111.652,112.588,113.584,114.434,115.134,115.72,116.052,116.289,116.501,116.839,116.978,117.469
"23","15","  Household operation","B186RA3",11.516,11.899,12.312,12.317,12.403,12.471,12.801,12.71,12.895,12.991,12.962,13.467,13.809,14.134,14.255,14.715,15.118,15.075,15.241,15.119,15.28,15.476,15.761,15.844,16.039,16.448,16.593,16.235,16.337,16.756,17.158,17.564,17.877,18.163,18.818,19.635,19.63,19.918,20.059,20.089,20.315,20.663,20.86,20.972,21.155,21.581,21.492,21.455,21.927,22.239,22.463,22.64,23.035,23.343,23.451,23.779,23.876,24.165,24.142,24.751,25.208,25.091,25.453,25.904,26.461,26.078,26.78,26.638,27.074,27.777,27.94,28.291,28.264,29.032,29.46,29.904,29.913,30.507,30.859,31.308,31.483,32.237,32.171,32.904,33.199,33.246,33.765,34.089,34.881,34.848,35.555,36.032,36.411,36.438,36.745,36.756,37.03,37.055,37.063,37.682,37.943,38.741,39.436,40.567,40.195,40.814,41.707,41.728,40.872,41.474,41.702,42.213,42.191,43.882,44.215,43.71,43.961,44.389,45.552,47.221,47.252,46.443,48.287,48.683,49.833,50.001,50.155,50.807,52.071,51.711,51.328,51.868,52.613,52.799,53.18,53.798,51.675,53.359,52.514,52.844,53.519,52.903,52.67,53.004,52.791,54.41,55.529,56.149,55.424,56.762,55.958,56.419,58.461,56.993,58.577,59.687,58.498,59.142,59.754,60.319,60.614,62.326,62.8,62.811,64.505,64.079,65.57,65.694,66.734,66.551,67.315,69.951,66.321,68.614,69.475,68.711,67.569,70.08,69.868,69.177,69.196,70.925,71.545,72.773,73.163,73.356,75.771,76.158,77.04,78.311,77.88,77.775,77.575,79.707,81.861,81.671,83.815,84.092,82.955,84.706,84.889,86.225,87.442,90.434,89.777,91.907,93.176,91.279,92.996,95.125,97.391,95.794,96.47,99.603,100.623,103.303,101.919,99.834,100.036,99.091,99.451,101.285,100.589,101.847,101.886,101.88,102.014,103.122,103.94,104.357,104.78,105.822,105.838,105.95,107.02,106.944,104.218,106.031,106.772,106.98,107.487,107.617,108.035,108.696,109.183,108.001
