"","Table 2#7B# Wage and Salary Disbursements by Industry, Monthly  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"11","3","  Goods-producing industries","N231RC1",1076,1077.6,1080.1,1064.4,1055,1046.4,1043.4,1028.6,1021.8,1014.7,1011.6,1012.1,1011.1,1012.6,1017.2,1014.3,1015.9,1018.3,1013.4,1009.6,1007.9,1000.9,999.6,1001.4,999.5,999.5,999.6,994.9,1000.7,1003.4,999.9,1005.5,1012.1,1018.1,1029.9,1028.7,1019.8,1018.2,1018.9,1022.8,1030.7,1030.4,1032.9,1040.2
"12","4","    Manufacturing","N552RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,671.9,669.9,668,670.4,676,675.7,677.2,682.9
"13","5","  Services-producing industries","N233RC1",3076.3,3089.4,3089.6,3083.3,3085.6,3091.9,3087,3089.2,3069,3070.6,3074.9,3084.1,3086.4,3089.8,3099.6,3099.6,3100,3113.6,3096.1,3104.7,3111.4,3111.6,3113.3,3115.4,3121.2,3137.4,3149.6,3156.8,3180.2,3190.6,3209.4,3223.7,3231.9,3246.8,3268.3,3260,3286.9,3305.8,3316,3334.7,3359.8,3360,3385.6,3397
"14","6","    Trade, transportation, and utilities","N234RC1",855.4,855.1,855.9,848.7,847.7,847.8,842.9,841,837.3,834.4,834.9,834.6,837.7,837.4,842.3,841.8,845,848.4,846,845.8,847.1,843.2,844.1,844.5,845.2,849,851.6,850.3,853.7,854.8,856.7,861.7,863.7,871.1,874.7,870,871.2,872.5,873.4,876.8,881,881.1,887,888.2
"15","7","    Other services-producing industries \1\","N235RC1",2220.9,2234.3,2233.7,2234.6,2237.9,2244.2,2244.2,2248.2,2231.7,2236.2,2240.1,2249.6,2248.7,2252.4,2257.2,2257.8,2255,2265.3,2250.1,2258.9,2264.3,2268.5,2269.2,2271,2276,2288.3,2298,2306.5,2326.5,2335.8,2352.7,2362,2368.1,2375.6,2393.6,2389.9,2415.6,2433.2,2442.6,2457.9,2478.8,2478.9,2498.5,2508.9
"16","8","Government","B202RC1",793.5,798.9,801.8,805.3,808.7,813.5,817.8,822.4,826.4,831,835.3,836,846.6,851.2,854.3,856.2,860.3,862.7,862.9,868,869.5,871.8,873.1,874.8,883.9,888.5,890.9,893.4,896.7,903.2,900.1,902,901.3,902.2,904.3,908.6,914.7,917.3,920,925.2,922,923.2,925.3,928.2
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1. Other services-producing industries consists of information; finance and insurance; real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","estate and rental and leasing; professional, scientific, and technical services; management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","of companies and enterprises; administrative and support and waste management and remediation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","services; educational services; health care and social assistance; arts, entertainment, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","recreation; accommodation and food services; and other services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Note. Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
