"","Table 5U# BEA Retail and Food Service Sales","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
"25","18","S2 EN4453ZZMA     Beer, wine, liquor stores","T050180",22990,22812,23409,23316,24530,25474,27029,28299,30685,31941,32597,33702
"26","19","S1 EN448ZZZMA   Clothing and clothing accessories stores","T050190",127406,132196,136782,139223,144761,148502,157899,168936,177083,176015,180268,187196
"27","20","S2 EN4481ZZMA     Clothing stores","T050200",91026,93884,96084,96749,99967,104103,110867,118643,125102,125546,128618,133269
"28","21","S2 EN4482ZZMA     Shoe stores","T050210",19188,19572,20454,20881,21772,21942,22738,23216,23342,23224,23301,23587
"29","22","S3 EN4483ZZMA     Jewelry, luggage, and leather goods stores","T050220",17192,18740,20244,21594,23023,22457,24294,27077,28639,27245,28349,30340
"30","23","S1 EN452ZZZMA   General merchandise stores","T050230",265118,284175,304731,321195,336965,353643,375445,406762,431086,454925,476457,496921
"31","24","S1 EN4521ZZMA     Department stores","T050240",189819,200949,213032,220593,227299,235440,239277,247044,248328,243757,235551,226421
"32","25","S2 EN4529ZZMA     Other general merchandise stores","T050250",75299,83226,91698,100601,109666,118203,136168,159718,182758,211169,240906,270500
"33","26","S1 EN44EZZZMA   Other retail stores","T050260",448238,474607,511771,544887,591440,623076,644966,706600,789579,794183,810422,858178
"34","27","S1 EN446ZZZMA     Health and personal care stores","T050270",93084,95953,99731,105056,112979,121996,133453,147131,160641,171809,184702,195949
"35","28","S1 EN447ZZZMA     Gasoline stations","T050280",160921,167042,176122,186302,199967,205252,196941,217064,252864,251891,250453,274654
"36","29","S1 EN451ZZZMA     Sporting goods, hobby, book, and music stores","T050290",52273,55472,60953,64554,67867,69389,73511,78382,81756,83523,84779,83940
"37","30","S4 EN4511ZZMA       Sporting goods, hobby, and musical instrument stores","T050300",36207,38136,41759,43645,45894,46614,49412,52875,55881,57060,58152,57631
"38","31","S4 EN4512ZZMA       Book, periodical, and music Stores","T050310",16067,17336,19194,20908,21973,22774,24099,25507,25876,26463,26627,26308
"39","32","S1 EN453ZZZMA     Miscellaneous store retailers","T050320",58725,65752,74122,81041,88293,96129,104672,110997,114344,109841,109203,109664
"40","33","S3 EN4531ZZMA       Florists","T050330",6791,6819,6985,7040,7556,7753,8094,8371,8833,8588,8268,8842
"41","34","S3 EN4532ZZMA       Office supplies, stationery, and gift stores","T050340",22820,25397,28861,31187,32840,35736,39476,42689,45136,43094,42639,42390
"42","35","S4 EN4533ZZMA       Used merchandise stores","T050350",6003,6602,6600,7148,7845,8690,9768,10224,10811,10405,10572,11278
"43","36","S4 EN4539ZZMA       Other miscellaneous store retailers","T050360",23110,26934,31675,35667,40052,43950,47335,49713,49564,47754,47725,47154
"44","37","S1 EN454ZZZMA     Nonstore retailers","T050370",83235,90388,100844,107934,122333,130311,136389,153027,179974,177119,181286,193971
"45","38","S2 EN4541ZZMA       Electronic shopping and mail-order houses","T050380",36015,41592,48097,53872,62484,71606,81160,94519,112407,111235,116512,123306
"46","39","S4 EN4542ZZMA       Vending machine operators","T050390",7252,7066,7179,6971,7706,8016,8437,9171,9946,9545,10148,9872
"47","40","S4 EN4543ZZMA       Direct selling establishments","T050400",39968,41730,45568,47090,52143,50689,46791,49336,57621,56339,54626,60793
"48","41","S1 EN722ZZZMA Food services and drinking places","T050410",215104,228275,238432,246973,256758,272466,287897,302269,323569,337009,351527,375866
"49","42","S4 EN7221ZZMA   Full-service restaurants","T050420",91799,96992,102983,105473,110855,121398,126775,132968,140995,145558,152632,165395
"50","43","S4 EN7222ZZMA   Limited-service eating places","T050430",92611,100250,104187,109194,112412,115566,123539,129010,138718,146765,153964,165136
"51","44","S4 EN7223ZZMA   Special food Services","T050440",17717,18216,18846,19162,19823,21397,22780,24803,27285,27816,27349,27459
"52","45","S4 EN7224ZZMA   Drinking places (alcoholic beverages)","T050450",12978,12817,12416,13143,13667,14105,14803,15489,16571,16870,17582,17876
"53",NA,"              Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","46","S1 EN04472BMA   Retail and food services except motor vehicle and parts dealers","T050460",1708686,1797393,1914293,2000714,2111551,2211415,2317135,2490478,2671913,2745186,2829647,2977353
"55","47","S1 EN44GZZZMA   Retail trade except motor vehicle and parts dealers","T050470",1493581,1569118,1675861,1753741,1854793,1938949,2029238,2188209,2348344,2408177,2478120,2601488
"56","48","S2 EN44BZZZMA   GAFO-Department store merchandise stores\1\","T050480",571008,609980,658333,694053,728206,759569,809469,873087,923300,944351,978137,1013719
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","S1=Based on Census advance data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","S2=Based on Census preliminary and final data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","S3=Based on unpublished Census data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","S4=Based on unpublished Census data, seasonally adjusted by BEA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","1. Includes industries EN442ZZZMA, EN443ZZZMA, EN448ZZZMA, EN451ZZZMA,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","EN452ZZZMA, and EN4532ZZMA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
