"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55"
"11","3","  Durable goods manufacturing industries","PK30D3",98.468,98.211,97.833,97.479,97.188,96.795,96.508,96.235,95.86,95.737,95.629,95.717,95.843,95.781,95.864,95.723,95.588,95.505,95.397,94.935,94.903,94.846,94.749,94.723,94.642,94.448,94.571,94.936,95.697,97.26,98.137,99.017,99.825,99.786,99.942,100.424,101.535,102.785,103.688,104.205,104.554,105.148,105.095,105.093,106.095,108.414,110.314,109.26,107.695,106.861,107.193,108.139
"12","4","    Wood product manufacturing","PK3213",88.219,89.324,89.258,90.228,90.271,89.366,89.502,89.114,89.537,90.75,92.676,90.907,91.151,89.399,87.9,88.172,87.575,89.486,88.851,87.523,87.691,87.566,87.492,87.624,87.738,87.97,91.546,94.657,95.76,99.771,99.903,98.347,99.834,99.553,99.815,100.731,101.1,100.391,98.682,98.14,98.747,98.656,99.454,98.644,97.694,99.336,100.455,99.774,96.69,94.693,95.899,96.341
"13","5","    Nonmetallic mineral product manufacturing","PK3273",84.155,84.393,84.496,84.735,84.513,85.264,86.052,86.419,86.873,87.401,87.902,88.331,88.687,88.861,88.83,88.812,89.23,89.486,89.738,90.138,89.821,90.052,90.42,90.589,90.578,90.764,90.918,91.259,91.789,92.866,94.514,95.816,97.651,98.965,100.72,102.497,105.626,107.128,108.398,108.613,109.414,109.908,109.757,110.021,110.509,111.333,112.893,114.333,115.344,114.82,114.065,113.379
"14","6","    Primary metal manufacturing","PK3313",80.146,80.526,80.439,80.338,79.522,78.501,77.074,75.631,73.989,73.585,74.096,75.331,76.999,77.294,77.125,76.506,75.571,74.487,73.767,72.964,72.883,73.72,75.035,75.874,76.108,75.458,75.68,77.531,83.051,90.263,94.786,99.466,102.474,99.254,96.55,101.71,107.149,113.732,120.423,121.889,120.356,125.806,123.146,121.853,127.259,140.918,146.909,127.05,110.223,104.829,110.868,117.658
"15","7","    Fabricated metal product manufacturing","PK3323",84.939,85.219,85.511,85.753,85.965,86.218,86.336,86.458,86.433,86.525,86.668,87.005,87.314,87.631,87.846,88.027,88.307,88.462,88.526,88.608,88.703,88.792,88.995,89.092,89.174,89.192,89.368,89.664,91.392,94.562,96.375,97.593,99.014,99.866,100.131,100.928,102.137,103.455,105.224,106.307,107.674,108.668,109.031,109.937,112.237,116.166,119.728,120.29,119.33,117.099,116.049,115.835
"16","8","    Machinery manufacturing","PK3333",88.909,89.184,89.433,89.623,89.901,90.153,90.417,90.643,90.952,91.196,91.324,91.473,91.679,91.859,92.165,92.302,92.644,92.945,93.172,93.354,93.499,93.608,93.78,94.02,94.124,94.303,94.495,94.746,95.232,96.041,96.819,97.621,98.82,99.709,100.377,101.022,101.971,102.624,103.513,104.49,105.612,106.213,106.682,107.431,108.498,109.903,112.393,113.791,114.274,114.334,114.516,114.786
"17","9","    Computer and electronic product manufacturing","PK3343",146.177,143.28,140.619,138.4,136.211,133.635,131.645,129.881,127.936,126.305,124.344,123.281,121.701,120.658,120.554,119.775,118.715,117.416,115.911,115.106,114.261,113.255,111.931,110.526,108.415,107.704,105.766,104.429,103.422,103.012,102.341,101.64,100.835,100.305,99.957,98.941,98.371,98.799,98.774,98.409,97.259,95.923,94.384,93.262,92.687,92.699,92.619,92.416,91.836,91.589,91.594,91.583
"18","10","    Electrical equipment, appliance, and component manufacturing","PK3353",94.037,94.394,94.246,94.019,93.873,93.968,94.022,93.815,93.495,93.373,93.726,93.897,94.149,94.255,94.394,94.329,94.31,94.266,94.07,93.92,93.883,93.673,93.622,93.432,93.24,93.131,93.101,93.289,94.076,95.813,96.374,97.14,98.747,99.449,99.992,101.757,103.453,106.82,109.107,109.277,109.076,111.137,112.491,113.211,114.726,116.473,117.97,116.7,115.562,116.013,116.877,118.275
"19","11","    Transportation equipment manufacturing","PK3363",96.343,96.108,95.842,95.332,95.446,95.419,95.495,95.704,95.656,95.758,95.701,96.11,96.418,96.703,96.905,96.782,96.789,96.95,97.489,96.522,96.775,96.727,96.375,96.471,96.985,96.646,97.182,97.771,97.924,98.559,98.906,99.811,100.019,99.889,100.421,99.69,100.284,100.842,100.471,101.025,101.685,101.795,102.507,102.555,102.96,103.876,105.024,106.167,106.122,106.032,105.718,107.036
"20","12","      Motor vehicle and parts manufacturing","PK3MV3",101.334,101.002,100.545,99.843,99.934,99.666,99.862,99.947,99.864,100.034,99.852,100.215,100.242,100.408,100.487,100.116,99.89,99.959,100.522,98.995,99.237,99.162,98.449,98.444,98.902,98.233,98.72,99.21,99.187,99.801,99.803,100.647,100.413,100.003,100.485,99.128,99.389,99.843,99.095,99.523,100.065,100.084,100.754,100.462,100.717,101.342,102.212,103.55,103.157,103.484,102.776,104.352
"21","13","      Other transportation equipment manufacturing","PK3OT3",83.861,83.811,83.952,83.881,84.048,84.555,84.384,84.86,84.897,84.836,85.069,85.57,86.551,87.117,87.607,88.074,88.622,88.998,89.489,89.749,90.049,90.078,90.692,91.054,91.683,92.247,92.916,93.783,94.465,95.155,96.445,97.502,98.925,99.543,100.21,101.127,102.62,103.477,104.112,104.99,105.933,106.267,107.077,107.901,108.623,110.097,111.741,112.561,113.048,112.397,112.587,113.601
"22","14","    Furniture and related product manufacturing","PK3373",87.922,88.151,88.41,88.671,88.995,89.224,89.339,89.628,89.914,90.173,90.656,90.974,91.301,91.732,92.044,92.351,92.658,92.989,93.209,93.324,93.409,93.551,94.05,94.341,94.486,94.723,94.751,94.824,95.169,95.787,96.647,97.76,98.801,99.642,100.346,101.186,102.129,102.647,103.155,103.674,104.361,104.725,104.806,105.362,106.237,108.006,110.587,112.097,112.821,112.781,113.18,113.378
"23","15","    Miscellaneous durable goods manufacturing","PK3393",89.424,89.669,89.843,89.933,90.02,90.081,90.359,90.643,90.696,90.914,90.877,91.172,92.051,91.984,92.741,93.052,93.643,93.955,94.326,94.533,94.645,94.902,95.161,95.515,96.088,96.463,96.768,96.874,97.102,97.55,98.267,98.611,99.367,99.881,100.383,100.371,100.992,101.646,102.117,102.706,104.189,104.627,104.934,105.685,106.517,107.41,108.893,109.279,110.121,110.307,110.228,110.533
"24","16","  Nondurable goods manufacturing industries","PK30N3",77.35,76.36,76.056,76.372,75.554,75.234,74.819,74.591,74.567,75.638,77.079,78.576,80.526,81.267,82.121,83.147,83.375,83.643,82.442,80.313,79.73,80.944,82.086,83.261,86.36,84.685,85.494,86.792,88.603,90.603,91.835,94.875,96.511,97.597,101.009,104.919,104.945,106.914,107.221,106.146,107.829,110.996,112.06,118.38,123.373,128.209,133.937,120.186,112.86,116.107,118.866,120.94
"25","17","    Food manufacturing","PK3113",88.685,89.358,88.49,87.971,86.752,86.705,87.12,86.559,86.058,85.203,85.683,86.09,86.085,87.265,86.715,87.207,88.559,90.009,90.855,89.793,89.122,88.39,89.615,89.385,91.293,92.224,93.769,97.166,96.999,101.612,99.091,98.384,99.474,100.133,99.795,100.596,99.778,99.046,100.727,102.16,105.445,108.533,109.611,111.473,115.651,119.115,123.436,119.155,115.147,115.744,115.156,116.455
"26","18","    Beverage and tobacco product manufacturing","PK3123",68.985,69.95,70.276,70.987,71.578,73.227,74.245,77.376,82.626,82.886,84.405,86.664,86.873,87.509,88.53,89.13,92.07,93.621,94.432,95.193,94.941,96.58,96.802,96.297,94.599,94.465,94.566,95.268,96.13,96.24,96.23,96.723,99.165,99.748,100.393,100.623,101.374,101.976,101.443,101.808,103.332,104.294,104.99,106.044,107.318,108.624,109.892,110.791,113.457,114.125,114.428,115.274
"27","19","    Textile mills","PK3133",101.624,101.924,102.313,102.309,102.25,102.099,101.679,100.603,99.439,98.483,97.826,97.928,98.061,98.056,98.406,98.385,98.351,98.013,97.167,96.435,95.483,95.603,95.756,95.525,95.295,95.511,95.443,95.55,95.717,96.628,97.076,97.408,98.67,99.534,100.295,101.67,103.132,103.599,103.941,104.315,104.37,104.549,105.697,106.329,107.499,108.485,110.468,110.277,108.748,109.102,109.105,109.484
"28","20","    Textile product mills","PK3143",91.974,91.504,92.065,92.566,92.667,92.682,92.499,92.415,91.977,92.124,92.164,92.362,92.448,93.228,93.324,93.655,94.214,94.313,94.256,94.31,94.258,94.225,94.667,94.323,94.2,95.192,95.493,95.844,94.888,95.662,96.884,98.174,98.715,99.763,100.205,101.337,102.64,102.125,103.055,103.677,103.904,104.087,104.638,104.968,105.27,105.854,107.885,108.819,108.854,109.572,108.888,109.031
"29","21","    Apparel manufacturing","PK3153",99.026,99.183,99.493,99.601,99.805,99.857,100.057,100.25,100.288,100.329,100.264,100.482,100.504,100.64,100.852,100.91,100.903,100.751,100.751,100.675,100.299,99.985,100.025,100.242,99.929,99.838,99.75,99.933,99.814,99.93,99.908,100.556,100.195,99.895,100.052,99.859,100.112,100.215,100.312,100.724,101.343,101.41,101.448,101.684,101.98,102.403,102.857,103.565,104.049,104.442,104.384,104.3
"30","22","    Leather and allied product manufacturing","PK3163",93.448,93.12,92.617,93.489,93.078,92.676,92.79,92.429,91.885,91.955,92.345,92.715,93.169,93.103,93.546,94.659,95.892,97.819,97.319,96.019,95.804,96.231,97.576,97.905,98.225,98.406,98.61,99.37,99.713,99.501,99.59,99.61,99.825,99.948,100.086,100.161,100.493,101.326,101.57,102.028,103.034,103.457,103.643,104.363,105.47,105.753,106.68,106.731,106.613,105.933,105.861,105.112
"31","23","    Paper manufacturing","PK3223",85.951,84.759,85.776,88.031,89.311,88.732,88.047,86.52,85.791,87.072,88.868,90.713,92.002,95.125,95.706,95.82,95.649,95.386,94.412,93.474,92.664,92.114,92.608,93.487,93.37,93.455,93.258,92.953,92.458,94.256,97.118,98.585,99.535,100.28,99.825,100.36,102.71,104.965,106.602,107.153,107.477,107.597,108.099,110.202,111.804,113.207,116.891,119.41,117.953,115.143,112.841,112.487
"32","24","    Printing and related support activities","PK3233",89.253,89.385,89.804,90.866,91.26,91.591,91.762,92.026,91.868,92.132,92.367,92.826,93.23,94.406,95.212,95.729,96.093,96.444,96.241,96.095,96.095,96.08,96.117,96.121,96.415,96.598,96.585,96.7,96.923,97.562,98.212,98.85,99.327,99.578,100.316,100.796,101.695,102.27,102.734,103.35,103.387,103.809,104.339,104.967,105.874,106.777,107.787,108.185,107.611,106.905,105.501,105.988
"33","25","    Petroleum and coal product manufacturing","PK3243",47.705,41.868,40.458,41.021,36.743,33.811,31.335,30.858,30.683,36.352,40.997,45.144,54.209,54.045,56.928,60.667,57.693,56.893,51.833,43.586,42.427,48.252,50.905,56.222,68.841,55.768,58.975,61.102,68.888,70.5,75.121,86.034,88.003,90.194,105.515,117.42,114.16,123.641,121.358,112.998,116.269,126.433,127.601,153.399,166.853,178.511,188.135,120.599,94.054,112.891,128.962,135.439
"34","26","    Chemical manufacturing","PK3253",79.664,79.653,79.803,80.007,80.335,81.079,80.983,80.732,80.37,80.566,81.366,82.479,82.794,83.361,84.332,84.823,85.956,85.878,84.44,83.844,83.698,84.112,85.042,85.707,87.115,88.48,87.971,88.253,89.462,90.888,93.013,95.729,97.947,99.037,99.71,103.248,104.831,104.834,105.574,105.988,106.682,108.007,109.426,111.681,115.377,120.311,128.008,126.873,122.98,122.026,122.954,124.654
"35","27","    Plastics and rubber product manufacturing","PK3263",87.137,87.289,87.21,87.11,87.105,86.965,86.596,86.349,86.261,86.696,87.236,87.771,88.132,88.453,89.15,89.554,89.83,90.112,89.753,89.385,88.992,89.488,89.907,89.941,90.904,92.12,91.762,91.627,92.131,92.914,93.96,95.945,98.082,99.147,99.724,102.977,104.702,104.664,105.308,105.605,105.103,105.301,106.032,106.917,109.131,111.064,114.733,115.502,112.982,111.732,111.602,112.154
"36","28","Merchant wholesale industries","PK42W3",95.785,94.608,93.794,93.482,91.827,90.524,89.175,88.513,88.033,88.687,89.454,90.254,91.604,91.772,91.611,92.252,91.688,91.196,90.361,88.853,88.74,89.083,90.036,90.67,92.206,90.933,91.35,92.779,94.458,95.575,96.199,97.948,98.575,98.864,100.374,102.112,102.432,104.082,104.441,104.758,106.21,107.722,108.372,112.758,116.587,120.291,122.597,111.891,107.224,108.472,110.189,114.131
"37","29","  Durable goods merchant wholesale industries","PK42WD3",112.833,111.995,111.005,109.994,108.592,107.064,105.519,104.308,103.357,102.724,102.492,102.49,102.392,101.996,101.44,100.867,99.436,98.936,98.261,97.217,96.838,96.762,96.515,96.347,96.168,95.893,95.934,96.502,97.661,98.507,99.529,100.352,100.408,99.866,99.683,100.05,100.88,101.909,101.94,102.058,102.608,102.907,102.899,103.354,104.425,107.01,108.147,103.835,102.086,101.486,102.662,103.588
"38","30","    Motor vehicles, parts, and supplies wholesalers","PK42113",102.528,102.032,101.233,100.243,100.397,100.181,100.487,100.883,100.746,101.019,101.037,101.516,101.387,101.729,101.758,101.8,101.553,101.327,101.903,100.367,100.387,99.938,98.968,99.031,99.559,98.531,98.363,98.696,98.481,98.767,98.649,99.965,99.946,100.051,101.032,99,99.777,100.379,97.767,98.197,98.439,98.475,99.012,99.125,99.489,99.692,99.881,100.743,100.468,101.65,102.7,102.298
"39","31","    Furniture and home furnishings wholesalers","PK42123",90.34,90.255,90.615,90.821,91,91.103,90.906,91.109,91.003,91.205,91.362,91.606,91.93,92.333,92.648,92.994,93.141,93.256,93.084,93.219,93.373,93.333,93.825,94.004,94.049,94.555,94.751,94.945,94.679,95.607,96.693,97.933,98.755,99.757,100.26,101.173,102.403,102.451,103.308,103.859,104.814,105.259,105.532,106.093,106.75,107.919,109.693,110.87,111.372,111.595,111.43,111.517
"40","32","    Lumber and other construction materials wholesalers","PK42133",89.323,90.188,89.66,88.971,87.679,86.418,86.171,86.277,87.581,89.121,91.282,90.235,90.395,88.994,87.406,87.83,86.933,89.103,88.903,87.762,88.065,88.025,88.075,88.399,88.152,88.267,90.274,92.13,93.954,98.404,100.674,98.977,99.784,99.531,99.281,101.31,102.955,102.147,100.348,99.436,99.542,98.684,99.082,99.017,97.563,99.281,102.75,103.725,100.832,99.945,101.132,102.243
"41","33","    Professional and commercial equipment wholesalers","PK42143",236.295,227.907,219.27,211.893,201.369,191.243,182.232,174.135,166.996,161.128,156.544,153.05,150.176,147.302,145.349,142.823,134.593,131.519,127.74,123.722,121.344,119.665,117.42,115.351,112.955,111.626,110.38,109.52,108.91,107.93,106.334,104.806,103.064,101.027,99.092,97.179,95.536,93.819,92.309,91.317,90,89.102,87.704,86.764,85.571,84.998,84.39,83.664,82.749,81.668,80.866,79.842
"42","34","      Computers and software wholesalers","PK42433",460.356,430.493,403.108,379.903,348.935,321.269,297.448,275.863,257.699,242.779,231.545,223.242,216.274,209.338,204.167,198.171,179.939,172.642,163.719,154.511,149.102,145.708,140.581,135.86,130.122,127.062,124.226,121.544,119.537,117.323,113.876,110.605,106.308,102.165,98.077,94.221,90.915,87.396,84.304,82.226,80.145,77.663,75.016,73.215,70.789,69.399,68.04,66.704,64.955,63.037,61.885,60.534
"43","35","      Other professional and commercial equipment wholesalers","PK424X3",93.342,93.605,93.395,93.539,93.583,93.46,93.42,93.531,93.536,93.907,94.139,94.259,94.243,94.419,94.865,95.007,94.782,95.046,95.337,95.538,95.678,95.437,95.678,95.931,96.338,96.488,96.611,97.352,98.083,98.285,98.47,98.635,99.47,99.73,100.223,100.513,100.819,101.196,101.587,101.966,101.622,102.832,103.198,103.524,104.201,104.851,105.386,105.589,106.068,106.461,106.361,106.126
"44","36","    Metal and mineral (except petroleum) wholesalers","PK42153",73.998,74.184,74.365,74.02,73.001,72.235,70.444,67.923,66.399,66.329,67.049,68.501,70.284,70.44,70.242,68.727,68.127,67.098,66.455,65.34,65.403,67.318,69.303,70.255,70.921,70.868,71.375,73.922,82.394,89.118,96.323,101.51,102.491,99.184,96.742,101.517,105.809,112.765,117.758,117.755,119.803,125.441,123.701,123.52,132.73,155.161,162.295,128.553,113.346,106.113,113.897,120.934
"45","37","    Electrical goods wholesalers","PK42163",113.164,112.643,112.243,111.34,110.492,109.952,109.182,109.213,109.156,108.55,107.927,107.52,107.059,106.96,106.686,106.225,105.728,105.105,104.553,104.336,104.344,103.858,103.402,102.976,102.497,102.327,101.956,101.52,100.604,100.474,100.039,99.997,100.318,100.207,99.935,99.557,99.765,100.983,101.744,101.924,101.313,100.571,100.321,100.231,100.474,100.762,101.074,101.182,100.989,100.987,100.822,100.941
"46","38","    Hardware and plumbing and heating equipment wholesalers","PK42173",87.475,87.654,87.757,88.006,88.129,88.156,88.161,88.329,88.423,88.663,89.019,89.321,89.623,90.005,90.276,90.31,90.722,90.903,91.077,91.443,91.516,91.544,91.638,91.67,92.187,92.413,92.594,92.922,93.837,94.813,95.902,97.107,99.023,99.626,100.133,101.137,101.704,102.975,104.704,106.238,107.602,108.751,109.258,109.734,111.151,113.671,116.697,117.673,116.52,115.73,115.377,116.013
"47","39","    Machinery, equipment, and supplies wholesalers","PK42183",87.622,87.74,87.881,88.102,88.36,88.444,88.545,88.907,89.111,89.203,89.226,89.505,89.757,89.866,90.087,90.237,90.507,90.735,90.87,91.087,91.122,91.266,91.658,91.872,92.193,92.514,92.828,93.221,93.914,94.898,95.767,97.057,98.527,99.803,100.436,101.149,102.109,102.891,103.901,104.696,105.814,106.596,107.277,108.099,109.39,110.945,113.081,114.345,114.97,114.862,114.611,114.796
"48","40","    Miscellaneous durable goods wholesalers","PK42193",92.42,92.122,91.988,92.169,91.727,90.534,88.49,87.134,86.8,86.841,88.399,90.872,91.767,91.482,89.788,88.948,87.641,87.273,86.504,86.03,85.428,86.71,87.382,87.969,88.519,88.988,89.561,92.194,96.767,95.478,99.11,101.627,99.894,98.2,99.108,102.707,105.328,109.339,110.694,111.234,115.598,116.182,117.761,122.33,126.169,132.758,132.934,110.522,107.353,107.823,115.391,122.026
"49","41","  Nondurable goods merchant wholesale industries","PK42WN3",80.475,79.036,78.366,78.624,76.787,75.693,74.531,74.338,74.264,76.025,77.66,79.167,81.813,82.482,82.67,84.403,84.628,84.142,83.166,81.258,81.373,82.079,84.078,85.409,88.416,86.293,87.042,89.234,91.376,92.749,92.996,95.631,96.81,97.904,101.069,104.182,103.99,106.277,106.971,107.493,109.88,112.647,113.968,122.403,129.098,133.967,137.496,120.307,112.859,115.779,118.002,124.801
"50","42","    Paper and paper products wholesalers","PK42213",84.631,82.928,84.787,87.862,88.875,87.806,86.573,84.504,83.838,85.11,87.707,90.067,92.254,96.338,97.206,97.615,97.305,95.635,93.27,92.053,91.056,90.005,91.066,92.12,92.183,92.726,92.005,91.559,91.153,94.112,97.77,98.777,100.28,100.642,99.06,100.059,103.032,106.213,108.82,109.359,109.446,109.321,110.001,112.524,114.621,116.189,120.913,122.961,120.227,115.879,112.818,111.842
"51","43","    Drugs and druggists' sundries wholesalers","PK42223",80.601,80.199,80.542,81.24,83.056,85.929,86.656,87.265,87.256,87.416,88.382,89.016,89.189,89.228,89.823,89.982,90.272,90.27,90.221,90.633,90.838,91.144,91.741,92.306,92.589,93.177,93.754,94.427,95.265,95.954,96.131,97.055,98.191,99.479,100.872,101.428,102.175,102.689,103.376,104.019,104.973,105.531,106.562,107.615,108.822,110.235,111.652,112.955,114.279,115.355,116.59,117.712
"52","44","    Apparel, piece goods, and notions wholesalers","PK42233",100.738,100.975,101.186,101.309,101.641,101.459,101.288,101.173,100.889,100.744,100.668,100.595,100.712,100.551,100.516,100.413,100.585,100.694,100.448,99.988,99.393,98.879,98.738,99.014,99.205,99.339,99.34,99.472,99.541,99.58,99.576,99.636,99.807,99.847,100.168,100.176,100.395,100.585,100.712,100.832,101.155,101.279,101.468,101.767,102.104,102.426,103.051,103.485,103.772,103.846,103.65,103.515
"53","45","    Grocery and related products wholesalers","PK42243",88.02,87.676,87.062,87.815,87.46,87.457,87.578,87.893,88.364,88.205,88.328,88.468,88.243,88.885,88.228,89.111,90.344,90.979,90.972,91.261,92.778,90.083,90.131,90.229,91.466,92.333,93.303,95.711,94.713,97.084,96.67,99.869,99.496,100.101,99.228,101.166,100.769,100.866,103.464,104.388,107.392,108.601,108.39,111.444,113.614,114.905,116.47,117.405,115.29,114.786,114.305,117.518
"54","46","    Farm product raw material wholesalers","PK42253",121.189,124.164,120.721,117.467,111.036,105.122,98.479,96.436,92.495,90.446,87.143,85.672,90.958,92.782,85.462,92.973,93.426,88.791,92.891,88.73,88.202,87.204,105.882,106.262,103.556,104.658,104.123,117.254,121.723,123.055,108.141,98.264,99.772,99.05,100.61,100.553,99.13,101.676,106.606,132.483,137.221,137.168,145.26,174.503,207.012,214.372,210.232,158.223,147.546,157.211,145.591,155.58
"55","47","    Chemical and allied products wholesalers","PK42263",75.298,74.636,74.939,74.868,74.512,74.263,73.818,73.531,72.833,72.804,73.647,75.127,76.266,77.366,78.56,78.588,79.891,79.29,77.295,76.007,75.572,77.245,78.377,79.407,83.067,82.756,82.436,83.017,85.597,87.443,91.19,94.865,96.673,97.451,99.725,106.407,107.694,109.504,111.555,109.619,110.158,112.951,114.618,119.63,125.138,133.889,143.753,127.024,119.152,119.583,123.328,127.935
"56","48","    Petroleum and petroleum products wholesalers","PK42273",48.783,42.065,40.557,41.174,35.327,32.021,29.381,28.553,28.34,35.634,41.616,46.538,55.674,55.422,58.093,61.432,58.636,57.611,53.107,45.72,45.006,50.632,52.924,57.86,69.889,57.426,60.291,62.563,69.979,71.683,76.108,86.484,88.287,90.762,105.345,115.856,113.242,121.997,119.318,111.695,115.198,124.751,126.598,151.189,164.848,176.889,184.015,119.99,94.887,105.525,122.583,147.498
"57","49","    Beer, wine, and distilled alcoholic beverages wholesalers","PK42283",85.462,85.672,85.307,84.665,85.208,85.145,85.059,85.944,86.217,85.902,86.424,86.426,86.995,88.315,89.482,89.982,91.153,91.644,91.729,92.383,92.442,92.591,92.675,93.333,93.328,94.043,93.752,94.628,97.595,96.046,95.739,96.249,99.658,99.827,100.058,100.457,101.38,101.93,100.373,100.436,100.507,100.649,101.215,102.035,103.754,104.559,104.791,105.905,108.069,108.535,108.347,109.907
"58","50","    Miscellaneous nondurable goods wholesalers","PK42293",80.012,80.32,79.942,79.805,78.857,78.748,79.028,80.217,82.13,82.323,83.056,84.417,85.087,85.434,85.931,87.25,90.265,90.142,89.742,89.501,89.394,90.764,91.982,91.655,91.779,92.774,92.046,93.544,95.268,96.158,95.822,95.985,97.909,99.659,100.676,101.858,103.04,103.169,103.054,104.547,108.204,110.887,112.109,114.684,121.441,129.651,140.057,136.62,126.468,128.301,124.945,126.716
"59","51","Retail trade industries","PK443",94.454,94.082,93.92,93.831,93.146,92.748,92.869,92.72,92.664,93.575,94.407,94.73,95.654,96.114,96.304,96.605,96.714,97.014,96.487,95.319,94.915,95.734,95.808,95.872,96.531,95.188,95.752,95.768,96.818,97.654,97.742,98.746,98.858,99.252,100.72,101.151,101.222,101.732,102.087,100.798,101.541,102.245,102.295,103.672,104.736,105.56,106.967,102.793,101.067,101.509,102.555,103.172
"60","52","  Motor vehicle and parts dealers","PK4413",97.88,97.559,97.476,97.53,97.188,96.755,97.229,97.576,97.628,97.71,98.461,98.602,98.607,99.141,98.908,99.449,99.957,99.941,99.827,100.102,99.783,99.801,100.057,99.997,98.928,98.493,97.884,96.865,97.493,98.208,97.827,98.681,99.345,99.948,99.967,100.771,101.086,101.185,101.395,101.151,100.943,100.87,101.013,101.488,101.506,101.223,101.137,99.956,99.618,100.596,101.287,102.959
