"","Table 5#4#5U# Private Fixed Investment in Structures by Type    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"43","35","Residential","A012RC0",27209,28219,27749,26975,27815,25599,24795,24815,24842,25014,26386,27274,27842,28701,28645,28556,29608,31638,31859,33071,34790,33544,33069,33181,33207,33508,33615,33790,34107,32523,31218,28528,27672,30971,32701,35240,36064,37344,37984,40020,42277,42390,42182,39592,39623,38303,39251,43799,47400,53322,57051,60171,65136,66736,67986,72658,76141,74021,73302,70964,67101,65569,65428,58226,55847,58024,62704,66669,74112,78557,78464,90311,95489,109360,112501,114250,118366,127863,133096,136135,135555,137516,140176,138057,130608,108462,112883,127307,127725,125309,116766,105984,101189,99258,99746,107771,127174,142930,158086,166343,172060,176649,176633,178138,178403,180148,183698,190216,200882,214361,220512,222704,224488,227231,228309,231495,228490,232328,233948,238215,238395,234046,232342,228663,233012,224863,212858,201159,189474,194875,204542,208560,218506,229209,231378,242555,246586,251860,263101,278025,287470,298799,298703,298494,295423,287204,297442,306040,315518,330527,333407,331462,334449,340441,345011,351230,358439,371759,386840,399912,406235,415063,421998,430648,441528,442688,438247,442284,450352,462490,472893,471921,483603,498307,503294,519838,537015,549514,581393,608566,628625,666504,687390,703274,725284,754732,782865,797785,802954,774167,731371,697804,669572,644754,605286,554808,507868,483964,458662,418293,365238,336824,349616,355252
"44","36","  Permanent site","A943RC0",19623,20266,19788,19015,19492,17457,16660,16379,16369,16671,17795,18785,19237,20003,20298,20246,20951,22311,22695,23699,25270,23960,23530,23632,23381,23642,24066,24295,24652,23310,20889,18393,18380,20060,22764,24960,25340,26509,26772,28271,30057,29971,28894,27974,26379,25676,26866,29315,33070,37514,40815,43281,47553,49246,50211,53370,56208,56485,55237,50546,46524,45266,43291,38599,34935,33740,36584,40013,44273,49076,52625,57106,62617,72981,75581,77745,79067,84107,88960,90269,88297,89133,91176,88481,78952,63324,62722,73518,77669,75077,66896,58059,54617,53935,56211,63237,78195,90326,102270,109052,112970,115098,115424,114972,115051,114639,115190,118676,125595,133810,139840,141432,140921,141757,142705,145289,140883,141276,141536,145869,147616,144971,141703,138642,143705,137697,128467,118676,107393,109042,119350,122515,127179,136251,135891,140959,144231,145427,151726,162260,170104,178527,178904,178025,174600,165280,169412,176323,183031,193639,194787,192999,193921,197078,197840,203409,208880,217401,229865,239787,245191,247670,251963,260260,268491,267563,260827,263307,270522,278395,285508,283139,286584,297149,300953,310678,326239,329737,349127,377661,390922,413433,429200,436450,454215,470545,490128,508345,517522,487781,450846,419043,393450,373514,345026,304586,265463,243291,220707,190275,149373,125752,132129,133733
"45","37","    Single-family structures","A944RC0",16681,17199,16779,16125,16712,14906,14124,13722,13535,13562,14325,14934,14954,15269,15218,14975,15156,15898,16046,16804,18433,17465,17203,17495,17223,17549,18121,18463,18712,17731,15839,13990,14286,15834,17901,19247,18993,19575,19281,20231,21027,20222,19228,18307,16966,16501,17447,19250,22045,25332,27148,28699,31379,32164,32967,34882,36900,36877,35111,31836,29693,30499,30303,28305,26427,27337,30819,33973,38248,42788,45574,48830,53733,62844,64986,67293,68238,71509,75122,76206,73719,72587,73249,69472,60089,47081,47562,56952,58957,56624,49904,42376,39020,39001,40749,47078,59397,69142,78542,82974,86156,87861,86039,85524,86000,86186,86755,90459,95723,101612,108682,110508,113243,116294,118597,120730,117767,119560,119608,123437,124977,121852,118919,117968,123683,118177,109297,100387,90074,93769,105338,108528,113921,121201,123422,129361,133663,135112,140489,151228,158422,165220,163771,161822,157431,148221,151001,157407,163097,171961,175289,172814,172004,174162,175454,179096,184636,193720,205023,214257,218791,220683,223627,232247,240565,238886,233298,234403,240987,248587,255075,251695,254363,263992,267843,277358,291450,295288,313658,341904,354101,374454,387704,393969,410213,424145,441410,458272,465619,435166,398697,364506,339750,323958,297979,259053,220545,197421,176000,149138,111847,93083,105181,111671
"46","38","    Multifamily structures","C292RC0",2942,3067,3009,2890,2780,2551,2536,2657,2834,3109,3470,3851,4283,4734,5080,5271,5795,6413,6649,6895,6837,6495,6327,6137,6158,6093,5945,5832,5940,5579,5050,4403,4094,4226,4863,5713,6347,6934,7491,8040,9030,9749,9666,9667,9413,9175,9419,10065,11025,12182,13667,14582,16174,17082,17244,18488,19308,19608,20126,18710,16831,14767,12988,10294,8508,6403,5765,6040,6025,6288,7051,8276,8884,10137,10595,10452,10829,12598,13838,14063,14578,16546,17927,19009,18863,16243,15160,16566,18712,18453,16992,15683,15597,14934,15462,16159,18798,21184,23728,26078,26814,27237,29385,29448,29051,28453,28435,28217,29872,32198,31158,30924,27678,25463,24108,24559,23116,21716,21928,22432,22639,23119,22784,20674,20022,19519,19170,18288,17318,15274,14013,13987,13258,15050,12469,11598,10568,10315,11237,11032,11682,13307,15133,16202,17170,17060,18411,18916,19934,21678,19498,20185,21918,22917,22385,24312,24244,23681,24842,25530,26400,26987,28336,28013,27926,28677,27529,28904,29535,29808,30433,31444,32221,33157,33110,33320,34789,34449,35469,35757,36821,38979,41496,42481,44002,46400,48718,50073,51903,52615,52149,54537,53700,49556,47047,45533,44918,45870,44707,41137,37526,32669,26947,22063
"47","39","  Other structures","A863RC0",7586,7953,7961,7960,8323,8142,8135,8436,8473,8343,8591,8489,8605,8698,8347,8310,8657,9327,9164,9372,9520,9584,9539,9549,9826,9866,9549,9495,9455,9213,10329,10135,9292,10911,9937,10280,10724,10835,11212,11749,12220,12419,13288,11618,13244,12627,12385,14484,14330,15808,16236,16890,17583,17490,17775,19288,19933,17536,18065,20418,20577,20303,22137,19627,20912,24284,26120,26656,29839,29481,25839,33205,32872,36379,36920,36505,39299,43756,44136,45866,47258,48383,49000,49576,51656,45138,50161,53789,50056,50232,49870,47925,46572,45323,43535,44534,48979,52604,55816,57291,59090,61551,61209,63166,63352,65509,68508,71540,75287,80551,80672,81272,83567,85474,85604,86206,87607,91052,92412,92346,90779,89075,90639,90021,89307,87166,84391,82483,82081,85833,85192,86045,91327,92958,95487,101596,102355,106433,111375,115765,117366,120272,119799,120469,120823,121924,128030,129717,132487,136888,138620,138463,140528,143363,147171,147821,149559,154358,156975,160125,161044,167393,170035,170388,173037,175125,177420,178977,179830,184095,187385,188782,197019,201158,202341,209160,210776,219777,232266,230905,237703,253071,258190,266824,271069,284187,292737,289440,285432,286386,280525,278761,276122,271240,260260,250222,242405,240673,237955,228018,215865,211072,217487,221519
"48","40","    Manufactured homes","A945RC0",551,544,559,590,541,527,549,499,499,499,495,547,563,582,548,563,584,634,624,710,765,841,908,910,1001,991,1038,1070,1025,1130,1114,1067,1033,1184,1242,1377,1592,1604,1721,1983,2366,2216,2305,2446,2116,2243,2407,2498,2628,2998,3413,3569,3803,3793,3671,4509,4746,4418,4133,4247,3845,3880,3244,2383,2184,2386,2682,2892,3115,3101,3181,3495,3731,3891,4149,4873,4880,4664,4473,4587,4742,5162,5310,5202,5191,3650,4358,5217,4829,5113,5187,4615,4620,4987,4658,4975,5645,6146,6617,6657,6320,6366,6489,6209,5861,6260,6242,6077,5404,5239,5123,5533,5222,5256,5465,5210,4776,5214,5445,5445,5284,5053,4944,5091,5112,4966,4810,4704,3797,4370,4564,4769,4873,4733,5682,6881,6526,6808,7559,8499,8962,9203,9571,10531,11005,10988,11757,12665,12599,13294,13579,13292,13164,13850,14203,14238,14141,14431,14902,15308,15151,14547,13891,13628,13041,11613,10535,8870,8116,8426,9334,9934,9638,9552,9814,9048,8167,7643,8030,7807,8017,7740,8377,9380,9911,9341,9889,11300,9511,8698,7892,7163,7063,6853,6870,6787,6687,6004,5626,5083,3857,3058,3302,3472
"49","41","    Dormitories","C295RC0",230,233,246,243,233,219,233,247,279,301,322,358,451,540,555,530,476,451,445,400,495,541,580,584,593,633,627,607,618,600,598,560,510,483,470,461,443,423,406,392,380,362,337,305,270,239,217,202,191,178,159,136,113,100,101,114,133,143,140,124,106,100,113,145,186,217,226,211,177,137,100,74,57,51,58,74,94,106,108,108,55,63,70,77,92,94,100,110,225,213,188,182,238,264,278,272,336,332,326,317,406,390,420,387,306,354,402,403,403,413,416,460,614,648,602,664,630,605,592,593,600,628,665,706,817,806,744,636,386,274,205,186,264,312,371,433,531,557,547,505,359,315,301,321,430,476,514,540,523,549,587,637,708,769,821,862,838,930,942,1114,1100,1180,1341,1479,1504,1328,1296,1299,1594,1450,1549,1629,1579,1509,1358,1666,1709,1742,1833,1760,1727,1879,1700,1371,1423,1340,1551,1835,2000,2066,2098,2097,2364,2731,2866,3639,3649,3717,3864,3754,3278,3110,2141,1673
"50","42","    Improvements","A946RC0",5914,6155,6098,6081,6438,6446,6471,6837,6863,6706,6840,6551,6520,6427,6022,5935,6217,6715,6509,6591,6594,6657,6572,6629,6721,6738,6414,6423,6409,6198,7588,7741,6972,8300,7078,7186,7476,7567,7668,7813,7935,8306,9157,7334,9476,8611,7983,9906,9346,10280,10278,10552,10882,10739,10765,11090,11194,9287,10295,12568,12635,12188,14725,13324,14238,16386,17538,17258,19901,19357,15167,21619,20190,22971,22839,21092,23379,27213,27598,28310,29535,29641,30045,31715,34832,32218,33331,36199,34401,34292,35001,34730,33767,32400,30640,29677,31398,33718,35513,36531,37631,40003,40344,42118,41354,42928,43883,47090,51275,54852,55416,54273,56203,57712,58846,59635,60255,60647,60967,61201,61535,61366,60906,60165,59589,58698,56393,56763,56058,56212,56935,58233,60296,62498,64970,67610,70747,73149,75173,76775,77713,78627,79329,79885,79941,80661,81661,82946,84977,86439,87772,88936,89939,90719,91329,91817,92132,92961,94199,95836,97927,100146,102338,104413,106344,108213,109973,111578,113003,114724,116758,119123,121836,124567,127311,130070,132845,135725,138715,141815,145032,148396,151915,155597,159451,163004,166216,169065,171848,173755,174745,174801,173925,172766,171294,169483,167323,165742,164708,164196,158448,153559,154684,153490
"51","43","    Brokers' commissions on sale of structures","A758RC0",1326,1387,1370,1329,1392,1233,1177,1166,1171,1200,1304,1397,1423,1484,1525,1548,1599,1707,1755,1855,1883,1799,1780,1770,1866,1880,1896,1886,1947,1887,1692,1478,1513,1703,1920,2032,1980,1996,2162,2302,2281,2281,2241,2297,2168,2360,2662,2834,3195,3444,3516,3777,3923,3989,4354,4686,4962,4781,4587,4558,5038,5109,4912,4469,4826,5678,5968,6564,6935,7219,7769,8433,9346,9951,10401,11034,11583,12463,12646,13504,13496,14024,14071,13109,12138,9837,13084,12993,11334,11355,10253,9186,8780,8530,8811,10435,12321,13069,14028,14514,15587,15732,14951,15478,16901,17136,19326,19581,20120,22272,22193,23635,24175,24358,22889,22474,23263,25551,26192,25898,24347,23214,25495,25553,25364,24257,23996,21931,23328,26486,24989,24325,27187,26861,26047,28374,26552,28006,30157,31909,31400,33133,31585,30746,30531,30967,35367,34943,35880,38234,38464,37550,38850,40335,43317,43585,45288,49063,50120,51130,50465,55061,55776,53982,54205,55485,56731,57778,58191,60914,61640,60914,67049,68922,67445,71750,71722,78393,87404,83540,86241,97893,98496,101677,101571,111761,116545,109544,104536,104646,98844,97860,96146,92531,83131,74428,69387,69946,68492,59629,54926,55989,62004,67528
"52","44","    Net purchases of used structures","A759RC0",-435,-366,-312,-283,-281,-283,-295,-313,-339,-363,-370,-364,-352,-335,-303,-266,-219,-180,-169,-184,-217,-254,-301,-344,-355,-376,-426,-491,-544,-602,-663,-711,-736,-759,-773,-776,-767,-755,-745,-741,-742,-746,-752,-764,-786,-826,-884,-956,-1030,-1092,-1130,-1144,-1138,-1131,-1116,-1111,-1102,-1093,-1090,-1079,-1047,-974,-857,-694,-522,-383,-294,-269,-289,-333,-378,-416,-452,-485,-527,-568,-637,-690,-690,-643,-570,-507,-496,-527,-597,-661,-712,-730,-732,-741,-759,-788,-833,-857,-853,-825,-722,-662,-668,-728,-853,-941,-996,-1026,-1070,-1170,-1345,-1611,-1915,-2224,-2477,-2628,-2647,-2499,-2197,-1777,-1317,-965,-783,-791,-988,-1187,-1371,-1494,-1575,-1561,-1553,-1551,-1489,-1509,-1502,-1468,-1293,-1445,-1582,-1701,-2002,-2087,-2061,-1924,-1070,-1006,-987,-1014,-1083,-1169,-1269,-1378,-1491,-1628,-1782,-1952,-2134,-2312,-2499,-2681,-2840,-3026,-3188,-3262,-3599,-3542,-3311,-3113,-2057,-1514,-1115,-549,-1074,-1419,-1896,-2818,-3082,-3392,-3586,-3375,-3666,-3726,-3714,-4018,-3314,-2836,-2298,-1201,-1286,-1258,-1464,-2304,-2463,-2779,-3054,-3159,-3376,-3642,-3901,-4115,-4642,-4736,-4735,-4644,-4644,-4644,-4644,-4644
"53",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","45","  Private fixed investment in new structures \5\","W040RC0",43739,45281,45403,44537,46142,44200,43426,44092,44061,43957,45291,46079,47031,48623,49030,48440,48735,51600,51958,53535,55803,55694,56061,56766,57979,60253,60715,62809,63765,62360,62009,58866,58419,60808,62841,65744,67696,69092,69627,73049,76347,77344,79440,77294,77596,76971,77976,82649,86719,93304,97795,101318,108154,110506,112082,118086,123578,124336,126555,125103,121986,122634,122655,117497,113076,113013,118189,122302,131471,136666,137687,150024,156176,173293,178758,182049,187144,205998,219335,228441,230230,236578,248153,253468,251334,231334,236091,258954,267013,275609,276906,285943,279687,273817,264494,266209,274063,279988,297325,309165,322976,337516,345009,348940,357067,359005,357804,367603,374035,368574,369599,372383,369659,374714,384925,393246,384873,391507,391584,397285,404040,401201,405619,402393,413167,406593,395804,378194,362511,359805,358652,358032,362693,374548,380031,392566,395746,401010,412403,430313,433266,453796,457291,462554,467016,463789,473478,482519,495001,513183,521431,533482,539728,544512,558235,566072,575836,602559,619194,633130,641318,643972,651742,667824,686359,700771,709856,717567,721385,737434,742289,725221,716902,717286,714098,725543,743470,757544,781736,815405,836176,871838,902879,924277,962121,989302,1018635,1058853,1096368,1099771,1082352,1064308,1065962,1075467,1081744,1059678,1028651,1028440,1014428,983156,847321,779613,749766,726291
"55","46","    Nonresidential structures","A771RC0",17421,18083,18712,18608,19438,19551,19513,20130,20051,19780,19839,19838,20260,21071,21607,21166,20507,21489,21685,22135,22679,23695,24471,25011,26283,28249,28570,30414,31061,31122,31820,31105,31524,30781,31287,31760,32845,32989,33060,34590,35609,36489,38747,39235,39355,40202,40503,40728,41484,42334,43130,43780,45803,46628,47334,49003,51297,54003,56750,57618,58876,61200,61282,63046,61533,60284,61159,61928,64005,64995,66614,67730,69581,73399,76131,78265,79724,89908,98195,105167,107601,112579,121552,127993,132267,132048,135580,143910,149890,160914,169634,188357,186445,182232,172706,168048,158489,149465,152598,156608,165649,175658,182332,185254,194495,194824,192087,195357,191358,174260,168804,170686,166699,169342,177308,182448,178329,183765,183044,184177,189004,189182,197401,197789,203944,204426,205390,197415,194877,189907,177597,172328,170081,170755,173118,176683,173710,175069,177398,182274,176126,187124,189186,193793,201041,206383,210134,210044,213872,219262,224706,237618,241996,242094,254042,255746,259845,276837,279286,281085,281949,280429,282209,288045,296979,312054,327226,332512,328150,334440,329140,311396,297266,284509,274662,274080,274510,282697,284032,286362,290479,300391,311687,321479,337122,345073,350851,368308,395487,427471,446771,461205,489160,519602,555688,575183,585529,609685,619523,619848,532366,494134,457510,433923
"56","47","    Residential structures","A756RC0",26318,27198,26691,25929,26704,24649,23913,23962,24010,24177,25452,26241,26771,27552,27423,27274,28228,30111,30273,31400,33124,31999,31590,31755,31696,32004,32145,32395,32704,31238,30189,27761,26895,30027,31554,33984,34851,36103,36567,38459,40738,40855,40693,38059,38241,36769,37473,41921,45235,50970,54665,57538,62351,63878,64748,69083,72281,70333,69805,67485,63110,61434,61373,54451,51543,52729,57030,60374,67466,71671,71073,82294,86595,99894,102627,103784,107420,116090,121140,123274,122629,123999,126601,125475,119067,99286,100511,115044,117123,114695,107272,97586,93242,91585,91788,98161,115574,130523,144727,152557,157327,161858,162677,163686,162572,164181,165717,172246,182677,194314,200795,201697,202960,205372,207617,210798,206544,207742,208540,213108,215036,212019,208218,204604,209223,202167,190414,180779,167634,169898,181055,185704,192612,203793,206913,215883,222036,225941,235005,248039,257140,266672,268105,268761,265975,257406,263344,272475,281129,293921,296725,295864,297732,302418,304193,310326,315991,325722,339908,352045,359369,363543,369533,379779,389380,388717,382630,385055,393235,402994,413149,413825,419636,432777,439436,451463,468960,474847,497704,529043,545697,571447,591192,602798,624999,644229,667784,690545,700881,672300,635581,603103,576802,555865,526056,484495,443122,418755,394905,363308,314955,285479,292256,292368
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","1. Consists of office buildings, except those constructed at manufacturing sites and those",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","constructed by power utilities for their own use. Includes all financial buildings.  Medical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","buildings are included in health care.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2. Includes buildings and structures used by the retail, wholesale and selected service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","industries.  Consists of auto dealerships, garages, service stations, drug stores,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","restaurants, mobile structures, and other structures used for commercial purposes.  Bus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
