"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"53","35","Net lending or net borrowing (-), NIPAs","W162RC1","1,602.0","3,720.0","296.0","-4,071.0","8,825.0","5,935.0","19,783.0","7,043.0","-10,977.0","-12,714.0","-1,275.0","8,383.0","3,254.0","-3,413.0","-35,154.0","-90,175.0","-114,448.0","-142,785.0","-154,231.0","-115,859.0","-92,700.0","-82,271.0","2,580.0","-44,298.0","-79,406.0","-115,969.0","-105,469.0","-114,316.0","-129,768.0","-204,738.0","-291,489.0","-404,573.0","-376,039.0","-451,409.0","-518,679.0","-623,651.0","-730,006.0","-806,090.0","-717,530.0","-680,712.0","-377,847.0","-448,581.0","-482,146.0","-475,717.0","-422,999.0","-467,966.0"
"54","36","  Private","W994RC1","23,253.0","52,983.0","63,361.0","48,044.0","48,031.0","57,579.0","143,336.0","103,412.0","69,521.0","60,489.0","66,701.0","123,912.0","116,943.0","198,071.0","207,107.0","133,951.0","133,608.0","127,681.0","83,149.0","102,012.0","132,982.0","214,191.0","354,905.0","396,891.0","327,106.0","214,904.0","213,632.0","129,936.0","9,839.0","-167,377.0","-288,652.0","-485,708.0","-226,325.0","71,958.0","165,674.0","51,870.0","-173,694.0","-376,291.0","-182,405.0","374,247.0","1,469,209.0","1,370,380.0","1,184,581.0","976,720.0","534,539.0","400,799.0"
"55","37","    Domestic business","W995RC1","-24,666.0","-18,124.0","-11,731.0","-15,766.0","-35,114.0","-44,604.0","22,562.0","10,641.0","-1,465.0","-20,290.0","-28,845.0","-27,511.0","-79,137.0","-33,984.0","43,099.0","-74,411.0","-26,012.0","-12,904.0","-27,880.0","-45,887.0","-43,730.0","4,957.0","99,287.0","101,305.0","117,024.0","65,101.0","28,224.0","-15,467.0","-121,792.0","-305,423.0","-298,810.0","-491,003.0","-254,073.0","1,074.0","124,700.0","77,063.0","60,288.0","-235,473.0","-174,685.0","-5,452.0","823,990.0","765,162.0","521,285.0","166,216.0","80,593.0","-89,054.0"
"56","38","    Households and institutions","W996RC1","47,919.0","71,107.0","75,092.0","63,810.0","83,145.0","102,183.0","120,774.0","92,771.0","70,986.0","80,779.0","95,546.0","151,423.0","196,080.0","232,055.0","164,008.0","208,362.0","159,620.0","140,585.0","111,029.0","147,899.0","176,712.0","209,234.0","255,618.0","295,586.0","210,082.0","149,803.0","185,408.0","145,403.0","131,631.0","138,046.0","10,158.0","5,295.0","27,748.0","70,884.0","40,974.0","-25,193.0","-233,982.0","-140,818.0","-7,720.0","379,699.0","645,219.0","605,218.0","663,296.0","810,504.0","453,946.0","489,852.0"
"57","39","  Government","AD01RC1","-21,652.0","-49,263.0","-63,066.0","-52,115.0","-39,206.0","-51,644.0","-123,553.0","-96,370.0","-80,499.0","-73,204.0","-67,976.0","-115,529.0","-113,689.0","-201,484.0","-242,260.0","-224,125.0","-248,057.0","-270,465.0","-237,378.0","-217,869.0","-225,682.0","-296,461.0","-352,323.0","-441,188.0","-406,514.0","-330,872.0","-319,111.0","-244,251.0","-139,607.0","-37,362.0","-2,838.0","81,137.0","-149,714.0","-523,366.0","-684,351.0","-675,524.0","-556,310.0","-429,798.0","-535,128.0","-1,054,960.0","-1,847,058.0","-1,818,962.0","-1,666,728.0","-1,452,437.0","-957,536.0","-868,764.0"
"58","40","    Federal","AD02RC1","-12,456.0","-38,949.0","-50,546.0","-48,131.0","-35,306.0","-39,089.0","-103,429.0","-86,621.0","-79,992.0","-73,242.0","-60,688.0","-104,769.0","-104,287.0","-185,378.0","-233,245.0","-229,381.0","-246,781.0","-264,317.0","-219,525.0","-200,979.0","-194,275.0","-243,802.0","-280,756.0","-359,145.0","-328,764.0","-261,746.0","-241,648.0","-182,042.0","-81,692.0","10,890.0","61,997.0","152,330.0","773.0","-309,858.0","-469,104.0","-470,111.0","-396,593.0","-293,174.0","-353,883.0","-780,643.0","-1,475,697.0","-1,508,694.0","-1,397,088.0","-1,185,586.0","-705,579.0","-617,157.0"
"59","41","    State and local","AD03RC1","-9,196.0","-10,314.0","-12,521.0","-3,984.0","-3,900.0","-12,555.0","-20,124.0","-9,749.0","-507.0","38.0","-7,288.0","-10,760.0","-9,402.0","-16,106.0","-9,015.0","5,256.0","-1,276.0","-6,148.0","-17,853.0","-16,891.0","-31,407.0","-52,658.0","-71,567.0","-82,044.0","-77,750.0","-69,125.0","-77,463.0","-62,209.0","-57,916.0","-48,252.0","-64,834.0","-71,192.0","-150,487.0","-213,509.0","-215,247.0","-205,413.0","-159,717.0","-136,625.0","-181,245.0","-274,317.0","-371,362.0","-310,268.0","-269,640.0","-266,851.0","-251,957.0","-251,606.0"
"60","42","    Statistical discrepancy","A030RC1","1,610.0","5,345.0","9,483.0","7,134.0","6,108.0","7,408.0","13,242.0","20,458.0","19,256.0","23,150.0","44,788.0","43,931.0","36,713.0","6,773.0","54,162.0","38,662.0","51,257.0","76,746.0","40,555.0","-473.0","64,178.0","91,357.0","88,379.0","110,903.0","152,334.0","136,819.0","90,559.0","56,569.0","12,292.0","-60,149.0","-37,505.0","-99,473.0","-114,985.0","-72,778.0","-13,624.0","-8,585.0","-35,481.0","-217,282.0","17,493.0","99,399.0","75,327.0","49,208.0","-38,333.0","-209,172.0","-211,914.0","-175,955.0"
"61",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","43","  Gross private saving","A126RC1","198,666.0","221,498.0","255,175.0","274,723.0","316,780.0","334,570.0","392,043.0","413,856.0","455,855.0","521,598.0","569,718.0","620,471.0","723,801.0","783,711.0","801,439.0","925,130.0","919,069.0","909,448.0","941,618.0","1,046,378.0","1,076,792.0","1,127,093.0","1,220,470.0","1,307,253.0","1,293,246.0","1,348,541.0","1,461,733.0","1,527,306.0","1,623,157.0","1,658,920.0","1,662,332.0","1,675,162.0","1,832,829.0","2,087,787.0","2,209,709.0","2,332,467.0","2,358,050.0","2,541,682.0","2,439,836.0","2,646,460.0","3,150,567.0","3,363,475.0","3,416,068.0","3,641,285.0","3,401,920.0","3,436,664.0"
"63","44","    Domestic business","W997RC1","108,398.0","108,970.0","126,866.0","145,186.0","161,678.0","165,814.0","202,162.0","232,230.0","268,081.0","308,443.0","337,809.0","345,082.0","402,863.0","433,162.0","478,428.0","532,194.0","567,792.0","546,656.0","587,716.0","641,747.0","642,045.0","666,523.0","723,985.0","744,958.0","779,883.0","861,841.0","943,987.0","1,009,412.0","1,088,833.0","1,059,081.0","1,148,526.0","1,137,937.0","1,247,686.0","1,416,049.0","1,510,210.0","1,599,086.0","1,758,030.0","1,815,947.0","1,715,785.0","1,689,656.0","2,075,283.0","2,334,947.0","2,306,690.0","2,340,586.0","2,366,755.0","2,354,190.0"
"64","45","    Households and institutions","W998RC1","90,268.0","112,528.0","128,309.0","129,537.0","155,102.0","168,756.0","189,881.0","181,626.0","187,774.0","213,155.0","231,909.0","275,389.0","320,938.0","350,549.0","323,011.0","392,936.0","351,277.0","362,792.0","353,902.0","404,631.0","434,747.0","460,570.0","496,485.0","562,295.0","513,363.0","486,700.0","517,746.0","517,894.0","534,324.0","599,839.0","513,806.0","537,225.0","585,143.0","671,738.0","699,499.0","733,381.0","600,020.0","725,735.0","724,051.0","956,804.0","1,075,284.0","1,028,528.0","1,109,378.0","1,300,699.0","1,035,165.0","1,082,473.0"
"65","46","  Gross government saving","A927RC1","34,428.0","6,725.0","-9,010.0","2,938.0","18,545.0","14,682.0","-43,795.0","-14,358.0","3,745.0","26,568.0","44,083.0","10,159.0","21,437.0","-55,804.0","-81,972.0","-40,597.0","-35,111.0","-41,639.0","10,553.0","33,731.0","36,810.0","-9,527.0","-62,532.0","-154,599.0","-125,397.0","-49,404.0","-32,184.0","54,026.0","160,397.0","273,452.0","340,813.0","444,086.0","235,449.0","-97,357.0","-219,433.0","-185,184.0","-24,677.0","104,573.0","61,000.0","-372,547.0","-1,078,032.0","-1,107,953.0","-980,485.0","-815,736.0","-367,856.0","-287,143.0"
"66","47","    Federal","A926RC1","20,668.0","-7,183.0","-21,825.0","-18,806.0","-5,954.0","-5,969.0","-59,191.0","-39,225.0","-28,179.0","-12,367.0","7,236.0","-28,359.0","-20,539.0","-91,959.0","-126,047.0","-105,935.0","-102,266.0","-112,347.0","-55,625.0","-41,040.0","-32,482.0","-69,772.0","-108,303.0","-191,229.0","-166,526.0","-105,375.0","-88,924.0","-26,104.0","61,863.0","156,295.0","223,435.0","317,999.0","177,750.0","-105,453.0","-232,561.0","-220,598.0","-115,372.0","-26,325.0","-52,847.0","-407,644.0","-1,014,302.0","-1,083,387.0","-986,732.0","-815,021.0","-381,112.0","-307,857.0"
"67","48","    State and local","A925RC1","13,760.0","13,908.0","12,815.0","21,744.0","24,499.0","20,651.0","15,396.0","24,867.0","31,924.0","38,935.0","36,847.0","38,518.0","41,976.0","36,155.0","44,075.0","65,338.0","67,155.0","70,708.0","66,178.0","74,771.0","69,292.0","60,245.0","45,771.0","36,630.0","41,129.0","55,971.0","56,740.0","80,130.0","98,534.0","117,157.0","117,378.0","126,087.0","57,699.0","8,096.0","13,128.0","35,414.0","90,695.0","130,898.0","113,847.0","35,097.0","-63,730.0","-24,566.0","6,247.0","-715.0","13,256.0","20,714.0"
"68","49","  Net domestic investment","W171RC1","108,238.0","93,060.0","106,471.0","127,939.0","154,490.0","144,521.0","104,113.0","153,653.0","201,436.0","258,881.0","288,623.0","240,043.0","293,529.0","203,664.0","248,135.0","418,937.0","412,868.0","405,065.0","418,866.0","412,972.0","434,022.0","396,991.0","307,311.0","349,406.0","395,117.0","495,082.0","502,375.0","575,988.0","685,183.0","766,460.0","851,800.0","909,764.0","738,293.0","706,492.0","765,983.0","933,440.0","1,058,794.0","1,096,977.0","971,601.0","696,063.0","156,763.0","371,038.0","427,118.0","568,402.0","617,067.0","705,001.0"
"69","50","    Private","A557RC1","84,127.0","71,792.0","89,192.0","110,654.0","135,441.0","121,369.0","78,462.0","126,710.0","175,488.0","226,263.0","248,925.0","195,123.0","249,300.0","160,639.0","198,730.0","356,576.0","333,238.0","317,572.0","325,870.0","328,663.0","349,618.0","304,470.0","221,990.0","268,855.0","326,862.0","432,158.0","434,897.0","501,022.0","605,535.0","680,389.0","748,281.0","797,176.0","610,943.0","556,973.0","605,578.0","767,379.0","891,811.0","915,640.0","778,771.0","487,938.0","-47,537.0","177,279.0","268,815.0","444,938.0","527,163.0","635,329.0"
"70","51","      Domestic business","W790RC1","60,885.0","50,760.0","58,747.0","70,800.0","92,084.0","86,699.0","45,192.0","78,069.0","106,396.0","146,316.0","172,936.0","140,441.0","200,407.0","123,253.0","122,054.0","259,051.0","234,124.0","195,928.0","192,150.0","189,514.0","216,801.0","189,721.0","121,909.0","139,831.0","181,572.0","261,468.0","281,485.0","319,675.0","407,119.0","439,628.0","485,255.0","524,134.0","326,251.0","243,468.0","242,498.0","324,817.0","388,913.0","451,748.0","456,382.0","322,067.0","-112,415.0","125,389.0","215,152.0","346,574.0","384,859.0","500,011.0"
"71","52","      Households and institutions","W791RC1","23,242.0","21,032.0","30,445.0","39,854.0","43,357.0","34,670.0","33,270.0","48,641.0","69,092.0","79,947.0","75,989.0","54,682.0","48,893.0","37,386.0","76,676.0","97,525.0","99,114.0","121,644.0","133,720.0","139,149.0","132,817.0","114,749.0","100,081.0","129,024.0","145,290.0","170,690.0","153,412.0","181,347.0","198,416.0","240,761.0","263,026.0","273,042.0","284,692.0","313,505.0","363,080.0","442,562.0","502,898.0","463,892.0","322,389.0","165,871.0","64,878.0","51,890.0","53,663.0","98,364.0","142,304.0","135,319.0"
"72","53","    Government","A889RC1","24,111.0","21,268.0","17,279.0","17,285.0","19,049.0","23,152.0","25,651.0","26,943.0","25,948.0","32,618.0","39,698.0","44,920.0","44,229.0","43,025.0","49,405.0","62,361.0","79,630.0","87,493.0","92,996.0","84,309.0","84,404.0","92,521.0","85,321.0","80,551.0","68,255.0","62,924.0","67,478.0","74,966.0","79,648.0","86,071.0","103,519.0","112,588.0","127,350.0","149,519.0","160,405.0","166,061.0","166,983.0","181,337.0","192,830.0","208,125.0","204,300.0","193,759.0","158,303.0","123,464.0","89,904.0","69,672.0"
"73","54","      Federal","A890RC1","4,947.0","2,879.0","-1,200.0","-731.0","-83.0","985.0","2,062.0","4,120.0","5,470.0","7,284.0","9,989.0","12,361.0","15,152.0","17,288.0","23,376.0","29,187.0","39,176.0","41,570.0","44,905.0","31,680.0","27,056.0","27,056.0","18,893.0","14,968.0","5,399.0","-2,950.0","-4,216.0","-2,610.0","-9,323.0","-5,914.0","-1,942.0","-4,112.0","549.0","15,246.0","26,039.0","32,384.0","33,517.0","37,344.0","38,621.0","49,437.0","49,441.0","54,634.0","39,981.0","23,661.0","464.0","-20,505.0"
"74","55","      State and local","A893RC1","19,164.0","18,388.0","18,480.0","18,016.0","19,132.0","22,166.0","23,589.0","22,823.0","20,479.0","25,333.0","29,709.0","32,559.0","29,078.0","25,737.0","26,030.0","33,175.0","40,454.0","45,923.0","48,091.0","52,629.0","57,346.0","65,465.0","66,428.0","65,583.0","62,855.0","65,874.0","71,694.0","77,576.0","88,973.0","91,986.0","105,461.0","116,701.0","126,802.0","134,272.0","134,368.0","133,676.0","133,467.0","143,993.0","154,208.0","158,688.0","154,860.0","139,124.0","118,322.0","99,804.0","89,442.0","90,178.0"
"75","56","  Gross saving as a percentage of gross national income","W206RC1","22.8","21.2","21.1","21.6","23.4","22.4","20.6","21.3","22.0","23.3","23.4","22.1","23.2","21.6","19.9","21.9","20.5","19.2","19.6","20.5","19.8","18.9","18.9","17.8","17.3","18.1","18.8","19.6","20.7","21.1","20.6","20.3","19.2","17.9","17.2","17.4","17.6","18.7","17.1","15.4","14.3","14.9","15.4","17.0","17.6","17.7"
"76","57","  Net saving as a percentage of gross national income","W207RC1","10.6","8.5","8.3","9.1","11.0","9.2","6.6","7.5","8.2","9.5","9.3","7.2","8.1","5.7","4.4","7.2","5.7","4.1","4.6","5.6","4.9","3.9","3.7","3.0","2.4","3.4","4.0","5.0","6.3","6.8","6.2","5.8","4.3","3.0","2.3","2.6","2.7","3.6","1.6","-0.6","-2.0","-0.8","-0.1","1.8","2.4","2.3"
"77","58","  Disaster losses \2\","W771RC1",".....",".....","118.0","1,587.0","629.0","181.0","0.0","159.0","333.0","0.0","1,102.0","546.0","0.0","871.0","1,086.0","0.0","1,706.0","0.0","0.0","0.0","8,958.0","0.0","1,519.0","17,942.0","4,139.0","20,415.0","2,425.0","0.0","0.0","0.0","3,500.0","0.0","19,201.0","0.0","0.0","29,449.0","110,415.0","0.0","0.0","19,083.0","0.0","0.0","0.0","45,938.0","0.0","0.0"
"78","59","    Private","W772RC1",".....",".....","118.0","1,587.0","629.0","181.0","0.0","159.0","333.0","0.0","1,102.0","546.0","0.0","871.0","1,086.0","0.0","1,706.0","0.0","0.0","0.0","7,937.0","0.0","1,519.0","17,942.0","4,139.0","18,366.0","2,425.0","0.0","0.0","0.0","3,500.0","0.0","17,461.0","0.0","0.0","29,449.0","99,173.0","0.0","0.0","19,083.0","0.0","0.0","0.0","38,333.0","0.0","0.0"
"79","60","      Domestic business","W773RC1",".....",".....","68.0","954.0","473.0","67.0","0.0","99.0","259.0","0.0","816.0","445.0","0.0","562.0","632.0","0.0","494.0","0.0","0.0","0.0","4,679.0","0.0","343.0","8,152.0","2,517.0","13,588.0","1,206.0","0.0","0.0","0.0","2,231.0","0.0","15,472.0","0.0","0.0","17,409.0","48,804.0","0.0","0.0","10,767.0","0.0","0.0","0.0","17,464.0","0.0","0.0"
"80","61","      Households and institutions","W774RC1",".....",".....","50.0","633.0","156.0","114.0","0.0","60.0","74.0","0.0","286.0","101.0","0.0","309.0","454.0","0.0","1,212.0","0.0","0.0","0.0","3,258.0","0.0","1,176.0","9,790.0","1,622.0","4,778.0","1,219.0","0.0","0.0","0.0","1,269.0","0.0","1,989.0","0.0","0.0","12,040.0","50,369.0","0.0","0.0","8,316.0","0.0","0.0","0.0","20,869.0","0.0","0.0"
"81","62","    Government","W775RC1",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1,021.0","0.0","0.0","0.0","0.0","2,049.0","0.0","0.0","0.0","0.0","0.0","0.0","1,740.0","0.0","0.0","0.0","11,242.0","0.0","0.0","0.0","0.0","0.0","0.0","7,605.0","0.0","0.0"
"82","63","      Federal","W776RC1",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","493.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"83","64","      State and local","W777RC1",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1,021.0","0.0","0.0","0.0","0.0","2,049.0","0.0","0.0","0.0","0.0","0.0","0.0","1,740.0","0.0","0.0","0.0","10,749.0","0.0","0.0","0.0","0.0","0.0","0.0","7,605.0","0.0","0.0"
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","1. Consists of capital transfers and the acquisition and disposal of nonproduced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","nonfinancial assets.  Prior to 1982, reflects only capital grants paid to the U.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","territories and the Commonwealths of Puerto Rico and Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","2. Consists of damages to fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
