"","Table 1#3#5# Gross Value Added by Sector                        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"21","3","  Nonfarm \2\","A358RC1","760,187.0","792,596.0","857,549.0","943,371.0","1,047,832.0","1,139,251.0","1,240,089.0","1,401,219.0","1,573,749.0","1,789,020.0","2,004,169.0","2,175,882.0","2,438,235.0","2,509,114.0","2,758,566.0","3,074,457.0","3,311,756.0","3,486,881.0","3,683,166.0","3,967,768.0","4,262,401.0","4,474,664.0","4,584,721.0","4,850,055.0","5,116,586.0","5,452,229.0","5,740,326.0","6,082,071.0","6,509,004.0","6,893,319.0","7,348,973.0","7,820,419.0","8,007,325.0","8,215,014.0","8,578,366.0","9,151,797.0","9,817,100.0","10,416,674.0","10,870,670.0","10,895,187.0","10,486,908.0","10,925,077.0","11,393,529.0","12,028,499.0"
"22","4","  Farm","B359RC1","22,825.0","23,685.0","25,371.0","29,650.0","46,762.0","44,245.0","45,625.0","43,021.0","43,533.0","50,726.0","60,103.0","51,368.0","64,952.0","60,412.0","44,934.0","64,151.0","63,703.0","59,891.0","62,043.0","61,386.0","73,945.0","77,781.0","70,372.0","79,858.0","71,272.0","83,594.0","68,402.0","92,639.0","88,136.0","79,030.0","70,934.0","76,043.0","78,093.0","74,033.0","93,102.0","118,908.0","104,513.0","99,352.0","113,534.0","126,345.0","109,800.0","129,725.0","166,001.0","166,937.0"
"23","5","Households and institutions","A193RC1","87,586.0","95,213.0","105,214.0","114,806.0","125,573.0","138,305.0","152,958.0","166,391.0","181,512.0","204,484.0","228,893.0","260,650.0","293,934.0","325,562.0","355,774.0","387,679.0","415,804.0","451,639.0","495,315.0","546,782.0","592,437.0","642,455.0","683,949.0","728,683.0","781,051.0","832,440.0","885,734.0","931,559.0","984,339.0","1,049,472.0","1,122,065.0","1,202,740.0","1,279,381.0","1,357,192.0","1,427,047.0","1,510,889.0","1,599,539.0","1,689,411.0","1,749,625.0","1,855,251.0","1,913,615.0","1,927,540.0","1,971,918.0","2,025,409.0"
"24","6","  Households","B701RC1","57,617.0","61,772.0","67,832.0","73,443.0","79,456.0","86,615.0","94,980.0","103,200.0","112,333.0","127,140.0","141,993.0","161,265.0","181,477.0","199,819.0","216,757.0","234,719.0","252,097.0","272,946.0","295,453.0","322,184.0","346,548.0","372,302.0","391,715.0","413,840.0","444,094.0","478,482.0","512,743.0","540,663.0","571,656.0","607,791.0","651,800.0","700,883.0","753,125.0","790,523.0","828,406.0","879,538.0","944,034.0","1,000,573.0","1,028,743.0","1,086,579.0","1,110,087.0","1,111,406.0","1,129,307.0","1,148,136.0"
"25","7","  Nonprofit institutions serving households \3\","B702RC1","29,969.0","33,441.0","37,382.0","41,363.0","46,117.0","51,690.0","57,978.0","63,191.0","69,179.0","77,344.0","86,900.0","99,385.0","112,457.0","125,743.0","139,017.0","152,960.0","163,707.0","178,693.0","199,862.0","224,598.0","245,889.0","270,153.0","292,234.0","314,843.0","336,957.0","353,958.0","372,991.0","390,896.0","412,683.0","441,681.0","470,265.0","501,857.0","526,256.0","566,669.0","598,641.0","631,351.0","655,505.0","688,838.0","720,882.0","768,672.0","803,528.0","816,134.0","842,611.0","877,273.0"
"26","8","General government \4\","A765RC1","149,281.0","164,390.0","179,635.0","194,622.0","208,381.0","227,023.0","250,250.0","266,956.0","287,157.0","312,341.0","338,978.0","374,605.0","413,828.0","449,897.0","478,855.0","514,399.0","555,462.0","591,734.0","629,681.0","676,680.0","728,893.0","784,668.0","834,978.0","880,677.0","909,781.0","940,464.0","969,566.0","993,896.0","1,026,999.0","1,067,312.0","1,123,724.0","1,190,546.0","1,260,453.0","1,333,948.0","1,413,722.0","1,495,443.0","1,574,274.0","1,652,456.0","1,746,483.0","1,843,471.0","1,907,619.0","1,975,919.0","2,002,391.0","2,023,741.0"
"27","9","  Federal","A766RC1","76,900.0","82,399.0","87,416.0","92,238.0","95,769.0","101,792.0","109,530.0","116,204.0","123,634.0","133,544.0","142,539.0","157,323.0","176,000.0","193,001.0","204,924.0","221,104.0","236,331.0","247,323.0","258,463.0","275,923.0","290,055.0","304,343.0","321,327.0","327,708.0","329,754.0","330,610.0","331,344.0","330,511.0","332,313.0","335,020.0","343,676.0","358,738.0","369,168.0","396,150.0","432,019.0","457,542.0","487,457.0","509,628.0","536,289.0","570,306.0","603,629.0","643,597.0","662,991.0","666,416.0"
"28","10","  State and local","A767RC1","72,381.0","81,991.0","92,219.0","102,384.0","112,612.0","125,231.0","140,720.0","150,752.0","163,523.0","178,797.0","196,439.0","217,282.0","237,828.0","256,896.0","273,931.0","293,295.0","319,131.0","344,411.0","371,218.0","400,757.0","438,838.0","480,325.0","513,651.0","552,969.0","580,027.0","609,854.0","638,222.0","663,385.0","694,686.0","732,292.0","780,048.0","831,808.0","891,285.0","937,798.0","981,703.0","1,037,901.0","1,086,817.0","1,142,828.0","1,210,194.0","1,273,165.0","1,303,990.0","1,332,322.0","1,339,400.0","1,357,325.0"
"29",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","11","  Gross housing value added","A2009C1","73,589.0","79,402.0","87,122.0","94,697.0","102,320.0","111,536.0","122,583.0","132,391.0","145,822.0","162,555.0","180,263.0","206,438.0","233,820.0","260,281.0","283,774.0","306,840.0","337,219.0","368,985.0","397,742.0","429,955.0","457,789.0","491,719.0","520,414.0","551,896.0","584,827.0","625,359.0","668,465.0","701,038.0","737,869.0","780,400.0","832,298.0","888,547.0","952,720.0","995,796.0","1,029,222.0","1,087,206.0","1,163,118.0","1,233,958.0","1,285,913.0","1,362,368.0","1,409,013.0","1,424,663.0","1,468,589.0","1,511,556.0"
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","and rental income of persons for tenant-occupied housing owned by nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
