"","Table 3#9#5# Government Consumption Expenditures and Gross Inves","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"11","4","        Structures","A760RC1",29,29.2,31.2,31.6,34.4,40.3,44.5,44.9,44.3,51.5,57.8,65.3,66.4,65,65.7,72.5,81.1,89,95.5,99,102,112.6,117,119.7,121.1,124.7,134.7,144.4,155.6,160.2,175.8,189.6,205.8,221.6,229.4,236.4,246.5,267.5,289.5,310,314.2,304.3,284.3
"12","5","        Equipment and software","A871RC1",14.3,14.4,10.5,11,12.5,15.9,18.6,21.5,23.2,25.6,30.7,34.9,40.5,47.3,57.1,66.8,77.7,84.2,88.8,87.2,95.7,103.1,103.3,103.4,98.4,96.2,97.9,99.8,96.8,102.7,111.6,114.7,116.2,121.8,126.4,135.9,145.5,157.6,167,187.2,191.2,201,198.1
"13","6","Federal","A823RC1",113.3,113.4,113.6,119.6,122.5,134.5,149,159.7,175.4,190.9,210.6,243.7,280.2,310.8,342.9,374.3,412.8,438.4,459.5,461.6,481.4,507.5,526.6,532.9,525,518.6,518.8,527,531,531,554.9,576.1,611.7,680.6,756.5,824.6,876.3,931.7,976.3,1080.1,1142.7,1222.8,1232.8
"14","7","    Consumption expenditures","A957RC1",98.3,98.6,101.9,107.6,108.8,117.9,129.5,137.1,150.7,163.3,178.9,207.4,238.3,263.3,286.4,309.9,338.3,358,373.7,381.7,398.5,419,438.3,444.1,441.2,440.7,440.1,446.5,457.5,454.6,473.3,496,530.2,590.5,660.3,721.4,765.8,811,848.9,931.7,986.6,1054,1072.6
"15","8","    Gross investment","A787RC1",15,14.8,11.7,12,13.6,16.6,19.5,22.6,24.7,27.6,31.6,36.3,41.9,47.5,56.4,64.4,74.4,80.4,85.8,79.8,83,88.5,88.2,88.8,83.8,77.9,78.6,80.4,73.4,76.4,81.6,80.1,81.5,90.1,96.2,103.3,110.5,120.7,127.4,148.4,156.1,168.8,160.3
"16","9","      Structures","A801RC1",3.4,3.4,4.3,4.5,5.2,5.6,6.4,6.7,7.4,8.6,8.8,10.3,10.9,10.7,11.5,12,13.6,14.8,16.7,14.2,13.2,14.1,13.8,15.5,16.6,16,17.5,17.5,16,16.6,16.1,13.7,13.5,15.8,17.6,16.2,15.7,17.6,21.2,25,29.7,33.6,30.4
"17","10","      Equipment and software","A872RC1",11.6,11.5,7.4,7.5,8.4,11,13.1,15.8,17.3,18.9,22.9,26,31,36.7,44.9,52.4,60.9,65.6,69.1,65.6,69.7,74.4,74.4,73.3,67.2,61.9,61.1,62.9,57.4,59.8,65.5,66.4,68.1,74.4,78.6,87.1,94.7,103.1,106.3,123.3,126.4,135.2,129.9
"18","11","  National defense","A824RC1",89.5,87.6,84.6,86.9,88.1,95.6,103.9,111.1,120.9,130.5,145.2,168,196.2,225.9,250.6,281.5,311.2,330.8,350,354.7,362.1,373.9,383.1,376.8,363,353.8,348.8,354.8,349.8,346.1,361.1,371,393,437.7,497.9,550.8,589,624.9,662.3,737.8,774.9,819.2,824.9
"19","12","    Consumption expenditures","A997RC1",78.1,76.5,77.1,79.5,79.4,84.5,90.9,95.8,104.2,112.7,123.8,143.7,167.3,191.1,208.7,232.8,253.7,267.9,283.6,293.5,299.4,308,319.7,315.2,307.5,300.8,297,303.2,304.5,300.3,313,321.8,342,380.7,435.2,481.2,514.8,543.9,575.4,633.3,664.1,702.1,717.2
"20","13","    Gross investment","A788RC1",11.3,11.1,7.5,7.5,8.7,11.1,13,15.3,16.7,17.8,21.4,24.3,28.9,34.7,41.9,48.7,57.5,62.9,66.4,61.3,62.7,65.9,63.4,61.6,55.5,53,51.8,51.6,45.3,45.8,48.2,49.2,50.9,57,62.8,69.6,74.2,81,86.9,104.5,110.8,117.1,107.8
"21","14","      Structures","A808RC1",1.5,1.3,1.8,1.8,2.1,2.2,2.3,2.1,2.4,2.5,2.5,3.2,3.2,4,4.8,4.9,6.2,6.8,7.7,7.4,6.4,6.1,4.6,5.2,5.3,5.8,6.7,6.3,6.1,5.8,5.4,5.4,5.3,5.8,7.3,7.1,7.5,8.1,10.1,13.7,17.3,17.3,14.8
"22","15","      Equipment and software","A873RC1",9.9,9.8,5.7,5.7,6.6,8.9,10.7,13.2,14.4,15.3,18.9,21.1,25.7,30.8,37.1,43.8,51.3,56.1,58.8,53.9,56.3,59.8,58.8,56.3,50.1,47.2,45.1,45.4,39.2,39.9,42.8,43.8,45.6,51.2,55.4,62.4,66.8,72.9,76.9,90.9,93.5,99.8,93
"23","16","  Nondefense","A825RC1",23.8,25.8,29.1,32.7,34.3,39,45.1,48.6,54.5,60.4,65.4,75.8,83.9,84.9,92.3,92.7,101.6,107.6,109.6,106.8,119.3,133.6,143.4,156.1,162,164.8,170,172.2,181.1,184.9,193.8,205,218.7,242.9,258.5,273.9,287.3,306.8,314,342.3,367.8,403.6,407.9
"24","17","    Consumption expenditures","A542RC1",20.2,22.1,24.9,28.2,29.4,33.4,38.7,41.4,46.5,50.6,55.1,63.8,71,72.1,77.7,77.1,84.7,90.1,90.1,88.3,99.1,111,118.6,128.9,133.7,139.9,143.2,143.4,153,154.3,160.3,174.2,188.1,209.8,225.1,240.2,251,267.1,273.5,298.5,322.5,351.9,355.4
"25","18","    Gross investment","A798RC1",3.6,3.8,4.2,4.5,4.9,5.6,6.5,7.3,8,9.8,10.2,12,13,12.7,14.5,15.7,16.9,17.5,19.4,18.6,20.3,22.6,24.8,27.2,28.3,24.9,26.8,28.8,28.1,30.7,33.4,30.9,30.6,33.1,33.5,33.7,36.3,39.7,40.5,43.8,45.3,51.7,52.5
"26","19","      Structures","A830RC1",1.9,2.1,2.5,2.7,3.1,3.4,4.1,4.6,5,6.1,6.3,7.1,7.7,6.8,6.7,7,7.3,8,9,6.8,6.9,8,9.2,10.3,11.2,10.2,10.8,11.3,9.9,10.8,10.7,8.3,8.1,9.9,10.3,9.1,8.3,9.5,11.1,11.4,12.4,16.3,15.6
"27","20","      Equipment and software","B880RC1",1.7,1.7,1.7,1.8,1.8,2.2,2.4,2.7,3,3.7,4,4.9,5.3,6,7.8,8.7,9.6,9.5,10.4,11.7,13.4,14.6,15.7,16.9,17,14.7,16,17.5,18.2,19.9,22.7,22.6,22.5,23.2,23.1,24.6,28,30.2,29.4,32.4,32.9,35.4,36.9
"28","21","State and local","A829RC1",108.2,120.3,132.8,143.8,159.2,183.4,208.7,223.3,238.7,262.7,290.2,322.4,347.3,369.7,390.5,422.6,466.1,510.9,539.9,577.3,619.2,674.2,709.5,740.6,769.8,811.2,855.3,894,943.5,995,1076.3,1154.9,1234.7,1302.7,1356.1,1408.2,1493.6,1586.7,1697.9,1798,1774.8,1780,1797.3
"29","22","  Consumption expenditures","A991RC1",79.8,91.5,102.7,113.2,126,143.7,165.1,179.5,195.9,213.2,233.3,258.4,282.3,304.9,324.1,347.7,381.8,418.1,441.4,471,504.5,547,577.5,606.2,634.2,668.2,701.3,730.2,764.5,808.6,870.6,930.6,994.2,1049.4,1096.5,1139.1,1212,1282.3,1368.9,1449.2,1425.5,1443.5,1475.2
"30","23","  Gross investment","A799RC1",28.3,28.7,30.1,30.6,33.2,39.6,43.6,43.8,42.8,49.5,56.8,64,65,64.8,66.4,75,84.4,92.8,98.4,106.3,114.7,127.2,132.1,134.3,135.7,143,154,163.8,178.9,186.4,205.7,224.3,240.5,253.3,259.6,269.1,281.6,304.4,329,348.8,349.3,336.5,322.1
"31","24","    Structures","A842RC1",25.6,25.8,27,27.1,29.1,34.7,38.1,38.1,36.9,42.8,49,55.1,55.4,54.2,54.2,60.5,67.6,74.2,78.8,84.8,88.7,98.5,103.2,104.2,104.5,108.7,117.3,126.8,139.5,143.6,159.7,176,192.3,205.8,211.8,220.2,230.8,249.9,268.4,285,284.5,270.8,253.9
"32","25","    Equipment and software","B881RC1",2.7,3,3.1,3.5,4.1,4.9,5.5,5.7,5.9,6.6,7.8,8.9,9.5,10.6,12.2,14.4,16.8,18.6,19.6,21.5,26,28.7,28.9,30.1,31.2,34.3,36.7,36.9,39.4,42.9,46.1,48.3,48.2,47.5,47.8,48.9,50.8,54.5,60.7,63.8,64.8,65.7,68.2
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
