"","Table 1#4#3# Real Gross Domestic Product, Real Gross Domestic Pu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","[Index numbers, 2009=100]                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 25, 2014 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/24/2014 11:38:35 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","Gross domestic product","B191RA3",32.683,32.749,33.833,35.609,37.618,37.424,37.35,39.361,41.175,43.466,44.846,44.736,45.897,45.02,47.105,50.525,52.666,54.516,56.403,58.774,60.937,62.107,62.061,64.267,66.032,68.698,70.566,73.245,76.531,79.937,83.682,87.107,87.957,89.528,92.041,95.525,98.72,101.353,103.156,102.855,100,102.532,104.174,106.592,108.957
"9","2","Less: Exports of goods and services","B020RA3",10.646,11.781,11.986,12.919,15.354,16.567,16.462,17.181,17.595,19.45,21.377,23.68,23.972,22.14,21.569,23.329,24.109,25.963,28.79,33.457,37.329,40.622,43.309,46.31,47.827,52.056,57.406,62.103,69.501,71.125,73.006,79.259,74.628,73.341,74.635,81.914,87.036,94.9,103.694,109.642,100,111.895,119.561,123.453,127.213
"10","3","Plus: Imports of goods and services","B021RA3",12.263,12.787,13.469,14.985,15.68,15.325,13.622,16.285,18.065,19.631,19.957,18.631,19.124,18.883,21.265,26.442,28.158,30.564,32.373,33.644,35.126,36.382,36.328,38.875,42.236,47.274,51.056,55.496,62.971,70.331,77.463,87.547,85.064,88.181,92.119,102.63,109.129,116.028,118.951,115.907,100,112.716,118.883,121.653,123.048
"11","4","Equals: Gross domestic purchases","B712RA3",32.548,32.508,33.642,35.475,37.188,36.726,36.338,38.698,40.748,42.971,44.044,43.228,44.409,43.823,46.419,50.45,52.728,54.68,56.428,58.288,60.099,60.996,60.578,62.746,64.808,67.66,69.394,72.104,75.526,79.701,84.123,88.144,89.161,91.253,94.089,98.093,101.526,104.168,105.35,103.954,100,102.908,104.521,106.821,108.889
"12","5","Less: Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","6","Equals: Final sales to domestic purchasers","B713RA3",32.132,32.319,33.268,35.075,36.611,36.247,36.311,38.16,40.106,42.27,43.505,43.076,43.766,43.758,46.219,49.363,52.132,54.227,55.746,57.667,59.37,60.381,60.117,62.102,64.105,66.543,68.557,71.233,74.258,78.428,82.824,86.848,88.608,90.227,93.02,96.655,100.094,102.669,104.067,103.168,100,101.483,103.213,105.336,107.326
"14",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Final sales of domestic product","B190RA3",32.25,32.544,33.437,35.191,37.02,36.923,37.309,38.801,40.51,42.739,44.283,44.569,45.221,44.944,46.893,49.404,52.05,54.047,55.698,58.127,60.176,61.461,61.571,63.588,65.295,67.538,69.691,72.335,75.215,78.622,82.347,85.779,87.391,88.484,90.956,94.068,97.271,99.835,101.853,102.055,100,101.07,102.833,105.067,107.349
