"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184"
"11","3","  Nonfarm \2\","A358RX1",3100.3,3103.8,3120.6,3098.1,3094.3,3100,3131.5,3081.1,3185.5,3206.5,3235,3243.7,3328.8,3421.1,3459,3524,3657.2,3698.8,3687.7,3682.1,3659,3658.9,3607.4,3579.3,3494.4,3520,3592.5,3657.5,3772.9,3810.5,3832.6,3865.6,3930.4,4022.6,4106.1,4092.9,4115,4317.9,4354.1,4434.7,4426.5,4432.3,4464.7,4469.6,4480.1,4354.1,4348.7,4451.5,4551.8,4496.5,4532.9,4462.1,4358.6,4384.6,4361.9,4361.8,4445.8,4599,4723.3,4835,4935.9,5032.3,5077,5113.7,5164.1,5215.1,5296.2,5344.3,5399.6,5428.4,5482.3,5510.4,5549.1,5621,5661.6,5769.3,5794.3,5893.2,5926.8,6015.9,6066.1,6113.3,6159,6163.3,6231,6252.5,6238.8,6156.8,6111.1,6173,6209.5,6235.4,6320,6397.6,6466.5,6549.1,6554.1,6593.3,6643.9,6740.1,6805.4,6919.9,6961.8,7072.3,7105.1,7130.9,7212.3,7275.6,7326.1,7472.9,7564.2,7660,7720.7,7858.6,7970.5,8041.1,8138.2,8230.4,8357,8528.9,8624.7,8702.7,8836.3,9013.2,9016.2,9214.5,9216,9265.3,9222.4,9279.9,9230.5,9234.8,9361.7,9393.6,9435.4,9427.9,9470.3,9575.4,9798.7,9939.2,9982,10089.8,10184.6,10269.6,10403.5,10462,10559.4,10630.7,10795.7,10818,10831.7,10950.5,10964.1,11076,11168.5,11191.9,11049.3,11104.6,11011,10663.8,10463.5,10436,10459.3,10588.9,10642.2,10765.1,10876.9,10988.4,10930.8,11056.7,11104,11264.8,11402.7,11447.6,11564.5,11583.9,11576.2,11669.2,11825,11934.6,11821.5
"12","4","  Farm","B359RX1",27,27.2,27.6,27.5,27.5,27.8,28.3,28.6,29.2,29.6,29.8,29.7,27.4,30.1,29.6,31.1,27.7,29.8,26.2,33.2,27.8,29.1,28.5,28.8,32.8,34.3,34.8,34.3,32.9,32.3,32.1,32.6,31.9,33.7,34.2,37.2,32.2,32.9,35.6,31.5,35.2,35.1,36.6,37.1,36.4,35.9,33,34.1,39.7,42.5,52.3,49.6,49.5,49.3,47.2,47.5,39.7,30.6,26.2,29.4,37.1,42.3,45.1,46.3,49.7,50.3,57.4,52.9,51.7,47.8,51.9,50.5,50.7,50.2,52.4,51,50.5,46.1,44.1,41.2,50.6,51.4,52.2,52.8,54.9,54.1,55.6,57.4,55.4,55.3,54.7,57,62.4,66,66.3,63.2,57.6,59.8,48.9,60.8,69.8,70.4,70.9,65,56.4,55.2,52.3,55.7,62.1,65.4,62.7,64.3,67.7,70.6,74.2,72.1,67.9,66.4,68.2,68.2,67.9,72.2,69.9,72.9,82.2,83.7,86.3,83.4,80.7,72.9,70.6,86.6,64.1,80.4,88.1,91.1,92.3,97.4,88.9,80.7,100.4,87.4,93.9,102.6,99.4,102.8,103.1,101.2,98.3,113.4,103.1,94.9,91.4,86.6,81,85.7,96.1,90.9,88.9,102.9,102.9,104.2,118.7,113.3,108.2,115.5,115.1,106.9,110,100.2,101.8,111.3,110.4,111.8,102,94.3,121.9,124.5,129.1,126.1,113.8
"13","5","Households and institutions","A193RX1",599.5,606.7,611.7,615.2,614.8,615.3,620.8,629.1,638.4,644.3,651.2,657.4,665.5,671.6,677.1,682.3,687.1,693.6,701.4,709.9,718.2,724.3,730.1,736.4,744.2,751.4,757,760,760.1,763.1,765.8,767.1,761.3,766.9,775.5,779.9,792.9,800.5,806.7,817.8,824.9,829.7,835.8,840.4,850.9,858.5,865.8,869.6,873.1,876.9,880.2,889,895,900.8,909.5,913.4,921.3,928.1,935.4,949,952.9,951.9,962.8,976.6,979.5,983.7,987.4,998.3,1009,1016.4,1023.5,1028.7,1039.4,1048.3,1073.7,1085,1098.5,1109.4,1123,1141,1148.1,1159.3,1166.6,1174.8,1185.5,1195.6,1205.1,1212.3,1217.2,1220.8,1228.7,1237.2,1239.4,1251.5,1267.3,1282,1304.6,1317.7,1330.4,1338.7,1347.4,1358.3,1373.1,1382.7,1393.7,1403.7,1409.5,1418.6,1422.5,1430.5,1438.3,1447.7,1458.3,1470.4,1484.5,1500.2,1511.8,1523.8,1534.7,1543.3,1551.4,1564.8,1576.9,1594.1,1609.8,1625,1640.5,1658.8,1660.6,1668.4,1675.8,1677.9,1684.6,1696.6,1701,1708.9,1721.4,1726.6,1730.1,1749.8,1756.5,1768.9,1781.2,1794.6,1811.6,1824.5,1837,1843.8,1853.9,1858.2,1856.5,1851.9,1848.9,1850.4,1857.3,1872,1890.6,1909.7,1918.7,1920.1,1909.8,1907.5,1914.1,1923.1,1930.1,1931,1928.6,1932.3,1938.2,1947.6,1952.4,1956.8,1958.6,1959.5,1961.2,1962.1,1968.1,1967.7,1970.2,1975.2,1978.4
"14","6","  Households","B701RX1",346.9,351.7,355.1,358.3,358.2,358.9,362.1,367.6,372.6,376.2,381.7,387.7,391.7,394.7,396.9,400.3,403,406.9,412,417.2,423.5,426.9,430.3,434.3,437,440.8,443.5,445.1,445.8,448.2,449.8,449.6,441.5,445.8,453,456.1,467.5,472,476.4,484.5,487.5,488.3,491.3,494.6,501.3,507.2,510,511.8,513,514.6,514.9,517.8,518.4,518.8,522.1,522.3,526.7,529.4,532.6,542.3,543.1,539.8,550,561.4,566.2,568.9,570.1,575.5,579.9,581.2,584.9,585.6,591.5,593.3,608.3,613.3,618.2,621.8,627.4,637.9,639.3,644.4,646.9,648.6,652.1,656.2,659.3,662.6,664.5,665.5,671.4,675.8,675.2,683.4,691.9,698.2,710.5,714.3,721.3,728.4,738.6,747.5,759.1,766.2,772.2,778,780.6,786.2,788.9,792.6,797.4,802.6,807.8,813.5,820.2,827.8,829.6,835.9,842,848.5,857.7,868.6,878,888.3,897.9,907.1,917.4,928.8,935.3,942.6,948.9,947.2,947.1,951,950.7,956.3,967.1,972.9,975.9,991.6,998.3,1009.1,1020.7,1033.7,1050,1062,1072.3,1081.2,1091.4,1095.3,1094.3,1089.4,1082.7,1079.9,1083.5,1092.7,1104.3,1116.5,1120.5,1121.3,1110.8,1106.2,1108.8,1114.5,1118.2,1117.3,1113.1,1113.2,1117.6,1120.6,1118.4,1119.4,1117.5,1115.8,1116.1,1114.4,1117.7,1116.5,1120.5,1123.7,1126.7
"15","7","  Nonprofit institutions serving households \3\","B702RX1",252.5,254.6,255.9,255.9,255.5,255.1,257.5,260.1,264.5,266.8,267.7,267.3,271.6,274.8,278.3,280,282.1,284.7,287.3,290.4,292.3,294.9,297.3,299.6,304.9,308.3,311.3,312.8,312,312.5,313.7,315.4,318.3,319.3,320.6,321.7,322.7,325.7,327.5,330.3,334.4,338.7,341.9,343.1,346.7,348.2,352.9,354.9,357.4,359.6,362.9,369,374.8,380.6,386.4,390.3,393.9,398.3,402.6,406,409.3,412.1,412.2,414.1,411.9,413.3,416,421.5,428,434.5,438,442.9,447.6,455.1,465.4,472,480.9,488.6,496.8,504.3,510.3,516.6,521.6,528.6,536.1,542.4,549,553.1,556.1,558.9,560.7,564.9,567.8,571.6,579,587.5,598,607.7,613.4,614.4,612.2,614,616.7,619.2,624.2,628.4,631.7,635.1,636.3,640.6,643.6,647.9,653.3,659.9,667.4,675.7,686.2,691.9,696.7,698.6,696.9,699,701.4,708.2,714.2,720.3,725.3,732.1,726.8,727.1,728,732,739.3,747.6,752.6,754.7,756.2,755.4,755.7,759.4,759.2,760.7,761.1,761.5,761.9,762.6,764.7,762.5,762.4,762.7,762.1,762.4,766.1,770.5,773.8,779.2,786.2,793.1,798.2,798.8,798.9,801.2,805.4,808.6,811.9,813.7,815.4,819,820.7,827,833.9,837.3,840.9,843.6,844.9,847.5,850.2,851.1,849.5,851.3,851.6
"16","8","General government \4\","A765RX1",1129,1138.4,1147.8,1152.4,1146.1,1146.8,1148.3,1149.2,1150.8,1148.9,1149.9,1151.3,1145.4,1145.4,1150.6,1157.5,1154.3,1153.8,1154.8,1161.3,1172.8,1177.2,1181.3,1187.3,1195,1197.1,1199.7,1201.1,1204.2,1206.1,1210.9,1215.9,1217.2,1219,1225.3,1229.5,1237.2,1241.2,1250.7,1258.7,1260.8,1258.9,1259.4,1269.1,1276.2,1283.9,1284.7,1282.1,1283.9,1286.9,1295.2,1299.8,1303.4,1307.7,1308.3,1310.9,1316,1318.8,1321.9,1321.5,1326.1,1334.7,1345.5,1352.8,1363.3,1374.2,1390.4,1397.8,1405.7,1414.2,1423.1,1436.1,1442.4,1450,1456.7,1472.5,1485.9,1491.1,1499.5,1511.1,1519.4,1528.6,1540.2,1548.7,1563.1,1569.8,1578.3,1581.3,1591,1590.4,1588.2,1588.7,1594.2,1595.9,1599.3,1597.4,1601.3,1601.1,1601.9,1599,1601.4,1603.5,1604.9,1600.8,1606.2,1608.2,1608.3,1598.4,1597.4,1613,1612.5,1612.5,1615.9,1618.8,1623.7,1625.5,1631.4,1637.2,1642.5,1645,1648.4,1649.4,1655,1662.4,1671.3,1684.8,1682.2,1685.2,1696.4,1707.5,1717.3,1723.5,1732.5,1741.3,1748.6,1751.6,1760.6,1765.6,1766.6,1767.9,1771.9,1775,1778.8,1785.7,1790.1,1791.6,1796.2,1798.5,1798.8,1802.9,1813.6,1820.9,1823.8,1829.3,1837.4,1848.2,1858,1865.7,1879.7,1888.4,1896.3,1909.1,1910.4,1914.7,1917.2,1925.8,1918.4,1916.5,1915.4,1913,1909.8,1910.7,1912.2,1910.7,1913.7,1911.6,1910,1909,1903.8,1897.3,1907.2
"17","9","  Federal","A766RX1",493.2,496.4,499.4,497.6,487.4,482.8,478.7,474.4,471.1,465.6,461.1,456.6,450.4,444.8,444.7,445.6,439.5,434.8,430.9,431.2,435.3,434.9,434.2,434.8,434.4,433.5,433.4,433.7,434.7,435.2,435.7,436.4,436.3,437.1,438.9,439.3,442.1,444.3,445.8,445.3,445.2,445.6,446.6,446.6,449.5,455.2,456.4,455.2,458.9,461.1,463.9,465.6,467.3,470.1,473.2,476.1,480,483.1,486.5,487.7,491.6,495.9,500.1,503.1,507.8,512.9,518,520,523.6,526.1,529.4,532.7,538.1,541.9,548,552.8,554.3,553.7,556.4,560.4,561.5,563.6,566.8,569,573.6,574.9,577,576.9,584.1,580.9,577.1,574.7,573.5,571.2,569,566.3,566.3,563.1,559.6,553.8,552.2,547.5,543.9,537.6,534.5,532.7,529.7,515.2,515.5,519.2,516.6,511.6,510.2,508.4,507,502.3,502.3,501.7,501.7,501.3,501.2,497.8,496.7,496.5,499.1,507.1,499.6,497.7,501.5,503.4,504.2,503,507.3,510.3,513.4,515.5,521.4,525.4,526.6,527.7,530.5,531.2,534.1,537.9,539.6,539.7,540.5,543.4,541.5,542.9,547.7,549,549.4,550,555.2,558,563.4,569.3,577.7,586.3,592.6,603.6,607.5,610.8,617.5,627.4,625.4,626.7,629.3,630.3,630.3,631.8,631.7,630.5,629.6,628.5,626.6,624.1,617,609,617.7
"18","10","  State and local","A767RX1",603.6,609.8,616.3,623.7,630.2,637.2,644.3,651.1,657.4,662.8,670,677.7,679.6,687.3,693.6,700.1,705,710.9,717.5,724.6,732.1,737.6,743.2,749.1,758.5,762,765.1,766.4,768.4,770,774.8,779.4,781,781.9,786.6,790.7,795.7,797.2,805.8,815.5,817.9,815.3,814.5,825.3,829.5,830.6,829.9,828.5,825.6,826.1,831.6,834.5,836.2,837.4,833.9,833,833.5,832.6,831.7,829.6,829.8,833.7,840.3,844.5,850,855.5,866.9,872.4,876.4,882.6,888.1,898.1,898.4,901.9,902,913.1,925.5,931.6,937.3,945,952.5,959.6,968.2,974.6,984.4,989.9,996.3,999.5,1001.7,1004.5,1006.4,1009.5,1016.4,1020.7,1026.5,1027.4,1031.3,1034.5,1039,1042.1,1046.3,1053.3,1058.5,1061,1069.8,1073.7,1077,1082.2,1080.8,1092.8,1095,1100.4,1105.3,1110.1,1116.6,1123.3,1129.4,1135.8,1141.1,1144,1147.5,1152.1,1159,1166.6,1172.9,1178.3,1183.3,1188.2,1195.6,1204.8,1213.9,1221.2,1225.9,1231.7,1235.9,1236.8,1239.9,1240.7,1240.5,1240.7,1241.7,1244.2,1245.1,1248.1,1250.8,1252.3,1256,1255.4,1257.6,1260.3,1266.2,1272.1,1274.8,1279.7,1282.5,1290.4,1294.8,1296.6,1302.1,1302.1,1303.7,1305.5,1302.9,1303.9,1299.7,1298.4,1292.9,1289.8,1286,1282.6,1279.4,1278.8,1280.4,1280.2,1284.1,1283,1283.3,1284.9,1286.8,1288.4,1289.5
"19","11","Residual","A961RX1",-136.4,-141.4,-143.4,-150.1,-150.3,-150.7,-149.6,-159,-150.4,-150.1,-150,-153.2,-152.5,-140.1,-142.3,-135.6,-139.8,-130.3,-155.5,-122.2,-158.8,-156.9,-168.1,-174.5,-175.3,-171.5,-165.1,-161.3,-154.3,-153.9,-155.1,-152.8,-146.5,-133.8,-128.3,-126.2,-142.6,-122.8,-116.7,-128.5,-120.6,-121.4,-115.5,-119.5,-125.6,-145.5,-154.9,-141.9,-117.8,-120.2,-102.8,-120.6,-136.8,-137.5,-144.9,-144.8,-148.5,-151.9,-150.2,-136,-113.9,-97.9,-95.1,-95,-88.2,-86.1,-77.6,-82.2,-83.4,-89.1,-84.5,-89.2,-89,-87.3,-88.3,-87.7,-93.3,-94.5,-99.6,-103.1,-91.9,-92.2,-92.6,-96.2,-94.6,-97.9,-101.7,-108.5,-116.8,-113.2,-112.1,-110.5,-102.1,-96.8,-95.9,-95.2,-103.8,-102.8,-110,-96.5,-86.9,-81.9,-82,-79.7,-86.3,-87.8,-85.9,-79.9,-72.3,-65.6,-64.3,-59.4,-55.9,-48.9,-43.9,-44.1,-44.6,-43.4,-38.6,-31.6,-28.1,-24.7,-21.2,-15.9,-17.3,-12.3,-13.1,-13.5,-16.6,-17.9,-22,-19.6,-20.8,-19.9,-19.4,-19.4,-18.6,-15.4,-12.3,-13.6,-5.5,-11.7,-8.5,-5.7,-5,-4.2,-3.1,-2.4,-0.5,-1,-0.7,0.1,-0.4,-1.2,-3,-1.8,1.3,-1.8,-3.3,-0.6,-0.3,0.2,-0.1,0.2,0,0.6,0.5,-1.6,-0.4,-6.1,-5.7,-1.3,-2,-1.8,-7.2,-12,8,9.4,11.4,9.2,3.4
"20",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","12","  Gross housing value added","A2009X1",442,448.1,453.4,458.1,460,462.8,467.5,473.3,478.6,484.5,491.3,499.1,505.3,510,514.2,519.1,522.4,526.8,531.7,537.2,545.7,553,560,566.3,569.5,572.9,576.6,579.2,580,581.5,581.9,581.2,583.8,588.1,592.4,597.7,610.5,615.3,616.5,622.4,628.3,631.1,635.3,640.7,648.1,656.9,664.2,668.8,671,673.2,673,680,684.1,683.5,690.8,694.7,698.1,702.5,709.5,717,717.2,715.1,726.1,746.7,754.1,757.2,768.9,777.4,782,787.5,789.9,790.7,801.4,801.6,816.2,820.1,827.1,832.1,838.1,848.2,847.9,852.2,854.6,857.1,862.4,867.9,873,877.8,881.8,884.9,892.9,898.9,900.5,909.8,919.2,926.5,936.7,940.6,947.6,955.1,966.6,976.5,990.4,999.5,1008.9,1016.9,1021.1,1027.5,1029.9,1033.6,1038.5,1043.8,1049.8,1056.5,1064.3,1072.7,1075,1081.9,1088.8,1096.2,1106.9,1119,1129,1139.3,1148.1,1157.6,1168.4,1180.6,1189.7,1198.3,1205.4,1204.3,1203.5,1205.6,1202.7,1205,1211.9,1215,1216.8,1232.8,1240.7,1253,1266.4,1280.9,1299.3,1313.2,1325.1,1335,1346.7,1352.7,1354.8,1354.2,1352,1353.1,1359.3,1370.2,1383.1,1397.2,1404.4,1409.3,1403.7,1403.4,1410,1419,1425.5,1428.1,1428.4,1434,1444.4,1453.1,1455.8,1460.8,1462.5,1463.7,1465.8,1464.9,1469.8,1470.6,1476.7,1482.3,1487.9
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
