"","Table 5U# BEA Retail and Food Service Sales","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100"
"15","7","S1   Furniture, home furnishings, electronics and appliance stores","T050070",24520,25126,25287,25541,26474,27227,28125,28378,29180,30531,31651,33021,33128,33508,34324,35230,35069,36162,36449,36520,36665,37610,38350,38901,39693,39806,40578,41153,41705,42706,43918,44484,46102,46316,46162,45215,45379,44844,45087,46480,47387,47483,46929,47271,46321,47858,49326,50459,51164,52123,53219,53825,54797,55589,56619,57430,59114,58837,59280,59445,59692,59057,59147,59425,57700,57848,55577,52625,51257,48946,48388,49000,49911,50183,50077,49866,50328,50807,51254,51994,52632,52472,52756,52835,53836,53612,54111,54375,54085,55502,55942,56420,55775,56343,56585,56532,56246
"16","8","S1     Furniture and home furnishings stores","T050080",13621,13795,13789,13799,14338,14558,14673,14804,15021,15704,16212,16554,16304,16449,16887,17267,17081,17761,18027,18216,18525,18968,19327,19711,20077,20176,20340,20914,21292,21762,22530,23002,23833,24217,24322,23670,24140,23939,23924,24333,24964,24913,24659,24928,24473,25397,25893,26366,26755,26999,27693,28002,28173,28649,29184,29602,30160,30016,30198,29815,30101,29696,29423,28874,27777,27420,26025,24589,23333,22892,22706,22727,23181,23242,23286,23172,23490,23740,23993,24294,25129,24887,24984,25017,25554,25618,26174,26395,26036,26847,26998,27419,27559,28252,28543,28901,28842
"17","9","S4       Furniture Stores","T050090",8262,8383,8349,8360,8641,8841,8829,8941,8975,9301,9579,9716,9558,9630,9949,10088,9991,10433,10463,10529,10736,10983,11174,11478,11668,11630,11659,11847,12142,12200,12632,12829,13310,13559,13575,13161,13384,13333,13313,13577,13815,13776,13381,13486,13291,13674,13912,14167,14428,14625,14973,15204,15170,15462,15873,16019,16146,16016,16220,16021,16125,15987,15736,15444,14909,14660,13848,12971,12569,12233,12210,12301,12544,12615,12606,12638,12743,12776,12832,13054,13737,13490,13465,13192,13249,13609,13935,14012,13730,14310,14431,14830,14726,15166,15405,15563,15408
"18","10","S4       Home furnishings stores","T050100",5359,5413,5440,5439,5697,5717,5845,5863,6046,6403,6633,6838,6746,6819,6938,7178,7090,7328,7564,7687,7789,7985,8152,8233,8410,8546,8680,9067,9150,9562,9898,10173,10523,10658,10747,10509,10757,10606,10611,10756,11149,11137,11278,11442,11183,11722,11981,12198,12327,12374,12720,12798,13003,13187,13311,13583,14014,14000,13977,13794,13976,13709,13687,13430,12868,12759,12177,11618,10763,10659,10497,10426,10637,10627,10680,10534,10747,10963,11161,11240,11392,11398,11519,11825,12305,12009,12239,12383,12305,12537,12567,12589,12833,13086,13138,13338,13434
"19","11","S1     Electronics and appliance stores","T050110",10898,11331,11499,11742,12136,12669,13452,13573,14159,14827,15439,16467,16824,17059,17437,17963,17988,18401,18421,18304,18140,18642,19023,19190,19616,19630,20238,20239,20412,20943,21388,21482,22269,22099,21840,21545,21239,20905,21163,22147,22423,22570,22270,22343,21848,22462,23433,24093,24409,25124,25526,25824,26624,26941,27435,27828,28954,28821,29083,29630,29591,29361,29723,30551,29923,30429,29552,28036,27924,26054,25682,26272,26730,26940,26791,26693,26838,27067,27261,27700,27502,27585,27772,27818,28282,27994,27937,27980,28050,28656,28944,29002,28216,28091,28042,27631,27404
"20","12","S1   Building material and garden equipment and supplies dealers","T050120",34448,34003,34403,34662,35723,36649,37316,38736,39289,41166,41844,43097,43114,42474,43342,44968,44447,46002,47161,47675,49080,49940,50828,51314,52013,52764,53302,55014,56270,56525,57607,59686,62106,59839,59883,60033,61610,63643,62599,63369,64508,66137,65353,65251,66044,68092,71329,72535,74619,78037,78841,80105,82418,84631,85041,87373,93240,88828,86340,85866,86822,85143,84690,83273,81504,82151,81870,76421,73010,71993,70226,68264,68830,72990,70649,72623,70810,73575,75048,77025,79518,75668,76729,79572,81756,83270,84468,83482,84726,88087,88562,89657,90408,89903,92301,94379,98660
"21","13","S2     Building material and supplies dealers","T050130",28842,28734,29252,29485,30647,31444,31921,33228,33605,35334,36293,37510,37275,36625,37093,38587,38145,39349,40217,40655,41824,42713,43204,43566,44196,44960,45823,47047,48469,48826,49850,51557,53376,52253,51868,51653,53018,55449,54772,55359,56475,58031,57287,57273,57895,59754,62866,64311,65947,69431,70126,71251,73723,75728,76263,78648,84473,79812,77430,76834,77323,76111,75154,73261,71621,72119,71003,66124,63072,62089,61194,59568,59495,62762,60423,61830,60518,62674,63942,64935,67108,64401,64920,67196,68933,70849,71234,71005,71679,74176,75174,75963,76907,76242,78148,80671,83647
"22","14","S3     Lawn and garden equipment and supplies stores","T050140",5605,5269,5151,5177,5076,5205,5395,5508,5683,5833,5551,5587,5839,5849,6249,6381,6302,6653,6944,7020,7256,7226,7624,7748,7817,7804,7479,7967,7801,7699,7757,8129,8731,7586,8015,8379,8592,8194,7826,8010,8034,8107,8067,7979,8149,8339,8463,8224,8673,8606,8715,8854,8695,8903,8779,8726,8767,9016,8910,9032,9499,9032,9536,10011,9883,10033,10868,10297,9938,9904,9032,8696,9335,10228,10226,10793,10292,10901,11106,12090,12410,11266,11809,12377,12823,12422,13234,12477,13048,13910,13387,13694,13501,13661,14153,13708,15013
"23","15","S1   Food and beverage stores","T050150",93974,94720,95581,95828,95945,96074,96231,96746,97391,98403,99116,99378,99962,99967,100139,100735,101622,102176,103057,103792,104715,104420,105151,105269,104990,105988,107220,108290,109347,110492,111210,112859,110718,113516,114095,115862,116965,118072,118760,119779,119296,118669,118745,119316,120634,120553,122207,122061,123846,124874,125780,127482,128640,129980,131021,132295,133148,134528,135526,137865,139072,139850,141055,143438,144347,146246,147496,146078,145395,145709,146112,147427,148757,148146,148591,151102,154123,156410,157436,158198,159764,161228,161879,163068,164345,164310,165742,166587,167425,168925,170621,172343,173246,174251,175101,175347,176334
"24","16","S1     Grocery stores","T050160",85690,86152,86802,87011,87195,87388,87590,88203,88737,89608,90268,90459,91178,91234,91269,91683,92373,92915,93781,94571,95265,94959,95463,95511,95105,96039,97202,98178,99229,100227,101018,102396,100043,102564,102933,104679,105505,106590,107191,108083,107584,106881,106963,107584,108910,108639,109926,109556,111169,112022,112927,114586,115644,116771,117732,118760,119247,120683,121536,123515,124514,125156,126248,128445,129502,130995,131925,130679,130052,130323,130697,131934,133074,132345,132714,135025,137973,140099,140915,141516,142726,143944,144725,145558,146631,146733,147803,148508,148946,150124,151567,152977,153648,154476,155095,155437,156364
"25","17","S3     Specialty food stores","T050170",2762,2919,3002,2942,2953,3006,2988,2923,2919,2952,2970,3077,3035,2984,3046,3124,3137,3144,3117,3181,3271,3148,3299,3247,3277,3335,3300,3292,3308,3308,3209,3353,3414,3521,3523,3507,3648,3696,3794,3787,3751,3844,3910,3895,3888,3994,4114,4187,4314,4350,4315,4277,4325,4443,4393,4381,4442,4333,4427,4632,4639,4561,4642,4842,4628,4820,4945,4776,4717,4774,4740,4721,4763,4844,4892,4984,4958,5105,5129,5247,5280,5354,5415,5437,5507,5339,5472,5588,5851,5937,6092,6298,6359,6399,6494,6343,6472
"26","18","S2     Beer, wine, liquor stores","T050180",5522,5649,5778,5875,5798,5680,5652,5619,5734,5844,5878,5842,5749,5749,5824,5928,6112,6117,6159,6041,6179,6313,6389,6512,6609,6614,6719,6820,6809,6956,6983,7110,7261,7430,7639,7676,7812,7786,7776,7910,7961,7944,7872,7837,7836,7920,8167,8318,8362,8501,8539,8618,8670,8767,8896,9154,9459,9512,9563,9717,9919,10134,10164,10151,10216,10432,10626,10623,10626,10613,10675,10772,10920,10956,10985,11093,11192,11206,11392,11435,11757,11931,11739,12073,12206,12238,12467,12490,12628,12864,12963,13067,13239,13376,13512,13568,13498
"27","19","S1   Clothing and clothing accessories stores","T050190",30675,31138,31899,32232,32315,32744,33265,33072,33574,33337,33935,34726,34133,34498,34620,35084,35660,36155,36069,36197,36485,36114,37335,37882,38504,39237,39225,40092,41012,42060,42240,42594,42870,43970,44464,44938,44404,44264,43714,44368,45343,45326,44834,46125,45625,46570,48074,48548,49841,49502,49728,50985,51841,52915,52465,54493,55066,55768,56703,57635,58335,58161,58516,58736,58160,58852,57841,54293,54005,53529,54409,54480,55555,56092,56200,57980,58889,60383,60939,61533,63258,62551,63391,63718,64642,65145,64980,65303,64857,66038,66363,66920,66631,68000,68096,67626,67759
"28","20","S2     Clothing stores","T050200",21421,22184,22911,23080,23188,23285,23348,23330,23542,23511,23726,24202,23913,23820,23971,24156,24454,24795,24771,25008,25292,25243,26175,26503,26862,27491,27523,28083,28831,29702,29676,29729,30078,30959,31296,31914,31553,31592,31178,31774,32255,32290,32056,33134,32800,33566,34536,34829,35879,35627,35968,36953,37578,38393,38086,39492,39688,40411,41126,41937,42751,42484,42650,42879,42336,42805,42056,40043,40177,39618,40280,40360,41202,41738,41762,42944,43457,44219,44650,45476,46756,46337,46799,46806,47670,47794,47743,47528,47005,48317,48739,49558,49287,50278,50262,49702,49729
"29","21","S2     Shoe stores","T050210",4977,4796,4762,4865,4829,4914,4994,5063,5177,5019,5207,5311,5116,5368,5320,5382,5476,5583,5551,5516,5611,5469,5606,5691,5778,5739,5762,5917,5928,5970,5922,5855,5916,5928,5967,5979,5840,6036,6012,5958,6125,6114,5982,6004,5952,6016,6277,6230,6271,6227,6187,6276,6428,6636,6656,6948,6966,6999,7123,7189,7090,7020,7129,7061,7014,7316,7103,6714,6605,6517,6683,6668,6906,6925,6954,7131,7214,7370,7460,7596,7915,7700,7903,7884,7987,8344,8346,8532,8577,8610,8574,8508,8528,8549,8642,8726,8765
"30","22","S3     Jewelry, luggage, and leather goods stores","T050220",4277,4158,4227,4287,4299,4546,4923,4679,4855,4808,5003,5213,5104,5310,5329,5547,5730,5777,5747,5672,5583,5402,5554,5688,5865,6007,5941,6093,6253,6388,6642,7010,6876,7083,7200,7045,7011,6635,6524,6636,6964,6923,6797,6988,6874,6988,7260,7489,7691,7648,7573,7757,7834,7887,7723,8053,8412,8358,8453,8510,8495,8657,8737,8796,8810,8731,8682,7537,7223,7394,7445,7453,7448,7429,7483,7905,8218,8794,8828,8461,8587,8514,8689,9028,8985,9007,8891,9244,9275,9111,9050,8854,8817,9173,9192,9198,9266
"31","23","S1   General merchandise stores","T050230",64256,64838,65394,67584,67964,69873,71360,72635,73682,74413,75670,77392,77769,78949,80201,80334,80612,82670,83531,85105,86456,86412,88380,88980,90519,92277,92735,94869,98189,98934,100745,102714,103294,105170,107225,109226,110266,111609,113466,116048,116895,117988,117359,119196,120316,122030,125852,126152,128448,129187,130651,133707,135815,138910,140347,143157,144686,145845,146685,149032,151571,151921,153792,155428,155666,159473,159082,156588,156076,155205,155554,157227,159587,159317,159537,161781,163076,165807,166692,167436,170635,169759,170472,170848,172942,172934,173900,174299,174506,177832,178202,178160,176460,177663,180350,180191,179060
"32","24","S1     Department stores","T050240",46187,46725,46936,48028,48299,49518,50469,51129,51987,52079,52777,53528,53633,54103,54988,54657,54468,55660,55998,56972,57692,57486,58555,58701,58646,58977,58582,59374,60818,60418,60833,60736,60739,60996,60880,61731,60909,60119,60231,60242,59577,59078,57525,57394,56159,56348,57412,56399,56757,56339,56794,57304,57394,57729,56792,57465,57402,56972,56416,56437,56832,55797,55748,55164,53761,54077,52847,51541,50325,49919,49727,49869,50157,49702,49107,49608,49497,50075,49205,48867,48815,47692,47658,46838,47061,46151,45880,45935,44928,45927,45367,45169,44745,44537,44540,44146,43087
"33","25","S2     Other general merchandise stores","T050250",18070,18113,18458,19556,19665,20355,20891,21506,21695,22333,22893,23863,24136,24846,25213,25678,26144,27010,27533,28132,28764,28926,29825,30280,31873,33301,34153,35496,37371,38516,39912,41978,42554,44174,46345,47495,49357,51490,53235,55805,57319,58911,59835,61803,64157,65682,68439,69753,71691,72848,73857,76403,78422,81181,83555,85692,87284,88873,90269,92595,94739,96124,98044,100264,101905,105396,106235,105046,105751,105286,105826,107358,109430,109615,110430,112173,113579,115733,117487,118568,121820,122067,122815,124010,125881,126783,128020,128364,129578,131905,132836,132991,131716,133126,135809,136045,135973
"34","26","S1   Other retail stores","T050260",107238,108920,111117,113677,115009,116374,117071,120038,122041,124375,129081,130709,131661,134333,136174,137987,140279,146024,146134,151631,153878,153393,155534,156975,156741,159209,162060,164620,167852,173123,177835,185934,192064,195250,199777,204998,202148,203803,200247,196772,198158,205357,207883,211814,217975,214510,220640,224762,231741,236562,240235,250181,253549,258062,271962,278532,284257,291226,294201,288987,296076,305411,308603,320770,325991,335249,338898,293125,280195,285096,296877,305865,311204,312792,315696,329305,342388,351131,354418,358342,363360,361622,364753,371165,377047,372178,373163,374770,379866,384317,384238,377598,362015,369294,371455,367312,362866
"35","27","S1     Health and personal care stores","T050270",22739,22826,22673,23011,23225,23484,23679,23990,23979,24286,24873,25188,25407,25875,26035,26562,26841,27623,28117,28843,29604,29805,30631,31090,31820,32581,33507,34337,35192,35918,36418,37951,38114,39186,40025,40995,41465,42144,42634,43806,44898,45670,46292,46817,47526,48252,49680,50418,49801,50385,50717,51361,52589,53164,53805,54600,55393,56336,57206,58766,59329,60128,60943,60883,61783,62412,62909,63049,63680,64376,64324,64880,64620,65558,66614,67645,68533,68671,69466,69555,70115,69653,69488,69577,70681,70852,72274,73504,74061,76190,77435,78166,78476,78978,80352,81227,82211
"36","28","S1     Gasoline stations","T050280",39206,39642,40505,41364,41718,41759,41521,42393,42709,42973,44990,45831,46168,46962,47066,46616,48320,50592,49703,51241,52446,50866,51358,51410,49448,49248,49209,49839,50737,52941,55834,59483,62237,62899,64725,67442,66160,68196,64822,60007,59765,64273,65646,67886,72658,67892,70234,71991,77724,81566,82524,89190,89340,91379,102647,104454,105167,110547,112114,103435,107803,114237,115008,125248,130997,136414,140683,102498,89945,94379,104378,110654,113794,112168,112144,121389,129453,136417,137317,138031,141285,138059,138766,142474,143751,139265,138343,136678,140306,140025,135934,126142,108975,112878,110550,103060,95062
"37","29","S1     Sporting goods, hobby, book, and music stores","T050290",12709,12774,12969,13376,13439,13769,13752,14131,14685,14983,15407,15551,15848,15869,16292,16411,16616,16559,16911,17329,17039,17164,17249,17845,17925,18325,18313,18493,18879,19224,19274,19516,19782,20515,20410,19930,20287,20253,20338,20851,20491,20336,20211,20640,20098,20298,20713,20712,21073,20622,21100,21067,21302,21358,21145,21702,22580,22180,21930,21894,21906,22411,22662,22780,22459,22854,22444,21462,21671,21560,21612,21283,21500,21469,21601,21941,21965,21953,22034,21580,22585,22934,22513,22335,23549,23038,22828,22798,21875,22525,23150,23543,23223,24054,24381,24891,25003
"38","30","S4       Sporting goods, hobby, and musical instrument stores","T050300",8800,8794,8820,9073,8992,9316,9483,9669,10109,10153,10371,10473,10623,10644,10821,11069,11168,10945,11298,11661,11320,11567,11593,11890,11930,12307,12165,12287,12642,12840,12996,13012,13388,13735,13876,13476,13692,13700,13768,14290,13899,13802,13885,14212,13772,13916,14305,14444,14600,14223,14716,14730,14882,15078,14949,15353,16254,15863,15994,16048,16146,16705,16701,16744,16666,17094,16842,16167,16347,16373,16396,16308,16392,16486,16679,17035,17121,17388,17434,17436,18356,18599,18418,18449,19568,19078,19036,19002,18260,18875,19497,19877,19664,20396,20712,21095,21350
"39","31","S4       Book, periodical, and music Stores","T050310",3909,3980,4148,4303,4447,4453,4269,4462,4576,4830,5036,5078,5224,5225,5472,5341,5448,5614,5613,5669,5719,5597,5656,5955,5995,6019,6148,6206,6237,6384,6278,6504,6395,6780,6535,6454,6595,6553,6570,6561,6592,6534,6326,6428,6327,6382,6408,6269,6472,6398,6385,6337,6420,6280,6197,6349,6326,6317,5937,5846,5760,5706,5960,6036,5793,5759,5602,5295,5324,5187,5216,4975,5107,4983,4922,4906,4844,4566,4600,4144,4229,4335,4095,3886,3981,3960,3793,3796,3615,3650,3653,3665,3559,3658,3668,3795,3653
"40","32","S1     Miscellaneous store retailers","T050320",13474,13670,14103,15573,15699,15810,16062,16645,16857,17680,18793,18905,18934,19710,20122,20328,19793,21803,21813,22293,23216,22977,23614,24205,24957,25004,25984,26566,26634,26719,26519,28321,28619,27716,27489,27433,27111,27050,26801,26482,26497,26811,27093,26564,26492,26682,26889,27059,27057,27363,27096,27878,28029,28204,28302,28801,30116,29774,29446,30475,30396,30859,30746,30432,30333,29645,29463,27880,27556,27206,26737,27145,27070,27968,27995,28689,28688,29160,29569,29019,29842,29219,29358,29739,29912,30290,30109,30296,30054,30414,31238,31515,31551,32042,32455,32189,32311
"41","33","S3       Florists","T050330",1499,1548,1621,2012,1826,1673,1650,1654,1709,1756,1754,1710,1715,1791,1763,1723,1819,1881,1867,1907,1922,1916,1914,1940,1965,1945,2057,2035,2099,2073,2038,2028,2107,2122,2205,2166,2161,2118,2048,1966,2071,2027,1939,1854,1877,1789,1809,1839,1718,1824,1813,1771,1748,1859,1896,2017,1972,1966,1866,1929,1992,1897,1918,1870,1847,1769,1833,1614,1533,1552,1506,1522,1456,1531,1530,1535,1531,1409,1397,1360,1371,1400,1514,1518,1575,1540,1394,1508,1521,1766,2134,2098,1996,1979,1966,1653,1523
"42","34","S3       Office supplies, stationery, and gift stores","T050340",5328,5407,5744,6114,6079,6400,6420,6560,6802,7152,7445,7514,7201,7605,7995,8278,7444,8002,8514,8709,8999,8868,8918,9139,9542,9664,10129,10323,10516,10509,10441,10946,11183,11141,11054,11023,10700,10618,10438,10281,10352,10336,10478,10413,10152,10305,10223,10169,10523,10479,10441,10385,10433,10758,10648,10674,10842,10770,11011,11430,11191,11077,11017,10890,10699,10591,10360,9722,9670,9577,9459,9321,9394,9492,9524,9664,9557,9538,9375,9560,9697,9432,9042,9361,9161,9398,9418,8964,9089,8922,9169,9032,9135,9273,9169,9142,8964
