"","Table 6#16D# Corporate Profits by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 27, 2008    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/26/2008 9:34:51 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"8","1","    Corporate profits with inventory valuation and capital consumption adjustments","A051RC1",801.6,851.3,817.9,767.3,886.3,993.1,1231.2,1372.8,1553.7,1595.2
"9","2","Domestic industries","A445RC1",698.7,729.8,672.2,597.6,730.5,827.7,1037.8,1154.6,1296.4,1257.7
"10","3","  Financial \1\","N587RC1",154.5,183.5,184.7,240.4,301.1,335.6,356.2,405.5,482.2,473.4
"11","4","  Nonfinancial","N463RC1",544.1,546.3,487.5,357.2,429.4,492.1,681.6,749.1,814.3,784.3
"12","5","Rest of the world","B394RC1",103,121.5,145.7,169.7,155.8,165.5,193.4,218.2,257.3,337.6
"13","6","  Receipts from the rest of the world","B933RC1",147,176.8,202.5,182.6,204.4,249.1,316.4,358.7,419.8,491
"14","7","  Less: Payments to the rest of the world","B934RC1",44,55.3,56.8,12.9,48.6,83.6,123,140.6,162.5,153.4
"15","8","    Corporate profits with inventory valuation adjustment","A052RC1",738.5,776.8,759.3,719.2,766.2,894.5,1161.6,1543.4,1769.5,1830.5
"16","9","Domestic industries","A390RC1",635.5,655.3,613.6,549.5,610.4,729,968.2,1325.2,1512.2,1493
"17","10","  Financial","N392RC1",165.4,194.3,200.2,227.6,276.4,317.3,348.9,423.6,505.3,498.5
"18","11","    Federal Reserve banks","B397RC1",25.2,26.3,30.8,28.3,23.7,20.1,20,26.6,33.8,38.4
"19","12","    Other financial \2\","N398RC1",140.2,168,169.4,199.3,252.7,297.2,328.9,397.1,471.4,460.1
"20","13","  Nonfinancial","N399RC1",470.1,461.1,413.4,322,334,411.8,619.3,901.6,1006.9,994.5
"21","14","    Utilities","N419RC1",32.7,33.1,24.4,24.7,10.6,11.6,18.6,28.4,35.7,44.4
"22","15","    Manufacturing","N400RC1",157,150.6,144.3,52.6,48.2,76,152.7,251.2,293.4,305.7
"23","16","      Durable goods","N406RC1",83.4,72.3,60,-25.4,-9.9,-5.9,38.3,85.1,95.9,121.9
"24","17","        Fabricated metal products","N408RC1",16.7,16.5,15.5,9.9,8.9,7.9,11.9,17.3,20.3,25.2
"25","18","        Machinery","N409RC1",15.6,12.4,8.2,2.7,1.7,1.5,7.2,16,19.3,21.8
"26","19","        Computer and electronic products","N501RC1",3.9,-6.5,4,-48.5,-35.3,-15.6,-4.9,10.1,7.7,8
"27","20","        Electrical equipment, appliances, and components","N410RC1",6.1,6.3,5.6,1.9,-0.1,2.1,0.3,-3.7,-1.9,2
"28","21","        Motor vehicles, bodies and trailers, and parts","N411RC1",6.4,7.3,-1,-9.2,-5,-12.3,-7.6,0.1,-1.1,9.4
"29","22","        Other durable goods \3\","N412RC1",34.6,36.4,27.7,17.8,20,10.5,31.3,45.3,51.7,55.5
"30","23","      Nondurable goods","N401RC1",73.6,78.3,84.3,78,58.1,81.9,114.5,166,197.5,183.8
"31","24","        Food and beverage and tobacco products","N402RC1",21.8,30.7,25.4,28,24.9,23.6,24.2,27.8,29.2,33.4
"32","25","        Petroleum and coal products","N404RC1",4.9,1.8,26.9,29.6,1.6,23.3,48.9,89.8,110.4,86.5
"33","26","        Chemical products","N403RC1",25.1,23,14.2,12.6,18.4,19.5,25.4,29.7,37.6,43.9
"34","27","        Other nondurable goods \4\","N405RC1",21.8,22.7,17.8,7.8,13.2,15.5,16,18.7,20.3,20
"35","28","    Wholesale trade","N414RC1",53.2,55.5,59.7,52.1,49.3,55.2,79.2,95.2,97,98.7
"36","29","    Retail trade","N415RC1",66.4,65.2,59.6,71,79.4,86.8,91.1,114.4,124.5,137.5
"37","30","    Transportation and warehousing","N417RC1",21,16.1,14.9,1.3,-0.9,7.3,14.1,28.2,41.9,47.1
"38","31","    Information","N502RC1",20.1,10.5,-17.6,-25.6,-8.5,3.2,43.9,74.8,85.4,103.4
"39","32","    Other nonfinancial \5\","N420RC1",119.8,130.1,128.2,145.9,155.8,171.7,219.7,309.5,329,257.5
"40","33","Rest of the world","B394RC1",103,121.5,145.7,169.7,155.8,165.5,193.4,218.2,257.3,337.6
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1. Consists of finance and insurance and bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2. Consists of credit intermediation and related activities; securities, commodity contracts,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","and other financial investments and related activities; insurance carriers and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","activities; funds, trusts, and other financial vehicles; and bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","3. Consists of wood products; nonmetallic mineral products; primary metals; other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","transportation equipment; furniture and related products; and miscellaneous manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","4. Consists of textile mills and textile product mills; apparel; leather and allied products;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","paper products; printing and related support activities; and plastics and rubber products.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","5. Consists of agriculture, forestry, fishing, and hunting; mining; construction; real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","estate and rental and leasing; professional, scientific, and  technical services;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","administrative and waste management services; educational services; health care and social",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","assistance; arts, entertainment, and recreation; accommodation and food services; and other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","services, except government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Note. Estimates in this table are based on the 1997 North American Industry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
