"","Table 7#3#5# Farm Sector Output, Gross Value Added, and Net Valu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/22/2014 10:56:26 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","Farm output","A2000C1",49.5,51.8,55.4,63.4,91.3,92,94.4,96.1,99.5,117.6,140.5,137.8,152.6,147,130,154.9,147.7,139.2,147.1,153.7,171.9,179.9,175.3,182.6,182.2,197.5,191.9,215.8,219.4,207.8,199.9,204.3,212.3,201.9,226.8,261.8,253,255.8,302.5,336.1,301.2,328.2,387,405.3,426.5
"9","2","  Cash receipts from farm marketings","A2001C1",48.2,51.3,52.4,61.6,87.9,92.8,88.9,94.7,92.7,113.3,133.4,140.3,139.6,135.3,140.2,144.6,136.3,135.3,147.6,159.4,166.1,171.9,170.6,172.3,182.4,181.1,194.3,201.5,208.7,198.1,191.8,197.6,201.9,195.8,215.5,240.2,241.4,245.5,290,318.9,289.8,322.2,369.1,395.6,399.9
"10","3","    Crops","B1005C1",19.6,21.8,21.9,26,42.1,51.4,45.8,48.4,45,54.2,64.2,72.3,70.5,65,70.6,71.7,66.5,63.7,71.6,79.8,82.5,82.8,84.8,86.6,91.8,92.8,107,108.6,112.2,103.9,96.1,98,95.2,101.8,109.8,116.7,116.5,127,151.5,177.3,169.5,180.6,203.2,224,217.7
