"","Table 5#7#6AU# Change in Real Private Inventories by Industry   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127"
"11","3","    Durable goods","KCBIMD0",21344,9852,11516,10328,4124,6684,10184,4452,12172,5680,6872,13148,-4620,-3332,7844,-6108,-876,-6904,-5404,-9204,1704,2940,12600,7780,15080,17316,24600,22692,10408,11052,15824,20640,908,-8360,-16668,-13488,-816,8776,10580,17340,2720,1640,9140,5448,8952,17284,14120,16256,17576,17040,8468,15828,9164,2832,-13748,1748,9456,-3408,10504,-8324,-16844,-5084,-10424,-23992,-30932,3728,1744,15640,19232,32568,33240,13776,-5288,-588,-5932,-14000,-5572,-3284,-8160,-6108,-2184,4756,7124,13556,9120,10292,10300,24336,19596,14344,7936,3524,10144,5340,7176,-1108,-10512,-16480,-5984,-8528,-12280,-8388,-2220,-12268,1012,6880,7548,1112,8936,12016,7076,12156,13892,10300,12796,11100,17552,2468,14372,8356,10216,18396,16648,20656
"12","4","      Lumber and wood products","KCBI240",-500,1368,-1292,-68,-772,-692,-312,840,-464,3208,2804,804,-8,1124,2680,904,-204,244,632,-2320,1416,316,-2132,4,-1516,360,-356,1796,-1324,2896,3292,-1580,-2168,-552,496,-1536,1196,1252,1184,736,1196,-1412,-1180,1088,268,80,-972,1196,1008,592,-1096,1692,360,-1592,940,780,-652,1320,-320,-2720,-3044,-332,-56,-716,1752,728,1092,416,1548,-432,1080,656,-1316,852,92,672,2352,-1468,312,92,704,-112,-1900,-256,1300,64,-1188,908,-2140,1048,228,-1956,52,756,2544,-1880,-1552,-1752,144,-724,-16,656,-1516,-636,1208,-248,1460,920,1600,572,-1092,-276,-668,-540,2200,1184,80,660,16,-1076,-224,172,2108,352
"13","5","      Furniture and fixtures","KCBI250",352,-16,-112,664,124,188,216,-244,468,672,780,120,324,44,304,476,-32,816,-16,-180,648,420,516,432,752,584,124,252,408,-56,68,-208,-1004,-1472,-484,632,772,576,-432,760,-260,788,200,20,304,436,980,-132,708,-124,-132,188,228,-76,-296,-208,104,288,372,120,-468,12,-716,-448,-512,780,964,856,788,432,1044,468,464,-140,156,-376,-164,36,-828,1392,36,624,344,484,1632,-456,276,-892,320,72,140,-520,-24,628,-704,280,-1228,-984,60,548,-520,632,-8,-40,676,296,276,-500,980,-464,236,424,364,136,-420,-72,-1136,344,380,228,-328,496,-68,288
"14","6","      Stone, clay, and glass products","KCBI320",732,416,-680,-584,-1928,-896,496,2980,2612,452,-720,-1292,1172,-236,1020,-460,-4,260,-472,-136,-312,636,876,136,124,1140,548,1300,1180,2132,1508,172,888,-1228,-720,852,-1984,1188,732,1316,-1640,868,528,112,1840,-228,1252,596,92,1064,-860,480,1244,-112,-2056,636,600,-560,1540,-1856,-948,-1112,-484,-688,-244,104,296,1012,464,1700,1532,564,792,660,-708,-860,-496,464,-536,648,656,-256,-208,128,-500,100,1036,364,612,540,156,-592,-396,176,832,1040,-692,-500,-728,320,-580,672,268,-464,-344,-696,-568,-288,76,-1632,444,1196,960,2248,1000,-1420,356,-380,380,1208,624,768,-588,264
"15","7","      Primary metals","KCBI330",2576,5828,232,304,-948,-3928,168,704,-836,1508,1504,-412,-152,4272,2536,4056,5376,-5576,-840,-424,4368,2440,2756,-2092,-4792,-2512,-184,-868,-1732,-288,4976,9912,14372,7100,-3020,704,3164,1088,3724,3256,1300,164,-740,-3648,-6760,3196,2184,1592,-6372,3048,1744,2660,-2088,3800,-8060,448,7476,-2836,6408,2712,-2412,-9892,-5236,-8516,-8104,-820,-2624,916,1940,4480,2200,-5304,-6736,-3828,-2768,-4384,-3052,-1140,-6232,1672,-5264,-824,2064,2432,2960,-1432,3040,2260,3088,3520,-1056,-1172,-1324,576,1764,-736,1188,-1704,-1336,-1272,-1580,-76,568,-2260,108,584,1744,976,-1384,-248,-352,1764,112,856,-1352,-1264,2368,-176,2048,1820,-1724,892,1472,2240
"16","8","      Fabricated metals","KCBI340",2704,0,864,2532,1508,6400,956,2508,-1752,364,-3652,1308,-1620,-3596,2240,-1556,948,5344,-1920,-5236,-1532,-364,1300,2884,4844,3608,2836,2892,2688,4500,1812,7140,324,-2636,-2176,-2476,-976,452,2552,4056,-852,1212,3560,108,2980,1700,1208,700,2596,1488,-692,-112,388,-3800,-3312,2220,-2316,-1964,1408,-2264,-2756,-652,-1304,-9224,-2576,1596,2244,820,1956,2640,1120,1800,-1572,-2400,-344,3044,-1092,2044,-552,-636,1392,-1688,1024,40,120,344,2996,360,2060,-1332,2244,-2768,1672,-2844,-72,-1092,-488,-3620,-452,248,472,804,1600,-2784,456,-1356,1952,-1736,-784,1304,2828,1800,3168,1812,-1020,-1728,2416,-1132,3268,2012,1876,1848,432,2308
"17","9","      Industrial machinery","KCBI350",2536,976,256,924,-1068,812,908,780,3188,1804,2640,2164,1636,896,1440,1056,-956,-768,-1236,-1388,-1460,316,2588,3320,6240,6420,5584,4984,3820,3660,4676,4528,836,-3372,-2608,-5896,-1240,-112,888,2044,328,-248,-36,3512,2916,3696,2680,4924,3940,3484,3208,3396,3220,3616,324,-400,440,-808,2696,444,-1812,-316,-3988,-6348,-5288,-888,-1376,-280,444,4004,4048,2076,-332,-460,-2412,-3552,-1444,-2604,-608,-1100,-748,1652,-800,3004,2368,2892,3388,2544,2244,2188,948,668,288,156,-908,-624,768,-2048,-620,-1892,-1244,568,3716,376,-2204,4324,4524,4672,6164,4344,4892,3872,9768,5544,6108,8840,7128,-900,2296,-1316,2688,5980,2516,5320
"18","10","      Electronic machinery","KCBI360",1600,296,772,1060,384,732,380,372,1532,1392,504,320,-76,-104,784,-276,-1532,-652,-856,-192,76,288,1308,464,3016,3076,3424,2944,2056,560,-60,-668,-2352,-2040,-2236,-1060,172,1712,1508,2348,1592,1932,1124,1624,2088,2828,1856,660,2740,1788,1896,3424,1644,-164,-528,-196,1524,1700,1508,-1036,-1712,-368,-660,-936,-2104,1416,516,3600,1236,2700,3736,1912,-112,-120,-1956,-2920,-1216,440,-432,-1872,516,552,184,1176,-756,-304,384,1632,520,48,1500,1580,488,-348,192,-1172,-1304,-640,-420,-156,976,624,824,100,1252,1496,772,1260,2704,3212,3400,3672,4464,2180,4752,2140,464,2316,1184,1152,3796,5048,5216,2664
"19","11","      Transportation equipment","KCBI370",14028,4252,11988,5776,8112,4260,8500,-3988,3316,-5672,1100,12300,-10880,-8796,-1472,-11032,-1588,-8160,-1344,-2992,916,-2016,4980,284,-284,940,10364,4564,-1404,-4436,-1408,2412,-5432,20,-5256,-2852,-1956,2508,-524,2280,-1500,-3568,5820,-1180,2444,4136,3528,5804,10860,6332,3840,4164,1020,-2920,-3896,-516,2616,-2596,-3916,-7244,-6584,4428,2716,5564,-13076,0,-488,7492,11784,13800,16404,6292,-3808,2160,1952,-4580,1848,-1936,-4348,-6164,408,532,6364,5508,6048,11752,-504,10672,9916,8624,3924,11236,4912,8168,5616,6476,-5900,-8544,-4712,-9272,-12424,-15108,-10652,-8672,240,132,-2220,-5984,-2152,3312,-6328,-1368,-7400,-5844,-3312,-4052,3116,-300,1276,5956,2272,-552,664,3392
"20","12","        Motor vehicles","KCB3710",128,-4372,4436,-492,1932,436,4204,-2872,452,-1660,344,1188,-2312,-4404,2000,1476,-1100,2624,-1836,-552,1236,-992,3136,588,-240,3452,4660,1276,-2420,-3668,364,2036,-4712,-532,-2840,-1140,2316,3816,1416,5552,880,2920,2064,116,-260,980,2064,16,7364,-2576,-1220,-6048,-4752,-5084,-4000,-176,-1392,-2352,-1236,-4144,-2132,-636,-1508,-2188,0,1772,1764,4092,2060,1296,1992,772,-1140,608,468,-1216,-1272,-1092,-1916,1100,148,-32,348,1068,-612,424,-808,1016,1376,80,320,-2104,-1008,1512,88,2984,-628,-1600,40,764,-180,368,2460,-2732,1040,820,700,1416,392,2144,1128,2224,308,200,-1420,1556,2112,-2916,620,32,1552,-100,1492,-1492
"21","13","        Other","KCB37X0",13952,8868,7376,6320,6108,3824,4084,-956,2856,-3936,736,11128,-8492,-4148,-3632,-12732,-420,-11136,644,-2436,-444,-956,1596,-364,-28,-2868,5384,3228,1284,-408,-1820,168,-120,640,-2128,-1616,-4736,-1856,-2200,-4092,-2572,-7108,3612,-1352,2836,3136,1228,6012,2572,9612,5428,11560,6700,2964,660,-360,4328,64,-2616,-2644,-4272,5288,4476,8116,-13316,-1908,-2404,3224,9768,12660,14568,5572,-2644,1540,1480,-3348,3284,-780,-2344,-7508,252,584,6116,4460,6860,11548,368,9780,8612,8736,3648,13788,6116,6696,5644,3344,-5364,-6988,-4856,-10268,-12456,-15732,-13432,-5916,-856,-728,-2992,-7556,-2596,1108,-7584,-3704,-7804,-6124,-1856,-5704,960,2720,640,5988,628,-572,-896,5028
"22","14","      Instruments","KCBI380",-20,96,316,136,-68,-132,112,548,676,284,-92,-104,644,404,-88,-660,-4,-56,208,388,244,-108,496,168,220,372,620,1068,964,1216,532,464,-776,-520,44,-48,-84,416,504,832,-56,92,808,340,756,392,600,460,972,568,-60,-32,944,108,-180,508,264,152,-64,4,-420,172,44,-912,-1324,732,1012,1152,1572,2672,1812,1764,1740,1396,932,492,-208,860,820,128,-636,1152,1280,808,-952,-900,316,4108,3036,1156,-88,-2116,2428,-40,276,-824,-1272,808,396,1128,-372,68,296,-224,-204,-728,-560,-1108,-844,676,-20,392,1068,2016,2152,3316,2060,628,2284,-632,80,2048,2568,2184
"23","15","      Miscellaneous manufacturing","KCBI390",188,-136,236,404,-156,372,540,876,1204,392,1196,-384,440,468,452,512,548,1204,236,76,-588,2148,-652,532,960,-1216,-140,2036,520,-168,1264,740,-2008,-1076,-1560,120,416,640,940,208,1280,372,-64,104,-420,104,676,496,-232,-752,-1088,-940,-172,1016,-980,-824,372,-580,492,664,1128,796,-80,-2332,-616,-132,240,132,540,1328,1268,1036,820,-580,12,-344,-976,-380,656,1164,764,632,-560,-412,8,300,280,968,-400,-92,48,-212,1212,-120,288,-572,-708,-992,484,872,424,688,-300,-700,100,1532,-352,1028,-60,-1772,600,-816,-1704,-16,-1152,188,388,100,1024,128,-236,-252,44,852
"24","16","    Nondurable goods","KCBIMN0",14772,4492,4604,4960,2424,9796,10900,6892,3656,3112,9304,-1348,1636,8060,-2716,2368,3072,4920,844,6008,616,6276,4360,-5228,4328,2544,-11536,7560,8948,19188,4248,13736,-2860,-11952,2988,18164,8520,12196,10656,2732,984,11864,11936,580,-4668,3752,3292,5384,-5324,-2032,2988,-2112,17732,4776,-14092,-6184,8228,4152,1232,2332,2620,-17820,2144,-1940,-10124,3804,15392,2288,13632,20880,12208,-12052,-6452,-868,-4748,10764,-3004,7044,-5528,12772,3244,-364,5648,9604,7828,6908,1856,8676,996,14096,9084,-2940,10264,4060,7700,1072,7092,-2480,1320,11512,2344,1672,13884,2880,2568,5204,-2500,-6612,3328,2060,5716,5484,12256,8344,1388,-3976,2176,-7768,1772,7172,9592,10444,8024,12512
"25","17","      Food and kindred products","KCBI200",4548,588,1176,3324,-412,1664,5212,-648,-2216,2396,2176,-3212,1792,972,-3892,1876,-452,2332,704,2204,-964,4128,596,-5496,-244,556,-5948,6000,4024,6108,-5108,-2068,-1216,-1868,3536,9808,1628,4200,4272,-280,896,3340,2804,-7068,-2440,440,1000,1572,1280,2400,-808,-32,2168,-1016,-1944,-1876,1944,1132,892,-1580,-3912,-3764,3952,1784,-2044,-3820,2300,-1452,1964,188,-636,-368,352,348,1424,556,-1516,112,-1064,1568,1744,3272,356,-288,-28,2572,-3688,4764,-476,2332,3812,1776,200,1316,5040,192,584,-1244,2072,1888,1164,1796,2884,-448,-420,1988,-4028,-1228,-368,2560,3576,-724,2552,-184,1324,836,-136,-2784,2176,2932,656,2656,1996,2516
"26","18","      Tobacco products","KCBI210",688,120,372,12,-324,220,-1528,-88,-380,-188,156,-1100,-1104,-416,-408,-800,108,-192,-704,728,144,108,1080,1156,-1160,740,-20,312,1216,332,556,2268,160,656,-176,1428,1216,-328,468,-1208,-336,-76,140,-444,-1048,-296,-1096,1160,-600,80,-616,-2144,-20,128,616,-856,708,-1472,1624,1404,2052,2984,-252,72,-2212,2348,276,-1976,-1836,-632,1008,-496,-700,-1344,-388,12,-136,-1408,-520,1100,104,1088,-1152,-832,180,-304,-36,-312,-800,1044,676,480,976,-396,200,148,892,412,56,-176,280,-348,824,336,516,692,-580,-2260,-736,-176,-1456,-280,-668,-160,1908,-680,-280,-464,496,980,-80,608,-140,-124
"27","19","      Textile mill products","KCBI220",620,400,456,-108,1228,596,248,732,204,64,316,-100,8,396,368,332,636,-48,216,-320,160,300,-648,20,592,-500,-1328,-616,596,440,1100,272,-1884,-1004,152,376,360,392,128,-32,1144,1140,236,432,-148,-24,644,-952,-56,-872,-300,140,860,-444,-1364,656,252,-440,-632,-392,-1244,-1404,-564,-452,540,1628,1584,1092,752,616,76,-1092,-532,-976,488,484,-88,872,-768,284,1628,-100,492,-52,-156,488,-684,856,-956,692,160,-232,464,-300,364,-528,-756,-264,804,-16,384,680,832,-352,456,580,408,1088,1332,-140,-212,352,16,48,-332,-276,-624,-344,328,492,-216,440,176,-104
"28","20","      Apparel products","KCBI230",1124,-448,1088,-784,-56,1648,-180,1136,784,-572,460,528,-1596,1828,1100,-336,1360,100,-212,12,508,-28,936,1076,2280,-756,-832,-560,-2360,-912,652,1020,-2200,-664,768,1524,2616,2340,-724,-1288,-768,448,340,1632,-204,560,1128,492,1188,-1784,-272,-1644,564,572,-616,-528,132,-28,-340,1972,-424,-860,-520,-504,-1000,840,1832,1604,2636,2120,360,-388,-1320,996,-12,1128,900,-636,-180,-608,728,-756,280,1368,760,1760,-832,-1400,-2220,-520,1196,-56,884,-636,-204,-1012,-1872,12,328,2688,1068,28,-148,652,2096,1448,1120,-248,-376,820,812,808,2456,-668,-1072,-1320,-1872,-2296,-1260,-1192,1328,1504,616,-156
"29","21","      Paper and allied products","KCBI260",1244,220,-260,-456,536,716,-328,-124,-636,-352,688,880,1624,1276,440,1052,-396,132,264,536,-156,-308,612,-432,100,752,-384,1324,660,2844,2364,2956,440,-2248,-116,-556,472,1240,368,188,340,484,900,216,-32,952,324,-472,-272,816,-544,1324,1772,1692,-736,-816,900,-376,824,676,1140,-300,264,-736,-504,704,332,1184,864,1996,2028,764,1144,-968,-528,992,168,696,568,-24,2052,0,-40,292,-1088,204,1304,1360,-1064,1944,1780,16,436,760,-356,364,1916,-556,-392,2480,724,-56,760,-656,280,-764,44,16,52,776,-552,-1388,788,2056,332,416,1872,-472,368,-1060,2144,-1944,1148,1604
"30","22","      Printing and publishing","KCBI270",1000,1224,-356,392,-912,236,1412,1260,1176,-192,1676,-952,-208,-756,-528,-956,108,88,216,-144,820,-616,508,116,324,1520,644,844,52,68,292,892,1052,-960,-144,80,-1488,784,1208,1128,88,-648,148,1044,436,1008,-992,256,868,464,436,96,472,108,-488,-712,396,420,644,-252,-156,64,-728,-212,-1024,712,512,1656,836,1860,1676,172,788,-336,332,-212,-512,292,88,564,992,48,-32,1012,428,1496,1112,12,276,732,-184,-68,256,448,236,96,1564,-1348,-1520,144,-636,-612,1668,-756,-732,316,-136,-1004,-224,-320,484,1016,2764,504,-796,-1532,-488,436,-1704,1648,300,1140,-128,1408
"31","23","      Chemical and allied products","KCBI280",2852,960,1012,1752,932,748,3736,2716,5032,2640,2400,1328,-684,4260,1904,916,884,1632,-428,1548,-124,1608,656,-124,-652,312,-1412,-428,3304,2872,2352,9608,280,-1064,-3288,1016,1824,2116,4656,892,-2492,2668,5112,3072,1204,1620,1968,1328,-5024,-2076,1600,184,7652,1816,-7044,1400,1128,3248,728,1228,-532,-4344,-3224,-4504,-2240,1124,4096,3352,4416,9716,7032,-5188,-2940,4004,1676,-2384,-656,2952,-1796,5668,-4620,-2628,3036,4508,4608,-1704,3488,3924,5216,4768,2752,-2800,456,3720,2400,2944,3960,-688,-328,2776,1264,-228,4768,2884,500,-220,1628,-2012,1476,-916,-796,2092,-728,6512,3724,-1068,1864,468,1580,2620,1836,3632,2988,5368
"32","24","      Petroleum products","KCBI290",1620,3088,1920,1516,1252,1764,2728,-1136,-2100,-2344,108,4052,3348,1444,-3540,-212,-508,1556,2452,220,-2748,-1576,96,-2948,-2072,-1920,-1232,-2156,2296,11424,6128,988,5964,-4540,-84,2084,1072,-772,524,2180,480,4716,2260,1116,-3996,-2636,-936,2248,-5576,-1092,4480,3052,4456,3948,60,-3760,1632,2316,-3840,-192,8108,-10860,4840,2992,-480,-2996,3240,-4872,2824,3248,800,-5024,-2808,-2024,-10672,10268,-4492,9952,-2580,6164,-3276,-3028,3576,5272,5428,272,-1080,-2244,740,4952,-4152,-2980,10276,-3340,-3316,-664,2444,3156,1156,-128,-1156,-1200,1036,-688,412,-880,-2300,-840,2176,-2016,1616,4536,1688,-244,-3864,1152,1304,-2096,-948,-1364,4316,664,2424,1552
"33","25","      Rubber and plastic products","KCBI300",608,264,-656,544,-36,1448,544,1368,228,540,1504,128,1092,-328,212,112,136,456,-464,1432,768,940,828,528,748,1224,1316,352,1016,584,-60,560,-572,-488,252,284,368,208,236,2048,1420,748,1184,592,284,756,780,880,184,432,428,-1692,208,-2192,-1948,932,948,220,1064,-948,-1396,-596,-1280,-260,-1132,1656,1048,984,1540,2776,344,-1088,-164,364,992,352,1032,-656,-720,904,280,88,1164,176,300,1344,1300,800,2248,-120,896,-724,12,1092,1992,820,-36,468,28,548,-1468,708,1128,1776,-588,1232,448,224,1076,-20,2400,976,2080,264,-732,264,1572,-124,852,996,876,1140,52,760
"34","26","      Leather and leather products","KCBI310",-72,-156,80,192,112,-40,652,-236,612,104,-896,400,36,-336,-600,228,-332,-252,172,4,-64,136,-416,-736,1104,72,16,-36,40,-136,-44,72,-336,-980,396,392,-120,96,-164,404,-412,184,-236,532,412,164,-232,-96,-556,-268,444,-140,632,656,-1120,-252,124,-376,864,232,-996,812,-116,-256,204,276,-96,132,-136,-4,96,-276,-692,-196,456,304,416,-688,-76,-196,72,20,-372,272,268,-548,948,-292,-160,8,-176,84,-288,248,72,-700,-464,-572,-412,364,-8,280,-124,256,-276,-436,-120,-356,96,96,220,-12,168,168,-244,-252,168,-248,140,144,-248,396,-52,80
